#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:30 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/regulons_by_conformation_effect_bnum.txt
Ada-Methylated_neg	b1712//b0614//
Ada-Methylated_pos	b1101//b0592//b2705//b0978//
AlaS-L-alanine_neg	b2579//
AllS-allantoin_pos	b3025//b2242//b2852//
AraC-L-arabinose_neg	b2417//b2709//b3230//b2557//b0440//b4476//b3242//b2763//
AraC-L-arabinose_pos	b1476//b1681//b1323//b3275//b4160//b2706//b4383//b4213//b2718//b2483//
ArcA-Phosphorylated_neg	b1264//b2589//b2235//b0757//b1885//b3942//b2365//b3437//b1798//b3569//b1519//b3025//b3902//b3227//b1024//b1396//b0336//b3610//b4196//b4438//b4035//b0734//b0339//b1111//b3902//b1885//b3544//b3070//b4068//b3533//b0937//b2763//b0460//b0953//b0113//b3852//b1396//b2291//b4063//b2222//b4289//b1102//b4264//b1892//b1891//b1474//b2913//b2728//b0431//b1892//b0782//b3326//b0775//b2497//b4310//b0043//b1189//b4153//b3275//b0886//b1042//b0978//b1189//b0428//b0972//b0904//b2077//b4599//b0571//b0411//b2942//b0589//b1882//b4079//b3667//b4058//b0873//b3395//b1521//b1211//b1747//b1905//b0841//b2374//b2483//b3532//b3753//b1818//b4059//b3688//b2964//b4168//b0034//b4322//b1393//b2029//b1796//b0863//b4105//b1737//b3133//b0571//b2630//b1732//b2661//b1394//b4249//b3135//b3403//b4071//b4059//b0959//b2197//b2912//b0998//b0557//b2728//b3224//b1883//b4592//b1042//b3326//b0935//b2009//b4173//b4254//b2702//
ArcA-Phosphorylated_pos	b4037//b1593//b2465//b0347//b2309//b2204//b1902//b1514//b0517//b4567//b0820//b0150//b0462//b0675//b2712//b1492//b2085//b1704//b0048//b3669//b2194//b4393//b1891//b3904//b4187//b1389//b2704//b1857//b2207//b1684//b3118//b1797//b2715//b0584//b0384//b4322//b2943//b3125//b0682//b2762//b2762//b2666//b3753//b4138//b3091//b4314//b3393//b2278//b1247//b4008//b3903//b0864//b3237//b4067//b4072//b2608//b2296//b2093//
ArgP-L-arginine_neg	b0997//
ArgP-L-arginine_pos	b3096//b4123//b0765//b1781//b2231//b4417//b0428//b0348//b4669//b3605//b3364//b0934//b3601//b2503//b0564//
ArgR-L-arginine_neg	b1531//b3408//b1321//b0151//b3460//b2469//b2866//b0349//b3571//b0048//b3870//b1684//b2201//b4170//b1113//b0565//b2674//b3853//b4197//b2764//b3236//b2800//b2979//b4015//b3093//b4201//b4098//b2997//b2155//b0048//b2486//b3454//b0199//b1189//
ArgR-L-arginine_pos	b2077//b2763//b3414//yegZ//b3510//
AtoC-phosphorylated_pos	b2926//b0177//b1263//b1041//
BaeR-Phosphorylated_pos	b0908//b0727//b1209//b2963//b2464//b4502//b3437//b3700//
BirA-bio-5-AMP_neg	b3518//b2560//b0400//b3728//b2552//
