#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:30 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/regulons_by_conformation_effect_bnum.txt
Ada-Methylated_neg	b0896//b0339//
Ada-Methylated_pos	b4290//b1656//b3325//b3114//
AlaS-L-alanine_neg	b3113//
AllS-allantoin_pos	b4177//b4200//b0463//
AraC-L-arabinose_neg	b2905//b3751//b0167//b4287//b3454//b0031//b2995//b0903//
AraC-L-arabinose_pos	b2609//b4037//b2476//b2213//b0111//b2198//b2553//b2194//b0826//b3241//
ArcA-Phosphorylated_neg	b3925//b2926//b1499//b3830//b4073//b0350//b0334//b2276//b1421//b2838//b3749//b4129//b0727//b1901//b2196//b1609//b4071//b4079//b2630//b3667//b3274//b3455//b1858//b3092//b4702//b3604//b2242//b2559//b2957//b2068//b2428//b4310//b0461//b1301//b0199//b4035//b2675//b0814//b4013//b1714//b0931//b4200//b0350//b0929//b4319//b2423//b1905//b2976//b1736//b4101//b3925//b2631//b0221//b3277//b2342//b0484//b0109//b4401//b3335//b1779//b2291//b2075//b2965//b1704//b0043//b3541//b1392//b0161//b1589//b1227//b2530//b0125//b0959//b1265//b4010//b4030//b3781//b4016//b0398//b3330//b4326//b3605//b0593//b4125//b2282//b3869//b4010//b0571//b0153//b4237//b2607//b4669//b3117//b2758//b3531//b0617//b0675//b1888//b4024//b2421//b0125//b2492//b4315//b2990//b3854//b3476//b2241//b0366//b3511//b2923//b2705//b4118//b1205//b0684//b2194//b3008//b4381//b2716//b1682//b2719//b1609//b4511//b2068//b0805//b0348//b0583//b2085//
ArcA-Phosphorylated_pos	b4054//b1905//b1814//b4151//b3318//b1535//b0397//b0061//b2675//b2760//b0574//b2313//b0353//b2092//b3359//b4239//b3170//b3904//b0929//b2802//b2867//b0338//b0998//b0366//b0903//b4317//b0331//b0775//b2530//b2731//b4000//b0819//b0873//b4467//b1712//b3531//b1037//b0296//b0574//b1262//b2630//b3311//b2957//b1037//b2764//b2153//b0573//b0996//b4237//b2755//b3759//b2759//b2465//b0861//b0723//b2414//b4187//b0778//
ArgP-L-arginine_neg	b2344//
ArgP-L-arginine_pos	b3870//b1904//b3773//b2583//b3415//b0777//b4567//b1717//sroD//b3942//b4476//b0036//b3327//b1546//b1264//
ArgR-L-arginine_neg	b2803//b0190//b0826//b1531//b2231//b2407//b2199//b0241//b0180//b0937//b0595//b3117//b4010//b2993//b3076//b1654//b0727//b3708//b2365//b3688//b1501//b3859//b2938//b2719//b1062//b2763//b3328//b4460//b0591//b3116//b0785//b2671//b3903//b4249//
ArgR-L-arginine_pos	b3851//b1112//b2742//b4401//b0557//
AtoC-phosphorylated_pos	b4169//b1641//b3753//b2991//
BaeR-Phosphorylated_pos	b1492//b3702//b0384//b3669//b2509//b4399//b2975//b2716//
BirA-bio-5-AMP_neg	b2499//b4669//b3327//b1669//b2276//
CRP-cAMP_neg	b1023//b2912//b3394//b1852//b2149//b4702//b1733//b1779//b1817//b2710//b1738//b0759//b2975//b4202//b2424//b4319//b2728//b3313//b4009//b2203//b4079//b3726//b2296//b3214//b0782//b1102//b0588//b2094//b1002//b3117//b1669//b2980//b0484//b3207//b3701//b1010//b1683//b0675//b4201//b3207//b4317//b2075//b4670//b0584//b3726//b3616//b3116//b4160//b0365//b2962//b1613//b3367//b2529//b3365//b3479//b3806//b4426//b1391//b3366//b3359//b3461//b0338//b0945//b1798//b1857//b4073//b4264//b4291//b0108//b0365//b3968//b0183//b3846//b3481//b4439//b2756//b4702//b1102//b3275//b1475//b3081//b1264//b3133//b3854//b2488//b2704//b2799//b4032//b1111//b2469//b2741//b3509//b2659//b1002//b1009//b3025//b3960//b3425//b4511//b2146//b1385//b3277//b0757//b1127//b0156//b1392//b0221//b4079//b1883//b3237//b3604//b4398//b1679//b1415//b0586//b4392//b1540//b4381//b2194//b3753//b1190//b3134//b3096//b4318//b3477//b2590//b2063//b0110//b2963//b3830//b3170//b3672//b3225//
