#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:30 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/regulons_by_conformation_effect_bnum.txt
Ada-Methylated_neg	b2313//b3727//
Ada-Methylated_pos	b1015//b1810//b3356//b2296//
AlaS-L-alanine_neg	b1594//
AllS-allantoin_pos	b0874//b3806//b0776//
AraC-L-arabinose_neg	b2367//b0039//b4074//b4152//b2424//b1761//b4159//b3806//
AraC-L-arabinose_pos	b3709//b1224//b1973//b1338//b0756//b0202//b1127//b4198//b4249//b4195//
ArcA-Phosphorylated_neg	b2756//b2943//b2291//b0484//b2570//b3418//b1160//b1889//b2758//b2281//b2149//b0333//b3057//b1415//b1970//b1516//b4124//b2840//b0038//b4264//b4169//b1780//b3273//b0728//b0679//b3477//b2198//b3114//b1745//b0945//b1682//b4240//b2375//b1009//b2711//b2663//b1256//b3164//b2313//b0463//b3605//b4033//b0979//b3566//b0595//b0330//b4426//b2196//b0862//b3756//b1798//b2676//b4193//b1616//b0784//b0168//b2751//b0335//b4004//b3425//b3926//b0340//b2286//b1182//b3480//b0934//b2085//b1102//b2366//b3567//b2091//b3564//b1905//b2990//b0388//b0124//b3036//b0460//b0778//b0557//b2614//b3544//b2751//b2996//b0077//b3123//b4213//b2235//b2213//b2804//b4194//b1263//b1744//b0778//b2662//b3511//b0273//b4241//b2987//b2903//b3403//b1011//b4015//b1745//b1493//b1287//b2597//b4290//b3666//b4037//b0377//b4139//b1109//b1039//b3758//b1396//b4671//b1498//b0152//b1225//b3335//b0517//b2617//b2106//b3430//b1476//b3127//
ArcA-Phosphorylated_pos	b2196//b3037//b2912//b2283//b0590//b1821//b4075//b3416//b2661//b2085//b4355//b3544//b1846//b4175//b1023//b4290//b2416//b0622//b2107//b1674//b2235//b2487//b2925//b4160//b3938//b2925//b4476//b3750//b3070//b1297//b2370//b4194//b1385//b2197//b0572//b4079//b3311//b3806//b3335//b0345//b2285//b3493//b2751//b1209//b2503//b3169//b3025//b4120//b4099//b4670//b1883//b3275//b2211//b2366//b2221//b4138//b1043//b0587//
ArgP-L-arginine_neg	b3588//
ArgP-L-arginine_pos	b2977//b2407//b1590//b0431//b1300//b0337//b4125//b4705//b1826//b3666//b2407//b0378//b0341//b1334//b1275//
ArgR-L-arginine_neg	b2992//b3748//b0975//b1540//b3753//b3167//b2916//b2965//b2705//b2528//b4702//b4173//b1301//b0191//b0783//b3415//b2309//b2943//b4100//b4032//b0565//b3599//b4406//b3702//b1821//b0346//b1761//b1597//b0721//b3908//b0619//b3670//b3311//b2414//
ArgR-L-arginine_pos	b4068//b0618//b0584//b1127//b0861//
AtoC-phosphorylated_pos	b4008//b2202//b0682//b2484//
BaeR-Phosphorylated_pos	b3117//b4311//b2143//b0895//b0177//b2207//b2414//b0190//
BirA-bio-5-AMP_neg	b1620//b2631//b3533//b4382//b0935//
CRP-cAMP_neg	b2927//b3773//b1530//b2488//b1037//b2204//b0683//b0606//b1671//b3451//b3603//b3773//b1883//b1415//b3395//b4637//b2903//b0759//b3405//b0365//b1190//b0153//b3518//b4383//b0048//b3610//b2669//b3771//b3902//b1531//b1334//b2152//b2239//b1388//b2094//b0863//b3751//b2703//b1062//b4310//b3038//b3118//b1041//b1226//b3531//b4007//b2296//b1781//b2531//b4171//b0345//b2313//b0077//b4018//b3025//b0974//b2498//b3413//b3274//b3530//b3366//b1389//b1886//b0365//b1546//b0368//b2584//b3456//b2589//b1850//b3451//b0565//b3455//b4468//b3941//b4502//b0115//b4016//b1336//b2212//b1429//b1430//b4309//b1189//b4310//b2296//b1540//b0077//b4169//b4033//b2721//b2481//b1655//b3456//b4287//b1674//b2371//b4268//b2497//b3274//b2215//b4009//b0078//b0756//b2153//b0945//b0675//b1589//b1398//b2535//b1821//b1901//b0161//b2369//b0729//b0339//b0351//b2393//b1717//b3860//b4169//b1805//b3855//b0063//b2239//b0874//b3769//b0565//b2278//b3316//b3604//b2718//b2231//
