#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:30 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/regulons_by_conformation_effect_bnum.txt
Ada-Methylated_neg	b4138//b1528//
Ada-Methylated_pos	b2992//b4132//b3167//b1500//
AlaS-L-alanine_neg	b1387//
AllS-allantoin_pos	b0183//b2553//b2551//
AraC-L-arabinose_neg	b3134//b0584//b2943//b1208//b0979//b3425//b3702//b2242//
AraC-L-arabinose_pos	b2976//b3460//b3688//b4198//b3437//b3566//b4401//b0872//b3049//b0203//
ArcA-Phosphorylated_neg	b3212//b1821//b0201//b3449//b4170//b1389//b3934//b3243//b1745//b3171//b0571//b4233//b1272//b0080//b3314//b0383//b3404//b0781//b2750//b3332//b2195//b1276//b0334//b2306//b1587//b0596//b2202//b0782//b0820//b2631//b2143//b0764//b2742//b0805//b0460//b2591//b3456//b3113//b3036//b4237//b2840//b3510//b1322//b1805//b2717//b3417//b0388//b4096//b2371//b0153//b3905//b2711//b1393//b2707//b1298//b2726//b3319//b0389//b2754//b0031//b0450//b3669//b2597//b2306//b4450//b1641//b1497//b1275//b0450//b0179//b4637//b1901//b0564//b1415//b2720//b2718//b0038//b2094//b4129//b0861//b4399//b3481//b0880//b1546//b4153//b3365//b0343//b1225//b4323//b4237//b1656//b2927//b1390//b2194//b3863//b3408//b0758//b2671//b4069//b3701//b2155//b3669//b3969//b1393//b0205//b0678//b4172//b1706//b3567//b3115//b4096//b1474//b0107//b4292//b3864//b3214//b2313//b1617//b1160//b1590//b0584//b1593//b4201//b2580//b3357//b3702//b2197//
ArcA-Phosphorylated_pos	b2705//b0080//b2904//b4129//b3749//b2239//b0080//b0431//b3359//b0106//b2092//b0078//b0936//b4036//b0755//b0111//b4705//b2286//b0573//b3750//b1390//b0399//b2805//b2583//b3091//b2963//b3781//b0622//b3071//b2600//b4319//b2721//b1393//b0312//b2759//b0411//b4322//b2231//b4072//b1415//b1130//b3859//b1385//b2554//b2491//b1264//b0314//b1902//b4354//b2662//b4291//b0929//b1209//b0754//b0959//b0296//b2916//b2535//
ArgP-L-arginine_neg	b4705//
ArgP-L-arginine_pos	b2560//b0312//b0759//b3424//b2752//b3049//b0860//b2096//b1210//b0564//b0368//b0775//b1207//b0594//b3905//
ArgR-L-arginine_neg	b0728//b0240//b4106//b1243//b3168//b2712//b1670//b3334//b0860//b2415//b4293//b0996//b3855//b0978//b2279//b3724//b0933//b1321//b2840//b1511//b3123//b0367//b2573//b1379//b2838//b4233//b1905//b2752//b3223//b1904//b2306//b4101//b4239//b1531//
ArgR-L-arginine_pos	b2308//b2009//b1324//b0191//b0602//
AtoC-phosphorylated_pos	b3912//b3701//b1223//b1501//
BaeR-Phosphorylated_pos	b0037//b1611//b1225//b0031//b0043//b1907//b3566//b2344//
BirA-bio-5-AMP_neg	b3321//b4511//b1252//b1396//b0432//
CRP-cAMP_neg	b2146//b2406//b4036//b3133//b2417//b2760//b3392//b1334//b3212//b2715//b1620//b0312//b2078//b0515//b3449//b3544//b1537//b3750//b3564//b3172//b2092//b1223//b2764//b1006//b3756//b3314//b1501//b2675//b3905//b2422//b3461//b3766//b1264//b3116//b0778//b2720//b0061//b1704//b2990//b3510//b2313//b0201//b1112//b3368//b1655//b4383//b1608//b2211//b3327//b0112//b3313//b3026//b2310//b2490//b2660//b1684//b4669//b0523//b4200//b3902//b1886//b2231//b2375//b3721//b0154//b0041//b4033//b0347//b0064//b3774//b4698//b3426//b1024//b3037//b0199//b4120//b1680//b0523//b2673//b4238//b1208//b0936//b0553//b4071//b3902//b4106//b1746//b0585//b1407//b4100//b3127//b3451//b1615//b0977//b0724//b0106//b4118//b2912//b0460//b3091//b2148//b0929//b3530//b1517//b3726//b2722//b2663//b4002//b1907//b2204//ilvG_2//b1210//b2840//b4471//b3572//b0197//b0733//b2868//b0312//b4431//b1617//b3418//b0979//b0758//b1127//b3241//b1398//b1761//b2151//b4400//b2063//b1323//b1113//
