#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:30 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/regulons_by_conformation_effect_bnum.txt
Ada-Methylated_neg	b2669//b2712//
Ada-Methylated_pos	b0179//b4310//b2163//b2709//
AlaS-L-alanine_neg	b1220//
AllS-allantoin_pos	b3756//b2063//b4039//
AraC-L-arabinose_neg	b1208//b3359//b1476//b4293//b2171//b4093//b4054//b0432//
AraC-L-arabinose_pos	b3418//b2149//b1608//b3312//b0400//b0907//b0873//b0032//b2221//b4024//
ArcA-Phosphorylated_neg	b3277//b2078//b4209//b2710//b2866//b0588//b2485//b3600//b1717//b1261//b2756//b1891//b4197//b4005//b2484//b4039//b1220//b2584//b1748//b1111//b0587//b2805//b2147//b0156//b2717//b0759//b0936//b3418//b3671//b2153//b0202//b2222//b2490//b2369//b2374//b0484//b4268//b0819//b3428//b2589//b4160//b0728//b4438//b3393//b1244//b3846//b4073//b4014//b2724//b1475//b1779//b0124//b0728//b1621//b1655//b3852//b3036//b0190//b4406//b4201//b4058//b3518//b1109//b0778//b2151//b3770//b4167//b0339//b4401//b2551//b2374//b3036//b2697//b2588//b4008//b4168//b3275//b4439//b3316//b0605//b1036//b0032//b3851//b1616//b4398//b2713//b2211//b1300//b0334//b0161//b0042//b3508//b1500//b0399//b3480//b2194//b3367//b2591//b0346//b1714//b2235//b3324//b0827//b0765//b2196//b0758//b4004//b3852//b2465//b2306//b4237//b0722//b0183//b2482//b2868//b3438//b4502//b2482//b2799//b3334//b2572//b2484//b0723//b3456//b1681//b0565//b3317//
ArcA-Phosphorylated_pos	b3571//b2077//b0345//b4193//b1733//b2756//b1190//b0566//b1015//b1719//b3854//b3458//b3430//b2925//b2205//b3428//b1735//b3508//b0348//b3038//b3081//b0106//b2143//b0575//b2990//b2552//b3479//b0553//b0861//phnE_2//b0864//b2531//b3672//b3008//b0896//b1681//b3166//b4471//b1302//b0724//b2196//b2281//b0199//b0183//b3408//b2713//b4398//b1476//b0880//b1622//b1297//b1888//b1476//b3161//b4094//b2584//b2372//b0311//
ArgP-L-arginine_neg	b1588//
ArgP-L-arginine_pos	b3934//b0605//b0759//b3845//b1042//b3236//b2092//b1846//b2996//b2991//b2606//b2284//b1336//b3912//b1712//
ArgR-L-arginine_neg	b4069//b3393//b4160//b2710//b3118//b0351//b1612//b4506//b0734//b3168//b2697//b2428//b1421//b0062//b0880//b1387//b0314//b4209//b1515//b1321//efeU_2//b2757//b3329//b0872//b1817//b0189//b0566//b1394//b3424//b4187//b1859//b4174//b0153//b3616//
ArgR-L-arginine_pos	b2146//b2470//b1016//b1262//b0621//
AtoC-phosphorylated_pos	b3721//b0820//b3846//b2702//
BaeR-Phosphorylated_pos	b2204//b0154//b4400//b0204//b4268//b0429//b1301//b2428//
BirA-bio-5-AMP_neg	b2106//b2764//b1973//b3134//b4102//
