#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:30 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/regulons_by_conformation_effect_bnum.txt
Ada-Methylated_neg	b3688//b3426//
Ada-Methylated_pos	b0972//b3432//b0311//b0880//
AlaS-L-alanine_neg	b1499//
AllS-allantoin_pos	b3366//b3124//b2232//
AraC-L-arabinose_neg	b2570//b0574//b0484//b4120//b3331//b1338//b2757//b3852//
AraC-L-arabinose_pos	b4039//b3327//b3456//b1673//b3903//b2094//b2705//b2425//b0048//b1287//
ArcA-Phosphorylated_neg	b2422//b0784//b3311//b2277//b2367//b0351//b0781//b1885//b3528//b4125//b3688//b0156//b1222//b4096//b4062//b3859//b3469//b0341//b3277//b4326//b4194//b3863//b0895//b1275//b4467//b3541//b0861//b3403//b1743//b0592//b3316//b4266//b4187//b4406//b4467//b0720//b4194//b3221//b1037//b0515//b4119//b1673//b3324//b1679//b1499//b0113//b0032//b3418//b0759//b1393//b2500//b2283//b3752//b3240//b3326//b3509//b0240//b3335//b3781//b1224//b0721//b0606//b1261//b1713//b0757//b1889//b1109//b0061//b0754//b2742//b2425//b4321//b3669//b2146//b2151//b0957//b1260//b0763//b3476//b3261//b2063//b3457//b3521//b2905//b2659//b2992//b1716//b0591//b0168//b2659//b4317//b3533//b1498//b3168//b0463//b4073//b4238//b2802//b2741//b0722//b0862//b2754//b3864//b0178//b2241//b0615//b2631//b3772//b2964//b0035//b3721//b1744//b0775//b1323//efeU_2//b0399//b1905//b0827//b1379//b1222//b0570//b0861//b2392//b4195//b0908//b3207//b0557//
ArcA-Phosphorylated_pos	b1335//b4013//b0203//b1798//b4291//b1430//b3325//b2553//b3072//b4311//b3456//b3432//b1247//b4324//b0113//b2709//b0754//b1036//b2221//b0113//b0774//b2281//b3666//b4171//phnE_2//b1902//b2485//b1669//b1713//b3773//b3479//b2203//b2704//b2702//b2366//b3165//b2706//b0398//b0078//b1781//b3958//b3118//b3223//b2392//b3939//b4099//b2232//b3093//b2975//b1781//b3277//b3114//b2727//b4008//b2805//b0934//b2212//b0572//
ArgP-L-arginine_neg	b1882//
ArgP-L-arginine_pos	b3721//b2152//b0617//b3133//b0036//b4037//b4177//b2580//b2425//b1430//b1207//b0042//b2241//b1734//b2750//
ArgR-L-arginine_neg	b2307//b2375//b2841//b0777//b2417//b0895//b3093//b4198//b0034//b1857//b2156//b1547//b1796//b0677//b1501//b1743//b0587//b0598//b4398//b3212//b4511//b1846//b4040//b4092//b3207//b3707//b0860//b2712//b1517//b2993//b1205//b0311//b2481//b0334//
ArgR-L-arginine_pos	b1615//b4318//b2759//b1002//b1535//
AtoC-phosphorylated_pos	b0118//b2589//b2469//b4506//
BaeR-Phosphorylated_pos	b1129//b1388//b3077//b0889//b2557//b4019//b2675//b2911//
BirA-bio-5-AMP_neg	b3026//b4292//b0931//b3770//b1682//
CRP-cAMP_neg	b4293//b1611//b4195//b0874//b2614//b1819//b4153//b2708//b2486//b3700//b3508//b4039//b0597//b0903//b2802//b0111//b0461//b0889//b2702//yegZ//b3368//b2987//b3165//b1224//b1015//b0557//b3608//b1781//b0727//b4018//b4175//b1846//b4439//b3166//b2200//b2707//b1587//b1882//b4292//b3610//b1704//b4006//b3438//b1892//b0585//b3115//b4399//b4323//b0584//b1430//b0109//b0522//b3274//b1715//b2196//b1780//b0598//b0123//b4100//b2281//b3902//b2281//b2153//b4058//b0156//b1499//b2198//b0589//b3753//b0035//b3231//b1429//b0115//b1654//b1736//b4111//b4092//b1892//b2805//b1513//b1591//b1038//b1112//b3330//b4383//b2421//b4072//b1859//b3275//b1587//b1241//b3752//b3532//b4702//b4439//b2342//b0931//b0774//b4292//b0820//b4237//b3458//b4197//b3971//b0192//b3541//b2077//b1744//b4599//b0764//b0973//b3572//b2741//b1111//b2905//b4310//b3605//b0201//b0889//b3224//b1516//b1540//b1482//b4376//b4193//b0241//b0333//b2731//b0814//b1272//b4323//b0523//b3367//
