#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:16:17 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/all_tus_bnum_uniq.txt
C0067	b4080//
C0299	b0698//
C0362	b3736//
C0465	b4205//
C0614	b0343//
C0664	b2222//
C0719	b0441//
IS128	b2824//
aaeR	b0692//
aaeXAB	b0136//b4108//b2467//
aas-lplT	b3859//b0785//
aat	b3989//
abgABT-ogt	b3587//b3678//ilvG_1//b2759//
abgR	b0912//
abpAB	b1548//b0019//
abrB	b1134//
accA	b3226//
accBC	b3867//b2111//
accD	b1650//
aceBAK	b1377//b2921//b3664//
aceEF	b2513//b2759//
aceK	b0508//
ackA	b0945//
ackA-pta	b2553//b1207//
acnA	b3900//
acnB	b1298//
acpH	b2304//
acpP	b3118//
acpP-fabF	b4480//b1802//
acpT	b1973//
acrAB	b1892//b3089//
acrB	b3823//
acrD	b3360//
acrEF	b2331//b0185//
acrR	b1132//
acrZ	b2682//
acs-yjcH-actP	b0040//b1733//b3745//
actP	b4018//
ada-alkB	b0347//b3046//
add	b3538//
adeD	b0814//
adeP	b4325//
adeQ	b2986//
adhE	b2605//
adhP	b0077//
adiA	b2739//
adiC	b1817//
adiY	b3078//
adk	b4089//
aegA	b4127//
aer	b4174//
aes	b2339//
agaR	b0935//
agaS-kbaY-agaBCDI	b1776//b0772//b2945//b3269//b1452//b2710//
agp	b0560//
agrA	b0526//
agrB	b2142//
ahpCF	b0054//b0442//
ahpF	b0339//
ahr	b0435//
aidB	b3430//
ais	b1653//
alaA	b1226//
alaA-yfbR	b2771//b4510//
alaC	b4625//
alaE	b2862//
alaS	b0276//
alaWX	b0916//b0208//
aldA	b0898//
aldB	b4219//
alkA	b1103//
alkB	b4222//
allA	b4231//
allDCE	b3210//b3341//b3531//
allR	b2435//
allS	b3614//
alpA	b3855//
alr	b1199//
alsBACE	b1872//b4287//C0299//b1047//
alsK	b3366//
alx	b1106//
amiA-hemF	b4324//b0441//
amiC	b2089//
amn	b1378//
ampC	b3179//
ampDE	b1670//b1221//
ampG	b1967//
ampH	b1457//
amyA	b4016//
anmK	b3205//
ansA-pncA	b3096//b2416//
ansB	b4467//
ansP	b2170//
apaGH	b3539//ynfP//
aphA	b3343//
appA	b1546//
appCBXA	b1398//b1082//b3784//b1565//
