#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:16:17 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/all_tus_bnum_uniq.txt
C0067	b1445//
C0299	b3164//
C0362	b4160//
C0465	b1897//
C0614	b2767//
C0664	b3750//
C0719	b1393//
IS128	b3971//
aaeR	yjgX_1//
aaeXAB	b1266//b1381//b2494//
aas-lplT	b1725//b2414//
aat	b0319//
abgABT-ogt	b0207//b2146//b1055//b3873//
abgR	b0052//
abpAB	b3118//b1224//
abrB	b1447//
accA	b4196//
accBC	b2611//b0162//
accD	b3873//
aceBAK	b4012//b0895//b3745//
aceEF	b0737//b3972//
aceK	b0181//
ackA	b3235//
ackA-pta	b1767//b1594//
acnA	b2307//
acnB	b3400//
acpH	b0569//
acpP	b4487//
acpP-fabF	b1318//b1272//
acpT	b3203//
acrAB	b0384//b4365//
acrB	b0273//
acrD	b2709//
acrEF	b0752//b3370//
acrR	b1220//
acrZ	b0620//
acs-yjcH-actP	b0693//b3795//b3134//
actP	b1746//
ada-alkB	b1570//b3267//
add	b2438//
adeD	b2650//
adeP	b2597//
adeQ	b4307//
adhE	b1606//
adhP	b2073//
adiA	b1970//
adiC	b3897//
adiY	b1792//
adk	b0792//
aegA	b0263//
aer	b0158//
aes	b0464//
agaR	b1706//
agaS-kbaY-agaBCDI	b1036//b2531//b2686//b2349//b0886//b2311//
agp	b2672//
agrA	b3104//
agrB	b4209//
ahpCF	b2109//b3141//
ahpF	b1068//
ahr	b2225//
aidB	b0792//
ais	b0949//
alaA	b0403//
alaA-yfbR	b4279//b1710//
alaC	b4202//
alaE	b4150//
alaS	b1608//
alaWX	b3857//b4293//
aldA	b0158//
aldB	b2579//
alkA	b0335//
alkB	b0124//
allA	b2746//
allDCE	b0606//b0824//b3430//
allR	b4194//
allS	b1905//
alpA	b3957//
alr	b3076//
alsBACE	b2586//b1081//b1869//b1606//
alsK	b3518//
alx	b0421//
amiA-hemF	b2208//b2960//
amiC	b2739//
amn	b2873//
ampC	b2184//
ampDE	b0693//b1187//
ampG	b4214//
ampH	b4047//
amyA	b3784//
