#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:16:17 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/all_tus_bnum_uniq.txt
C0067	b0880//
C0299	b4712//
C0362	b2945//
C0465	b2223//
C0614	b4115//
C0664	b1612//
C0719	b4279//
IS128	b0594//
aaeR	b4053//
aaeXAB	b0096//b4330//b2519//
aas-lplT	b0868//b2278//
aat	b4411//
abgABT-ogt	b3917//b0702//b4130//b3005//
abgR	b1619//
abpAB	b2243//b3469//
abrB	b0453//
accA	b3754//
accBC	b3107//b4090//
accD	b0555//
aceBAK	b0319//b1584//b3515//
aceEF	b4173//b3287//
aceK	b2056//
ackA	b3467//
ackA-pta	b3020//b3027//
acnA	ycgH_2//
acnB	b3550//
acpH	b2135//
acpP	b3220//
acpP-fabF	b0222//b2108//
acpT	b4068//
acrAB	b0444//b0733//
acrB	b3821//
acrD	b4440//
acrEF	b4542//b4178//
acrR	b4154//
acrZ	b1157//
acs-yjcH-actP	b4150//b0717//b4479//
actP	b3813//
ada-alkB	b2019//b4024//
add	b0610//
adeD	icdC//
adeP	b1578//
adeQ	b4265//
adhE	b2529//
adhP	b0020//
adiA	b3652//
adiC	b1248//
adiY	yifN//
adk	b2996//
aegA	b2048//
aer	b0212//
aes	b2659//
agaR	b1595//
agaS-kbaY-agaBCDI	b1443//b2137//lafU//b1441//b2665//b0132//
agp	b3476//
agrA	b1893//
agrB	b1047//
ahpCF	b2090//b0044//
ahpF	b0886//
ahr	b0180//
aidB	b4284//
ais	tfaS//
alaA	b4383//
alaA-yfbR	b0240//b2575//
alaC	b0610//
alaE	b4003//
alaS	b1256//
alaWX	b0580//b1470//
aldA	b2768//
aldB	sroD//
alkA	b0949//
alkB	b2951//
allA	b4061//
allDCE	b3588//b0255//b2101//
allR	b1745//
allS	b1693//
alpA	b0921//
alr	b3739//
alsBACE	b1952//b2330//b2092//molR_3//
alsK	b4374//
alx	b0878//
amiA-hemF	b2815//b4186//
amiC	b4403//
amn	b1070//
ampC	b3310//
ampDE	b4297//b3902//
ampG	b0379//
ampH	b3857//
amyA	b3081//
anmK	b4535//
ansA-pncA	b0777//b3449//
ansB	b0477//
ansP	b3344//
apaGH	b2982//b2621//
aphA	b4188//
appA	b3456//
appCBXA	b3630//b3371//b4254//b1583//
appY	b0452//
apt	b4409//
aqpZ	b1536//
araBAD	b0650//b0133//b3853//
araC	b0210//
araE	b4213//
araE-ygeA	b1511//b3039//
araFGH	b0616//b2850//b3068//
araJ	b2584//
arcA	b1629//
arcB	b4175//
arcZ	b1395//
arfA	b4422//
argA	b4386//
argCBH	b4380//b1764//b1546//
argD	b3377//
argE	b3203//
argF	b1226//
argG	b2963//
argI	b1154//
argO	b0748//
argP	b2729//
argQ	b0444//
argR	b0560//
argS	b3889//
argT-hisJQMP	b2079//b3117//b2572//b2063//b1624//
argU	b1288//
argW	b3693//
argX-hisR-leuT-proM	b0929//b1482//b1192//b2682//
ariR	b1013//
arnBCADTEF	b0612//b1114//b1689//b0137//b3138//b2856//b1990//
aroF-tyrA	b4255//b0782//
aroG	b1708//
aroH	b1731//
aroKB-damX-dam-rpe-gph-trpS	b0755//b2504//b2434//b2761//b0027//b3173//b3712//
aroL-yaiA-aroM	b3069//b0793//b4094//
aroP	b1948//
arpA	b2185//
arpB_1B_2	lfhA//b3571//
arrS	b3802//
arsRBC	b0223//b4355//b0073//
artJ	b0346//
artPIQM	b0585//b3972//b3130//b1681//
ascB	b3400//
ascFB	b2910//ygaQ//
ascG	b4225//
asd	b1943//
aslA	b3154//
aslB	b1328//
asmA	b1453//
asnA	ymdE//
asnB	b0757//
