#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:16:17 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/all_tus_bnum_uniq.txt
C0067	b2147//
C0299	b4233//
C0362	b3797//
C0465	b0607//
C0614	b0799//
C0664	b3957//
C0719	b2149//
IS128	b2460//
aaeR	b3081//
aaeXAB	b2556//b0758//b3011//
aas-lplT	b3030//b3414//
aat	b3080//
abgABT-ogt	b1985//b0459//b4185//b3209//
abgR	b2204//
abpAB	b4609//b3836//
abrB	b3283//
accA	b1163//
accBC	b4066//b1385//
accD	b0718//
aceBAK	b1848//b1165//b1637//
aceEF	b0918//b4663//
aceK	b4262//
ackA	b0392//
ackA-pta	b1975//b1788//
acnA	b3535//
acnB	b3541//
acpH	b0845//
acpP	b2970//
acpP-fabF	b0246//b2636//
acpT	b2712//
acrAB	b1606//b4442//
acrB	b2588//
acrD	b3095//
acrEF	b4048//b1654//
acrR	b4382//
acrZ	msrQ//
acs-yjcH-actP	b3377//ecpC//b3726//
actP	b3922//
ada-alkB	b2399//b1987//
add	b0974//
adeD	b0064//
adeP	b3279//
adeQ	b2122//
adhE	b0870//
adhP	b2979//
adiA	b3544//
adiC	b2200//
adiY	b3507//
adk	b4061//
aegA	b0517//
aer	b3700//
aes	b0440//
agaR	b0141//
agaS-kbaY-agaBCDI	b4466//b2337//b0796//b1279//b4329//b2112//
agp	b1827//
agrA	b3091//
agrB	b1642//
ahpCF	b4483//b1930//
ahpF	b3224//
ahr	b2500//
aidB	b1424//
ais	b0004//
alaA	b0059//
alaA-yfbR	ybfO//b2197//
alaC	b1751//
alaE	b2975//
alaS	b0938//
alaWX	b2501//b1150//
aldA	b1276//
aldB	b0778//
alkA	b1503//
alkB	b1791//
allA	b0125//
allDCE	b3795//b4506//b1897//
allR	b0951//
allS	b4348//
alpA	b0524//
alr	b1632//
alsBACE	b3538//b0507//b3790//b3617//
alsK	b3249//
alx	b1431//
amiA-hemF	b1302//b0523//
amiC	b2242//
amn	b1368//
ampC	b3590//
ampDE	b1331//b4437//
ampG	b2202//
ampH	b1085//
amyA	b2820//
anmK	b0155//
ansA-pncA	b0724//b0518//
ansB	b1548//
ansP	b2085//
apaGH	b4141//b2361//
aphA	b2013//
appA	b1066//
appCBXA	b3615//b2286//b1902//b1970//
appY	b0189//
apt	b2324//
aqpZ	b3507//
araBAD	b0217//b0897//b2281//
araC	b0655//
araE	b3514//
araE-ygeA	b4309//b2504//
araFGH	b3651//b0811//b1014//
araJ	b3994//
arcA	b0030//
arcB	b3755//
arcZ	b4224//
arfA	b1700//
argA	b0594//
argCBH	b2685//b3951//b2777//
argD	b3207//
argE	b0706//
argF	b0265//
argG	b0720//
argI	b0043//
argO	b2744//
argP	b4294//
argQ	b2977//
argR	b3123//
argS	b3150//
argT-hisJQMP	b1433//b2078//b0738//b1984//b1357//
argU	b0091//
argW	b1450//
argX-hisR-leuT-proM	b3775//b2626//b2527//b0580//
ariR	b4016//
arnBCADTEF	b3967//b1545//b4506//b2039//b4559//b0122//b2583//
aroF-tyrA	b3743//b1049//
aroG	b0641//
aroH	b4272//
aroKB-damX-dam-rpe-gph-trpS	b1068//b3128//b0557//C0614//b0640//b1564//b1191//
aroL-yaiA-aroM	b2706//b2165//b4007//
aroP	b3545//
arpA	sroD//
arpB_1B_2	b1541//b2321//
arrS	b4105//
arsRBC	b4481//b4149//b0143//
artJ	b2436//
artPIQM	b0728//b1329//b1605//b1527//
ascB	b1881//
ascFB	b3409//b2327//
ascG	b3690//
asd	b1856//
aslA	b3670//
aslB	b0323//
asmA	b2231//
asnA	b3242//
asnB	b4310//
asnC	b3650//
asnC-mioC	b1074//b1406//
asnC-mioC-mnmG	b0008//b2989//b4345//
asnS	b0839//
asnT	b2507//
asnU	b2549//
asnV	b3124//
asnW	b0489//
aspA	b1745//
aspA-dcuA	b0250//b2068//
aspC	b4270//
aspS	b0277//
aspT	b3048//
aspU	b4554//
aspV	b0331//
asr	b0155//
astCADBE	b0521//b1057//lafU//b0396//b3740//
atl	b4463//
atoDAEB	b1345//b2919//b2432//b0641//
atoSC	b4532//b3023//
atpBEFHAGDC	b2035//b1652//b4032//b3151//b0139//b0489//b2233//b3264//
atpIBEFHAGDC	b2579//b1077//b3960//b4212//b0558//b1377//b0486//b0707//b2696//
avtA	b1486//
azoR	b0077//
azuC	b2280//
bacA	b2891//
baeSR	b2017//b4415//
bamA	b1699//
bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE	b4183//b0436//b0887//b4350//b4286//b0193//b2002//b0169//
bamB-der	b0205//b1550//
bamC	b1260//
bamD	b0457//
bamE	b4219//
barA	b0128//
basRS	b2144//b1418//
bax	b4545//
bcp	b2877//
bcr	yncK_2//
bcsABZC	b1452//b2260//b4190//b2598//
bcsBZ	b1706//b1613//
bcsEFG	b3329//b0567//b2738//
bcsQ	b2706//
bdcA	b2328//
bdcR	b2531//
bdm-sra	b4192//b1864//
bepA-yfgD	b3205//b3325//
betIBA	b0477//b3529//b3041//
betT	b1745//
bfd-bfr	b1537//b4517//
bglA	b4521//
bglG	b3270//
bglGFB	b0381//b1305//b1681//
bglH-yieLK	b1204//b2146//b2019//
bglX	b3861//
bhsA	b0466//
bioA	b0443//
bioBFCD	b2551//b2251//b2299//b0081//
bioH	b2090//
bipA	b0142//
bisC	b3722//
blc	b0991//
blr	b0899//
bluF	insEF-1//
bluR	b4445//
bolA	b2668//
borD	b3042//
brnQ-proY	b3898//b2598//
bsmA	b3226//
bssR	b0367//
bssS	b0621//
btuB-murI	b1447//b3828//
btuCED	b1680//b3467//b1807//
cadA	b0909//
cadBA	b2899//b3734//
cadC	b1569//
caiCDE	b3728//b1434//b4234//
caiF	b4128//
caiTABCDE	b4199//b0841//b0086//b3028//b3969//b4089//
can	b0967//
carAB	b0790//b0209//
carB	b0472//
cas2	b0999//
cas3	b3606//
casABCDE12	b0911//b3161//b2779//b1873//b3715//b0596//b4412//
casDE12	b0629//b1054//b0401//b2111//
cbl	b3652//
cbpAM	b4025//b1395//
cbrA	b4292//
cbrB	b3584//
cbrBC	b3090//sroE//
cbrC	b1771//
ccmABCDEFGH	b3838//b1378//b2007//b0637//b3357//b3314//b0282//b2548//
cdaR	b2209//
cdd	b2919//
cdgI	b4117//
cdh	b2332//
cdsA	b4467//
cecR-ybhGFSR	b0744//b4114//b3383//b4284//b3959//
cedA	b3782//
cfa	b0848//
chaA	b1490//
chaBC	b2883//b0187//
chaC	b1314//
chbBCARFG	b3957//b3385//b3932//b4134//b1295//b2837//
chiA	b0723//
chiP-ybfN	b1887//b3970//
chiX	b2537//
cho	b0746//
chpSB	b3576//b0682//
cirA	b0453//
citCDEFXG	b2758//b1463//b4062//b3829//b2291//b0403//
citT	b1669//
clcA	b4364//
clcB	b0189//
clpA	b0525//
clpB	b1611//
clpPX	b3033//b3292//
clpS	b2645//
clpX-lon	b2614//b1188//
clsA-yciU	b1366//b2102//
clsC	b0903//
cmk-rpsA	b1001//yghX_1//
cmoM-mukFEB	b4144//b3181//b1183//b3482//
cmtBA-yggPFDC	b1177//ficA//b0369//b1396//b2921//b1065//
cnu	b2108//
coaA	b2108//
coaE-zapD-yacG	b3701//b1351//b2216//
cobUST	b0741//b4259//b2649//
codBA	b3243//b1609//
cof	b1390//
comR	b3627//
copA	b2980//
corA	b2402//
cpdB	b1712//
cpxPQ	b2442//b3139//
cpxRA	b0767//b1098//
cra	b3117//
crcB	b0641//
creABC	b4187//b3047//b2195//
creABCD	rirA//b2267//b3654//b1708//
creD	b3662//
crfC-yjcZ	b0172//b0443//
crl	b3142//
crp	b4712//
crr	b3224//
csdAE	b1482//b2513//
csgBAC	b1261//b4501//b0564//
csgC	b3677//
csgDEFG	b3748//b1523//b0928//b2951//
csiD-lhgO-gabDTP	b3327//b2306//b0793//b0975//b3727//
csiE	b4387//
csiR	b2959//
cspA	b3412//
cspB	b3690//
cspD	b3844//
cspE	b1048//
cspF	b1556//
cspG	b2230//
cspH	b0270//
cspI	b3780//
csrA	b3673//
csrB	b0435//
csrC	b2215//
csrD	b2509//
cstA	b4568//
cueO	ygeN//
cueR	b0117//
curA	b2440//
cusCFBA	b2338//b0675//b0550//b2491//
cusRS	b4234//b0066//
cutA	b1850//
cvpA-purF-ubiX	b2517//b1700//b3394//
cvrA	b4214//
cyaA	b3949//
cyaR	b3513//
cyaY	b3097//
cybB	b3387//
cybC	b0504//
cycA	b1649//
cydAB	b2930//b4177//
cydDC	b1666//b0897//
cydX-ybgE	b2377//b1644//
cynR	b2001//
cynTS	ilvG_2//b3904//
cynTSX	b1480//b2789//b0351//
cyoABCDE	b0436//b4166//b2482//b2297//b3360//
cysB	b2638//
cysDNC	b2357//b3046//b4129//
cysE	b0984//
cysG	b4023//
cysH	b1699//
cysJIH	b4112//b3501//b2512//
cysK	b0407//
cysPUWAM	b1500//b2286//b1345//ficA//b4325//
cysQ	yafF//
cysS	b0143//
cysZ	b2016//
cytR	b1157//
dacA	b0485//
dacB	b3513//
dacC	b2413//
dacD	b0187//
dadAX	b0088//b0201//
dam-rpe-gph-trpS	b2827//b2950//b4307//b1274//
damX-dam-rpe-gph-trpS	b2065//b1761//b2323//b1878//b1568//
dapA-bamC	b0829//b0983//
dapB	b3766//
dapD	b0092//
dapE-ypfN	b1880//b0280//
dauA	b3237//
dcd	b0586//
dcm-vsr	b0424//b2857//
dcp	b3743//
dcrB	b3786//
dctA	b2831//
dcuA	b4173//
dcuB-fumB	b1047//b1235//
dcuC	b4216//
dcuD	b4052//
dcuR	b0712//
dcuSR	b3512//b3428//
dcyD-tcyLN	b1734//b4253//b4691//
ddlA	b4122//
ddpXABCDF	b1022//b2439//b0371//b1431//b0559//b1984//
deaD	b3937//
decR	b2244//
def-fmt	b0611//b2938//
degP	b1785//
degQ	b3397//
degQS	b0198//b0011//
degS	arpB_2//
deoABD	b0202//b1103//b1058//
deoBD	b0404//b0093//
deoCABD	b3658//b1897//b0073//b1038//
deoR	b2780//
dfp	b2372//
dgcC	b3107//
dgcE	b0770//
dgcF	b0223//
dgcJ	b0124//
dgcM	b0317//
dgcP	b4357//
dgcQ	b2180//
dgcT	b1328//
dgcZ	b1781//
dgkA	b0349//
dgoRKADT	b1920//b0324//b4520//b1197//b4182//
dgt	b1741//
dhaKLM	b2603//b0414//b0716//
dhaM	b1975//
dhaR	b1462//
diaA	b0813//
dicA	b2454//
dicB-ydfDE-insD-intQ	b2899//b0095//b3868//b2256//b0016//
dicC-ydfXW	b1125//b4167//b2652//
dicF	b3551//
dinB-yafNOP	b3063//b4370//b3341//b0953//
dinD	b3839//
dinG	b3454//
dinI	b1386//
dinJ-yafQ	b3532//b4408//
dinQ	b2494//
djlA	b2820//
dkgA	b2444//
dkgB	b2647//
dksA-gluQ	b1467//b0592//
dld	b1296//
dmlA	b1921//
dmlR	b2048//
dmsABC	b3198//b1449//b3792//
dnaAN-recF	b1861//b0697//b0360//
dnaB	b1526//
dnaK-tpke11-dnaJ	b2769//b4047//b2881//
dnaN-recF	b3338//b2388//
dnaQ	b3160//
dnaTC	b0967//b3243//
dnaTC-yjjA	insCD-5//b1324//b1260//
dnaX	b4260//
dosCP	b2922//b0866//
dpiBA	b0877//b3639//
