#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:16:17 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/all_tus_bnum_uniq.txt
C0067	b0019//
C0299	b3524//
C0362	b0823//
C0465	b1305//
C0614	b2216//
C0664	b2481//
C0719	b0953//
IS128	b1833//
aaeR	b4484//
aaeXAB	b4548//b1476//b0870//
aas-lplT	b4523//b1708//
aat	yjgX_2//
abgABT-ogt	b0721//b2811//b0603//b3078//
abgR	b2411//
abpAB	b3026//b2196//
abrB	b4154//
accA	b2494//
accBC	b0616//b1501//
accD	b4389//
aceBAK	b1901//b2007//b0911//
aceEF	b2853//b3019//
aceK	b0308//
ackA	b2296//
ackA-pta	b2902//b2909//
acnA	b2486//
acnB	rirA//
acpH	b1162//
acpP	b3417//
acpP-fabF	b4707//b0583//
acpT	b0421//
acrAB	b3215//b3103//
acrB	b3618//
acrD	b1632//
acrEF	b3308//b3662//
acrR	b2801//
acrZ	b3161//
acs-yjcH-actP	yrhC//b0164//b4338//
actP	b1387//
ada-alkB	b3733//b2311//
add	b0439//
adeD	b3488//
adeP	b0337//
adeQ	insAB-5//
adhE	b2425//
adhP	b0138//
adiA	b0486//
adiC	b2361//
adiY	b2496//
adk	b1748//
aegA	b3178//
aer	b2871//
aes	b1218//
agaR	b2313//
agaS-kbaY-agaBCDI	b2111//b4257//b2631//b0693//b2187//b1189//
agp	b1368//
agrA	b1379//
agrB	b0561//
ahpCF	b2377//b1024//
ahpF	insCD-5//
ahr	b3947//
aidB	b0988//
ais	b0427//
alaA	b1600//
alaA-yfbR	b3370//b4465//
alaC	b4403//
alaE	b2650//
alaS	b0972//
alaWX	b2895//b1290//
aldA	b0647//
aldB	b2134//
alkA	b4441//
alkB	b3152//
allA	b1848//
allDCE	b2346//b2784//insAB-3//
allR	b2336//
allS	b0877//
alpA	b0328//
alr	b1731//
alsBACE	b3566//b3355//ykiB//b1638//
alsK	b3123//
alx	b0711//
amiA-hemF	b3533//b1248//
amiC	b0491//
amn	b1342//
ampC	lfhA//
ampDE	b2762//b3490//
ampG	b1231//
ampH	b1602//
amyA	b0283//
anmK	b1145//
ansA-pncA	b3923//b3817//
ansB	b3968//
ansP	b0744//
apaGH	b0851//b0949//
aphA	b3251//
appA	b0499//
appCBXA	b0364//b0063//b3366//b1454//
appY	b2663//
apt	b0040//
aqpZ	b1510//
araBAD	b1159//b1312//b1799//
araC	b4063//
araE	b2255//
araE-ygeA	b1471//b1055//
araFGH	b3104//b1467//b1281//
araJ	b1612//
arcA	b0929//
arcB	b3010//
arcZ	b1135//
arfA	b0603//
argA	b1374//
argCBH	b3050//b3638//b1696//
argD	b0554//
argE	b1559//
argF	b0727//
argG	b4231//
argI	b4117//
argO	b1329//
argP	b4105//
argQ	b1267//
argR	b2846//
argS	b3336//
