#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:16:17 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/all_tus_bnum_uniq.txt
C0067	b2144//
C0299	b0900//
C0362	b0764//
C0465	b1860//
C0614	b1057//
C0664	b4327//
C0719	b2796//
IS128	b3747//
aaeR	b1249//
aaeXAB	b0577//b2529//b4198//
aas-lplT	b2131//b1981//
aat	b0237//
abgABT-ogt	b1551//b2466//b3341//b1256//
abgR	b1504//
abpAB	b2955//b3746//
abrB	b0586//
accA	b2097//
accBC	b0498//b3977//
accD	b2549//
aceBAK	b0431//b3969//b0731//
aceEF	b1488//b3828//
aceK	b3284//
ackA	b1422//
ackA-pta	b2698//b2554//
acnA	b1444//
acnB	b2699//
acpH	b4382//
acpP	b0512//
acpP-fabF	b0214//b3304//
acpT	b2178//
acrAB	b2151//ypaA//
acrB	b0288//
acrD	b2550//
acrEF	b2484//b0344//
acrR	b0400//
acrZ	b4279//
acs-yjcH-actP	b2424//b1269//b4172//
actP	b3883//
ada-alkB	b0608//b4541//
add	b0542//
adeD	b3272//
adeP	b3992//
adeQ	b2769//
adhE	b1830//
adhP	b0404//
adiA	b4611//
adiC	b3091//
adiY	b2611//
adk	b0368//
aegA	b0353//
aer	b2320//
aes	b0300//
agaR	b2545//
agaS-kbaY-agaBCDI	b1329//b2561//b3761//b0062//b3746//b0827//
agp	b4673//
agrA	b2510//
agrB	b3073//
ahpCF	b3595//b3584//
ahpF	b1733//
ahr	b3259//
aidB	b1820//
ais	b4242//
alaA	b2390//
alaA-yfbR	b4565//b0845//
alaC	b3922//
alaE	b1844//
alaS	b4467//
alaWX	tpke11//b4536//
aldA	b0935//
aldB	b2238//
alkA	b1803//
alkB	b4187//
allA	b1975//
allDCE	b3335//b2835//yghX_2//
allR	b4259//
allS	b2746//
alpA	b1100//
alr	b1724//
alsBACE	b0710//b3632//b0405//b0842//
alsK	b3396//
alx	icdC//
amiA-hemF	b1487//b4671//
amiC	b4609//
amn	b3166//
ampC	b3281//
ampDE	b2538//b4399//
ampG	b0304//
ampH	b2816//
amyA	b4013//
anmK	b1192//
ansA-pncA	b2780//cybC//
ansB	b4261//
ansP	b0968//
apaGH	b2526//b3309//
aphA	b1505//
appA	b4525//
appCBXA	b2123//b3044//b1025//b0804//
appY	b0174//
apt	b1116//
aqpZ	b2466//
araBAD	ykfJ//b3967//b1374//
araC	b0897//
araE	b0330//
araE-ygeA	b2415//b3924//
araFGH	b3087//b1259//b2086//
araJ	b4035//
arcA	b3186//
arcB	b0458//
arcZ	b2964//
arfA	b1672//
argA	b1664//
argCBH	b2527//b0571//b4320//
argD	b1302//
argE	b1954//
argF	b0527//
argG	b2129//
argI	b0146//
argO	b3009//
argP	b2808//
argQ	b1359//
argR	b2989//
argS	b3719//
argT-hisJQMP	b0917//b3148//b1303//b0825//b3778//
argU	b1404//
argW	b4338//
argX-hisR-leuT-proM	b2618//b4445//b3858//b3219//
ariR	b0885//
arnBCADTEF	b4446//b0746//b0530//b1119//b3943//b3890//b2671//
aroF-tyrA	b4204//b1377//
aroG	b2743//
aroH	b0434//
aroKB-damX-dam-rpe-gph-trpS	b1569//b1252//b1009//b3341//b2925//b0557//b3918//
aroL-yaiA-aroM	b2627//b2543//b0590//
aroP	b3095//
arpA	b1673//
arpB_1B_2	b1876//b2937//
arrS	b2882//
arsRBC	b0086//b2844//b0940//
artJ	b0598//
artPIQM	b3498//b1361//b4338//b0860//
ascB	b1181//
ascFB	b2652//b2133//
