#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:16:17 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/all_tus_bnum_uniq.txt
C0067	b3448//
C0299	b1840//
C0362	b2184//
C0465	b1963//
C0614	b2220//
C0664	b0832//
C0719	b3149//
IS128	ybeM_2//
aaeR	b2620//
aaeXAB	b0143//b0753//b2718//
aas-lplT	b2217//b3376//
aat	b3756//
abgABT-ogt	b0397//b4616//b3677//b4009//
abgR	b0020//
abpAB	b2485//b2076//
abrB	b4323//
accA	b0386//
accBC	b2873//b1434//
accD	b0722//
aceBAK	b4167//b2012//b4342//
aceEF	b0536//b3347//
aceK	b1673//
ackA	b2456//
ackA-pta	b3620//b4209//
acnA	b3532//
acnB	rhmD//
acpH	b4335//
acpP	b0815//
acpP-fabF	b2282//b3072//
acpT	b3316//
acrAB	b1024//b3741//
acrB	b4257//
acrD	b3526//
acrEF	b1126//b1901//
acrR	b4673//
acrZ	b3553//
acs-yjcH-actP	b0711//b0403//b0688//
actP	b4166//
ada-alkB	b1136//b4544//
add	b1250//
adeD	b3412//
adeP	b3576//
adeQ	b0791//
adhE	b3279//
adhP	b3341//
adiA	b3281//
adiC	b0582//
adiY	b0801//
adk	b2502//
aegA	b4382//
aer	b1050//
aes	b0454//
agaR	b3368//
agaS-kbaY-agaBCDI	b4180//b0759//b3441//b2018//b0810//b1064//
agp	b4021//
agrA	b1914//
agrB	b0629//
ahpCF	b0366//b4382//
ahpF	b2000//
ahr	b1507//
aidB	b3208//
ais	b1737//
alaA	b0467//
alaA-yfbR	b1461//b2668//
alaC	b0783//
alaE	b2092//
alaS	b3921//
alaWX	b0327//b3977//
aldA	b0393//
aldB	b0072//
alkA	b1736//
alkB	b1125//
allA	b1329//
allDCE	b4119//b1779//b3226//
allR	b3735//
allS	b2405//
alpA	qseG//
alr	b2435//
alsBACE	b1071//b1217//b3544//b2078//
alsK	b1522//
alx	b1902//
amiA-hemF	b3144//b3152//
amiC	b1982//
amn	b0635//
ampC	b0589//
ampDE	b1647//b1602//
ampG	b4055//
ampH	b3658//
amyA	b3135//
anmK	b0249//
ansA-pncA	b1924//b4016//
ansB	yjgX_2//
ansP	b0576//
apaGH	b2575//b0077//
aphA	b0433//
appA	b4123//
appCBXA	b2721//b0949//ycgH_2//b1216//
appY	b2696//
apt	b3074//
aqpZ	b2416//
araBAD	b2047//b3110//b0621//
araC	b3473//
araE	b0189//
araE-ygeA	b0106//b2500//
araFGH	b1797//b0152//b2327//
araJ	b4184//
arcA	b3796//
arcB	b0909//
arcZ	b0645//
arfA	b3928//
argA	b3977//
argCBH	b2704//b2842//b1021//
argD	b3823//
argE	b3825//
argF	b0082//
argG	b1387//
argI	b0911//
argO	b1531//
argP	b1070//
argQ	b0418//
argR	b3896//
argS	b1278//
argT-hisJQMP	b1732//b2021//b4417//b2264//b3353//
argU	b2567//
argW	b1607//
argX-hisR-leuT-proM	b2620//b4397//b2614//b2494//
ariR	b1452//
arnBCADTEF	b4223//b1326//b0665//b4090//b1463//b1986//b4050//
aroF-tyrA	b1333//b0454//
aroG	b2777//
aroH	b2821//
aroKB-damX-dam-rpe-gph-trpS	b2689//C0719//b3032//b1984//b0779//b4268//b3276//
aroL-yaiA-aroM	b2313//b4106//b1155//
aroP	b3734//
arpA	b0294//
arpB_1B_2	b2396//b0248//
arrS	b1072//
arsRBC	b0704//b4120//b1495//
artJ	b4191//
artPIQM	b0540//b2329//b1157//b3140//
ascB	b1315//
ascFB	b2971//b0310//
ascG	b4198//
asd	b1442//
aslA	b3735//
aslB	b0119//
asmA	b3851//
asnA	b2184//
asnB	b0592//
asnC	b4105//
asnC-mioC	b0937//b3915//
asnC-mioC-mnmG	b2623//b0351//b3203//
asnS	b3069//
asnT	b1207//
asnU	b3634//
asnV	b2832//
asnW	b1180//
aspA	b1844//
aspA-dcuA	b1694//b1202//
aspC	b3744//
aspS	b4355//
aspT	b3807//
aspU	gpr//
aspV	b2215//
asr	b3197//
astCADBE	b3273//b1623//b2874//b3563//b2458//
atl	b0414//
atoDAEB	b1949//b2270//b1485//b3470//
atoSC	b4417//b1351//
atpBEFHAGDC	b2145//b0588//b1981//b1118//b3776//b3995//b2577//b1217//
atpIBEFHAGDC	b2029//b2323//b1627//b3885//b1047//b1497//b3803//b1208//ykfJ//
avtA	b0878//
azoR	b4625//
azuC	b2346//
bacA	b1176//
baeSR	b3595//b3492//
bamA	b1415//
bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE	b1508//b0158//b4414//b1314//b4231//b4243//b0299//b2840//
bamB-der	b2524//b2494//
bamC	b4095//
bamD	b1617//
bamE	b0998//
barA	b0149//
basRS	b2230//b2246//
bax	b1919//
bcp	b1723//
bcr	b0652//
bcsABZC	b0853//b4048//b3820//b2383//
bcsBZ	b2707//b0753//
bcsEFG	b3506//b1361//b0182//
bcsQ	b1117//
bdcA	b2849//
bdcR	b0450//
bdm-sra	b2902//b2047//
bepA-yfgD	b2831//b3350//
betIBA	b3343//b3943//b1105//
betT	b1211//
bfd-bfr	b4306//b3051//
bglA	b2893//
bglG	b2180//
bglGFB	b0526//b0223//b0209//
bglH-yieLK	b0051//b2360//b4098//
bglX	b3586//
bhsA	b0012//
bioA	b2788//
bioBFCD	b3284//b3242//b0448//b0707//
bioH	b2479//
bipA	b1978//
bisC	b0357//
blc	b1032//
blr	b3866//
bluF	b3252//
bluR	b2579//
bolA	b3828//
borD	b2123//
brnQ-proY	b0131//b2517//
bsmA	b3875//
bssR	b2782//
bssS	b0409//
btuB-murI	b3851//b0358//
btuCED	b3181//b4613//b2482//
cadA	b1142//
cadBA	b4246//b2326//
cadC	b3425//
caiCDE	b1529//b1655//b4240//
caiF	b2755//
caiTABCDE	b1102//b2881//b2236//b1527//b4523//b4524//
can	b0258//
carAB	b3220//b1492//
carB	b2210//
cas2	b3048//
cas3	b0734//
casABCDE12	b1332//b0055//b3726//b1281//b2009//b3856//b0633//
casDE12	b2215//b2423//b1216//b0806//
cbl	b2415//
cbpAM	b1430//b3266//
cbrA	b3022//
cbrB	b2737//
cbrBC	b0615//b1478//
cbrC	b2251//
ccmABCDEFGH	b3449//b3517//b4465//b3965//b2481//b0402//b2312//b2603//
cdaR	b3102//
cdd	b2082//
cdgI	sroA//
cdh	b3229//
cdsA	b1832//
cecR-ybhGFSR	b1608//b1644//b1039//b3894//b1747//
cedA	b2459//
cfa	rhsE//
chaA	b0914//
chaBC	b4005//b2286//
chaC	b0584//
chbBCARFG	b0646//b3539//b1087//b1337//b2627//b1059//
chiA	b0726//
chiP-ybfN	b1334//b2661//
chiX	b1929//
cho	b1627//
chpSB	b1871//b4072//
cirA	b0286//
citCDEFXG	b1338//b2758//b3560//b3729//b1353//b3776//
citT	b3669//
clcA	b2887//
clcB	b2580//
clpA	b0254//
clpB	b2954//
clpPX	b1164//b3387//
clpS	b0627//
clpX-lon	b4535//b0367//
clsA-yciU	b1172//b0442//
clsC	b3139//
cmk-rpsA	b4484//b1111//
cmoM-mukFEB	b1139//b2217//b1486//b2363//
