#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:16:17 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/all_tus_bnum_uniq.txt
C0067	b4196//
C0299	b1382//
C0362	b3506//
C0465	b0201//
C0614	b0776//
C0664	b1791//
C0719	b0262//
IS128	b4242//
aaeR	b4483//
aaeXAB	b3401//b2066//b3150//
aas-lplT	b2206//b4400//
aat	b3414//
abgABT-ogt	b0608//b3044//b0801//b4537//
abgR	b0224//
abpAB	b3559//b1781//
abrB	b1151//
accA	b1469//
accBC	b3867//b3602//
accD	b2678//
aceBAK	b4705//b1577//b3876//
aceEF	b4245//b2301//
aceK	insCD-2//
ackA	b2337//
ackA-pta	b1340//b1302//
acnA	b2129//
acnB	b2103//
acpH	b0311//
acpP	b4249//
acpP-fabF	b3222//b3291//
acpT	b4409//
acrAB	b0659//b3097//
acrB	b2213//
acrD	b3756//
acrEF	b3231//b1048//
acrR	b3996//
acrZ	b1892//
acs-yjcH-actP	b1783//b2065//b0923//
actP	b3529//
ada-alkB	b0077//b3375//
add	b1057//
adeD	b1833//
adeP	b1089//
adeQ	b2610//
adhE	b1123//
adhP	b1585//
adiA	b0385//
adiC	b3147//
adiY	b3712//
adk	b1085//
aegA	b1149//
aer	b4555//
aes	b4074//
agaR	b4011//
agaS-kbaY-agaBCDI	b0135//b1290//b2659//b1608//b3981//b4613//
agp	b4555//
agrA	b1702//
agrB	b2831//
ahpCF	b1000//b0657//
ahpF	b3029//
ahr	b3623//
aidB	b3984//
ais	b3860//
alaA	b2186//
alaA-yfbR	b3637//b1794//
alaC	b2293//
alaE	b0377//
alaS	b3567//
alaWX	b0471//b0198//
aldA	b0738//
aldB	b2689//
alkA	b4239//
alkB	b4219//
allA	b0765//
allDCE	b4318//b3921//b1280//
allR	b0965//
allS	b1617//
alpA	b2828//
alr	b1858//
alsBACE	b1484//b3014//b1105//b0865//
