#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:16:17 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/all_tus_bnum_uniq.txt
C0067	sroA//
C0299	b1559//
C0362	b1256//
C0465	b2796//
C0614	b4365//
C0664	b0204//
C0719	b1767//
IS128	b1517//
aaeR	b3561//
aaeXAB	b3486//b1419//b2758//
aas-lplT	b1669//b2382//
aat	b4177//
abgABT-ogt	b4524//b0614//b0982//b2822//
abgR	b1873//
abpAB	b2837//b3212//
abrB	b3696//
accA	b2941//
accBC	b1843//b3409//
accD	b0781//
aceBAK	b3160//b3318//b0251//
aceEF	b0517//b1126//
aceK	b0483//
ackA	b3241//
ackA-pta	b0335//b3204//
acnA	b3399//
acnB	b1231//
acpH	b2919//
acpP	b2152//
acpP-fabF	b3023//b4458//
acpT	b4445//
acrAB	b1148//b3469//
acrB	b2492//
acrD	b1728//
acrEF	b4088//b2184//
acrR	b4079//
acrZ	b1991//
acs-yjcH-actP	b2489//b3626//b0534//
actP	C0362//
ada-alkB	b3186//b1179//
add	b1978//
adeD	b1013//
adeP	b3811//
adeQ	b2513//
adhE	b3305//
adhP	b1567//
adiA	b4373//
adiC	b0565//
adiY	b1728//
adk	b2205//
aegA	b3961//
aer	b4312//
aes	b3147//
agaR	b2401//
agaS-kbaY-agaBCDI	b4152//b1889//b2609//b3617//b4512//b3279//
agp	arpB_2//
agrA	C0664//
agrB	b3284//
ahpCF	b3088//b1992//
ahpF	b1916//
ahr	C0067//
aidB	b2423//
ais	b3379//
alaA	b1321//
alaA-yfbR	b0477//b2794//
alaC	b0555//
alaE	b0156//
alaS	b0434//
alaWX	b4256//b3227//
aldA	b3999//
aldB	b0233//
alkA	b2472//
alkB	b3759//
allA	b0618//
allDCE	b3929//b3249//b2464//
allR	b3029//
allS	b1891//
alpA	b1876//
alr	b2845//
alsBACE	b2205//b2379//b2971//b3774//
alsK	b1759//
alx	b1768//
amiA-hemF	b0565//b2942//
amiC	b2748//
amn	b1504//
ampC	b1757//
ampDE	b4227//b2321//
ampG	b3250//
ampH	b3936//
amyA	b0406//
anmK	b4406//
ansA-pncA	b3214//b1744//
ansB	b2822//
ansP	ydbA_2//
apaGH	b4483//b1925//
aphA	b2145//
appA	b2431//
appCBXA	b3397//b1110//b2290//b0374//
appY	b0047//
apt	b3494//
aqpZ	b2829//
araBAD	b0876//b0311//b1113//
araC	b2064//
araE	b2871//
araE-ygeA	b0411//b0734//
araFGH	b3271//b1943//b0890//
araJ	b1281//
arcA	b3230//
arcB	b2981//
arcZ	b2142//
arfA	b0608//
argA	b3662//
argCBH	b0159//b2158//b1046//
argD	b3240//
argE	b1882//
argF	b1335//
argG	b3283//
argI	b0782//
argO	b4227//
argP	b2238//
argQ	b0559//
argR	b3956//
argS	b1391//
argT-hisJQMP	b0492//b4568//b3461//b2061//b1357//
argU	b3250//
argW	b3927//
argX-hisR-leuT-proM	b4395//b0041//b2849//b1828//
ariR	b4487//
arnBCADTEF	b1728//b0246//b2321//b2598//b1219//b2727//b0196//
aroF-tyrA	b1495//b3027//
aroG	b0694//
aroH	b3433//
aroKB-damX-dam-rpe-gph-trpS	b1091//b2748//b3298//b3647//b4293//b2975//b1469//
aroL-yaiA-aroM	b1805//b1182//b3797//
aroP	b2422//
arpA	b3220//
arpB_1B_2	b1014//b2909//
arrS	b1488//
arsRBC	b0134//b1686//b1154//
artJ	b0268//
artPIQM	b1320//b1661//b1167//b1929//
ascB	b1565//
ascFB	b2994//b0117//
ascG	b1143//
asd	b3384//
aslA	b0581//
aslB	b4476//
asmA	b1100//
asnA	b2750//
asnB	b3231//
