#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:16:17 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/all_tus_bnum_uniq.txt
C0067	b4348//
C0299	b2179//
C0362	b0173//
C0465	b3221//
C0614	b2714//
C0664	b0084//
C0719	tpke11//
IS128	b0295//
aaeR	b3575//
aaeXAB	b1390//b0899//b0641//
aas-lplT	b1110//b0622//
aat	b3216//
abgABT-ogt	b2865//b4038//b1638//b3228//
abgR	b2125//
abpAB	b1196//b1756//
abrB	b3353//
accA	b0181//
accBC	b3649//b4515//
accD	b4021//
aceBAK	b0805//b2595//b0455//
aceEF	b0753//b1176//
aceK	b3577//
ackA	b3147//
ackA-pta	micL//b4099//
acnA	b2822//
acnB	b0528//
acpH	b4056//
acpP	b1816//
acpP-fabF	b2833//b3119//
acpT	b4199//
acrAB	b2330//b4126//
acrB	b0149//
acrD	b3521//
acrEF	b3685//b3669//
acrR	b1454//
acrZ	b3765//
acs-yjcH-actP	b0171//b1633//b3984//
actP	b2508//
ada-alkB	b0310//b0542//
add	b4141//
adeD	b4172//
adeP	b2825//
adeQ	b1297//
adhE	b1307//
adhP	b2189//
adiA	b2579//
adiC	b2883//
adiY	b2760//
adk	b3760//
aegA	b4416//
aer	b3653//
aes	b0635//
agaR	b3679//
agaS-kbaY-agaBCDI	b4069//b1812//b1415//b3153//b2462//b2169//
agp	b0035//
agrA	b2537//
agrB	b2591//
ahpCF	b0585//b1297//
ahpF	b0736//
ahr	b1533//
aidB	b4045//
ais	b1700//
alaA	b2333//
alaA-yfbR	b3119//b3012//
alaC	b0938//
alaE	b2501//
alaS	b0831//
alaWX	b4160//b3347//
aldA	b0610//
aldB	b3160//
alkA	b0879//
alkB	b0091//
allA	b2879//
allDCE	b3075//b3521//b3263//
allR	b3591//
allS	b3142//
alpA	b0389//
alr	b3963//
alsBACE	b2449//b0013//phnE_2//b0512//
alsK	b2825//
alx	b0585//
amiA-hemF	b0128//b0238//
amiC	b4307//
amn	b2023//
ampC	b3466//
ampDE	b2562//b3478//
ampG	b3671//
ampH	b2665//
amyA	b4237//
anmK	b1755//
ansA-pncA	b3671//b1208//
ansB	b0063//
ansP	b2721//
apaGH	b1701//b2324//
aphA	b1657//
appA	b1838//
appCBXA	b4162//b2907//b3835//b1220//
appY	b4099//
apt	b0509//
aqpZ	b1475//
araBAD	b1279//b0721//b2154//
araC	b0762//
araE	b2235//
araE-ygeA	b0138//b2812//
araFGH	b1875//b0951//b0052//
araJ	b3703//
arcA	rhmD//
arcB	b2092//
arcZ	b1506//
arfA	b1283//
argA	b0786//
argCBH	b1263//b2238//b2919//
argD	b2309//
argE	b2675//
argF	b1046//
argG	b2275//
argI	b4298//
argO	yifN//
argP	b4669//
argQ	b1554//
argR	b3306//
argS	b2546//
argT-hisJQMP	b2814//b2183//b2024//b2776//b3177//
argU	b1698//
argW	b0270//
argX-hisR-leuT-proM	b1014//b3999//b2246//b3431//
ariR	b3478//
arnBCADTEF	b2697//b1664//b3614//b2536//b0946//b0647//b0749//
aroF-tyrA	b4130//b3726//
aroG	b3329//
aroH	b2600//
aroKB-damX-dam-rpe-gph-trpS	b3519//b1749//b2929//b1333//b3116//b1904//b3752//
aroL-yaiA-aroM	b1443//b0151//b0640//
aroP	b4485//
