#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:16:17 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/all_tus_bnum_uniq.txt
C0067	b1872//
C0299	b1457//
C0362	b1572//
C0465	b2923//
C0614	b4249//
C0664	b2548//
C0719	b3990//
IS128	b1560//
aaeR	b2222//
aaeXAB	b2897//b0511//b3197//
aas-lplT	b2439//b0377//
aat	b1430//
abgABT-ogt	b3159//b4339//b3802//b4017//
abgR	b2518//
abpAB	b1413//b1253//
abrB	b1387//
accA	b4078//
accBC	b3276//b0959//
accD	b2260//
aceBAK	b0706//b2649//b1044//
aceEF	b3979//b0665//
aceK	b4509//
ackA	b1429//
ackA-pta	b3534//b2315//
acnA	b4184//
acnB	b0447//
acpH	b1573//
acpP	b3042//
acpP-fabF	b2446//b0034//
acpT	b0894//
acrAB	b1914//b1684//
acrB	b2003//
acrD	b3821//
acrEF	b4101//b0749//
acrR	b2482//
acrZ	b3637//
acs-yjcH-actP	b3648//b0793//b4169//
actP	b1920//
ada-alkB	b3121//b1441//
add	b0435//
adeD	b2542//
adeP	b4515//
adeQ	b3712//
adhE	b4713//
adhP	b3954//
adiA	b1095//
adiC	b1758//
adiY	b1391//
adk	b3964//
aegA	b3398//
aer	b1132//
aes	b2259//
agaR	b1592//
agaS-kbaY-agaBCDI	b4354//b1677//b2399//b1763//b3270//b3151//
agp	b2661//
agrA	b4070//
agrB	b3849//
ahpCF	b3271//b3226//
ahpF	b1360//
ahr	b2860//
aidB	b4215//
ais	b2643//
alaA	b4516//
alaA-yfbR	b1961//b0402//
alaC	b3998//
alaE	b3624//
alaS	b2401//
alaWX	b2111//b1784//
aldA	b0086//
aldB	b3223//
alkA	b0964//
alkB	b1475//
allA	b2807//
allDCE	b0924//b0242//b2041//
allR	b3988//
allS	b4066//
alpA	b4184//
alr	b3817//
alsBACE	b4148//b3197//b1259//b1060//
alsK	b2360//
alx	b3308//
amiA-hemF	b1455//b1826//
amiC	b4317//
amn	b0641//
ampC	b2024//
ampDE	b0935//b0002//
ampG	b1388//
ampH	b0591//
amyA	b2965//
anmK	b1575//
ansA-pncA	b4042//b3874//
ansB	IS128//
ansP	b4035//
apaGH	b2886//b2443//
aphA	b0143//
appA	b0413//
appCBXA	b2460//b3745//b0341//b3028//
appY	b0943//
apt	b4084//
aqpZ	b1095//
araBAD	b0140//b3601//b1697//
araC	b3995//
araE	b1805//
araE-ygeA	b0082//b2229//
araFGH	b3682//b0174//b3374//
araJ	b2547//
arcA	b4106//
arcB	sroA//
arcZ	b3094//
arfA	b4035//
argA	b2293//
argCBH	b0532//b2642//b0771//
argD	b0978//
argE	b0863//
argF	b2125//
argG	b4408//
argI	b2564//
argO	b0794//
argP	b2104//
argQ	b0892//
argR	b3935//
argS	b2722//
argT-hisJQMP	b1008//b3505//b3357//b1715//b3847//
argU	b1440//
argW	b4438//
argX-hisR-leuT-proM	b3822//b3348//b0202//b3024//
ariR	b2000//
arnBCADTEF	b0851//b2607//b0879//b1330//yghX_2//b1224//b0755//
aroF-tyrA	b2374//b1132//
aroG	b1250//
aroH	b3754//
aroKB-damX-dam-rpe-gph-trpS	b1487//b2195//b2273//b1251//b2816//b2075//b0769//
aroL-yaiA-aroM	b3392//b0479//b0940//
aroP	b1912//
arpA	b3585//
arpB_1B_2	b2091//molR_3//
arrS	b2853//
arsRBC	b3638//b4480//b1915//
artJ	b1704//
artPIQM	b2122//b0151//b1735//b0968//
ascB	b1975//
ascFB	insCD-4//b3891//
ascG	b1578//
asd	b1779//
aslA	b1855//
aslB	b3315//
asmA	b3617//
asnA	b3039//
asnB	b2967//
asnC	b3747//
asnC-mioC	b4148//b3745//
asnC-mioC-mnmG	b1970//b1656//b2193//
asnS	b0033//
asnT	b3166//
asnU	b0712//
asnV	b4510//
asnW	b3954//
aspA	b0858//
aspA-dcuA	b2599//b3380//
aspC	b1397//
aspS	b2102//
aspT	b1892//
aspU	b0225//
aspV	b0161//
asr	b4350//
astCADBE	b0433//b3378//b3447//b2181//b0974//
atl	b0942//
atoDAEB	b2176//b4416//b0524//b2092//
atoSC	ygaQ//b0507//
atpBEFHAGDC	b1055//b2844//b2076//b0005//b4565//b1338//b1968//b3868//
atpIBEFHAGDC	b2090//b3847//b0095//b3747//ychG_2//b2354//b0474//b4355//b1246//
avtA	b3752//
azoR	b1769//
azuC	b3918//
bacA	b0039//
baeSR	b3652//b3106//
bamA	b0250//
bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE	b1489//b4314//b2841//b1270//b1838//b2812//b1090//b3648//
bamB-der	b1385//b0917//
bamC	b3114//
bamD	b1191//
bamE	b0973//
barA	ychE_2//
basRS	b3313//ychE_2//
bax	b0419//
bcp	b4162//
bcr	yeeL_1//
bcsABZC	b4412//b1402//b1599//b2212//
bcsBZ	b3804//b1618//
bcsEFG	b0026//b1139//b1794//
bcsQ	b2620//
bdcA	b3093//
bdcR	b2789//
bdm-sra	b3820//b3076//
bepA-yfgD	b0086//b0049//
betIBA	b0733//b2248//b2799//
betT	b0532//
bfd-bfr	b2523//b0252//
bglA	b2727//
bglG	b1935//
bglGFB	b3541//b1134//b1310//
bglH-yieLK	b3744//b0223//yghX_2//
bglX	b3067//
bhsA	b0935//
bioA	b2845//
bioBFCD	b2299//b0711//b2855//b3667//
bioH	b0026//
bipA	b1312//
bisC	b2538//
blc	b0749//
blr	b0067//
bluF	b2744//
bluR	b1113//
bolA	b1722//
borD	b2523//
brnQ-proY	b0564//b2235//
bsmA	b0433//
bssR	b1327//
bssS	b2003//
btuB-murI	b1258//b0355//
btuCED	b4058//b1007//b2150//
cadA	b1953//
cadBA	b1081//b0028//
cadC	yjgX_3//
caiCDE	b1821//b2538//b1671//
caiF	b2836//
caiTABCDE	b2604//b1012//b2950//b1998//b3120//insAB-2//
can	b1308//
carAB	b2893//b1353//
carB	b3230//
cas2	b3600//
cas3	b1327//
casABCDE12	b3287//b3482//b4154//b3446//b0201//b1503//b1256//
casDE12	b2472//b3851//b0414//b0863//
cbl	b1837//
cbpAM	b1871//pinH//
cbrA	b3450//
cbrB	b3882//
cbrBC	b2925//b0568//
cbrC	b0713//
ccmABCDEFGH	b3048//b0862//b4459//b2060//b0428//b1410//b0648//b4340//
cdaR	b1957//
cdd	b1119//
cdgI	b3163//
cdh	b3781//
cdsA	b3028//
cecR-ybhGFSR	b2328//b3090//b2977//C0719//b3690//
cedA	b0466//
cfa	b2569//
chaA	b1827//
chaBC	b1629//b3967//
chaC	rhsE//
chbBCARFG	b1324//b2709//b0723//b4603//b0338//b2873//
chiA	b3730//
chiP-ybfN	b1374//b2345//
chiX	b0330//
cho	b1089//
chpSB	b3012//b2255//
cirA	b0923//
citCDEFXG	b0550//b2403//b4529//b3985//b3761//b3367//
citT	b0471//
clcA	b1155//
clcB	b3428//
clpA	b0043//
clpB	b3514//
clpPX	b0641//b0382//
clpS	b3407//
clpX-lon	insAB-3//b0119//
clsA-yciU	b3759//b3171//
clsC	b1588//
cmk-rpsA	b4205//arpB_2//
cmoM-mukFEB	b2493//insEF-2//b0871//b3717//
cmtBA-yggPFDC	b3040//b2287//b4135//b2685//b2283//b2311//
cnu	b2848//
coaA	b3614//
coaE-zapD-yacG	b0928//b0530//b1220//
cobUST	b0464//b0883//b0106//
codBA	b1595//b1803//
cof	b1593//
comR	b2007//
copA	b3355//
corA	b1935//
cpdB	b3657//
cpxPQ	b4460//lafU//
cpxRA	b1462//b4301//
cra	b2323//
crcB	b3714//
creABC	b1335//3'ETS<sup><i>leuZ</i></sup>//b2128//
creABCD	b1623//b1290//yrhA//b1361//
creD	b1114//
crfC-yjcZ	b1377//b0411//
crl	b3271//
crp	b0245//
crr	b2706//
csdAE	b3502//b2293//
csgBAC	b3650//b2728//b1478//
csgC	b0516//
csgDEFG	b1623//b3058//b1854//b0164//
csiD-lhgO-gabDTP	b3171//b3239//b0208//b4268//b3978//
csiE	b2395//
csiR	b4040//
cspA	b1597//
cspB	b0069//
cspD	b4020//
cspE	b0313//
cspF	b2777//
cspG	b4249//
cspH	yncK_2//
cspI	b0222//
csrA	b0509//
csrB	b0371//
csrC	b0957//
csrD	b0569//
cstA	b1243//
cueO	b1777//
cueR	b0066//
curA	b4256//
cusCFBA	b2059//b2026//3'ETS<sup><i>leuZ</i></sup>//b2997//
cusRS	b3039//yedN_2//
cutA	b4155//
cvpA-purF-ubiX	b3414//b0121//b0901//
cvrA	b4637//
cyaA	b0985//
cyaR	b4187//
cyaY	b3561//
cybB	b0881//
cybC	b0862//
cycA	b2775//
cydAB	b1656//b1442//
cydDC	b3010//b0951//
cydX-ybgE	b3920//yghE//
cynR	b4475//
cynTS	ecpB//b3160//
cynTSX	b4707//b0559//b0989//
cyoABCDE	b1929//b1259//b0632//b0323//b1185//
cysB	ybfH//
cysDNC	b2643//b2595//b4158//
cysE	b0767//
cysG	b1093//
cysH	b4155//
cysJIH	b0320//b3249//b4137//
cysK	b4471//
cysPUWAM	b0410//b0478//b1572//b2911//b2034//
cysQ	b1669//
cysS	b0777//
cysZ	b0526//
cytR	b2367//
dacA	b1439//
dacB	b0346//
dacC	b0147//
dacD	b4618//
dadAX	b0594//b3020//
dam-rpe-gph-trpS	b0267//b3242//b1758//b1680//
damX-dam-rpe-gph-trpS	b4441//b2071//b0576//b4613//b0879//
dapA-bamC	b1233//b2131//
dapB	b2911//
dapD	b2856//
dapE-ypfN	b1297//b1443//
dauA	b2318//
dcd	qorB//
dcm-vsr	b2778//b2995//
dcp	b2940//
dcrB	b3632//
dctA	b0698//
dcuA	b0685//
dcuB-fumB	b0507//b2544//
dcuC	b0560//
dcuD	b1151//
dcuR	b3263//
dcuSR	b3660//b0219//
dcyD-tcyLN	b4066//b3617//b1409//
ddlA	b0075//
ddpXABCDF	b3748//b3379//b1897//b2091//b0533//b4020//
deaD	b2042//
decR	b4419//
def-fmt	b4544//b2963//
degP	b2967//
degQ	b3037//
degQS	b1484//b2617//
degS	b1334//
deoABD	b3981//b4380//b4118//
deoBD	b1991//b1688//
deoCABD	b0695//b2721//b1385//b1596//
deoR	b1857//
dfp	b0661//
dgcC	b0174//
dgcE	b1528//
dgcF	b2289//
dgcJ	b3726//
dgcM	micL//
dgcP	b0573//
dgcQ	b4137//
dgcT	b1744//
dgcZ	b1714//
dgkA	b2373//
dgoRKADT	b4146//b1406//b2678//b1693//b3049//
dgt	b2899//
dhaKLM	b4187//b0456//b4453//
dhaM	b2665//
dhaR	b2697//
diaA	b3034//
dicA	b1601//
dicB-ydfDE-insD-intQ	b1296//b2490//b4312//C0664//b1752//
dicC-ydfXW	b1948//insCD-3//b2357//
dicF	b2459//
dinB-yafNOP	b3316//b4030//b2927//b3816//
dinD	b0187//
dinG	b0692//
dinI	b1699//
dinJ-yafQ	b3323//b0658//
dinQ	b1351//
djlA	b0093//
dkgA	b0719//
dkgB	b0183//
dksA-gluQ	b2387//b3542//
dld	b2644//
dmlA	b3165//
dmlR	b0675//
dmsABC	b4471//b0449//b2475//
dnaAN-recF	b2721//b1013//b0307//
dnaB	b0595//
dnaK-tpke11-dnaJ	b1993//insAB-4//b3188//
dnaN-recF	b0281//b4392//
dnaQ	b2688//
dnaTC	b1305//b1822//
dnaTC-yjjA	b0559//b3558//b3296//
dnaX	b4625//
dosCP	b0745//b2004//
dpiBA	b2443//b2716//
dppABCDF	b0253//b3263//b3502//b4255//b4337//
dps	b1681//
dsbA	b3758//
dsbB	b0322//
dsbC	b1286//
dsbC-recJ-prfB	b0817//b1852//b1596//
dsbD-yjdC	b2703//b3203//
dsbG	b3551//
dsdA	b3552//
dsdC	b0637//
dsdXA	b0364//ycgH_2//
dsrA	b3709//
dsrB	b4149//
dtpA	b3526//
dtpB	b1687//
dtpC	b0465//
dtpD	b2565//
dusA	b1061//
dusB-fis	b3002//b4294//
dusC	b1802//
dut-slmA	b3448//b1491//
dxr	b1261//
eaeH-insEF-1E-1F-1	b0225//b1870//b1100//b1515//
eamA	b2922//
eamB	b0792//
ebgAC	b0367//yifN//
ebgR	b3877//
ecnAB	b0321//b3646//
ecnB	b1067//
eco	b3895//
ecpA	b1365//
ecpBCDE	b0875//b1137//b4430//b1739//
ecpR	b3672//
eda	b3846//
edd-eda	b2482//b4637//
efeOB	b0407//b3255//
efeU_1U_2	b4306//b1076//
efp	b3146//
elaA	b1423//
elaB	b4202//
elaD	b1599//
elbB-mtgA	b3634//b2965//
elfA	b1081//
elfDCG-ycbUVF	b0496//b0654//b2290//b1763//b2640//b1635//
elyC	b2453//
emrD	b1886//
emrE	b0758//
emrKY	b0798//b3445//
emtA	b2733//
endA	b2273//
eno	b2173//
entCEBAH	b2843//b4305//b0973//b3830//b3585//
entH	b1861//
entS	insCD-2//
envR	b0035//
envY-ompT	b0759//b4513//
epd-pgk	b3688//b1559//
epd-pgk-fbaA	b0070//b1795//b2522//
epmA	b4294//
epmB	b2698//
eptA	b4177//
eptB	b3329//
eptC	b1755//
erpA	b1222//
esrE	b0656//
essD-rrrD-rzpD	b3470//b4389//b3821//
essQ-ydfR-rrrQ-rzpQ	b2895//b1062//b1551//b1776//
ettA	b2260//
eutBCLKR	b1460//b2159//b0889//b3515//b3655//
eutHA	b1432//b0555//
eutNEJG	b3395//b1719//b3867//b2147//
eutSPQTDM	b3970//b0847//b0425//b2690//b3453//b1419//
evgAS	b4166//b2937//
exbBD	b3035//b3842//
exbD	b2338//
exuR	b1312//
exuT	b0255//
fabA	b0005//
fabB	b1159//
fabDG-acpP	b3154//b2550//b3282//
fabF	b1408//
fabG-acpP	insEF-3//b3995//
fabHDG	b3793//b1365//b3786//
fabI	b3400//
fabR-yijD	yedS_1//b3076//
fabZ	b0974//
fadBA	b0564//b1446//
fadD-sroD	b2785//b2308//
fadE	b3990//
fadH	insCD-1//
fadIJ	b4141//b1103//
fadL	b0155//
fadM	b0253//
fadR	b1155//
fbaB	b1950//
fbp	b3847//
fdhD	b2152//
fdhF	b3698//
fdnGHI	b0354//b2402//b0134//
fdoGHI-fdhE	b0677//b2721//b2303//b1755//
fdrA-ylbEF-ybcF	b2573//b3370//b3888//b2254//
feaB	b2094//
feaR	b3442//
fecABCDE	b2679//b4437//b3506//b4306//b2849//
fecIR	b1988//ficA//
feoABC	b0250//b3985//b1729//
feoC	b3539//
fepA-entD	b2629//b3986//
fepB	b3696//
fepDGC	b2322//b0188//b0873//
fes-ybdZ-entF-fepE	b4007//b3228//b2162//b2573//
fetAB	b1794//b1685//
ffh	b2572//
ffs	b0668//
fhuACDB	b1942//b2173//b1370//b3037//
fhuE	b2162//
fhuF	b2565//
ficA-fic-pabA	b2362//b4312//b1404//
fieF	b2588//
fimAICDFGH	b2183//b3599//b3714//b0771//b0448//b2678//b3107//
fimB	b3321//
fimE	b2569//
fimZ	b0990//
fiu	b1835//
fixABCX	b2428//b4210//b1878//b0798//
fklB	b3783//
fkpA	b3275//
fldA-uof-fur	b0487//b3592//b3140//
fldB	b2697//
flgAMN	b0762//b0907//b1636//
flgBCDEFGHIJ	b3624//b3668//b0379//b4095//b1045//b3003//b2620//b1372//b1289//
flgKL	b2711//b0452//
flgMN	b3163//b3463//
flhBAE	b2430//b2224//ycgH_1//
flhDC	b3910//b1459//
fliAZ-tcyJ	b2096//b2771//b3646//
fliC	b2216//
fliDST	b1736//insAB-3//b2550//
fliE	b3454//
fliFGHIJK	b2013//b0273//b2599//b0331//b0517//b2440//
fliLMNOPQR	b2232//b0261//b0223//b1874//b4066//b1351//b1062//
flk	b0104//
flu	yifN//
flxA	b4261//
fnr	b4087//
fnrS	b2137//
focA-pflB	b0078//b4460//
folA	ftp//
folB	b0252//
folC-dedD	ypaA//b3474//
folD-ybcJ	b0268//b4400//
folE-yeiB	b3045//b1784//
folP-glmM	b3852//b2238//
folX-yfcH	b0912//b2456//
fpr	b1438//
frc	b1629//
frdABCD	b1517//b3678//b1910//b1680//
fre	b0253//
frlABCDR	b4546//b0906//b2420//b0520//istR-1//
frmRAB	b3130//b3668//b3796//
frr	b4485//
frsA	b3168//
fruBKA	b4618//b3236//b2339//
frvABXR	b0797//b2507//b3507//b3244//
frwCB	b1816//b2388//
frwD	b2947//
fryBC-ypdFE-fryA	b0107//b3553//b0010//b2037//b2825//
fsaA	b1140//
fsr	b1597//
ftnA	b1649//
ftnB	b3220//
ftp	b3289//
ftsAZ	b1076//b3447//
ftsB	b2218//
ftsK	b4112//
ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	b4624//b1570//b2376//b2486//b3495//b1884//b3990//b2512//b4064//b0366//b4161//b3425//b3134//b1773//
ftsP	b2232//
