#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:16:17 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/all_tus_bnum_uniq.txt
C0067	b3534//
C0299	b2378//
C0362	b4544//
C0465	b0073//
C0614	b4008//
C0664	b1518//
C0719	b1815//
IS128	b2046//
aaeR	b0736//
aaeXAB	b0287//b0438//b4061//
aas-lplT	b3098//b0717//
aat	b3817//
abgABT-ogt	b4473//b2415//b1084//b2629//
abgR	b1956//
abpAB	b1912//b3355//
abrB	b1100//
accA	b2300//
accBC	b2130//b1498//
accD	b2419//
aceBAK	b0506//b3006//b1974//
aceEF	b0447//b0504//
aceK	b3736//
ackA	b1708//
ackA-pta	b2496//b0023//
acnA	b4687//
acnB	b2190//
acpH	b4120//
acpP	b3820//
acpP-fabF	b0234//b1945//
acpT	b2634//
acrAB	b0473//b4217//
acrB	b2343//
acrD	b3686//
acrEF	b2926//b0594//
acrR	b4517//
acrZ	b1709//
acs-yjcH-actP	b2880//b1711//b2320//
actP	b3966//
ada-alkB	b4452//b1781//
add	yjhE//
adeD	b4425//
adeP	b1834//
adeQ	b0021//
adhE	b1478//
adhP	b0454//
adiA	b1989//
adiC	b1246//
adiY	b3389//
adk	b2882//
aegA	b3401//
aer	b4183//
aes	b1439//
agaR	b3761//
agaS-kbaY-agaBCDI	b0380//b2924//b2762//b0754//b0122//b3864//
agp	b0058//
agrA	b1670//
agrB	b1945//
ahpCF	b1378//b1531//
ahpF	b4150//
ahr	b2879//
aidB	b1411//
ais	b2057//
alaA	b0822//
alaA-yfbR	b1787//b2856//
alaC	b2317//
alaE	b1872//
alaS	b1197//
alaWX	b0890//b4118//
aldA	b0819//
aldB	b3961//
alkA	b4290//
alkB	b2174//
allA	b0244//
allDCE	b1281//b3541//b3640//
allR	b3039//
allS	b3135//
alpA	b0815//
alr	ypaA//
alsBACE	b4445//b0499//b1848//b3607//
alsK	b4433//
alx	b0027//
amiA-hemF	b3947//b1515//
amiC	b2587//
amn	gapC_2//
ampC	b1088//
ampDE	b0862//b1836//
ampG	b0531//
ampH	b2408//
amyA	b0984//
anmK	b1004//
ansA-pncA	b1955//b3042//
ansB	b1001//
ansP	b4444//
apaGH	b0518//b1199//
aphA	b2865//
appA	b4512//
appCBXA	b2587//b3755//b2203//b1249//
appY	ydbA_1//
apt	b3256//
aqpZ	b3230//
araBAD	b0991//b0880//b1599//
araC	b2619//
araE	b3654//
araE-ygeA	b3774//b2834//
araFGH	b3700//b1621//b0957//
araJ	b3125//
arcA	b0108//
arcB	b0457//
arcZ	b0550//
arfA	b0184//
argA	b4360//
argCBH	b0463//pinH//b0795//
argD	b1949//
argE	b1118//
argF	b2731//
argG	b3750//
argI	b2323//
argO	b2377//
argP	b2237//
argQ	b1891//
argR	b3909//
argS	b4325//
argT-hisJQMP	b4419//b1815//b1444//b2295//b1460//
argU	b3546//
argW	b2264//
argX-hisR-leuT-proM	b0968//b2988//b2058//b4108//
ariR	b2827//
