#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:16:17 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/all_tus_bnum_uniq.txt
C0067	b3788//
C0299	b0622//
C0362	b0731//
C0465	b1840//
C0614	b1701//
C0664	b3224//
C0719	b4388//
IS128	b2252//
aaeR	b4185//
aaeXAB	b4463//b1851//b3131//
aas-lplT	b3235//b4521//
aat	b2322//
abgABT-ogt	b1334//b3523//b2798//b1833//
abgR	b3268//
abpAB	b1690//b3709//
abrB	b0001//
accA	b0807//
accBC	b0645//b2274//
accD	b3309//
aceBAK	tp2//b2240//b3681//
aceEF	b1131//b4097//
aceK	b2976//
ackA	b3964//
ackA-pta	b2356//b4104//
acnA	b3828//
acnB	b2167//
acpH	b4237//
acpP	b3636//
acpP-fabF	b0792//b2171//
acpT	b3118//
acrAB	b2474//b0394//
acrB	b0245//
acrD	b1744//
acrEF	b1846//b0746//
acrR	b0310//
acrZ	b0060//
acs-yjcH-actP	b1371//b1914//b4368//
actP	b1414//
ada-alkB	b1410//b4134//
add	b0614//
adeD	b1201//
adeP	b0034//
adeQ	b0698//
adhE	b0602//
adhP	C0719//
adiA	b2175//
adiC	b1423//
adiY	b1199//
adk	b3478//
aegA	b2272//
aer	b1358//
aes	b1344//
agaR	b2829//
agaS-kbaY-agaBCDI	b1392//b2032//b0192//b1545//b1176//b2314//
agp	b0765//
agrA	b0204//
agrB	b2392//
ahpCF	b2436//b0039//
ahpF	b2458//
ahr	b0522//
aidB	b2551//
ais	b3938//
alaA	b3296//
alaA-yfbR	b2694//b4055//
alaC	b2306//
alaE	b0437//
alaS	b0821//
alaWX	b2426//b1939//
aldA	b4178//
aldB	b1054//
alkA	b2982//
alkB	b3772//
allA	b3414//
allDCE	ybeM_1//b0448//b2843//
allR	b4565//
allS	b4081//
alpA	b2360//
alr	b4083//
alsBACE	b2330//b0217//b3795//b2795//
alsK	b1243//
alx	b3599//
amiA-hemF	b3928//b2371//
amiC	b2606//
amn	b0557//
ampC	b1744//
ampDE	b0969//b0860//
ampG	b1126//
ampH	b3801//
amyA	b3934//
anmK	b3323//
ansA-pncA	b3681//b3849//
ansB	b0052//
ansP	b3323//
apaGH	b2000//b4235//
aphA	b0133//
appA	b4453//
appCBXA	b4190//b3807//b0076//b2807//
appY	b3587//
apt	b2591//
aqpZ	b2297//
araBAD	b2449//b2102//b4520//
araC	b2512//
araE	b0945//
araE-ygeA	b2521//b2301//
araFGH	b3497//b4101//b1690//
araJ	b0544//
arcA	b2255//
arcB	b0199//
arcZ	b2544//
arfA	b4429//
argA	b1845//
argCBH	b2889//b1806//b0611//
argD	b0305//
argE	b2599//
argF	b3652//
argG	b4148//
argI	b0239//
argO	b4163//
argP	b1102//
argQ	b0768//
argR	b3760//
argS	b3261//
argT-hisJQMP	b2895//b1558//b0441//b0099//b2289//
argU	b4285//
argW	b1663//
argX-hisR-leuT-proM	b1693//b2519//b4087//b2619//
ariR	b0048//
arnBCADTEF	b0742//b4535//b4555//b2780//b2712//b2336//b3026//
aroF-tyrA	b1175//b4342//
aroG	b4335//
aroH	b3238//
aroKB-damX-dam-rpe-gph-trpS	b0348//b0271//b2062//b2780//b0838//b4603//b3668//
aroL-yaiA-aroM	b3397//b1648//b0977//
aroP	yjgX_3//
arpA	b3192//
arpB_1B_2	b1110//b3523//
arrS	b4459//
arsRBC	b1760//b0964//b3501//
artJ	b4094//
artPIQM	b3135//b3478//b0757//b1625//
ascB	b2361//
ascFB	b4457//b4283//
ascG	b1973//
asd	b2824//
aslA	b2073//
aslB	b1034//
asmA	b0351//
asnA	b0074//
asnB	b1426//
asnC	b3958//
asnC-mioC	b2249//b3676//
asnC-mioC-mnmG	b1319//b1668//b3082//
asnS	b1410//
asnT	b4523//
asnU	b0137//
asnV	b3618//
asnW	b3049//
aspA	b0316//
aspA-dcuA	b1590//b0744//
aspC	b0232//
aspS	b1551//
aspT	b3650//
aspU	b2336//
aspV	b2787//
asr	b2717//
astCADBE	b4618//b3523//b3852//b1451//b2183//
atl	b1149//
atoDAEB	b1830//b1129//b1859//b4553//
atoSC	b2459//b0464//
atpBEFHAGDC	b2314//b3952//b0391//b0599//b1584//b3610//b0321//b1480//
atpIBEFHAGDC	b4148//b0341//b3369//b2916//b0834//b0098//b4327//b1524//b0954//
avtA	b1725//
azoR	b0374//
azuC	b2047//
bacA	b2860//
baeSR	b4347//b4302//
bamA	b4435//
bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE	b2493//b1357//b1482//b1101//b0008//b1937//b0500//b0261//
bamB-der	b4213//b2887//
bamC	b1973//
bamD	b1473//
bamE	b3081//
barA	b3376//
basRS	b0795//b0346//
bax	b2920//
bcp	b2844//
bcr	b4525//
bcsABZC	b1080//b4162//b1982//b0108//
bcsBZ	b0200//b1145//
bcsEFG	b3824//b1498//b1214//
bcsQ	b0107//
bdcA	b1219//
bdcR	b4262//
bdm-sra	b3769//b0620//
bepA-yfgD	b0454//b3062//
betIBA	b3451//b1526//b2217//
betT	b4015//
bfd-bfr	b2361//b0115//
bglA	b0116//
bglG	b0795//
bglGFB	b0502//b0327//b2814//
bglH-yieLK	yjhW//b2056//b4550//
bglX	b1136//
bhsA	b3615//
bioA	b0527//
bioBFCD	b2857//b3699//b4370//b0212//
bioH	b0899//
bipA	b4380//
bisC	b3094//
blc	b3658//
blr	b2039//
bluF	b3619//
bluR	b2650//
bolA	b2862//
borD	b2750//
brnQ-proY	b0192//b1918//
bsmA	b0432//
bssR	b2813//
bssS	b0441//
btuB-murI	b3939//b2823//
btuCED	b1314//b0477//b1392//
cadA	b3558//
cadBA	b2816//b1106//
cadC	b4532//
caiCDE	b2780//b0133//b3611//
caiF	b2809//
caiTABCDE	molR_2//b1266//b2186//b4243//b0747//b0654//
can	b0282//
carAB	b4367//b3200//
carB	b4023//
cas2	b4197//
cas3	b3621//
casABCDE12	b0771//b4279//b2753//b2824//b0082//b4114//b1016//
casDE12	b2561//b4048//b4518//b1136//
cbl	b2035//
cbpAM	b1388//b3657//
cbrA	b2926//
cbrB	b3657//
cbrBC	b3049//b1735//
cbrC	b4433//
ccmABCDEFGH	b2184//b3105//b3498//b2625//b3928//b0723//b1079//b4055//
cdaR	b3271//
cdd	b0757//
cdgI	b3684//
cdh	b2792//
cdsA	b4174//
cecR-ybhGFSR	insAB-2//b1224//b1949//b1734//b0310//
cedA	b0754//
cfa	rhsE//
chaA	b0774//
chaBC	b1597//b0912//
chaC	b0948//
chbBCARFG	b0267//b4248//b2097//b4005//b4206//b2792//
chiA	b3807//
chiP-ybfN	b2856//b3784//
chiX	b1704//
cho	b3262//
chpSB	b1438//b2821//
cirA	b0635//
citCDEFXG	b1615//b3239//b1712//b3862//b2755//b0409//
citT	b3470//
clcA	b4359//
clcB	b1691//
clpA	b0708//
clpB	b2088//
clpPX	b4121//b0500//
clpS	b3098//
clpX-lon	b2343//b1869//
clsA-yciU	yrhA//b1926//
clsC	b1347//
cmk-rpsA	b2816//b3532//
cmoM-mukFEB	b2425//b1782//b0665//b3775//
cmtBA-yggPFDC	b2263//b0697//b0839//b3639//b1707//b0854//
cnu	b0160//
coaA	b0622//
coaE-zapD-yacG	b2306//b0478//b1076//
cobUST	b1789//b3378//b1012//
codBA	b2418//b2608//
cof	b2246//
comR	b1302//
copA	b1645//
corA	b1003//
cpdB	b4019//
cpxPQ	b1207//b0847//
cpxRA	b1090//b0029//
cra	b3023//
crcB	b3761//
creABC	b0174//b4485//b2430//
creABCD	b2365//b3186//b2831//b0581//
creD	b0497//
crfC-yjcZ	b3625//b4243//
crl	b2670//
crp	b0398//
crr	b0784//
csdAE	b1563//b4360//
csgBAC	b0520//b3673//b1349//
csgC	b3651//
csgDEFG	b2071//ecpB//b4314//b0234//
csiD-lhgO-gabDTP	b1204//b2728//b2839//b4415//gapC_1//
csiE	b2720//
csiR	b1376//
cspA	b0111//
cspB	b1537//
cspD	b0387//
cspE	b4292//
cspF	b1946//
cspG	b1305//
cspH	b2785//
cspI	b3192//
csrA	b2329//
csrB	b2995//
csrC	b0243//
csrD	b3292//
cstA	b0543//
cueO	b4341//
cueR	b0149//
curA	b0526//
cusCFBA	b1158//b3862//b1510//b0678//
cusRS	b3271//b3156//
cutA	b2942//
cvpA-purF-ubiX	b4325//b4062//b2436//
cvrA	b1873//
cyaA	molR_3//
cyaR	b1604//
cyaY	b0358//
cybB	insB-7_1//
cybC	b1785//
cycA	insCD-5//
cydAB	b2681//b1488//
cydDC	b3421//b1078//
cydX-ybgE	b2807//b3412//
cynR	b1242//
cynTS	b0962//b1481//
cynTSX	b3576//b4093//b1060//
cyoABCDE	b0373//b4311//b3870//b0310//b4359//
cysB	b0839//
cysDNC	b1833//b1229//b2069//
cysE	b4613//
cysG	b2382//
cysH	b1836//
cysJIH	b3277//b3642//b1012//
cysK	b4355//
cysPUWAM	b0693//b1281//b4446//b3090//b4044//
cysQ	b4217//
cysS	b0419//
cysZ	b2362//
cytR	b3010//
dacA	b0883//
dacB	b4387//
dacC	b0791//
dacD	b0455//
dadAX	b0852//b4278//
dam-rpe-gph-trpS	b2810//b3161//b2812//b2023//
damX-dam-rpe-gph-trpS	b1448//b3538//b3186//yncK_1//b2552//
dapA-bamC	b1549//b1454//
dapB	b2478//
dapD	b1981//
dapE-ypfN	b2193//b4220//
dauA	b4608//
dcd	b2909//
dcm-vsr	b4528//b0218//
dcp	b3759//
dcrB	b0548//
dctA	b0104//
dcuA	b2981//
dcuB-fumB	b1010//b2753//
dcuC	b0027//
dcuD	b4452//
dcuR	b2350//
dcuSR	b0513//b3580//
dcyD-tcyLN	b1606//b1524//b0298//
ddlA	b4001//
ddpXABCDF	b1782//b0178//b3587//b1128//b2824//b3201//
deaD	b0817//
decR	b0207//
def-fmt	b1309//b3296//
degP	b0074//
degQ	b1699//
degQS	b2800//b1826//
degS	ygeN//
deoABD	b2244//b1460//b2314//
deoBD	b3437//b3469//
deoCABD	b2810//b1313//b2300//b3324//
deoR	b3361//
dfp	b0181//
dgcC	b0109//
dgcE	b1280//
dgcF	b0368//
dgcJ	b2037//
dgcM	b2279//
dgcP	b1681//
dgcQ	b3153//
dgcT	b0721//
dgcZ	b4532//
dgkA	b1011//
dgoRKADT	b1001//b3532//b4637//b2127//b2333//
dgt	b0557//
dhaKLM	b3251//b3519//b1498//
dhaM	b2728//
dhaR	xisR//
diaA	b2933//
dicA	b0913//
dicB-ydfDE-insD-intQ	b0624//b4705//b1582//b2488//b4082//
dicC-ydfXW	b1909//b1327//b3562//
dicF	b0099//
dinB-yafNOP	b0746//b3434//b0433//b0450//
dinD	b2167//
dinG	b3426//
dinI	b4176//
dinJ-yafQ	b0378//b1338//
dinQ	b2233//
djlA	b0975//
dkgA	yjhE//
dkgB	b0083//
dksA-gluQ	b2393//b4184//
dld	b0075//
dmlA	b2333//
dmlR	b2843//
dmsABC	b4105//b1464//b2705//
dnaAN-recF	b0491//b3242//b2164//
dnaB	b2588//
dnaK-tpke11-dnaJ	b3770//b2482//b0989//
dnaN-recF	b1323//b1257//
dnaQ	b0211//
dnaTC	b3398//b4432//
dnaTC-yjjA	b2892//b0038//b2449//
dnaX	b2446//
dosCP	b4411//b0255//
dpiBA	b0731//b2807//
dppABCDF	b2592//b0220//b2944//b1294//b1559//
dps	b2079//
dsbA	b3181//
dsbB	b2609//
dsbC	b0035//
dsbC-recJ-prfB	b2511//b4510//b1736//
dsbD-yjdC	b1532//ycgH_1//
dsbG	b3596//
dsdA	b0773//
dsdC	b1066//
dsdXA	b3462//b3825//
dsrA	b2681//
dsrB	b3630//
dtpA	b3956//
dtpB	b0754//
dtpC	b1687//
dtpD	b3656//
dusA	b4389//
dusB-fis	b4389//b3870//
dusC	b4435//
dut-slmA	b1436//b2661//
dxr	b2894//
eaeH-insEF-1E-1F-1	b4311//b1203//b1784//b1855//
eamA	b0578//
eamB	phnE_2//
ebgAC	b0071//b4222//
ebgR	b3387//
ecnAB	b2527//b2793//
ecnB	b3487//
eco	b1835//
ecpA	b4379//
ecpBCDE	b2218//b4292//b2646//insB-7_2//
ecpR	b1201//
eda	b2528//
edd-eda	b2806//b1605//
efeOB	b3964//b3371//
efeU_1U_2	b3833//b3651//
efp	b3937//
elaA	b4147//
elaB	b3577//
elaD	b3394//
elbB-mtgA	b1214//b4383//
elfA	b3090//
elfDCG-ycbUVF	b0126//b0572//b1418//b1319//b4348//b2321//
elyC	b2611//
emrD	b2307//
emrE	b2958//
emrKY	b1494//b4333//
emtA	b1813//
endA	b1939//
eno	b4442//
entCEBAH	b2047//b2185//b4544//lafU//b1086//
entH	b3599//
entS	b1562//
envR	b1192//
envY-ompT	b3512//b1572//
epd-pgk	b0707//b2724//
epd-pgk-fbaA	b2940//b0233//b0493//
epmA	b3661//
epmB	istR-1//
eptA	b0371//
eptB	b1136//
eptC	b0985//
erpA	b3275//
esrE	b1956//
essD-rrrD-rzpD	b1795//b4014//b2307//
essQ-ydfR-rrrQ-rzpQ	b4311//b2733//b1657//b3608//
ettA	b1807//
eutBCLKR	b1491//b4359//b3621//b1856//b4379//
eutHA	b3945//b4673//
eutNEJG	b0025//b3269//b2490//b1148//
eutSPQTDM	b3279//b2510//b1338//b1251//b0477//b0491//
evgAS	b0779//b1749//
exbBD	b2753//b3410//
exbD	b4338//
exuR	b2171//
exuT	b4016//
fabA	b0680//
fabB	b0176//
fabDG-acpP	b3747//b3226//b2801//
fabF	b1152//
fabG-acpP	b0245//b1522//
fabHDG	b0261//b3791//b2785//
fabI	b3968//
fabR-yijD	b1081//b3066//
fabZ	b4663//
fadBA	b2716//b3909//
fadD-sroD	b3798//b0761//
fadE	b4265//
fadH	b0091//
fadIJ	b3413//b1100//
fadL	b3702//
fadM	b2865//
