#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:16:17 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/all_tus_bnum_uniq.txt
C0067	insAB-4//
C0299	b0721//
C0362	b3505//
C0465	b2310//
C0614	b1263//
C0664	b3584//
C0719	b1951//
IS128	b0467//
aaeR	b0830//
aaeXAB	b1647//b3702//b2703//
aas-lplT	b2805//b3684//
aat	b2948//
abgABT-ogt	b3131//b0860//b3080//b0420//
abgR	b0656//
abpAB	b3912//b3704//
abrB	b4334//
accA	b1045//
accBC	b0817//b0397//
accD	b1526//
aceBAK	b3188//b3500//b2911//
aceEF	b1038//b1701//
aceK	b2591//
ackA	b0299//
ackA-pta	b4326//b4129//
acnA	b3313//
acnB	b1186//
acpH	b0524//
acpP	b2847//
acpP-fabF	b1746//b3357//
acpT	b0707//
acrAB	b3239//b1919//
acrB	ecpC//
acrD	tfaS//
acrEF	b2830//b1951//
acrR	b2920//
acrZ	yhiK//
acs-yjcH-actP	b3243//b0491//b1088//
actP	b2264//
ada-alkB	b0158//b4188//
add	b0244//
adeD	b1135//
adeP	b4215//
adeQ	b1772//
adhE	b4409//
adhP	b1020//
adiA	b2368//
adiC	b0886//
adiY	b1645//
adk	b4348//
aegA	b0539//
aer	ychG_2//
aes	b4098//
agaR	b3538//
agaS-kbaY-agaBCDI	b2778//b2523//b1141//b1246//b2107//b3440//
agp	b1065//
agrA	lfhA//
agrB	b3423//
ahpCF	b3428//b0741//
ahpF	b4120//
ahr	b3482//
aidB	b1167//
ais	b3381//
alaA	b2264//
alaA-yfbR	b1824//b2679//
alaC	b3353//
alaE	b1660//
alaS	b2081//
alaWX	b1402//b0104//
aldA	b2743//
aldB	b2703//
alkA	b3396//
alkB	b0889//
allA	b1149//
allDCE	b2880//b3949//b1363//
allR	b3685//
allS	b2715//
alpA	b1316//
alr	b3202//
alsBACE	b2400//b3581//b2334//b2039//
alsK	b4171//
alx	b2964//
amiA-hemF	b4026//b0547//
amiC	b2513//
amn	b1085//
ampC	b0115//
ampDE	b2369//b4112//
ampG	b0212//
ampH	b1029//
amyA	b0851//
anmK	b2790//
ansA-pncA	b2733//b1731//
ansB	b1714//
ansP	b0057//
apaGH	efeU_2//b2887//
aphA	b2184//
appA	b0160//
appCBXA	yedN_1//b2094//b0225//b3310//
appY	b3305//
apt	b1703//
aqpZ	b0750//
araBAD	b4349//b2426//b2615//
araC	b2966//
araE	b4568//
araE-ygeA	b4061//b3978//
araFGH	b3128//b1497//b0257//
araJ	b1529//
arcA	b1629//
arcB	b3424//
arcZ	b0071//
arfA	b2059//
argA	b0326//
argCBH	b0107//b2285//b3312//
argD	b4294//
argE	b2953//
argF	b2517//
argG	b1033//
argI	b0750//
argO	b1320//
argP	b3136//
argQ	b2237//
argR	b1708//
argS	b2500//
argT-hisJQMP	b3051//b1048//b4145//b2855//b1969//
argU	b1388//
argW	b4325//
argX-hisR-leuT-proM	b1819//b2266//b0883//b0469//
ariR	b4015//
arnBCADTEF	b0588//b3857//ybeM_2//b0249//b3208//b2260//b0845//
aroF-tyrA	b0346//b0769//
