#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:16:17 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/all_tus_bnum_uniq.txt
C0067	b1583//
C0299	b3920//
C0362	b0859//
C0465	b1689//
C0614	b2322//
C0664	b3844//
C0719	b1397//
IS128	b2575//
aaeR	b1913//
aaeXAB	b0340//b0743//b3657//
aas-lplT	b2761//b1943//
aat	b4459//
abgABT-ogt	yfaS_2//b1705//b2681//b1795//
abgR	b2210//
abpAB	b3775//b2662//
abrB	b1413//
accA	b2145//
accBC	b1083//b0300//
accD	b0216//
aceBAK	b3452//b1752//b2470//
aceEF	b3535//b3387//
aceK	b2505//
ackA	b2203//
ackA-pta	b3605//b0898//
acnA	b2042//
acnB	b0714//
acpH	b3525//
acpP	b1172//
acpP-fabF	b2156//b3514//
acpT	b2234//
acrAB	b1316//b0814//
acrB	b0767//
acrD	b1877//
acrEF	b4447//b3632//
acrR	b4309//
acrZ	b3892//
acs-yjcH-actP	b2646//b0624//b2840//
actP	b4375//
ada-alkB	b2176//b0192//
add	b1696//
adeD	b1014//
adeP	b2327//
adeQ	b2211//
adhE	b0608//
adhP	b2918//
adiA	b0287//
adiC	b0742//
adiY	b0170//
adk	b3515//
aegA	b2361//
aer	b3374//
aes	b3720//
agaR	b2796//
agaS-kbaY-agaBCDI	b1339//b2059//b2699//b0883//b0133//yedN_2//
agp	b3385//
agrA	b1185//
agrB	b4037//
ahpCF	b3858//b1253//
ahpF	b4387//
ahr	b4034//
aidB	b1204//
ais	b0670//
alaA	b2277//
alaA-yfbR	b4067//b2217//
alaC	b1472//
alaE	b2720//
alaS	b4427//
alaWX	b1384//b3890//
aldA	b1198//
aldB	b4234//
alkA	b0590//
alkB	yjhW//
allA	b3030//
allDCE	b2244//b3126//b2038//
allR	b0861//
allS	b2224//
alpA	b3635//
alr	b3481//
alsBACE	b0859//b3866//b1025//b1304//
alsK	b0631//
alx	b3402//
amiA-hemF	arpB_2//b2971//
amiC	b2592//
amn	b0982//
ampC	b2704//
ampDE	b0895//b2260//
ampG	b4303//
ampH	b2607//
amyA	b1812//
anmK	b3023//
ansA-pncA	b0285//qseG//
ansB	b3654//
ansP	msrP//
apaGH	b1842//b2559//
aphA	b3038//
appA	b3871//
appCBXA	b0686//b3795//b3934//b1238//
appY	b2204//
apt	insEF-3//
aqpZ	b1863//
araBAD	b0797//b1573//b4166//
araC	b2275//
araE	b3156//
araE-ygeA	b2859//b3902//
araFGH	b3250//b4371//b1377//
araJ	yedS_2//
arcA	b1872//
arcB	b1122//
arcZ	b3380//
arfA	b2971//
argA	b3894//
argCBH	b4671//b3081//b2569//
argD	b1734//
argE	b1662//
argF	b3252//
argG	b0734//
argI	b0551//
argO	b1254//
argP	b4163//
argQ	insCD-3//
argR	b0286//
argS	b3812//
argT-hisJQMP	b3469//b2868//b2015//b2669//b1219//
argU	b2759//
argW	b3457//
