#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:16:17 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/all_tus_bnum_uniq.txt
C0067	b3610//
C0299	b0908//
C0362	b0064//
C0465	b2552//
C0614	b3363//
C0664	b1737//
C0719	b2465//
IS128	b4412//
aaeR	b4031//
aaeXAB	b3662//b1195//yncK_2//
aas-lplT	b0322//b3179//
aat	b1155//
abgABT-ogt	b4230//b2662//b3861//b1702//
abgR	b1577//
abpAB	b1786//b3891//
abrB	b0211//
accA	b2902//
accBC	b0379//b4432//
accD	b0720//
aceBAK	b3198//b0622//b0580//
aceEF	b1769//b4458//
aceK	b1197//
ackA	b2574//
ackA-pta	b1477//ecpE//
acnA	b4662//
acnB	insCD-6//
acpH	b1412//
acpP	b1402//
acpP-fabF	b3956//b2547//
acpT	b2486//
acrAB	b3332//b4302//
acrB	b0526//
acrD	b2052//
acrEF	b2290//b0163//
acrR	b0845//
acrZ	b1100//
acs-yjcH-actP	b1459//b4555//b1801//
actP	b2649//
ada-alkB	b1811//b2017//
add	b4310//
adeD	b0614//
adeP	b0407//
adeQ	b2052//
adhE	b4528//
adhP	b0534//
adiA	b1793//
adiC	b3552//
adiY	b1247//
adk	b1574//
aegA	b0916//
aer	b3969//
aes	b3632//
agaR	b4670//
agaS-kbaY-agaBCDI	b2343//b1805//b4461//b3482//b2009//b2186//
agp	b0222//
agrA	b2741//
agrB	b0205//
ahpCF	b0310//b4176//
ahpF	b0745//
ahr	b3637//
aidB	b3422//
ais	b1701//
alaA	b1042//
alaA-yfbR	b4184//b2022//
alaC	b3596//
alaE	b1716//
alaS	b2702//
alaWX	b0886//b3375//
aldA	b0266//
aldB	b3698//
alkA	b0305//
alkB	yrhA//
allA	b1033//
allDCE	b0854//b4372//b1116//
allR	b0656//
allS	b0871//
alpA	b1015//
alr	b1799//
alsBACE	b3468//b2430//b4387//b0680//
alsK	b1253//
alx	b3935//
amiA-hemF	b1839//b3350//
amiC	b3727//
amn	b1256//
ampC	b0496//
ampDE	b3388//b1625//
ampG	b1517//
ampH	b1372//
amyA	b2454//
anmK	b3700//
ansA-pncA	b2432//b0777//
ansB	b4449//
ansP	b0326//
apaGH	b3586//b0006//
aphA	b3318//
appA	b1294//
appCBXA	b1840//b3498//tfaS//yjhE//
appY	b2458//
apt	b3796//
aqpZ	b3521//
araBAD	b2972//b1523//b0553//
araC	b4001//
araE	b1968//
araE-ygeA	b1555//b2565//
araFGH	b2578//b2844//b4122//
araJ	b1390//
arcA	b2027//
arcB	b1100//
arcZ	b2908//
arfA	b2904//
argA	b4348//
argCBH	b0772//b2541//b0375//
argD	insCD-5//
argE	b2403//
argF	b1042//
argG	b2889//
argI	b0029//
argO	b4435//
argP	b1271//
argQ	b2209//
argR	b0124//
argS	b1667//
argT-hisJQMP	b3087//molR_3//b0157//b2590//b1640//
argU	b2069//
argW	b2676//
argX-hisR-leuT-proM	b2232//b0243//b1871//b2112//
ariR	b4347//
arnBCADTEF	b1673//b2255//b3726//b1431//b3255//b3202//b1539//
aroF-tyrA	b4547//b2352//
aroG	xisR//
aroH	b2983//
aroKB-damX-dam-rpe-gph-trpS	b3463//b3600//b3958//b0363//b3312//b3408//b4147//
aroL-yaiA-aroM	b3696//b2388//b1982//
aroP	b3496//
arpA	b2472//
arpB_1B_2	b0801//b2798//
arrS	b1382//
arsRBC	b0992//b3098//b0039//
artJ	b3506//
artPIQM	b0234//b0896//b0679//b1081//
ascB	b0471//
ascFB	b2004//b0745//
ascG	b2755//
asd	b0295//
aslA	b2086//
aslB	b4514//
asmA	b4039//
asnA	b0205//
asnB	b1394//
asnC	b4147//
asnC-mioC	b2545//b3585//
asnC-mioC-mnmG	b0586//b0617//b0824//
asnS	b1387//
asnT	insEF-4//
asnU	b3037//
asnV	b3915//
asnW	b0372//
aspA	b1892//
aspA-dcuA	b1803//b2962//
aspC	b0479//
aspS	b0952//
aspT	b3035//
aspU	b2355//
aspV	b3201//
asr	b1207//
astCADBE	b1124//b3911//b0846//b1426//b4365//
atl	b1485//
atoDAEB	b4008//b4314//b4181//b1595//
atoSC	b3766//b1774//
atpBEFHAGDC	b0602//b1768//b0238//b4188//b1362//b0449//b4327//b0699//
atpIBEFHAGDC	b1950//b3050//b1175//b3603//b1627//b1591//b2643//b2402//b3027//
avtA	b1916//
azoR	b3266//
azuC	b1790//
bacA	b3559//
baeSR	b2956//b3398//
bamA	b1101//
bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE	b0462//rhsE//b3072//b0053//b1896//b0323//b3277//b3270//
bamB-der	b2026//b1925//
bamC	b1951//
bamD	b1674//
bamE	b4237//
barA	b0515//
basRS	b3219//b2983//
bax	b2640//
bcp	b1587//
bcr	b4033//
bcsABZC	b3180//b4609//b0846//b1071//
bcsBZ	b1098//b0789//
bcsEFG	b2357//b1116//b4226//
bcsQ	b2631//
bdcA	b3077//
bdcR	b3500//
bdm-sra	b3184//b2847//
bepA-yfgD	b4310//b0103//
betIBA	b3559//b1135//b0822//
betT	b4352//
bfd-bfr	b0339//b0459//
bglA	b2080//
bglG	b0286//
bglGFB	b0126//b3401//b4467//
bglH-yieLK	b4429//b0117//b2736//
bglX	b0728//
bhsA	b1813//
bioA	b3737//
bioBFCD	b1439//b1178//gadF//b2982//
bioH	b1444//
bipA	b1715//
bisC	b2145//
blc	b1365//
blr	b2668//
bluF	b0765//
bluR	b4550//
bolA	b3997//
borD	b2209//
brnQ-proY	b1587//b2996//
bsmA	b4608//
bssR	b0463//
bssS	b4267//
btuB-murI	b4092//b1304//
btuCED	b1293//b3035//b0937//
cadA	b1384//
cadBA	b1128//b3335//
cadC	b3127//
caiCDE	b1118//b2908//b2828//
caiF	b0061//
caiTABCDE	b3759//b1251//b3909//b2664//b0618//b2725//
can	b2111//
carAB	b4307//b2000//
carB	b0804//
cas2	b2491//
cas3	b0645//
casABCDE12	b0419//b0582//b1927//b3117//b0026//b4319//b1464//
casDE12	b4150//b3756//b4567//b0674//
cbl	b1831//
cbpAM	b3721//b0927//
cbrA	b2011//
cbrB	b3018//
cbrBC	b2275//b3661//
cbrC	b4529//
ccmABCDEFGH	b4111//b4434//b0396//b0380//b4172//b0147//b2199//b2057//
cdaR	b2009//
cdd	b0430//
cdgI	b4451//
cdh	b3596//
cdsA	b1464//
cecR-ybhGFSR	b3225//b2788//b3327//b1237//b4013//
cedA	b3219//
cfa	b3422//
chaA	b0984//
chaBC	b3719//b0054//
chaC	b1926//
