#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:16:17 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/all_tus_bnum_uniq.txt
C0067	b0224//
C0299	b3666//
C0362	b2436//
C0465	b2493//
C0614	b4192//
C0664	b1241//
C0719	b0828//
IS128	b0197//
aaeR	b2620//
aaeXAB	b4372//b2945//b2241//
aas-lplT	b4243//b0072//
aat	yfaS_1//
abgABT-ogt	b2730//b3178//b1321//b2925//
abgR	b4411//
abpAB	b1434//b3421//
abrB	b0608//
accA	b2569//
accBC	b0189//b0810//
accD	b3330//
aceBAK	b2682//b2597//b0403//
aceEF	b0099//b0680//
aceK	b3143//
ackA	b2733//
ackA-pta	b3896//b0937//
acnA	b4524//
acnB	b0883//
acpH	b0651//
acpP	b0035//
acpP-fabF	b4532//b4249//
acpT	b4336//
acrAB	b3973//b1875//
acrB	b2135//
acrD	b1868//
acrEF	b3732//b0398//
acrR	b3638//
acrZ	b2623//
acs-yjcH-actP	b4471//b0856//b3600//
actP	b3416//
ada-alkB	b2122//b1598//
add	b2127//
adeD	b3347//
adeP	b4364//
adeQ	b3262//
adhE	b0254//
adhP	b0649//
adiA	b0776//
adiC	ygaQ//
adiY	b3665//
adk	b0904//
aegA	tpke11//
aer	b2742//
aes	b0716//
agaR	b1521//
agaS-kbaY-agaBCDI	b4316//b3011//b0256//gapC_2//b2568//b1242//
agp	b1243//
agrA	b1824//
agrB	b1191//
ahpCF	b2558//b1257//
ahpF	b0909//
ahr	b2835//
aidB	b3218//
ais	wbbL_2//
alaA	b2776//
alaA-yfbR	b3858//b4316//
alaC	b1874//
alaE	b1715//
alaS	b4226//
alaWX	b0404//b2809//
aldA	b1394//
aldB	b4119//
alkA	b3982//
alkB	b0436//
allA	b1191//
allDCE	b3478//b2443//b3272//
allR	b3450//
allS	b3127//
alpA	b2959//
alr	b3187//
alsBACE	b1304//b3370//b3161//ybfH//
alsK	b3455//
alx	b1432//
amiA-hemF	b0141//b0728//
amiC	b1485//
amn	b3447//
ampC	b3020//
ampDE	b0806//b1762//
ampG	b3643//
ampH	b0869//
amyA	b0509//
anmK	b1448//
ansA-pncA	b2317//b0967//
ansB	b0086//
ansP	b2542//
apaGH	b0247//sroD//
aphA	b0215//
appA	b4372//
appCBXA	b1859//b1930//b4173//b2058//
appY	b0019//
apt	b3314//
aqpZ	b2109//
araBAD	b3422//b4204//b1261//
araC	b4139//
araE	b4129//
araE-ygeA	b0172//b0293//
araFGH	b1866//b1900//b2820//
araJ	b0074//
arcA	b0433//
arcB	b3649//
arcZ	b2351//
arfA	b4261//
argA	b3964//
argCBH	b2586//b3160//b2825//
argD	b2224//
argE	b0919//
argF	b3385//
argG	b2870//
argI	b0200//
argO	b0931//
argP	b2427//
argQ	b1621//
argR	b3346//
argS	b0242//
argT-hisJQMP	b3972//b4235//b2779//b0930//b0623//
argU	b2180//
argW	b2018//
argX-hisR-leuT-proM	b1953//b4108//b0272//b0656//
ariR	b2865//
arnBCADTEF	b2794//b4289//b2668//b4512//insEF-2//b4585//b1953//
aroF-tyrA	b3243//b3348//
aroG	b1897//
aroH	b3716//
aroKB-damX-dam-rpe-gph-trpS	b3620//b1714//b3811//b0865//b3433//b2554//b2603//
aroL-yaiA-aroM	b2837//b1359//b2835//
aroP	b2915//
arpA	b1674//
arpB_1B_2	b3872//b3942//
arrS	b3412//
arsRBC	b1520//b4369//b3562//
artJ	b4136//
artPIQM	b3594//b1220//b3510//b2572//
ascB	b3102//
ascFB	b4189//b0021//
ascG	b2257//
asd	b0836//
