#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:59 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/simple_regulons_bnum.txt
AcrR	b2211//
Ada	b2379//b2403//b3395//
AgaR	b4201//b0060//b3959//b0862//b2868//b1111//b3531//
AlaS	b1184//
AllR	b3185//b4093//b3794//b3503//b0841//b4523//b3469//b4506//b1858//
AllS	b0504//b1537//b3781//
AlsR	b0589//b2374//b3786//b3919//b1704//b1262//
ArcA	b1857//b3912//
ArgP	b2685//b2058//b0523//
ArgR	b3614//b0925//b0565//b4292//b0536//b0857//b0687//b1954//b1609//b3431//b0405//b3791//b3456//b2291//
ArsR	b0565//b0075//b1859//
AscG	b1004//
AsnC	b1608//
BasR	b0795//
BirA	b4484//b0953//b2374//b1654//b4392//
BluR	b0655//b0863//b3139//b0786//
BolA	b4355//b1274//
CRP	b0856//b0751//b2476//b0441//b1925//b0861//b3063//b2407//b3786//b3912//b0382//b3139//b0392//b4087//b0231//b0794//b3957//b0874//b2671//b0504//b3790//b2788//b3661//b1198//b3503//b2597//b2666//b0153//b4100//b1220//b4397//b3912//b3455//b4270//b3688//b2541//b1441//b2604//b2396//b1883//b0673//b3699//b0485//b2348//b1882//b4599//b1303//sroA//b2168//b1220//b0345//b1072//b2825//b3494//b1167//b3813//b1000//b1260//b4102//b2407//b2348//b0443//b2212//b2403//b4613//b0080//b0296//b4522//
CdaR	b0398//b4613//b2216//b1881//b0384//
CecR	b2063//b3813//b0508//b2401//b0814//
CpxR	b3572//b4599//b3156//b2171//b1165//b1203//b1184//b0509//b0151//b4172//b2541//b3774//b1924//b3027//b1783//b0795//b3938//b1000//b1944//b0863//b2558//b3860//b4203//b2311//b3458//b1207//b2608//b1187//b1881//b0399//b1707//b2542//
Cra	b4100//b0073//b0231//b0793//b2469//b3958//b2316//b2866//b2531//b2127//b2059//b1283//b0074//b2614//b2825//
CreB	b2435//
CsgD	b0485//b1016//b2213//b3813//b4087//b3067//b3141//b1205//b3131//
CueR	b3957//b0109//
CynR	b4567//b1888//b0340//b0841//
CysB	b4002//b0447//b1890//b1704//b2068//b4089//b4370//b3013//b3096//b1327//
Dan	b2866//b0296//b0383//b3140//
DhaR	b1326//b3131//b0439//b3457//
DicA	b3797//b1890//b1410//b1004//b2839//b3863//b0475//b0075//
DnaA	b2232//b0672//
EvgA	b0839//b1321//b1741//b3469//b4480//b2171//b3431//
FNR	b4368//b0397//b4279//b1003//b3830//b4417//b0864//b3066//b0505//b0814//b1814//b3454//b3057//b2666//b0513//b1303//b4435//b1091//b4098//b1004//b3787//b2313//b2085//b0924//b0923//b4100//b4411//
FadR	b1075//b1608//b1566//b0672//b1954//b3863//b0857//b1676//
FeaR	b1081//
Fis	b1287//b3960//b3784//b1814//b2751//b3242//b1798//b0730//b4445//b4484//b3774//b4174//b0405//b0392//b3441//b0598//b1547//b0697//b1846//b0774//b0439//b0277//b3912//b2168//b0921//b0473//b3789//b1072//b4415//b2059//b0923//b2169//b0536//b0301//b0151//b0755//b0439//b3128//b3243//b1655//b3063//b0341//b4093//b2372//b4241//b2937//b0405//b4417//b4254//b4370//b4417//b2825//b4106//b0795//b4484//b1272//
FlhDC	b3916//b2406//b0509//b0591//b4024//b2372//b1860//b0378//b3912//b4096//sroA//b2310//b2000//b3922//b1429//b2105//b2987//b0277//b0109//b0345//b2060//b4104//b3022//b2407//b0855//b1741//b0232//b1440//b4506//b0776//b2212//b0814//b4104//b0145//b1187//b1762//b1287//b2574//
FliZ	b0511//
Fur	b4054//b1569//b3065//b1623//b0303//b1262//b2388//b2604//b0189//b4368//b4406//b2616//b4397//b0921//b2666//b2965//b2379//b1399//b1082//b1252//b4085//b4213//b4116//b2062//
GadX	b1264//b4702//b4249//sroC//b4699//b2606//b3916//
GcvA	b0303//b1925//
H-NS	b4092//b4044//b3454//b4203//b3956//b1926//b4105//b2476//b0207//b0925//b0792//b2167//b3395//b2311//
HU	b1184//b3614//
HcaR	b4087//b1848//b1537//b3789//b1925//b1082//
IHF	b3457//b1032//b1287//b2435//b2608//b0067//b3049//
IlvY	b3241//b1810//
IscR	b3859//b2388//b3978//b2059//b1073//b1200//b0509//b0231//
KdpE	b3022//b3190//b0793//b1252//
LeuO	b1536//b0655//b1618//b1488//b0072//b0685//
LexA	b2788//b0814//b0730//b1878//b3967//b0696//b0925//b1032//b4663//b4025//b2825//b0050//b0799//b0589//b3967//b3781//b1131//b3794//b0397//b1130//b3665//b4416//b2061//b3967//b2631//b0051//b1434//efeU_2//b0485//b1326//b1198//b1882//b1386//b4202//b1950//b3011//b2987//
LrhA	b2839//
Lrp	b3977//b2752//b1434//efeU_2//b2169//b3184//b0964//b1945//b1487//b3617//b1081//b0536//b1184//b3271//
LysR	b0110//
MalT	b0995//
MarA	b2553//b4502//
MatA	b0856//b2787//
McbR	b0108//
MetJ	b3979//b0668//b3699//b2987//b2752//
MlrA	sroA//b4347//b1288//b4104//b1780//
MngR	b0185//b0294//b2866//
MntR	b4406//b2310//
MprA	b4087//b1536//b2604//
MqsA	b0750//b1877//
MurR	b1888//
Nac	b1409//b0589//b3494//b2614//b2537//
NadR	b2388//b0515//b4172//
NagC	b1848//b0655//b2605//b1548//b0241//
NanR	b3941//b0068//
NimR	b4698//b1132//
NsrR	b0398//b1260//b3977//b1536//b0516//b2539//b4567//b0796//b1199//b4106//b0166//b3791//b0441//b2987//b1945//b0796//b4458//b2529//b4445//b0139//b4444//b1676//b2808//b1536//b0152//b4398//b4096//b2291//b2839//b1231//
NtrC	b3392//b3469//b4673//b2312//b0588//b0378//b2938//b3957//b3671//b0778//b3794//b0109//b1207//b0786//b0536//b3057//b0293//
OmpR	b4085//b3137//b4279//b0987//
OxyR	b0861//b0655//b3787//b1164//b3138//b3699//b0970//b3797//b3141//
PaaX	b1434//b0970//
PepA	b3607//
