#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:59 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/simple_regulons_bnum.txt
AcrR	b0152//
Ada	b1073//b1780//b1165//
AgaR	b0346//b1262//b1220//b0207//b0340//b4523//b0874//
AlaS	b0731//
AllR	b0987//b2560//b1080//b4254//b4567//b1887//b3686//b3240//b4173//
AllS	b4368//b1111//b1714//
AlsR	b0971//b0399//b0591//b4101//b3066//b0405//
ArcA	b4254//b2779//
ArgP	b2553//b0508//b2685//
ArgR	b1488//b3525//b0688//b4450//b0799//b3136//b2540//b0052//b0622//b2684//b1885//b1537//b0385//b3138//
ArsR	b3785//b1780//b0068//
AscG	b0666//
AsnC	b2630//
BasR	b3609//
BirA	b4089//b1484//b0855//b1430//b3066//
BluR	b1231//b1205//b4523//b1440//
BolA	b0484//b0536//
CRP	b3773//b3140//b2604//b0696//b0207//b0743//b1198//b4567//b1442//b0971//b0995//b0443//b1576//b1878//b0697//b1407//b3670//b4523//b1264//b4203//b1411//b1814//b2557//b2822//b4054//b3458//b3979//b1925//b2469//b0485//b1719//b2000//b2465//b2063//b2607//b4116//b2060//b2580//b3672//b4292//b0080//b0240//b3138//b1260//b3006//b3455//b0516//b3787//b1846//b1288//b0473//b4411//b1076//b1409//b4398//b1944//b1762//b2062//b1717//b1434//b1167//b0755//b4370//b0216//b1857//b4415//b2558//b2147//
CdaR	b4279//b1072//b4670//b1113//b3458//
CecR	b3661//b1264//b0861//b2822//b4416//
CpxR	b3979//b4513//b4398//b2312//b1944//b0536//b0346//b4435//b0523//b3065//b1322//b1020//b4293//b0140//b2819//efeU_2//b2539//b1201//b3793//b1078//b3454//b1881//b0776//b1702//b0111//b3661//b0786//b0241//b1163//b1641//b4401//b2608//
Cra	b1949//b0799//b1945//b2146//b0464//b2553//b1075//b2232//b4102//b3021//b1130//b1322//b1199//b2476//b2603//
CreB	b3572//
CsgD	b1567//b4523//b3063//b2584//b1914//b1577//b2559//b4270//b3423//
CueR	b1578//b3269//
CynR	b2465//b4043//b0652//b0107//
CysB	b0731//b0237//b1229//b2540//b4173//b3686//b2169//b3645//b0970//b3572//
Dan	b4202//b3190//b0856//b2852//
DhaR	b1378//b2559//b1378//b4408//
DicA	b1444//b0232//b2068//b3128//b0655//b1947//b0839//b1430//
DnaA	b0745//b2822//
EvgA	b1967//b0232//b1578//b1654//b3612//b3830//b2965//
FNR	b3792//b0655//b4699//b0111//b0384//b0508//b2821//b3493//b2608//b2582//b2217//b0189//b3460//b4042//b0277//b0814//b0074//b3532//b1016//b1377//b2476//b1020//b3157//b0515//b3792//b1641//b1702//
FadR	b1880//b1945//b0237//b0185//b3531//b0049//b2750//b0244//
FeaR	b3138//
Fis	b1548//b1704//b2530//b4293//b3027//b0697//b1914//b2061//b0233//b2697//b1327//b1434//b2498//b4673//b1713//b3364//b0854//b2310//b2631//b1131//b4096//b2388//b1846//b4002//b2539//b1322//b4249//b0152//b1434//b3395//b1199//b1706//b3688//b3394//b4279//b3185//b4355//b1481//b3967//b0049//b1220//b2310//b1074//b0515//b3027//b0588//b1784//b1303//b1713//b2388//b4096//b1877//b3786//b0382//b2630//b0999//
FlhDC	b2686//b2699//b4174//b3608//b3012//b2866//b3976//b3791//b2528//b0447//b2169//b1013//b0730//b4347//b3686//b2697//b3268//b1487//b1452//b0856//b0108//b0050//b1982//b2310//b3364//b0140//b1783//b0672//b3670//b4443//b2476//b2893//b2737//b3096//b2938//b0071//b4599//b1166//
FliZ	b1003//
Fur	b0959//b4094//b0303//b3967//b0508//b0378//b0995//b0778//b3781//b4445//b0696//b3781//b1949//b0439//b0779//b0922//b4513//b0150//b4567//b4408//b0755//b3141//b2597//b1623//
GadX	b0674//b0732//b0778//b2558//b2821//b3923//b3271//
GcvA	b3916//b1183//
H-NS	b4347//b0441//b0031//b1184//b1200//b1718//b0698//b1488//b1183//b1528//b0153//b1860//b0049//b3864//
HU	b1163//b0400//
HcaR	b4698//b2600//b1327//b2476//b2427//b4085//
IHF	b1199//b0513//b0150//b1230//b3066//b1484//b4092//
IlvY	b1400//b4663//
IscR	b3978//b1877//b4116//b0392//b1074//b1676//b3062//b0400//
KdpE	b0232//b0912//b1947//b0439//
LeuO	b4670//b0484//b0925//b1902//b1229//b0464//
LexA	b3916//b3240//b1569//b4416//b1967//b3006//b0514//b0774//b1717//b1333//b3184//b0052//b1443//b1408//b1486//b3141//b0730//b1729//b3393//b1618//b0447//b0397//b0864//b0150//b0854//b4416//b1441//b1654//b1783//b1430//b0892//b0473//b0673//b0890//b4260//b4670//b4242//
LrhA	b2289//
Lrp	b3455//b1566//b3938//b3184//b1861//b3005//b2965//b3356//b2597//b1093//b0522//b2542//b0517//b0397//
LysR	b0049//
MalT	b0591//
MarA	cpxQ//b0185//
MatA	b4106//b0073//
McbR	b0670//
MetJ	b2540//b1229//b2060//b2503//b0925//
MlrA	b3665//b0799//b1780//b2407//b3616//
MngR	b2540//b0475//b3787//
MntR	b3941//b1167//
MprA	b1166//b0152//b0447//
MqsA	b3785//b1205//
MurR	b1781//
Nac	b1203//b1002//b0484//b4450//b1613//
NadR	b2826//b0892//b3502//
NagC	b0591//b3525//b4392//b4398//b1074//
NanR	b0891//b0598//
NimR	b0665//b0755//
NsrR	b0191//b1277//b3502//b3558//b1261//b1949//b3183//b2553//b2938//b1546//b4355//b0475//b3938//b1265//b1386//b2063//b3784//b2824//b3806//b3645//b1810//b2348//b2497//b2553//b2469//b2698//b1718//b3425//b2435//b3271//
NtrC	b3798//b1102//b3911//b1378//b2821//b0190//b1132//b0505//b1410//b2752//b2290//b3799//b4054//b4086//b4160//b1536//b1321//
OmpR	b3241//b2216//b1093//b4506//
OxyR	b4100//b3240//b3923//b0794//b4173//b4450//b3063//b1982//b4093//
PaaX	b0146//b3661//
PepA	b0109//
PgrR	b0653//b3503//b3493//b0522//b2168//b0484//b0861//
PhoB	b0464//b4254//b4445//b0708//b0744//b4525//b3493//b3680//b1925//b0806//b3912//b2436//b4393//b3799//b4260//b1568//b2737//b2938//b1131//b1130//b1857//b3791//b0156//b4416//b4089//b1442//b1848//b3959//b1262//b3455//b2509//
PhoP	b2751//b4202//b0795//b1741//cpxQ//b0244//b2058//b0970//b4093//b2607//b0953//b1321//b3008//b2819//b0514//b0074//
PspF	b1577//
PurR	b1780//b4364//b0696//b3979//b0622//b0622//b0353//b0273//b2751//b2371//b1263//b0999//b4175//
RbsR	b2965//
RcdA	b1113//b2316//b4099//
RclR	b1613//b0745//b2864//
RcnR	b2404//
RcsAB	b4599//b3269//b0050//b3270//b4613//
RcsB	b2435//b0565//b1902//b3670//
RcsB-BglJ	b2818//b0074//b0744//b1000//b2435//b0685//b0774//b1566//b3139//b2189//b0674//
Rob	b1252//
RutR	b2584//
SdiA	b1924//
SgrR	b3501//b2938//b1578//b0565//b4613//b2559//
SoxS	b1926//b1784//b2750//b1274//b1946//b3066//
SutR	b0397//b0237//
TorR	b0156//
TrpR	b4202//b4044//b2312//b3431//b3794//b0123//b1260//b1982//
TyrR	b3432//b2529//b0751//
UidR	b1781//
UvrY	b2666//b0398//
XapR	b4094//b0303//
YdeO	b0383//b1092//
YjjQ	b0622//b1798//b0068//b1577//b3798//b3242//b1861//
YpdB	b1429//
YqhC	b2528//b0398//
ZntR	b0338//
ZraR	b1947//
Zur	b1127//b0140//b3425//b4702//b1608//
