#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:59 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/simple_regulons_bnum.txt
AcrR	b3607//
Ada	b0303//b1948//b0152//
AgaR	b0672//b1078//b2291//b3976//b4098//b1199//b2788//
AlaS	b1429//
AllR	b0439//b2169//b4426//b0439//b2866//b4368//b1165//b2402//b1443//
AllS	b0385//b0031//b3241//
AlsR	b3863//b0067//b1578//b4443//b2168//b0108//
ArcA	b3364//b3794//
ArgP	b1883//b3960//b1566//
ArgR	b1567//b0050//b3456//b2538//b1878//b4618//b4219//b4098//b2697//b0072//b1203//b2787//b1378//b3616//
ArsR	b4002//b3959//b2938//
AscG	b0653//
AsnC	b3558//
BasR	b2868//
BirA	b1546//b1547//b0697//b3978//b3645//
BluR	b1440//b3965//b1004//b2061//
BolA	b2539//b3021//
CRP	b1260//b0598//b4160//b4368//b1002//b0234//b3922//b1434//b2580//b4219//b1729//b3960//b2822//b0382//b0338//b2560//b4355//b0891//b1082//b2530//b1881//b0384//b0207//b0345//b2396//b1707//b0107//b2153//b3269//b4104//b0515//b0232//b1568//b1082//b4150//b2560//b4116//b3137//b0069//b3545//b1325//b2684//b2597//b2558//b1568//b0378//b2574//b2289//b0814//b1861//b0598//b4451//b0191//b0231//b4369//b4043//b1717//b2582//b2684//b2560//b2821//b4523//b3967//b1546//b2819//b2348//b1074//b4673//
CdaR	b4673//b2348//b0750//b0774//b1166//
CecR	b2400//b0793//b4293//b1452//b4042//
CpxR	b1163//b1579//b4095//b3139//b0668//b1537//b0377//b4293//b1073//b3057//yegZ//b2822//b2607//b4094//b3773//b0145//b3454//b2603//b3960//b2531//b3959//b2537//b1982//b3237//b2609//b3792//b3980//b3941//b1074//b2403//b0051//b0523//
Cra	b3095//b3521//b0970//b0439//b1080//b1848//b3441//b4406//b4663//b1641//b1982//b3240//yegZ//b0511//b2868//
CreB	b0475//
CsgD	b2560//b1784//b0598//b0674//b1198//b1325//b0345//b3005//b3806//
CueR	b1016//b4613//
CynR	b2169//b0964//b4406//b2529//
CysB	b0156//b0189//b2373//b0779//b3139//b2372//b2967//b1487//b0473//b2062//
Dan	b3531//b2820//b0522//b2937//
DhaR	b2603//b1810//b0674//b2608//
DicA	b2698//b1379//b1846//b0403//b4480//b2167//b0922//b4249//
DnaA	b1411//b0674//
EvgA	b3503//b2607//b3977//b1947//b4613//b4173//b0925//
FNR	b4042//b4417//b4698//b3830//b3977//b3243//b2584//b3241//b3923//b1074//b4618//b4260//b2290//b3137//b3661//b4673//b0069//b0971//b4369//cpxQ//b2427//b2211//b1407//b2464//b3067//b0922//b3137//
FadR	b0049//b0589//b4369//b4399//b4370//b2372//b0189//b1081//
FeaR	b0522//
Fis	b1713//b0189//b4200//b0400//b0240//b2528//b2687//b0516//b2311//b4347//b0294//b2171//b1702//b2400//b0774//b0405//b3792//b3941//b1528//b1002//b0839//b0806//b0604//b1608//b2503//b2967//b0074//b0864//b2313//b0294//b1889//b3661//b1925//b1566//b1528//b4480//b2864//b3424//b3912//b1452//b2584//b0730//b0151//b2147//b1093//b0673//b2348//b1441//b0514//b3469//b2403//b0924//b3977//b0665//b1926//b1857//
FlhDC	b2171//b0795//b1536//b2146//b1187//b2687//b1848//b2542//b1288//b1486//b2503//b1914//b1717//b3665//b0191//b3545//b2212//b0515//b1199//b2864//b4044//b1924//b4458//b3788//b4698//b4092//b4513//b1884//b0731//b3241//b0109//b1203//b4129//b4618//b0854//b2372//b4393//b0353//
FliZ	b1886//
Fur	b0655//b0923//b4095//b4699//b1798//b3242//b0232//b1081//b1081//b4401//b1072//b2584//b4567//b0970//b4522//b3137//b2503//b1762//b4116//b4089//b3919//b0443//b2062//b4444//
GadX	b3268//b3773//b1113//b3005//b0140//b1199//b4093//
GcvA	b1548//b2375//
H-NS	b2171//b0397//b0216//b4292//b1287//b0189//b4364//b0140//b0392//b3237//b2061//b4445//b0744//b3240//
HU	b2597//b0841//
HcaR	b1079//b0957//b1890//b1575//b3806//b1790//
IHF	b4098//b1131//b1194//b3788//b3423//b1884//b3956//
IlvY	b3188//b3027//
IscR	b2540//b0523//b0240//b2402//b0110//b0841//b4106//b3157//
KdpE	b2465//b2603//b2311//b2402//
LeuO	b0672//b1165//b0207//b0150//yegZ//b3680//
LexA	b3794//b2167//b2597//b4002//b2348//b3322//b0891//b0439//b0864//b1729//b0732//b1790//b2312//b0191//cpxQ//b0517//b2290//b2574//b1877//b1884//b2866//b0447//b0304//b3978//b3096//b3500//b2540//b3730//b1484//b1164//b2373//b2607//b1569//b2824//b1187//b2751//b3268//
LrhA	b1954//
Lrp	b3959//b3789//b3269//b3613//b0189//b4092//b1333//b2687//b0241//b1728//b2539//b2312//b3394//b0622//
LysR	b1949//
MalT	b2379//
MarA	b4673//b1882//
MatA	b2146//b3967//
McbR	b0507//
MetJ	b2684//b1566//b4054//b1717//b2852//
MlrA	b3671//b4280//b2498//b0071//b0655//
MngR	b4513//b2313//b0069//
MntR	b2059//b4392//
MprA	b1925//b3237//b0839//
MqsA	b0957//b2866//
MurR	b4096//
Nac	b1729//b3798//b0146//b1164//b1265//
NadR	b1283//b3966//b0522//
NagC	b1947//b4347//b3793//b0066//b0515//
NanR	b2666//b4415//
NimR	b1194//b3067//
NsrR	b0964//b1262//b2967//b1093//b2097//b1488//b2824//b1926//b0301//b4213//b1131//b0150//b0588//b2232//b1655//b3686//b0139//b1641//b1093//b1440//b3686//b1111//b0443//b0156//b3521//b0731//b0216//b2063//b3066//b4098//
NtrC	b0216//b4092//b1728//b4522//b1655//b0849//b0776//b1303//b1623//b1201//b1378//b2503//b3141//b0166//b3502//b1654//b1579//
OmpR	sroC//b1207//b0795//b1885//
OxyR	b2476//b2497//b1091//b1913//b3457//b3021//b2604//b2937//b1488//
PaaX	b3791//b2311//
PepA	b0517//
PgrR	b0273//b0341//b3021//b0664//b3791//b0051//b0778//
PhoB	b3455//b0839//b1165//sroC//b0517//b0504//b0151//b4481//b1885//b4219//b0189//b0152//b3864//b3423//b3395//b1859//b2509//b1102//b2529//b2604//b1926//b1379//b1676//b1442//b1782//b2601//b2752//b2189//b1076//b0185//b2699//
PhoP	b1264//b3671//b1485//b1914//b2211//b3730//b3241//b2374//b2558//b3270//b2316//b0964//b0441//b4202//b0234//b0959//
PspF	b4671//
PurR	b3612//b2584//b0622//b4129//b2503//b4095//b0653//b3614//b2213//b3911//b0744//b2824//b3457//
