#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:59 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/simple_regulons_bnum.txt
AcrR	b1882//
Ada	b2402//b0860//b3699//
AgaR	b3965//b1613//b4106//b3005//b2168//b0796//b3271//
AlaS	b3786//
AllR	b3773//b3184//b0485//b1252//b1165//b3966//b1442//b1706//b3457//
AllS	b0655//b0400//sroC//
AlsR	b3923//b0708//b0191//b0970//b1220//b1887//
ArcA	b2388//b2820//
ArgP	b3792//b3956//b1483//
ArgR	b1948//b0439//b3458//b3966//b2469//b1184//b1882//b0839//b4364//b1000//b0464//b1102//b0864//b2685//
ArsR	b1569//b2789//b3794//
AscG	b0146//
AsnC	b4203//
BasR	b1861//
BirA	b3140//b2464//b4102//b3012//b3008//
BluR	b2839//b3774//b0672//b1548//
BolA	b2147//b2371//
CRP	b1078//b1858//b1167//b0685//b4671//b1781//b3661//b3547//b3616//b2403//b0232//b3614//b0399//b1548//b3501//b3460//b1886//b2687//b1540//b0708//b4201//b3503//b3190//b4249//b0666//b3057//b2686//b3013//b1093//b1887//b3531//b1706//b3671//b3060//b2751//b2127//b3432//b1078//b2313//b4100//b4443//b3062//b2291//b0069//b0793//b2559//b0378//b1608//b3545//b2553//b2498//b2868//b1780//b4567//b3392//b1814//b3966//b1613//b3469//b2290//b0304//b4397//b3784//b0959//b1954//b1443//b0522//b3863//
CdaR	b0111//b4293//b4054//b3157//b0959//
CecR	b3269//b3532//b4116//b1784//b1713//
CpxR	b1846//b4513//b2541//b1881//b0031//b3096//b3799//b1717//b0971//b0216//b0841//b3967//b0796//b2232//b1536//b4213//b1886//b4368//b2464//b2538//b0385//b1879//b2697//b0732//b2824//b2987//yegZ//b3137//b4393//b0473//b4024//b4416//
Cra	b3545//b2779//b0589//b1004//b3458//b2402//b3008//b1714//b4202//b2684//yegZ//b3141//b0231//b4054//b1857//
CreB	b2147//
CsgD	b3699//b3356//b2789//b4399//b3859//b1858//b1075//b3141//b4443//
CueR	b0864//b1576//
CynR	b1261//b2400//b3863//b3185//
CysB	b1890//sroC//b1165//b3796//b1488//b2379//b1074//b0150//b1609//b1407//
Dan	b2291//b1272//b0151//b2825//
DhaR	b3773//b3941//b4673//b2607//
DicA	b4567//b3061//b1113//b3242//b0400//b1609//b2127//b1741//
DnaA	b3455//b0233//
EvgA	b0400//b4129//b0604//b1261//b1982//b2189//b2822//
FNR	b4393//b3188//b3065//b3558//b4702//b0107//b2085//b4613//b3269//b0923//b2168//b1654//b4408//b0441//b0392//b1947//b1032//b3394//b2061//b3792//b1016//b0652//b1163//b1411//b4134//b0301//b2403//
FadR	yegZ//b1634//b1609//b3424//b0353//b1634//b1167//b1846//
FeaR	b4705//
Fis	b1877//b0565//b3799//b4280//b0162//b0399//b0145//b1945//b4618//b2699//b2498//b1878//b2559//b1914//b1982//b2687//b3364//b1654//b0924//b1861//b2821//b0110//b0293//b3188//b2402//b2597//b2530//b2580//b0384//b3863//b3614//b2737//b0514//b4347//b0233//b0111//b0339//b0522//b3670//b4480//b2788//b1890//b1634//b3967//b3980//b4134//b3138//b4174//b0731//b2937//b4089//b0507//b0688//b0793//yegZ//b1000//
FlhDC	b3789//b2824//b0743//b1261//b2169//b1184//b3190//b2465//b0237//b0922//b1713//b2217//b1484//b3183//b3012//b1858//b0672//b3012//b0775//b2542//b2608//b0841//b2559//b0508//b3021//b0508//b2189//b2000//b0921//b4705//b4444//b1810//b1954//b2685//b1641//b1078//b1944//b1954//
FliZ	b4089//
Fur	b0073//b3022//b3183//b0031//b1810//b3425//b1443//b2147//b1080//b4106//b3268//b1791//b0392//b3547//b0074//b0755//b3798//b1003//b2232//b1814//b0189//b3699//b1326//b2580//
GadX	b2127//b2531//b0244//b1230//b1429//b2937//b0512//
GcvA	b2435//b0864//
H-NS	b0073//b0123//b1609//b0508//b1714//b4044//b1410//b1484//b0589//b0277//b3027//b2402//b1885//b4095//
HU	b1576//b4368//
HcaR	b1882//b1579//b0862//b3441//b3184//b3022//
IHF	b0162//b1130//b2435//b4699//b0140//b4618//b1861//
IlvY	b2097//b0145//
IscR	b3645//b1199//b0777//b0273//b2852//b1132//b0841//b4444//
KdpE	b0384//b2600//b4416//b1407//
LeuO	b2822//b3027//b4104//b2167//b3008//b2171//
LexA	b1886//b0857//b4201//b0874//b4450//b1902//b1483//b2232//b4134//b4451//b2819//b0052//b2788//b1579//b3364//b3798//b0385//b2465//b3798//b2560//b4280//b2685//b3617//b4279//b1537//b3965//b1798//b0382//b3671//b1165//b1081//b4092//b3137//b1073//b0964//b0697//b3501//
LrhA	b0051//
Lrp	b2171//b2401//b0622//b2171//b0794//b0971//b1762//b4160//b0051//b1846//b4042//b1443//b2097//b0277//
LysR	b0957//
MalT	b3967//
MarA	b3612//b3060//
MatA	b2313//b1194//
McbR	b1194//
MetJ	b1882//b1484//b2402//b4451//b3792//
MlrA	b2967//b3671//b1717//b1165//b1407//
MngR	b3364//b1410//b0338//
MntR	b2825//b4219//
MprA	b2614//b3067//b4203//
MqsA	b1914//b4042//
MurR	b2752//
Nac	b0863//b0670//b1194//b0108//b0383//
NadR	b2068//b4699//b1888//
NagC	b0071//b2348//b1407//b2539//b1004//
NanR	b3613//b0745//
NimR	b2311//b0185//
NsrR	b3730//b4087//b1548//b1728//b0139//b2497//b1537//b3095//b1399//b3060//b2097//b3614//b3796//b4129//b0604//b1798//b4042//b0068//b1187//b3607//b0400//b1634//b1729//b0073//b4416//b1702//b3067//b1791//b3006//b4484//
