#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:59 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/simple_regulons_bnum.txt
AcrR	b1575//
Ada	b0777//b1945//b4618//
AgaR	b1452//b4408//b0075//b0153//b2826//b2937//b0151//
AlaS	b2211//
AllR	b3060//b1782//b2580//b3965//b1618//b2608//b4249//b3978//b2371//
AllS	b0338//b1183//b2503//
AlsR	b2497//b2967//b2597//b4484//b1704//b3784//
ArcA	b2597//b3614//
ArgP	b0794//b2290//b4671//
ArgR	b0108//b2060//b3976//sroA//b2406//b2427//b3547//b0397//b3501//b2396//b1078//b0146//b2531//b1889//
ArsR	b1704//b1000//b3500//
AscG	b0653//
AsnC	b0924//
BasR	b1613//
BirA	b3423//b2469//b4085//b4150//b3460//
BluR	b1945//b0891//b1004//b0066//
BolA	b3794//b4702//
CRP	b0971//b1410//b0792//b1407//b2779//b2146//b1728//b1902//b1263//b1441//b3394//b0377//b0123//b1608//b0067//b0340//b0392//b0301//b3364//b1488//b3268//b1798//b3138//b0921//b1781//b1713//b3645//b4202//b0338//b3425//b1702//b0778//b3798//b0806//b0557//b1780//b0341//b3394//b0508//b0995//b4099//b2168//b0145//b4092//b3661//b0670//b0793//b0067//b0855//b0512//b4249//b1846//b1207//b2436//b3131//b0403//b3494//b3558//b2698//b0565//b0075//b0216//b0912//b0512//b1702//b0441//b1575//b0139//
CdaR	b0156//b3911//b3243//b2379//b0696//
CecR	b2152//b1231//b2868//b1575//b1798//
CpxR	b1399//b4202//b4129//b1003//b2605//b3062//b1914//b4513//b0863//b0513//b3455//b1411//b1925//b1443//b0067//b3665//b1609//b4525//b2503//b2537//b0891//b1263//b4088//b3791//b1717//b1729//b1634//b2531//b3469//b2839//b4481//b4368//
Cra	b0697//b4398//b4092//b4013//b0353//b0622//b2601//b3271//b3958//b0339//b3558//b0995//b4326//b0796//b2402//
CreB	b0447//
CsgD	b4416//b4480//b1075//b1950//b0145//b0923//b4670//b0192//b0814//
CueR	b1083//b1184//
CynR	b1798//b0505//b2671//b3431//
CysB	b4369//b1441//b4426//b1073//b1093//b4013//b1262//b3965//b3787//b1798//
Dan	b1885//b2375//b1848//b0237//
DhaR	b4398//b0074//b2559//b4172//
DicA	b3500//b1327//b4355//b1327//b1078//b1878//b1452//b0814//
DnaA	b0346//b2435//
EvgA	b1798//b2686//b1260//b3242//b1926//b4085//b2987//
FNR	b2529//b0794//cpxQ//b1528//b0397//b3188//b4090//b3012//b3608//b4088//b0839//b1183//b4451//b3423//b3157//b2503//b2211//b1540//b1925//b1902//b1077//b2671//b2509//b2169//b1083//b4699//b0795//
FadR	b2600//b0786//b0806//b1781//b2379//b0151//b0304//b0277//
FeaR	b3786//
Fis	b1322//b4174//b1163//b3057//b3699//b4513//b0750//b4088//b1914//b0341//b0841//b2698//b2542//b2497//b4025//b1707//b1704//b1229//b4105//efeU_2//b0123//b0383//b1399//b3617//b4292//b2152//b4106//b2372//b2750//b4399//b1102//b0399//b0080//b2630//b1399//b2316//b4054//b2752//b2987//b0385//b0464//b2597//b0069//b3980//b0216//b4173//b0378//b3027//b4671//b1848//b3460//b1201//b3271//b1487//b3787//b4435//
FlhDC	b4408//b2528//b3966//b2312//b1183//b0923//b0591//b3911//b3005//b1547//b2068//b3185//b0071//b2751//b3791//b1325//b3784//b4326//b0400//b3613//b3432//b3502//b0730//b1537//b0673//b1481//b3960//b0398//b3027//b1950//b2699//b0484//b0110//b2401//b0392//b4673//b0863//b1377//
FliZ	b0622//
Fur	b2616//b1002//b1782//b0049//b1113//b1443//b3797//b0110//b1707//b2822//b0447//b0750//b0987//b0232//b4663//b1073//b0854//b4705//b3545//b0513//b2938//b0953//b1706//b0794//
GadX	b0399//b0067//b4663//b3686//b2436//b1265//b1442//
GcvA	b0513//b4347//
H-NS	b0953//b0066//b0108//b1879//b1655//b1741//b3774//b1575//b4480//b4435//b0031//b2529//b1888//b1004//
HU	b4506//b0860//
HcaR	b0794//b2601//b0441//b1083//b2699//b4241//
IHF	b4201//b3774//b4092//b4100//b0514//b4445//b3432//
IlvY	b3392//b0072//
IscR	b2169//b0841//b1199//b4174//b1568//b3458//b4416//b3729//
KdpE	b0685//b1194//b0400//b2559//
LeuO	b0912//b2146//b4094//b0604//b0338//b3424//
LexA	b3521//b1655//b3912//b0513//b4280//b4401//b1528//b0509//b0953//b4416//b1442//b3013//b2821//b2503//b4698//b3057//b1762//b2407//b0515//b2105//b0232//b1430//b0080//b3021//b2558//b0653//b3793//b2403//b1265//b1790//b3441//b0398//b0192//b0921//b1434//b2427//b3493//
LrhA	b0191//
Lrp	b4671//b3976//b0890//b1780//b2685//b3670//b1676//b3978//b0244//b0957//b1568//b4043//b4098//b3136//
LysR	b3137//
MalT	b1407//
MarA	b2852//b1429//
MatA	b3863//b4201//
McbR	b2402//
MetJ	b4089//b1949//b1546//b3788//b3813//
MlrA	b3796//b0672//b0515//b2529//b2606//
MngR	b3923//b4025//b1576//
MntR	b0536//b2189//
MprA	b1013//b1884//b0123//
MqsA	b0755//b1946//
MurR	b3613//
Nac	b0296//b1567//b0507//b3061//b1200//
NadR	b3456//b2062//b3960//
NagC	b2630//b1577//b0864//b2168//b1948//
NanR	b0522//b2146//
NimR	b0514//b3241//
NsrR	b2584//b1004//b2401//b4200//b1073//b1187//b4098//b3190//b2937//b2787//b0685//b1486//b3608//b0953//b1484//b0654//b4129//b0392//b3096//b3792//b3665//b0512//b0923//b2379//b3095//b2937//b2938//b3531//b0855//b1706//
NtrC	b1230//b4397//b2435//b2665//b4104//b0189//b4095//b2937//b0340//b1333//b3323//b1333//b2375//b3271//b1327//b3454//b4094//
OmpR	b1378//b3500//b2852//b1325//
OxyR	b2404//b3454//b3128//b1199//b0346//b2826//b3503//b0293//b3022//
PaaX	b0189//b3923//
PepA	b1925//
PgrR	b2965//b2603//b4099//b4175//b0241//b3431//b3140//
PhoB	b1201//b3395//b3454//b1859//b0655//b0294//b0668//b1485//b2788//b0892//b1846//b1205//b1877//b2311//b2601//b3184//b4506//b0382//b0049//b3919//b1326//b3022//b4002//b0508//b2404//b2582//b1184//b0153//b1881//b3617//b1199//
PhoP	b3138//b1707//b0598//b0162//b0924//b2752//b2608//b2436//b2085//b1003//b1487//b4175//b0074//b2476//b3613//b0241//
PspF	b3919//
PurR	b2779//b4024//b3242//b1166//b2312//b0995//b0696//b1860//b3454//b2737//b2167//b3730//b4523//
RbsR	b4406//
RcdA	b1167//b1016//b2818//
RclR	b1848//b3572//b4254//
RcnR	b3139//
RcsAB	b2607//b1950//b3243//b1264//b1283//
RcsB	b3137//b0156//b1386//b3183//
RcsB-BglJ	b0189//b4663//b2153//b0146//b0443//b1798//b3062//b4104//b1714//b3012//b2372//
Rob	b2787//
RutR	b1164//
SdiA	b0339//
