#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:59 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/simple_regulons_bnum.txt
AcrR	b0505//
Ada	b0849//b2465//b4671//
AgaR	b2414//b3798//b3157//b0622//b3243//b3911//b3057//
AlaS	b1444//
AllR	b3128//b1277//b2531//b0110//b2603//b1429//b3268//b0068//b1654//
AllS	b0049//b1623//b0854//
AlsR	b0241//b2553//b1548//b0080//b4523//b1634//
ArcA	b3241//b2498//
ArgP	b0588//b2403//b2752//
ArgR	b2937//b0304//b2600//b2465//b1954//b4670//b3186//b2060//b1408//b1184//b1641//b1443//b3395//b0786//
ArsR	b3958//b1567//b0066//
AscG	b0841//
AsnC	b3021//
BasR	b1741//
BirA	b1655//b0795//b3608//b3799//b3813//
BluR	b0475//b2609//b1859//b0273//
BolA	b0779//b4270//
CRP	b0792//b3956//b2403//b3502//b1262//b0970//b0166//b0109//b3607//b0793//b3609//b1483//b3859//b0793//b3813//b3006//b0849//b0890//b1925//b2616//b2060//b0166//b2542//b0751//b4260//b0806//b2580//b3967//b1575//b4002//b3423//b0507//b0588//b4326//b1547//b1728//b0190//b3493//b3243//b0383//b0743//b0273//b2059//b4369//b4401//b2539//b3911//b0523//b2614//b1890//b3065//b3066//b0622//b2631//b0589//b0051//b0383//b3190//b3792//b3863//b2147//b0507//b3502//b0398//b1272//b0383//b1205//b2105//
CdaR	b2752//b1082//b1132//b3237//b1859//
CecR	b2686//b0191//b3863//b4401//b4293//
CpxR	b0234//b0150//b3911//b0862//b2216//b4450//b3806//b4013//b4522//b2752//b4094//b0509//b3670//b1714//b4116//b0730//b4368//b4095//b1092//b3423//b1409//b0513//b4411//b4254//b0743//b4097//b0591//b2396//b2147//b2558//b2687//b0068//
Cra	b1848//b1729//b1131//b3139//b0505//b0891//b4105//b3614//b1407//b1536//b0513//b0338//b1609//b0509//b0508//
CreB	b1608//
CsgD	b0912//b3454//b4355//b0303//b0778//b0377//b4355//b3455//b1950//
CueR	b4042//b0589//
CynR	b1091//b4134//b2213//b1741//
CysB	b2509//b0216//b3617//b0874//b1913//b0857//b1858//b2820//b2402//b2864//
Dan	b3923//b1325//b0189//b1926//
DhaR	b3798//b2822//b2403//b3923//
DicA	b3531//b1093//b0814//b2406//b0107//b1782//b1411//b2291//
DnaA	b0150//b3860//
EvgA	b1878//b0685//b1609//b1004//b4435//b3095//b2503//
FNR	b3021//b0377//b4213//b2476//b1163//b1857//b4175//b4523//b0403//b4086//b1327//b4088//b4100//b1486//b1924//b0959//b0590//b3392//b2699//b4085//b0484//b2152//b1265//b0383//b2061//b0806//b3156//
FadR	b0514//b0484//b3672//b4406//b2616//b0670//b3531//b0622//
FeaR	b4201//
Fis	b4411//b2058//b0071//b4408//b1207//b0353//b0162//b1409//b0666//b0891//b1714//b0475//sroA//b1547//b1857//b2464//b4398//b2558//b3912//b0110//b1729//b0152//b2822//b4415//b0145//b3271//b1333//b1408//b0050//b0857//b4054//b4102//b1130//b0109//b3616//b3793//b0277//b3789//b4347//b2464//b2558//b3500//b1322//b2686//b0655//b3672//b2469//b3322//b1924//b4174//b4408//b1846//b1102//b1020//b3501//b0861//
FlhDC	b1091//b0708//b4618//b3431//b0862//b0392//b3190//b4025//b0745//b1944//b0403//b2822//b3794//b3699//b0745//b0385//b4567//b1877//b4415//b1272//b1407//b2503//b1077//b0447//b1230//b2779//b0447//b0516//b3323//b4101//b4160//b2059//b4101//b2967//b0069//b4097//b3096//b1386//
FliZ	b1386//
Fur	b4175//b4293//b4663//b1890//b3863//b4160//b0151//b0377//b3322//b0514//b1613//b4397//b4618//b2557//b1569//b1860//b3157//b4279//b1784//b0751//b2373//b1486//b0855//b3136//
GadX	b1377//b1325//b1076//b0507//b3190//b4254//b1399//
GcvA	b3670//b1220//
H-NS	b3423//b3916//b3958//b4393//b0049//b1407//b0590//b1167//b3141//b3788//b4099//b4104//b2867//b2097//
HU	b3241//b1848//
HcaR	b3860//b3395//b0755//b0744//b1889//b4099//
IHF	b2375//b1073//b1091//b0277//b4254//b1877//b3157//
IlvY	b3794//b0403//
IscR	b0687//b2605//b3792//b0152//b0557//b1481//b1717//b1002//
KdpE	b3456//b2127//b4502//b4293//
LeuO	b1183//b0557//b1083//b4599//b2372//b1762//
LexA	b1327//b0523//b3006//b4481//b2406//b3063//b3065//b1131//b2560//b3967//b4522//b3027//b2406//b1548//b4100//b2967//b0794//b0512//b0345//b4002//b3958//b1608//b0140//b0779//b1440//b2290//b3959//cpxQ//b1132//b4513//b3241//b4599//b0303//b1546//b0959//b1231//b0392//
LrhA	b0216//
Lrp	b1877//b1814//b4104//b4044//b2372//b2965//b0557//b4044//b0473//b4106//b0666//b3661//b0074//b0775//
LysR	b1386//
MalT	b1814//
MarA	b1198//b4522//
MatA	b1083//b1429//
McbR	b1003//
MetJ	b0924//b4134//b2404//b2823//b4241//
MlrA	b2528//b2379//b0515//b1411//b3979//
MngR	b0303//b2603//b1576//
MntR	b4480//b3830//
MprA	b1886//b1408//b4270//
MqsA	b3789//b3364//
MurR	b3680//
Nac	b0874//b1814//b0653//b2826//b1548//
NadR	b0861//b0971//b1263//
NagC	b1949//b2608//b0697//b3013//b0464//
NanR	b2895//b2601//
NimR	b3558//b0111//
NsrR	b4201//b0301//b3271//b1004//b2289//b4523//b2232//b1575//b0150//b0073//b3919//b2000//b0796//b0786//b4175//b2212//b4249//b0891//b3919//b1618//b3938//b3457//b0069//b0863//b2606//b1102//b3980//b1032//b2866//b2062//
NtrC	b3729//b2893//b4093//b0067//b1537//b2058//b1861//b1252//b3672//b1083//b0666//b3744//b0786//b2407//b0162//b0123//b2987//
OmpR	b0233//b3006//b0106//b3503//
OxyR	b1810//b2821//b2687//b0924//b4444//b0891//b3794//b3241//b3460//
PaaX	b0557//b2313//
PepA	b2404//
PgrR	b1729//b0241//b1706//b0565//b1547//b0874//b2211//
PhoB	b1579//b3022//b4203//b2557//b0796//b4671//b3923//b1377//b1618//b3503//b3006//b2823//b4599//b2371//b0794//b3455//b2063//b1187//b1798//b2787//b3923//b4399//b3798//b3021//b3729//b1083//b0590//b0970//b0684//b2498//b4094//
PhoP	b3062//b2146//b3790//b2059//b0786//b0338//b3786//b1130//b1408//b0237//b2616//b3532//b4523//b2582//b1187//b3494//
PspF	b3136//
PurR	b0745//b0987//b0957//b2582//b1164//b1902//b1949//b1004//b0303//b0233//b3806//b1111//b1848//
RbsR	b3672//
RcdA	b1540//b0377//b0301//
RclR	b2868//b0339//b1481//
RcnR	b4445//
RcsAB	b3938//b2789//b3022//b2787//b0779//
RcsB	b1377//b4042//b3067//b3608//
RcsB-BglJ	b1540//b1888//sroA//b3558//b4599//b3455//b1880//b2291//b3616//b4101//b0684//
Rob	b2818//
RutR	b3493//
SdiA	b1655//
SgrR	sroA//b2558//b0751//b3469//b0060//b1814//
SoxS	b1926//b1719//b4013//b1890//b3454//b2605//
SutR	b0296//b2788//
TorR	b4522//
TrpR	b3699//b0398//b4392//b1967//b2601//b1078//b3460//b2557//
TyrR	b4105//b3813//b3688//
UidR	b4398//
UvrY	b3774//b2153//
XapR	b2068//b1846//
YdeO	b4292//b2503//
YjjQ	b3784//b0668//b3323//b1702//b0557//b3237//b1547//
YpdB	b0066//
YqhC	b0794//b2531//
ZntR	b0516//
ZraR	b4347//
Zur	b1946//b0598//b0591//b3392//b4326//
