#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:59 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/simple_regulons_bnum.txt
AcrR	b1713//
Ada	b4699//b0687//b4525//
AgaR	b3661//b0516//b3978//b2987//b2671//b2062//b1194//
AlaS	b0241//
AllR	b2289//b2435//b0522//b3131//b1003//b3744//b0109//b2397//b2211//
AllS	b2965//b2127//b4042//
AlsR	b4671//b1741//b3923//b4134//b0959//b1072//
ArcA	b0399//b3063//
ArgP	b1131//b4173//b4451//
ArgR	b0049//b2316//b1483//b2606//b1399//b2864//b1889//b0277//b0191//b4219//b0153//b1198//b3938//b3919//
ArsR	b3774//b0293//b1199//
AscG	b3424//
AsnC	b2597//
BasR	b1578//
BirA	b2606//b4567//b2374//b1676//b0146//
BluR	b2699//b0399//b4150//b0523//
BolA	b4399//b0925//
CRP	b0794//b0857//b0110//b3572//b2059//b2061//b0666//sroA//b1016//b3271//b4702//b1261//b0273//b2403//b2061//b0696//b0294//b3614//b1326//b4502//b1783//b1132//b1528//b1072//b2818//b2375//b4172//b1547//b1484//b2316//b0857//b3185//b0397//b4088//b3916//b4369//b4415//b1882//b3957//b0123//b3922//b3977//b1784//b0796//b1877//b1926//b3614//yegZ//b4200//b0303//b3860//b2751//b3237//b3532//b1913//b2537//b1075//b0654//b3441//b4599//b0924//b1091//b1163//b3941//b1762//b1325//b2537//b1654//
CdaR	b0507//b3021//b1861//b1780//b4522//
CecR	b0338//b4201//b3494//b4116//b2826//
CpxR	b1914//b4044//b3729//b3242//b1676//b3006//b2823//b3547//b3190//b3061//b3183//b3323//b3787//b3813//b2312//b0123//sroA//b2105//b0049//b2698//b1860//b2171//b1791//b0511//b1707//b1714//b0392//b2060//b1925//b3919//b4097//b1441//
Cra	b1484//b4567//b0473//b1080//b0296//b1377//b0685//b0774//b0588//b4279//b3022//b1080//b0109//b1547//b0072//
CreB	b2686//
CsgD	b0507//b0052//b0152//b0839//b4200//b0774//b1130//b1926//b3241//
CueR	b4401//b2867//
CynR	b3268//b1194//b0854//b3011//
CysB	b4129//b3532//b2823//b3785//b4092//b1333//b1791//b1277//b1481//b0590//
Dan	b3157//b3268//b1578//b0674//
DhaR	b1676//b1252//b4411//b4260//
DicA	b3063//b2397//b1078//b2061//b0345//b2436//b0755//b4106//
DnaA	b1164//b2061//
EvgA	b3062//b0995//b1861//b3027//b4416//b1020//b1444//
FNR	b0233//b0216//b4202//b4270//b1287//b0273//b2476//b2000//b2189//b0066//b0145//b2000//b0140//b1487//b2464//b1982//b3432//b0515//b4502//b0232//b1948//b0792//b2503//b3911//b1409//b0443//b1798//
FadR	b4355//b3011//b0799//b1000//b4099//b0069//b1902//yegZ//
FeaR	b0517//
Fis	b1231//b0672//b1200//b3730//b4443//b2403//b3547//b2211//b3136//b2289//b1321//b0970//b1277//b1567//b3062//b3923//b4095//b1641//b1814//b3525//b3558//b3469//b2290//b1111//b3784//b4242//b1810//b3612//b1378//b0508//b0794//b2400//b2752//b3979//b3270//b4095//b1000//b1163//b0814//b1261//b0795//b3793//b2542//b3793//b2469//b3502//b0293//b0855//b2821//b0970//b4089//b1229//b4043//b0473//b2059//b3137//
FlhDC	b1262//b1540//b0377//b1486//b0060//b0743//b1032//b3958//b1452//b2291//b1790//b0923//b2539//b0109//b3066//b0796//b0685//b3976//b1325//b1575//b3062//b1568//b2687//b0964//b0398//b2559//b1333//b3008//cpxQ//b0486//b0473//b1890//b2538//b0912//b1613//b1020//b2232//b1377//
FliZ	b1902//
Fur	b4174//b2987//b2530//b4129//b1784//b0110//b0156//b4173//b0696//b3323//b2864//b4093//b1790//b1609//b0591//b2212//b1434//b1546//b2684//b1826//b1264//b3431//b2821//b4522//
