#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:59 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/simple_regulons_bnum.txt
AcrR	b0192//
Ada	b1528//b2372//b3022//
AgaR	b3063//b1714//b1074//b0708//b4254//b3322//b2400//
AlaS	b2826//
AllR	b4370//b1408//b1325//b1321//b1083//b3186//b3137//b0123//b1860//
AllS	b1944//b2373//b0672//
AlsR	b2127//b2000//b3672//b3525//b1201//b4698//
ArcA	b2597//b1481//
ArgP	b2469//b1568//b3269//
ArgR	b3241//b1132//b0080//b1083//b0970//b4086//b3243//b3830//b2603//b2967//b1434//b3322//b4093//b1184//
ArsR	b3242//b3938//b1924//
AscG	b3617//
AsnC	b2379//
BasR	b3392//
BirA	b2530//b2671//b2406//b2630//b0778//
BluR	b0073//b1885//b1000//b0774//
BolA	b4160//b1717//
CRP	b0674//b3797//b0383//b2600//b2127//b0072//b3792//b3729//b1707//b1484//b0750//b0216//b0237//b3616//b3190//b0971//b4408//b0708//b1948//b0185//b4480//b4254//b4099//b2822//b3269//b4484//b1888//b1569//b3791//b1091//b2406//b1429//b3188//b3240//b0598//b0294//b1326//b0863//b0557//b1078//b1487//b2529//b2171//b3525//b4671//b3066//b0439//b1077//b1877//b0296//b0971//b1434//b3425//b2465//b0786//b3790//b0774//b0066//b3128//b1321//b0921//b2469//b2819//b0517//b0072//b0277//b2852//b0145//
CdaR	b1277//b1283//b1111//b2503//b0384//
CecR	b0066//b0108//b0774//b1002//b2212//
CpxR	b3183//b2217//b0377//b0234//b1547//b1072//b0346//b0708//b3128//b4090//b0590//b1548//b1379//b1199//b0378//b1925//b1130//b0755//b4159//b3062//b0398//b0509//b1093//b4159//b3060//b3494//b1575//b0377//b1130//b2605//b2558//b1704//
Cra	b3425//b0794//b2167//b3773//b1078//b3912//b2537//b0339//b2822//b0294//b1321//b3978//b2403//b3136//b2396//
CreB	b4086//
CsgD	b2698//b2404//b1609//b1714//b3095//b4699//b2097//b3784//b4090//
CueR	b1857//b3798//
CynR	b1013//b3456//b3941//b1784//
CysB	b0806//b1079//b0484//b3502//b0109//b4044//b3980//b1946//b0060//b1885//
Dan	b1902//b2818//b1576//b4398//
DhaR	b1102//b4116//b4416//b1887//
DicA	b0891//b3011//b1199//b2213//b0672//b1130//b3458//b1481//
DnaA	b1890//b0655//
EvgA	b1411//b4401//b1198//b1277//b1741//b4406//b2967//
FNR	b4096//b2808//b2685//b1618//b2808//b0999//b0508//b2216//b4393//b3268//b1881//b3788//b3183//b4097//b2824//b0051//b1613//b0439//b2375//b1443//b2820//b0654//b3062//b0775//b1780//b0106//b3322//
FadR	b2153//b3672//b1080//b3136//b2310//b2407//b3979//b1641//
FeaR	b3271//
Fis	b0241//b1484//b3269//b4398//b2312//b1079//b3008//b1452//b3501//b2388//b3525//b1481//b3612//b0708//b1074//b0110//b4054//b3916//b0653//b1379//b0049//b2607//b0799//b4087//b4673//b1081//b1231//b2601//b1528//b0674//b3978//b3240//b0340//b1378//b1131//b0146//b0464//b2866//b3938//b1002//b1948//b1000//b2825//b1287//b1925//b1579//b3067//b4249//b2541//b2400//b0841//b1879//b0924//b3067//b3773//b0146//
FlhDC	b2597//b4450//b2216//b2818//b1164//b1540//b3139//b0074//b3185//b3671//b1102//b1265//b3613//b2560//b1410//b2574//b2601//b0338//b3785//b3394//b2375//b1547//b0514//b0685//b3322//b3067//b0473//b0841//b4369//b1130//b1261//b1798//b1569//b3798//b1783//b0162//b2819//b1707//
FliZ	b1613//
Fur	b3773//b4406//b3063//b4095//b3781//b3455//b4098//b1113//b1252//b0108//b4398//b2609//b1982//b1926//b0073//b0839//b3525//b0509//b3792//b4399//b1528//b3864//b0687//b2404//
GadX	b3790//b2406//b4096//b3912//b1944//b0231//b4393//
GcvA	b1485//b1205//
H-NS	b0849//b0296//b2789//b3786//b1676//b0152//b0146//b4370//b4522//b1083//b0073//b3547//b3661//b2063//
HU	b3469//b4043//
HcaR	b2167//b3956//b2539//b0073//b4093//b3062//
IHF	b2213//b2316//b3792//b4089//b3616//b1073//b1399//
IlvY	b1914//b4444//
IscR	b4249//b1714//b1623//b2313//b0806//b3157//b1410//b0591//
KdpE	b3493//b0779//b0841//b2808//
LeuO	b2824//b2146//b0673//b0794//b1163//b2476//
LexA	b3006//b4502//b2469//b0536//b2867//b0504//b0515//b0294//b4416//b2310//b2171//b1488//b1262//b0921//b0346//b1032//b2751//b2059//b4613//b3617//b0921//b1333//b3139//b3957//b1714//b0515//b4670//b3338//b1429//b1072//b4116//b0750//b0652//b4481//b1102//b1484//b0382//
LrhA	b0775//
Lrp	b2699//b4368//b2406//b3157//b0234//b3830//b3532//b0405//b0794//b0464//b0670//b1074//b2737//b3788//
LysR	b2169//
MalT	b3798//
MarA	b2530//b2396//
MatA	b3500//b3502//
McbR	b3008//
MetJ	sroC//b4411//b1205//b0511//b3773//
MlrA	b4101//b4044//b0049//b3424//b1411//
MngR	b3394//b1575//b2666//
MntR	b3923//b1166//
MprA	b1924//b4444//b1536//
MqsA	b2127//b2498//
MurR	b2528//
Nac	b3323//b0508//b0509//b3240//b4417//
NadR	b0073//b4175//b2061//
NagC	b1608//b1410//b4397//b3027//b1072//
NanR	b0475//b2529//
NimR	b0995//b3863//
NsrR	b1443//b1074//b0732//b1783//b0244//b1608//b3793//b1127//b2348//b1885//b4249//b2779//b3242//b3006//b3457//b4213//b1386//b0080//b2058//b0341//b0860//b1132//b1609//b1326//b4150//b3062//b3502//b4671//b1442//b3911//
