#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:59 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/simple_regulons_bnum.txt
AcrR	b0666//
Ada	b4443//b0068//b1440//
AgaR	b3532//b0031//b0839//b4134//b0216//b3269//b1889//
AlaS	b3787//
AllR	b3501//b0666//b2402//b3729//b3864//b1013//b2537//b2686//b0231//
AllS	b2397//b4435//b1321//
AlsR	b2212//b0234//b0522//b2530//b1950//b2464//
ArcA	b1076//b0891//
ArgP	b1784//b1846//b0190//
ArgR	b0484//b4092//b2823//b1885//b0856//b4254//b0776//b3612//b0864//b2601//b1546//b0856//b3067//b4481//
ArsR	b3545//b3958//b2476//
AscG	b0863//
AsnC	b0152//
BasR	b2542//
BirA	b0731//b1641//b2697//b2559//b2058//
BluR	b0192//b0443//b0140//b3773//
BolA	b1719//b0277//
CRP	b0504//b1483//b3608//b0031//b2153//b3781//b1718//b4663//b4417//b2597//b1781//b4085//b1201//b1252//b4443//b3457//b3613//b3454//b4355//b3441//b2316//b1441//b3493//b0921//b3979//b3392//b0652//b1888//b2000//b3699//b1567//b4670//b1859//b2436//b3458//b0655//b3744//b0622//b0745//b3457//b2436//b0068//b3798//b1016//b1260//b3493//b2529//b2808//b0745//b1386//b4092//b3137//b1303//b4098//b3157//b4699//b3424//b0922//b3022//b0775//b3525//b0890//b3501//b1220//b0341//b1567//b1288//b4098//
CdaR	b4513//b2542//b4042//b1000//b3356//
CecR	b1198//b3976//b3066//b1546//b2789//
CpxR	b4102//b2937//b2388//b1902//b1261//b4174//b4089//b3188//b1546//b1127//b0854//b4445//b1322//b2469//b3183//b1486//b4480//b4150//b0151//b1925//b2061//b2687//b1888//b1083//b0856//b3941//cpxQ//b1577//b4613//b0439//b1201//b0346//
Cra	b4444//b0439//b1326//b3941//b1954//b4054//b3958//b1954//b3785//b3393//b1260//b2503//b4480//b3268//b1676//
CreB	b1325//
CsgD	b1781//b1888//b4445//b0515//b3967//b3729//b3958//b0153//b3501//
CueR	b0190//b0854//
CynR	b3608//b2819//b0484//b3062//
CysB	b4370//b1272//b3938//b3781//b1702//b3863//b2404//b3860//b1386//b2146//
Dan	b0473//b2401//b2375//b3609//
DhaR	b1083//b1946//b1857//b4613//
DicA	b2671//b1826//b0775//b4102//b1377//b3156//b3680//b0485//
DnaA	b0856//b1641//
EvgA	b2213//b1452//b2606//b3021//b0507//b2789//b4254//
FNR	b0049//b2685//b4213//b1074//b1409//b3797//b1002//b3958//b2750//b1207//b1113//b0296//b0591//b4090//b3063//b3268//b3190//b3860//b0995//b0345//b2539//b3547//b0655//b1229//b0507//b1277//b1567//
FadR	b2401//b2503//b0672//b1655//b3781//b3859//b4484//sroC//
FeaR	b2820//
Fis	b1378//b0191//b3864//b4150//b4443//b0237//b0504//b1075//b1783//b3021//b2127//b3188//b1277//b1634//b1452//b0688//b1540//b2631//b2965//b4054//b2435//b0382//b0999//b2868//b1846//b1207//b3012//b1877//b0107//b1488//b2967//b3501//b0856//b0890//b3061//b2699//b0189//b0080//b3572//b3431//b1434//b3785//b2311//b3012//b1077//b2291//b3268//b2374//b4355//b3806//b1982//b3860//b0890//b3022//b1322//b3188//
FlhDC	b0153//b2171//b3797//b3237//b0382//b3966//b4092//b0240//b2605//b0439//b1618//b4450//b3645//b3364//b1548//b3864//b1075//b4567//b3798//b2213//b3976//b2105//b1020//b3095//b1261//b3005//b0346//b4173//b2189//b1004//b0514//b0277//b0732//b0799//b0189//b4450//b1167//b0696//
