#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:59 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/simple_regulons_bnum.txt
AcrR	b1861//
Ada	b0031//b3185//b3665//
AgaR	b0923//b1885//b0922//b3773//b0792//b4094//b2464//
AlaS	b3614//
AllR	b3139//b3532//b2464//b1274//b0674//b4415//b0073//b0652//b0744//
AllS	b3607//b2686//b0398//
AlsR	b2379//b1713//b2498//b1321//b3794//b3338//
ArcA	b0111//b0341//
ArgP	b3139//b4104//b4698//
ArgR	b3049//b2559//b3960//b0190//b4106//b3806//b0730//b4370//b1167//b2311//b1858//b1252//b2823//b0814//
ArsR	b2698//b1704//b2866//
AscG	b3785//
AsnC	b0080//
BasR	b4522//
BirA	b0507//b1252//b0513//b4663//b2603//
BluR	b4368//b2852//b2217//b0673//
BolA	b4451//b2063//
CRP	b2808//b2401//b3617//b1655//b0241//b3500//b0666//b2211//b4116//b0339//b0743//b3190//b1167//b4444//b0523//b4458//b0604//b2541//b2540//b3067//b0345//b1881//b1183//b4702//b0653//b1613//b4398//b2604//b2061//b0653//b3240//b3469//b2839//b2311//b1784//b2427//b2189//b0392//b0776//b1858//b0403//b2311//b4370//b3186//b4002//b2539//b3062//b0654//b0863//b4097//b4502//b1848//b2864//b1547//b2435//b3744//b0207//b0774//b0855//b1741//b3671//b2665//b3959//b2404//b0743//b2779//b2529//b1676//
CdaR	b0685//b2168//b2557//b1166//b2557//
CecR	b0049//b0049//b0698//b3788//b2311//
CpxR	b0346//b3156//b3271//b2146//b1719//b1283//b0346//b4174//b3671//b0237//b4698//b1706//b0486//b2497//b2062//b3242//b2348//b1127//b0162//b0403//b2671//b3794//b2168//b1741//b2373//b4054//b4219//b0397//b3392//b4024//b0439//b4175//
Cra	b2379//b4670//b1790//b0604//b4172//b0860//b3063//b0779//b4481//b2313//b2542//b2684//b4104//b0890//b0890//
CreB	b0655//
CsgD	b3863//b3798//b0697//b3183//b4370//b1982//b2313//b1878//b3545//
CueR	b0486//b1949//
CynR	b2818//b0523//b2232//b4099//
CysB	b0863//b2403//b1982//b3131//b4481//b1762//b2105//b0604//b1719//b4213//
Dan	b1429//b0517//b3923//b2058//
DhaR	b2529//b3744//b1073//b1924//
DicA	b3021//b2821//b0378//b1327//b0399//b0439//b2609//b2557//
DnaA	b1077//b2290//
EvgA	b0484//b0666//b2372//b3060//b0068//b2212//b1791//
FNR	b3241//b0441//b0145//b1728//b3959//b1199//b0971//b2217//b1260//b2171//b1707//b0779//b2965//b1205//b1717//b0516//b3469//b1287//b3061//b4054//b0071//b2608//b2560//b0074//b2388//b1205//b0665//
FadR	b1878//b1946//b0303//b1577//b3027//b0588//b0654//b2213//
FeaR	b3966//
Fis	b3671//b4172//b3460//b0792//b0505//b1079//b1623//b3268//b1303//b1729//b2189//b3672//b3799//b1860//b0216//b1327//b2616//b2779//b2826//b2374//b1954//b1790//b0730//b1618//b0443//b0841//b0774//b2558//b3012//b4098//b1857//b2631//b0405//b0855//b0652//b1252//b2146//b4670//b1083//b1713//b2436//b0443//b3190//b2671//b3793//b1102//b1111//b1546//b3923//b0303//b2427//b3322//b2597//b4201//b1702//b0233//
FlhDC	b4364//b1399//b1194//b1263//b1713//b0792//b0774//b4408//b2893//b3956//b2290//b4458//b1452//b1013//b1860//b0672//b2097//b4443//b4241//b2582//b2062//b2372//b4445//b3364//b0507//b2608//b1546//b1322//b0303//b2058//b2609//b1386//b1164//b0294//b2698//b4513//b2168//b0189//
FliZ	b1782//
Fur	b4042//b4444//b4105//b3140//b0666//b2062//b0060//b2464//b0190//b3242//b3237//b1706//b1093//b1083//b1706//b2373//b1488//b0150//b0774//b3699//b4099//b0514//b1400//b0774//
GadX	b2866//b0971//b2097//b3796//b2630//b1885//b2779//
GcvA	efeU_2//b3432//
H-NS	b1434//b1083//b4444//b2606//b0507//b4201//b1949//b2217//b4044//b2737//b2388//b1528//b0730//b4408//
HU	b3960//b1944//
HcaR	b3916//b0191//b4506//b2061//b0685//b2465//
IHF	b4445//b0849//b1609//b0874//b0841//b1575//b1434//
IlvY	b2311//b4088//
IscR	b2752//phnE_2//b4254//b1386//b2868//b0216//b3425//b4093//
KdpE	b3572//b0345//b2597//b0106//
LeuO	b4202//b1618//b0664//b3140//b4219//b3671//
LexA	b0744//b0207//b2580//b4160//b0341//b3959//b4175//b4355//b2666//b3062//b1547//b4451//b2553//b2404//b3680//b1889//b1287//b0999//b3006//b2808//b2497//b1220//b0191//b0398//b0849//b3938//b2469//b1578//b1020//b0486//b2105//b1252//b4416//b4443//b1274//b1566//b2893//
LrhA	b1327//
Lrp	b2373//b3456//b1220//b1127//b1004//b0970//b2085//b2987//b1925//b2397//b4270//b3503//b4260//b0751//
LysR	b0464//
MalT	b3781//
MarA	b1861//b1452//
MatA	b3270//b4401//
McbR	b0191//
MetJ	b2937//b3322//b0052//b2542//b0051//
MlrA	b1623//b4134//b1536//b3680//b4129//
MngR	b1860//b3013//b1718//
MntR	b1004//b4013//
MprA	b0384//b0400//b2685//
MqsA	b4481//b1130//
MurR	b1654//
Nac	b3607//b4102//b2751//b3813//b0139//
NadR	b2751//b3672//b4280//
NagC	b3609//b3441//b1321//b0340//b2531//
NanR	b1782//b0403//
NimR	b0069//b1452//
