#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:59 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/simple_regulons_bnum.txt
AcrR	b0241//
Ada	b4673//b1080//b0345//
AgaR	b0152//b2737//b0107//b1714//b2582//b1536//b4326//
AlaS	b0232//
AllR	b1702//b1846//b1655//b0912//b3784//b1728//b1199//b0237//b3455//
AllS	b1609//b3062//b1429//
AlsR	b4249//b2558//b1020//b4098//b1948//b1566//
ArcA	b3616//b1568//
ArgP	b2616//b3500//b0244//
ArgR	b1201//b1410//b1252//b3863//b1548//b1333//b4398//b3788//b0516//b2751//b1886//b2537//b2541//b0069//
ArsR	b2152//b0688//b0744//
AscG	b2601//
AsnC	b3916//
BasR	b0776//
BirA	b3773//b3136//b3617//b1230//b0399//
BluR	b0190//b4159//b3665//b4087//
BolA	b1948//b1954//
CRP	b3183//b0688//b1200//b0921//b2616//b2068//b2509//b0475//b0216//b3976//b0192//b1072//b2600//b1184//b0216//b2211//b1076//b3140//b1167//b0730//b4096//b2559//b1440//b1707//b3572//b3141//b2414//b3243//b0484//b1274//b3614//b2476//b4599//b3609//b3269//b1944//b0397//b0565//b3608//b0672//b4134//b4203//b2503//b2808//b3797//b3773//b0751//b1486//b3773//b3797//b4670//b1016//b2604//b1326//b0152//b2819//b3608//b3941//b1878//b3956//b3140//b2560//b0732//b2584//b2867//b1303//b1091//b3798//
CdaR	b0383//b3011//b2553//b4293//b0536//
CecR	sroA//b2497//b4100//b1399//b3960//
CpxR	b1536//b3956//b1914//b3458//b0696//b2212//b3062//b1127//b1885//b2189//b0277//b4426//b2469//b2529//b3789//b1846//b0486//b2787//b2379//b0234//b1949//b0484//b0841//b2600//b0863//b1163//b0744//b1925//b1132//b2601//b0777//b0855//
Cra	b4502//b3976//b1707//b4393//b1728//b1641//b0670//b1283//b4175//b1846//b1379//b3268//b3965//b4100//b0385//
CreB	b0486//
CsgD	b0912//b4254//b4101//b0031//b3786//b2826//b1444//b3006//b4173//
CueR	b1113//b3617//
CynR	b4435//b3139//b3686//b0207//
CysB	b3156//b0399//b3525//b3922//b1411//b2597//b0856//b2895//b3859//b1954//
Dan	b3157//b0796//b3186//b2789//
DhaR	b3027//b4445//b1706//b2232//
DicA	b0517//b3661//b1945//b1321//b1408//b1655//b0273//b1944//
DnaA	b3268//b3240//
EvgA	b3661//b0192//b3186//b0071//b1783//b2541//b1810//
FNR	b0565//b0353//b3774//b3500//b0051//b2808//b2609//b1946//b2097//b1608//b2427//b1729//b2967//b2212//b0751//b1945//b0464//b2601//b2476//b0730//b1076//b1613//b2062//b1080//b0673//b0841//b2371//
FadR	b3469//b2614//b4095//b1130//b1440//b4618//b1434//b3938//
FeaR	b0774//
Fis	b0665//b2000//b4280//b4175//b4013//b1003//b2788//b3790//b0152//b0513//b4213//b2289//b4094//b0508//b0861//b4506//b1528//b4025//b1860//b2867//b1609//b1702//b4202//b0750//b1377//b2464//b1327//b2597//b2839//b3977//b3788//b3806//b0854//b0237//b1081//b0516//b2605//b3096//b3394//b0891//b3131//sroC//b1884//b3270//b3242//b0755//b1230//b2630//b4088//b0964//b0730//b3661//b2868//b3665//b4401//b0536//
FlhDC	b3021//b0670//b3243//b2699//b1113//b0109//b2153//b0447//b3938//b1567//b3268//b1327//b1321//b4201//b4093//b0664//b1203//b3525//b1577//b1880//b2601//b2686//b1184//b2171//b4213//b2893//b0162//b4043//b4292//b2671//b2085//b2407//b3729//b1082//b1926//b3686//b3922//b0072//
FliZ	b2937//
Fur	b1260//b0999//b0504//b4392//b2291//b1575//b4086//b2788//b0378//b4673//b2824//b2232//b2671//b4673//b2606//b4095//b1333//b4408//cpxQ//b1411//b3525//b1883//b1528//b1790//
GadX	b0162//b4116//b2313//b4435//b1002//b4451//b4450//
GcvA	b1379//b3139//
H-NS	b3922//b4399//b1184//b2375//b4347//b4100//b3493//b1321//b0862//b1913//b1925//b1230//b0839//b2068//
HU	b3799//b2558//
HcaR	b1608//b2684//b2824//b3531//b3049//b4099//
IHF	b1165//b0708//b2987//b1717//b0233//b4408//b3188//
IlvY	b0273//b0049//
IscR	b0730//b3532//efeU_2//b4293//b0340//b0922//b0517//b3699//
KdpE	b4406//b2316//b2316//b4435//
LeuO	b0382//b1000//b0441//b1540//b2373//b2699//
LexA	b1166//b4013//b1954//b2169//b3457//b0970//b0378//b4663//b2558//b0405//b0841//b2671//b1655//b1728//b3665//b0855//b1201//b1945//b3798//b0517//b4411//b4368//b2967//b4002//b4415//b0232//b0384//b0189//b0536//b3922//b3521//b3243//b0513//b3364//b3500//b2169//b0464//
LrhA	b2666//
Lrp	b3794//b3458//b3454//b0856//b0191//b3494//b0505//b3916//b4100//b2058//b1729//b3186//b3392//b0441//
LysR	b1882//
MalT	b2820//
MarA	b3501//b1074//
MatA	b4523//b3607//
McbR	b3774//
MetJ	b0189//b3613//b2987//b1016//b2436//
MlrA	b1790//b4408//b1924//b3547//b1111//
MngR	b3787//b0668//b3457//
MntR	b0839//b4160//
MprA	b4089//b4254//b0106//
MqsA	b0060//b2824//
MurR	b1578//
Nac	b1706//b0731//b1576//b0957//b4090//
NadR	b3356//b3183//b3186//
NagC	cpxQ//b0241//b0778//b2311//b0071//
NanR	b2497//b4092//
NimR	b2310//b4173//
NsrR	b3022//b0999//b0151//b1945//b1452//b2097//b3688//b1702//b4411//b0340//b1487//b1452//b0140//b1205//b0995//b0514//b2537//b2605//b4054//b1889//b2063//b2312//b3859//b0987//b2217//b2666//b3773//b3021//b1444//b4270//
NtrC	b1444//b1948//b2316//b1860//b1902//b0052//b3957//b4426//b0921//b1926//b3395//b0377//b2311//b1886//b1261//b2737//b1914//
OmpR	b0511//b2580//b3424//b1486//
OxyR	b0475//b4025//b3454//b3979//b4090//b1081//b3062//b0073//b2808//
PaaX	b3322//b4134//
PepA	b4116//
PgrR	b0708//b4293//b2127//b3395//b1321//b0795//b1578//
PhoB	b1487//b0604//b2557//b0110//b3096//b3006//b1486//b0775//b2310//b1440//b4260//b0604//b4094//b4417//b4599//b4096//b3799//b1884//b1890//b0892//b3500//b0708//b0775//b4326//b4399//b0590//b1945//b3460//b0786//b1528//b3131//
PhoP	b3455//b2291//b2965//b4401//b1566//b2867//b3188//b1082//b0231//b1198//b0277//b1888//b3688//b0995//b2574//b4368//
PspF	b3006//
PurR	b1004//b2630//b1702//b1902//b2538//b4293//b0152//b3661//b3425//b1913//b2987//b1925//b0234//
RbsR	b3793//
RcdA	b2311//b1888//b0074//
RclR	b1165//b1848//b2686//
RcnR	b1207//
