#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:59 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/simple_regulons_bnum.txt
AcrR	b0708//
Ada	b0912//b1201//b4416//
AgaR	b1608//b4150//b2537//b1719//b1004//b3270//sroA//
AlaS	b0666//
AllR	b3958//b3066//b0346//b1579//b0598//b3022//b1002//b4393//b0697//
AllS	b1655//b2604//b3395//
AlsR	b3912//b3500//b1485//b4134//b1198//b1782//
ArcA	b4024//b0857//
ArgP	b1714//b0514//b3501//
ArgR	b2311//b0863//b2372//b2559//b4408//b2631//b1205//sroA//b0293//b2289//b2737//b4368//b0779//b2375//
ArsR	b1879//b2987//b3670//
AscG	b3860//
AsnC	b0999//
BasR	b1902//
BirA	b4417//b3532//b3095//b0796//b2616//
BluR	b1484//b1861//b3938//b1654//
BolA	b0080//b3923//
CRP	b0598//b4254//b1780//b3501//b3063//b1409//b0109//b1925//b3502//b1860//b1713//b1078//b0517//efeU_2//b4280//b0672//b3060//b4254//b3431//b0708//b1914//b1434//b0273//b0685//b3432//b3502//b0273//b0665//b2987//b1272//b2404//b1386//b3458//b0072//b1880//b0732//b0111//b4054//b0841//b1481//b3186//b4102//b3558//b0293//b3392//b1004//b4416//b4702//b4435//b0622//b4355//b4480//b2059//b0970//b0590//b0397//b1092//b0485//b2597//b1782//b2396//b0666//b2375//b1203//b4279//b1411//b1568//b2967//
CdaR	b1000//b0793//b0684//b1127//b1203//
CecR	b0066//b4241//b1102//b4219//b1074//
CpxR	b2604//b4249//b1889//b1073//b3787//b4398//b3744//b0792//b0774//b2127//b3137//b0485//b0622//b2560//b0385//b1579//b0111//b0806//b0156//b2839//b2540//b3661//b4025//b2604//b2531//b1076//b0964//b2542//b2821//b1576//yegZ//b1885//
Cra	b0666//b0685//b1728//b0668//b0191//b2171//b2893//b2597//b3532//b0234//b1283//b0522//b0353//b3008//b2606//
CreB	b4567//
CsgD	b3798//b2597//b2665//b2574//b1183//b4134//b3729//b1430//b1954//
CueR	b2686//b1452//
CynR	b0652//b1442//b4043//b4522//
CysB	b3797//b0672//b4013//b4415//b2497//b0750//b3185//b0778//b2537//b4699//
Dan	b4175//b4484//b2752//b0730//
DhaR	b4116//b2372//b0191//b3137//
DicA	b1488//b0353//b3240//b2400//b4326//b0140//b0604//b3967//
DnaA	b0589//b3525//
EvgA	b1205//b0106//b4129//b0814//b0588//b3423//b2232//
FNR	b1409//b0672//b1333//b0557//b1083//b2105//b0970//b0399//b0382//b1091//b2671//b2127//b2312//b3558//b0069//b2465//b4451//b1013//b4024//b1484//b0511//b0922//b4417//b3798//b0192//b1569//b1889//
FadR	b1452//b1950//b3011//b1078//b0231//b1379//b0353//b1183//
FeaR	b1000//
Fis	b1131//b4101//b0108//b3919//b2604//b3500//b1013//b3013//b3966//b1536//b4415//b1623//b3067//b1283//b2371//b0750//b2085//b0516//b3786//b1252//b2476//b3157//b3798//b0216//b2061//b1741//b0779//b3022//b3965//b0862//b1429//b0861//b2597//b4099//b4368//b4398//b1263//b1718//b0778//b1205//b4213//b1540//b2059//b3774//b1452//b2687//b2666//b0447//b4355//b0557//b1079//b1091//b2062//b0485//b3066//b3500//
FlhDC	b4415//b4104//b0273//b3131//b0403//b0353//b1131//b4024//b2217//b0688//b1741//b4347//b4175//b0294//b2310//b3616//b1945//b3960//b1655//b0854//b4368//b4292//b3774//b1408//b3457//b4702//b0296//b1440//b1321//b1444//b3188//b1230//b3774//b4249//b1540//b2987//b4698//b0622//
FliZ	b4435//
Fur	b1781//b1537//b3501//b3785//b0751//b2403//b0776//b3686//b4458//b2864//b1410//b4099//b1198//b3188//b4347//b2232//b4129//b4411//b3791//b1199//b0517//yegZ//b4175//b3613//
GadX	b1861//b0464//b0730//b3941//b3773//b2584//b4347//
GcvA	b1303//b3188//
H-NS	b3860//b2606//b4618//b0696//b2895//b2687//b2597//b0384//b3503//b3469//b3138//b0696//b1165//b1609//
HU	b4254//b2752//
HcaR	b1132//b3057//b2631//b3456//b3957//b1452//
IHF	b4484//b1846//b1945//b2584//b1719//b0385//b1092//
IlvY	b2820//b4698//
IscR	b3322//b2371//b2559//b1926//b1536//b0345//b2818//b1780//
KdpE	b0067//b0405//b4406//b3501//
LeuO	b4249//b4671//b3793//b4705//b4100//b0152//
LexA	b2671//b0511//b1377//b0108//b0588//b1814//b3008//b2750//b1548//b3013//b0447//b2375//b2169//b0890//b0207//b2614//b2893//b2169//b3785//b3060//b2789//b3572//b1982//b3066//b0301//b2097//b3457//b1399//b1481//b0684//b2312//b0107//b1130//b0795//b1882//b3185//b2616//
LrhA	b3785//
Lrp	b4670//b4522//b1741//b2097//b4702//b4702//b2597//b4089//b1887//b0052//b4426//b3545//b0152//b3670//
LysR	b2400//
MalT	b0383//
MarA	b4450//b0514//
MatA	b1322//b1443//
McbR	b1483//
MetJ	b4092//b1111//b0150//b0684//b3613//
MlrA	b3062//b1791//b2553//b3792//b1078//
MngR	b0515//b2608//b3938//
MntR	b2604//b3787//
MprA	b1914//b0922//b3976//
MqsA	b1618//b1032//
MurR	b4435//
Nac	b2967//b1623//b1568//b4203//b4174//
NadR	b3792//b2105//b3364//
NagC	b3730//b0507//b1609//b3859//b3065//
NanR	b2060//b2852//
NimR	b3532//b1634//
NsrR	b3237//b3923//b4411//b4116//b3243//b3493//b0514//b2312//b0598//b2600//b1884//b2529//b4326//b0557//b3976//b0123//b3781//b1982//b3063//b0231//b1072//b1887//b2538//b4129//b1091//b0589//b1728//b0486//b0708//b0152//
