#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:59 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/simple_regulons_bnum.txt
AcrR	b2061//
Ada	b4085//b4116//b3241//
AgaR	b3531//b1408//b2212//b3356//b0970//b2476//b2062//
AlaS	b1400//
AllR	b0995//b4484//b3270//b1826//b0775//b0207//b1485//b1265//b4364//
AllS	b3141//b3558//b2539//
AlsR	b1379//b0776//b2965//b1326//b1378//b3061//
ArcA	b3617//b1205//
ArgP	b3661//b1537//b2213//
ArgR	b3013//b1002//b0293//b0892//b1884//b3454//b3797//b1013//b3547//b0066//yegZ//efeU_2//b0192//b2541//
ArsR	b3065//b4172//b1102//
AscG	b0123//
AsnC	b0687//
BasR	sroA//
BirA	b2105//b3979//b0664//b0107//b0923//
BluR	b0066//b1706//b2937//b4200//
BolA	b3830//b0240//
CRP	b0670//b4484//b0696//b2476//b4213//b4013//b0304//b0191//phnE_2//b3863//b3066//b3922//b3938//b2697//b0075//b1826//b2217//b1537//b3672//b0069//b2212//b1132//b0111//b4201//b3792//b3616//b4106//b4398//b1848//b0123//b4175//b3456//b3977//b4702//b4279//b2788//b1252//b4393//b2597//b1020//b3057//b3806//b4450//b3240//b3607//b1016//b4618//b1004//b2147//b3616//b3241//b1333//b1379//b3502//b0779//b0953//b1187//b4159//b1528//b1441//b4173//b0523//phnE_2//b0517//b3671//b1194//b2557//b0073//
CdaR	b2580//b4392//b3500//b1303//b1926//
CecR	b3911//b0589//b3798//b0523//b1400//
CpxR	b1780//b1410//b2574//b2603//b1714//b4397//b1608//b0382//b1183//b3338//b2818//b2371//b0050//b4150//b2542//b2061//b2820//b3612//b1203//b0405//b2868//b2868//b3131//b1540//b0743//b3269//b1488//b3457//b4241//b1859//b1073//b0732//
Cra	b3864//b0123//b0795//b4089//b1399//b2574//b2068//b0999//b0110//b0304//b3393//b1924//b1220//b1608//b1861//
CreB	b0604//
CsgD	b0111//b3157//b3613//b1826//b2097//b1707//b0672//b1076//b2788//
CueR	b3730//b0777//
CynR	b1784//b3960//b4673//b3364//
CysB	b3545//b3572//b3916//b4150//b0216//b2605//b2406//b3521//b3789//b0743//
Dan	b3665//b1262//b2685//b1798//
DhaR	b2631//b0751//b0670//b0799//
DicA	b4172//sroC//b0108//b1409//b3021//b1386//b0923//b4090//
DnaA	b1073//b0664//
EvgA	b1575//b1322//b0377//b2313//b1003//b3976//b3011//
FNR	b4481//b3863//b1016//b0504//b0439//b1702//b0743//b3469//b4705//b4326//b4105//b4481//b2819//b0523//b0862//b1443//b1262//b0708//b0345//b0341//b1229//b4393//b2476//b4201//b1127//b3729//b1283//
FadR	b3066//b0891//b3395//b3859//b0565//b3531//b2097//b2213//
FeaR	b0515//
Fis	b4411//b2751//b3608//b1111//b4618//b0795//b2396//b3558//b4415//b0684//b4094//b0522//b0231//b2823//b0892//b3798//b3919//b2698//b4013//efeU_2//b1132//b4458//b1885//b4397//b2852//b2406//b0687//b3424//b1982//b2867//b1569//b4502//b0384//b4326//b0799//b1430//b3794//b3670//b3432//b3616//b1717//b3730//b1165//b1277//b0523//b4159//b4392//b3670//b0655//b0153//b2938//b2684//b2373//b4292//b3128//b1263//
FlhDC	b1877//b3558//b1798//b2606//b2059//b1444//b4093//b2852//b0588//b3699//b0665//b0861//b3493//b2616//b3977//b0604//b1846//b0792//b2167//b1536//b1013//b0151//b0397//b1167//b2402//b4202//b0405//b0060//b3645//b0069//b4013//b3131//b3005//b3394//b0653//b1488//b2601//b0536//
FliZ	b0049//
