#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:59 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/simple_regulons_bnum.txt
AcrR	b1003//
Ada	b1288//b3617//b4364//
AgaR	b4094//b2469//b0598//b0151//b2684//b3241//b0111//
AlaS	b0959//
AllR	b0296//b1954//b3798//b4159//b1325//b2967//b1408//b3911//b0970//
AllS	b1947//b0107//b2789//
AlsR	b0237//b2697//b0708//b0655//b0191//b2375//
ArcA	b4415//b1718//
ArgP	b3008//b1440//b0241//
ArgR	b0066//b1576//sroA//b4522//b2379//b1485//b1283//b4092//b2825//b1434//b2058//b0588//b2686//b3271//
ArsR	b4134//b4450//b2686//
AscG	b1568//
AsnC	b1884//
BasR	b1885//
BirA	b4411//b0652//b1879//b2582//b2371//
BluR	b3062//b1408//b2060//b4098//
BolA	b1074//b1408//
CRP	b2372//b0685//b3022//b1859//b0743//b3608//b4105//b1877//b4260//b2788//b3237//b2699//b0536//b4698//b0241//b3830//b1164//b3012//b3830//b3977//b1579//b0473//b1379//b3791//b0140//b2396//b1848//b3612//b1536//b3806//b2558//b1411//b3021//b1303//b3572//b4087//b4095//b1578//b1013//b4417//b1540//b4618//b4254//b0744//b1608//b1569//b3095//b2528//b3680//b3773//b1902//b3784//b0441//b3608//b3338//b1741//b0486//b0890//b4347//b2097//b1263//b3773//b2085//b2497//b4150//b1277//b2232//b1429//
CdaR	b1881//b0216//b2061//b1194//b3494//
CecR	b2779//b2397//b3617//b1429//b2396//
CpxR	b1325//b0339//b3859//b4260//b3458//b1386//b3956//b1882//b0341//b4370//b2167//b1886//b0750//b2167//b2539//b3784//b1333//b3781//b0346//b0664//b0473//b3912//b4093//b1944//b4213//b1260//b0995//b3431//b1848//b2699//b3454//b3794//
Cra	b3395//b3157//b3157//b4092//b0139//b2289//b2212//b3005//b2698//b0511//b0156//b1483//b0622//b4426//b4092//
CreB	b2169//
CsgD	b1879//b2604//b4522//b4175//b4044//b1013//b0140//b1229//b0511//
CueR	b4086//b4355//
CynR	b1782//b1429//b2531//b0959//
CysB	b3027//b2059//b3183//b2789//b0216//b4397//b1655//b2127//b0995//b0796//
Dan	b4044//b1093//b2601//b1810//
DhaR	b0145//b0080//b2686//b0067//
DicA	b2059//b1579//b1441//b0557//b3458//b3665//b1944//b0999//
DnaA	b0123//b3957//
EvgA	b4098//b0353//b0385//b4085//b4370//b1075//b3671//
FNR	b2864//b3394//b2606//b1880//b3423//b0523//b2864//b4663//b4663//phnE_2//b0139//b0464//b3957//b2614//b3062//b0475//b0073//b1429//b4200//b4086//b2498//b0166//b1654//b0786//b2671//efeU_2//b1881//
FadR	b1967//b4172//b0051//b3188//b0151//b3616//b3614//b0139//
FeaR	b1083//
Fis	b0925//b0588//b1199//b3013//b0166//b4013//b3966//b3183//b0854//b2541//b0031//b0855//b3006//b4202//b2060//b0511//b2616//b2063//b1707//b2965//b1713//b4098//b4523//b3730//b3613//b2146//b0794//b0072//b4013//b0153//b2839//b3922//b1567//b3500//b4104//b0665//b4480//b1183//b0513//b3911//b4368//b0108//b0730//b1883//b0050//b1074//sroC//b1207//b0814//b0925//b3005//b4159//b1568//b3456//b1163//b1781//
