#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:59 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/simple_regulons_bnum.txt
AcrR	b1877//
Ada	b2530//b3005//b0922//
AgaR	b1488//b0106//b1130//b2085//b1229//b1641//b4241//
AlaS	b2685//
AllR	b1132//b3612//b2529//b3617//b0731//b2403//b3688//b0162//b0708//
AllS	b0744//b2558//b0799//
AlsR	b3502//b1569//b2779//b0921//b3432//b4481//
ArcA	b1378//b3670//
ArgP	b3395//b0505//b0071//
ArgR	b3977//b1798//b1546//b1890//b4698//b3067//b1075//b4522//b3271//b0957//b3545//b4089//b4203//b0684//
ArsR	b2289//b2808//b1860//
AscG	b3661//
AsnC	b2737//
BasR	b3460//
BirA	b3791//b1274//b4416//cpxQ//efeU_2//
BluR	b2153//b1082//b3729//b0732//
BolA	b1004//b0123//
CRP	b3393//b0509//b2542//b3959//b0110//b0241//b3493//b4096//b0192//b3242//b1430//b4368//b3614//b0744//b3612//b0383//b2146//b2211//b3967//b4254//b0856//b2404//b2698//b1230//b4292//b2290//b3065//b0755//b0912//b4042//b4090//b1728//b0856//b1568//b1967//b3791//b1080//b1073//b1762//b1013//b4426//b3980//b0237//b2169//b0664//b2063//b0653//b2601//b2684//b3393//b0590//b2127//b1165//b1798//b3609//b4525//b0108//b2371//b0304//b4399//b2614//b1826//b1810//b3547//b3959//b0377//b0485//b1707//
CdaR	b0921//b4043//b2217//b4326//b4002//
CecR	b0303//b3645//b1566//b1093//b0796//
CpxR	b1949//b3796//b0557//b2217//b3787//b1127//b4670//b1950//b1262//b0303//b3392//b2606//b0732//b3021//b2372//b1166//b0688//b0190//b0237//b3356//b0731//b0066//b2818//b0051//b4150//b2737//b1618//b0153//b0397//b0854//b1386//b0273//
Cra	b3139//b1487//b1130//b3057//b0654//b0751//b0744//b2560//b0688//b0294//b0140//b4663//b0849//b0301//b2374//
CreB	b2406//
CsgD	b4100//b0507//b2557//b2580//b2539//b2868//b4347//b0874//b1163//
CueR	b0237//b3242//
CynR	b2541//b2167//b3959//b2465//
CysB	b3364//b0957//b0516//b1200//b0964//b0189//b0792//b3423//b3270//b0403//
Dan	b3270//b2779//b3617//b0152//
DhaR	b0068//b3863//b4393//b3938//
DicA	b3791//b1713//b0060//b0891//b0861//b0338//b1076//b1272//
DnaA	b0156//b3788//
EvgA	b3922//b1846//b0475//b4279//b1132//b0185//b3237//
FNR	b4106//b0140//b1410//b3859//b2401//b1277//b2509//b1262//b2476//b3006//b0861//b3013//b3065//b1102//b1540//b0106//b2631//b0123//b0068//b2584//b1729//b2698//b3686//b2189//b2068//b1408//b1016//
FadR	b2967//b2388//b3392//b2291//b0687//b0849//b0464//b2606//
FeaR	b3062//
Fis	b1878//b4445//b0353//b1183//b0732//b1967//b2059//b1623//b2868//b3140//b0959//b1130//b3612//b1487//b2601//b0922//b2616//b2630//b0696//b0684//b2373//b0774//b4292//b1926//b1885//b2698//b4086//b1846//b3501//b4399//b0512//b0622//b0912//b0068//b3394//b3617//b0191//b4086//b0273//b0190//b4173//b2867//b3432//b2631//b3680//b0508//b2751//sroC//b1277//b0892//b4292//b2374//b1092//b1886//b0673//b0557//
FlhDC	b1676//b1623//b1073//b1130//b0508//b3558//b4444//b0806//b4293//b4202//b2375//b1303//b3008//b1741//b3460//b1641//b3457//b2375//b2530//b2401//b3572//b0068//b2396//b4702//b3941//b4369//b3960//b4663//b0400//b0191//b4450//b3730//b1020//b1676//b1408//b0108//b0799//b3271//
FliZ	b0688//
Fur	b3699//b2058//b1861//b0793//b0971//b3799//b3243//b0346//b0166//b2401//b0855//b2584//b2436//b1079//b0999//b2789//b1203//b3500//b2529//b1325//b0517//b0670//b3532//b4444//
GadX	b0987//b0921//b0995//b0443//b0806//b0405//b4525//
GcvA	b0473//b3911//
H-NS	b2582//b3140//b2937//b0240//b0106//b3184//b3268//b1441//b4249//b3729//b2313//b3423//b1429//b0233//
HU	b0146//b2379//
HcaR	b0166//b1914//b3503//b1485//b3617//b0072//
IHF	b3941//b3609//b0708//b3614//b3744//b0670//b3096//
IlvY	b0441//b4673//
IscR	b4525//b2597//b1566//b4293//b0655//b3863//b2788//b1783//
KdpE	b0189//b3672//b2839//b3661//
LeuO	b2232//b2060//b2465//b3788//b1914//b0622//
LexA	b4270//b4086//b1528//b3813//b0049//b0855//b0892//b0598//b2614//b0075//b0511//b1410//b1707//b4347//sroA//b3785//b4106//b4054//b1728//b1704//b1207//b1262//b3425//b3128//b0232//b0231//b0304//b4663//b3454//b2820//b3338//b0244//b3022//b0665//b2316//b2864//b0750//
LrhA	b1184//
Lrp	b1569//b3609//b0598//b3395//b4663//b3789//b2097//b3791//b3157//b1199//b0162//b0665//b2823//b4025//
LysR	b4280//
MalT	b2127//
MarA	b2821//b4506//
MatA	b1982//b0730//
McbR	b0293//
MetJ	b4443//b4096//b2509//b2290//b1200//
MlrA	b3063//b1230//b0273//b2686//b2737//
MngR	b1187//b3063//b0473//
MntR	b0447//b2607//
MprA	b3242//b3790//b3730//
MqsA	b3140//b0793//
MurR	b2539//
Nac	b1848//b1400//b4219//b1780//b2789//
NadR	b1183//b1083//b4173//
NagC	b4102//b3096//b1783//b4202//b0233//
NanR	b4013//b0241//
NimR	phnE_2//b3960//
NsrR	b0799//b4241//b0240//b0653//b3911//b0841//b1902//b2531//b3958//sroA//b0273//b4364//b0708//b3670//b0338//b1481//b3432//b0339//b0666//b1790//b2062//b0839//b1945//b2603//b0216//b0075//b1719//b2436//b4444//b2631//
NtrC	b2348//b0473//b2289//b2864//b0860//b4088//b2427//b1578//b1091//b1016//b3976//b1826//b1780//b2616//b1230//b4599//b2311//
OmpR	b3813//b1321//b0565//b0353//
OxyR	b1111//b0775//b3730//phnE_2//b0237//b0190//b0162//b4398//b2152//
PaaX	b0382//b1540//
PepA	b2789//
PgrR	b3027//b4160//b3469//b2406//b2987//b3395//b0987//
PhoB	b3786//b2232//b2402//b1618//b2312//b0475//b1032//b1002//b2436//b2396//b2789//b1321//b0793//b3062//b1885//b4025//b3859//b3393//b4202//b4043//b2630//b3136//b4370//b3392//b1924//b0664//b1791//b4444//b0964//b0233//b2541//
PhoP	b1230//b2167//b4370//b2967//b0301//b2937//b2061//b1252//b3269//b3614//b3065//b0485//b0512//b4129//b2476//b3680//
PspF	b0341//
PurR	b0779//b1004//b0793//b0774//b1926//b2379//b0795//b0999//b4213//b3057//b1072//b1618//b1706//
RbsR	b2609//
RcdA	b1634//b2808//b4369//
RclR	b1265//b1826//b3791//
RcnR	b0338//
RcsAB	b1879//b2401//b3243//b1781//b0106//
RcsB	b0150//b2607//b0697//b0654//
RcsB-BglJ	b1888//b3138//b0517//b4150//b0244//b0744//b1945//b2476//b0145//b4613//b0072//
Rob	b0698//
RutR	b2686//
SdiA	b3912//
SgrR	b4416//b3617//b0796//b2686//b0698//b0216//
SoxS	b4134//b2216//b3789//b0912//b0796//b0341//
SutR	b0066//b0240//
TorR	b0273//
TrpR	b0068//b0486//b1706//b1434//b0670//b3241//b1378//b1879//
TyrR	b0751//b3269//b3672//
UidR	b2538//
UvrY	b1322//b0338//
XapR	b3789//b3616//
YdeO	b3966//b3063//
YjjQ	b2469//b3057//b4397//b0743//b0071//b0515//b3729//
YpdB	b2937//
YqhC	b3139//b4098//
ZntR	b2539//
ZraR	b4364//
Zur	b0687//b3137//b3699//b0509//b2374//
