#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	potF//artM//
AcrR_neg	pspF//dctA//nfuA//melR//guaA//ynfG//galS//nfsA//entA//hokD//norW//
Ada_neg	murC//iraM//
Ada_pos	fruA//nikE//hyfB//pspD//
AdiY_pos	sufC//xapB//idnK//narH//codB//entD//thiP//yqhG//
AgaR_neg	ydfE//ydeI//fau//mazG//metY//phnO//nfsA//gadA//feoA//phoE//tdcD//
AidB_neg	tdcB//
AlaS_neg	stpA//
AllR_neg	rpoD//metH//sbcD//dapD//prs//arsC//sroD//alsA//yneM//
AllS_pos	mioC//ugpQ//treB//
AlsR_neg	tktB//phnE_1//ruvB//modB//hlyE//dsbC//
AppY_pos	rprA//nagE//serA//entC//potG//sucC//marR//ttdT//aslB//argD//
AraC_neg	rpsU//nuoL//lexA//sroC//dmsB//rbsC//fecB//purN//
AraC_pos	cra//ssrS//gpmA//nirB//fliF//grxD//mntH//uxaC//mdtF//rybB//
ArgP_neg	yeaG//
ArgP_pos	glcA//pspE//fhuF//mepH//phoB//wzxE//yccJ//garL//ddpX//nrdB//moaD//leuB//fbaB//
ArgR_neg	uvrD//ccmG//hybC//ynfK//glnK//ssuB//frdB//rplT//gltB//bioA//yefM//hemL//dgcN//glcG//chbG//gcvH//iclR//aspC//yncE//hlyE//tdcF//flgG//appY//mtr//fecE//fucA//tehB//tyrA//nrfF//accA//hyfH//yebE//nikE//
ArgR_pos	malK//potI//dinI//gcvA//ygbA//
ArsR_neg	add//argO//psiF//
AscG_neg	rcnB//mdtD//rcnR//gntT//yebG//
AsnC_neg	mdh//mipA//hyi//
AsnC_pos	ymjD//
AtoC_pos	srlE//cho//acrD//ppdA//
BaeR_pos	aceK//tolC//napF//pspC//ynfE//cra//gudX//emrY//
BasR_neg	pgk//pfkA//
BasR_pos	ruvB//nmpC//frdD//flgD//glmU//glyA//modC//glpK//hypD//cusR//appX//
BetI_neg	dhaR//tsx//fecD//ycjY//
BirA_neg	napA//malM//chbA//yccT//ydcT//
BluR_neg	chbC//truB//malZ//yfiR//
BolA_neg	nfsA//arsR//
BolA_pos	degP//pgaA//
CadC_pos	fucR//ydbK//folA//
CaiF_pos	cyoC//agaW//puuD//rhaD//sodB//nlpA//accC//gabP//fimE//qseC//
Cbl_pos	alkA//nfsB//gspK//artQ//fumB//malQ//lsrC//ydiU//folA//
CdaR_pos	yeiB//nrdD//cusB//hflD//lsrD//lon//nemR//yhdX//glcC//cysB//
CecR_neg	wza//zntA//dctA//nanM//chiP//
ChbR_neg	asnA//gadE//yciE//yefM//higB//trxC//
ChbR_pos	rutG//galM//mhpC//nhaA//napD//rffC//
ComR_neg	yidL//
CpxR_neg	zntA//ecnB//yhjA//araC//nfsA//rtcA//aroG//dinJ//kdpC//ascB//garL//cpxA//rob//lyxK//gspG//ygiC//ybjN//cusR//fliC//ccmF//yafP//lpxA//glpX//ybaT//
CpxR_pos	phnK//mdtD//allD//phoQ//gnd//accB//purB//casE//rclA//kbaY//marR//sufC//rpoH//gadX//fliC//fliQ//gudX//yrbL//garR//kbp//ssuC//araD//ubiX//gspL//yfdX//yafP//garK//fucI//nuoM//yiaN//norR//ldtC//gspD//uspE//glmY//gcvP//fabZ//cadC//bioA//fhuE//dhaL//crp//dicC//hybE//argD//ubiX//
Cra_neg	cusR//pck//sgrS//mioC//argE//nac//cspE//ybhG//psd//melB//dinF//cynT//malI//paaK//arsC//phoP//pnuC//alsA//glnD//sbcC//lsrG//malE//ppiD//galE//cysE//melR//fadH//cspE//paaG//sroD//dicC//rpiB//pdeR//yibQ//emrY//ynfG//ftsL//ydfX//ybhS//nfo//fliK//rplT//yhdW//galS//aceF//ariR//metR//tfaQ//rutD//hybA//narH//nfsB//casC//phnI//pstA//ssuB//glnG//nrfG//cynS//
Cra_pos	emrY//oxyS//soxR//narH//hyfF//paaJ//ynbA//ychF//hipB//pgpC//wzzE//fucA//flhE//wcaA//rbsK//nanE//nrfF//potH//csrB//cdd//bamE//glpD//fliR//
CreB_neg	sbcC//mgtL//exbB//
CreB_pos	evgA//sgrR//
CsgD_neg	moaB//ulaF//glnA//katG//argA//yhjC//fadJ//gudD//ymgC//ydiU//cyoC//ptsH//cpxQ//murI//kdpC//
CsgD_pos	gapA//udp//nikB//rpiR//moeA//ssuB//narX//garP//ydiU//norW//cirA//nrdF//ompN//
CsiR_neg	nfsA//hybF//hmp//potH//lsrB//
CspA_pos	nuoM//mprA//
CueR_neg	fdnG//prpB//edd//purR//wcaB//
CueR_pos	casC//alsA//
CusR_pos	aceA//nrdI//ddlB//hokD//mhpC//appC//marR//btuB//fecI//csgB//gspI//ybjC//
CynR_neg	fhuD//
CynR_pos	frdB//ynbA//rhaB//
CysB_neg	dkgA//nrdI//prs//iscR//betA//csrC//znuA//
CysB_pos	phnE_1//dhaK//ugpC//lysP//leuL//ompN//galS//lsrK//ygbA//phoQ//purA//pgpC//gspL//lpxC//baeR//gor//malY//hypB//spy//seqA//idnD//yeiL//betI//ibaG//paaI//
CytR_neg	ydfX//cusR//mazE//glxR//insD//ybhF//wrbA//asnB//fnr//prpD//znuA//tcyP//degP//
Dan_pos	fur//ccmH//ptrA//nrdD//
DcuR_pos	paaK//cysC//ybaS//murE//citD//phnJ//dmsA//emrK//fiu//
DeoR_neg	frdA//astB//malM//bacA//metK//hypA//
DhaR_neg	aceK//
DhaR_pos	ugpA//nrdF//yaiA//
DicA_neg	ftsK//yciW//rbsR//csrB//fadR//allD//narI//ddlB//
DinJ-YafQ_neg	norV//pdhR//puuB//
DnaA_neg	motA//dpiA//sdhD//phoE//pheS//hcaD//pstA//ygiA//ecpR//fucI//nuoG//
DnaA_pos	malS//rpsO//pstB//fepC//pykF//rplT//recC//
DpiA_neg	cra//
DpiA_pos	argP//mazE//omrB//acnA//rplT//erpA//pspG//ybiT//phoP//gutQ//
