#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	ydbK//rpmA//
AcrR_neg	creB//flhC//gnd//entE//slyB//emrA//entE//ydhW//dicC//ascB//hypE//
Ada_neg	nrfB//entC//
Ada_pos	polA//pspD//rnpB//aspC//
AdiY_pos	paaF//slyB//ydcT//yibQ//puuR//rseB//flhA//appX//
AgaR_neg	iscS//yagK//ugpQ//gntU//tomB//phnE_1//yhdZ//cvpA//slt//glmY//pqiB//
AidB_neg	bdm//
AlaS_neg	pdeH//
AllR_neg	lldP//recC//fumB//uxaC//fliZ//phoP//aroL//erpA//cynX//
AllS_pos	carA//sgrT//ssuB//
AlsR_neg	ybhF//sbmA//allA//fliO//csgA//metE//
AppY_pos	nuoA//chbC//yfdX//sgbE//glpT//metY//chbC//ccmB//ndh//rnlB//
AraC_neg	ybfE//potH//nfuA//atoB//yeiB//purE//ydbK//modB//
AraC_pos	dnaN//hflD//ydhV//hcaD//efeU_2//recN//tyrP//gltI//erpA//yaiW//
ArgP_neg	cysG//
ArgP_pos	dicB//casA//ydjM//pgm//purL//cyoA//hisM//nrdE//lpd//cdd//lsrC//rutG//mgrB//
ArgR_neg	alkB//fucR//hycI//exbD//entC//decR//cysK//norR//rclC//hns//mdtC//cysE//dcuD//pgaC//ssrS//rtcB//accC//modC//phnO//fecE//pspE//ycdZ//cysP//cadC//mtlD//nanS//cpxR//fadJ//cynT//yfiR//dmsA//hybO//gatB//
ArgR_pos	tpiA//bglB//isrC//recX//nikA//
ArsR_neg	nanA//lsrD//ppsA//
AscG_neg	lgoR//gcvP//umuC//uvrA//ariR//
AsnC_neg	sra//ptsG//hycA//
AsnC_pos	gabP//
AtoC_pos	cysJ//ogt//oppC//csgG//
BaeR_pos	fadJ//tonB//talA//ynbB//galK//hyfJ//sucB//slt//
BasR_neg	ydfW//ccmB//
BasR_pos	lyxK//flgA//citD//flgK//tauD//tcyJ//amtB//ptrA//tktB//purR//katE//
BetI_neg	ssb//hyfC//ydeP//hyfA//
BirA_neg	argT//fliC//rybA//phnP//exuT//
BluR_neg	dhaL//casD//frdA//frdD//
BolA_neg	yiaJ//ygeA//
BolA_pos	mqsA//zraR//
CadC_pos	bioA//omrB//napA//
CaiF_pos	feoA//trpA//fhuA//garR//ftsI//xylH//nrdH//lysP//yqhG//relB//
Cbl_pos	flhA//narJ//lacZ//treB//pfkA//yjeV//paaE//yidL//ynbC//
CdaR_pos	aldA//cydC//chbC//zinT//pitB//bglF//ybdN//murE//yqaE//talA//
CecR_neg	uidC//nrdE//yqaE//glcG//oppA//
ChbR_neg	pstA//flgD//sdhA//puuA//ddpX//yafP//
ChbR_pos	ddpC//tam//alaS//citF//fliR//rplT//
ComR_neg	hybE//
CpxR_neg	hyaD//murC//yfdV//zraR//fes//aceB//pykF//frc//hcaR//speA//cyoC//micF//phnI//accC//dhaL//yiaN//asnB//yeaG//chbR//ycjG//phnF//symE//gltK//hypA//
CpxR_pos	rnpB//ynfE//gutQ//uxuB//dnaA//glcC//aroL//paaI//decR//yecR//gcvB//glnL//fucP//rimK//gatB//puuD//waaY//dcuD//ygbK//pykF//phoP//tdcD//paaC//fliH//csgE//aceF//fdnG//tauD//dacC//polB//betI//yaiA//torD//yaiW//ycjG//acrA//lpd//dnaG//narG//fecD//ahpF//gabD//phoH//sucD//sgbH//cyaR//
Cra_neg	glmY//nupG//lhgO//truB//uhpT//hyaF//alsB//purB//dgcZ//aceB//paaF//yrbL//phnP//ygbA//ssuE//putA//phoA//modA//crr//moaC//ynfK//caiA//ptsI//citD//aceA//appY//flgG//putA//fabA//nupC//purN//fabD//manX//argO//mipA//cynT//cpxA//accA//cydC//rseC//evgS//edd//hcp//fdnI//efeU_2//rnpB//ttdB//phnO//stpA//lrp//arsC//sbmA//tauD//dnaA//gcvT//metF//napG//rpoE//rbfA//
Cra_pos	gntT//rtcB//sbmC//hycE//gcvB//nusA//metL//wza//purL//arsB//oppF//chbF//hypD//dgcZ//putA//infB//nuoB//ompN//murP//tdcC//crl//sufS//pncB//
CreB_neg	sgrR//nrdA//hybO//
CreB_pos	ydfX//mtlR//
CsgD_neg	nemR//melR//mraY//asnB//fliK//fliF//phnK//yhbS//purH//yafQ//flgC//yciW//add//yccJ//adiC//
CsgD_pos	pdeL//paaI//mdh//dmsD//accD//nanC//norR//tauB//uxaC//glmU//cusB//rcsA//nrdA//
CsiR_neg	ebgC//gspH//gadY//wcaA//aidB//
CspA_pos	yaiA//ddpD//
CueR_neg	efeU_2//waaY//nanC//argO//tyrA//
CueR_pos	purR//acrR//
CusR_pos	lysP//metK//sgrT//flu//hcaF//symE//efeU_2//pgaD//dhaK//wzyE//yqhD//efeU_2//
CynR_neg	paaI//
CynR_pos	pspF//spy//entA//
CysB_neg	wcaB//dgcN//skp//codB//treR//metF//mprA//
CysB_pos	araA//feaR//feaB//insK//fur//osmC//trpE//nrfC//ybhG//cusC//uidR//hdeD//ttdB//ygbA//glpX//hycH//mglC//hyaF//betA//pdeR//xapA//fliC//nupC//entC//rffM//
CytR_neg	norV//hyaA//gadW//fadM//hyfG//agaA//fliO//zraS//rnlB//thrS//cyoD//entA//baeR//
Dan_pos	dmsD//hyaF//ygiZ//gltI//
DcuR_pos	tdcC//araC//cysN//srlA//murC//garD//micF//nrfC//ompC//
DeoR_neg	lsrG//nuoI//recN//zraP//rffG//alaC//
DhaR_neg	ttdR//
DhaR_pos	yoaG//yiiS//potF//
DicA_neg	bglB//nlpA//nrdI//nrdF//uvrB//lyxK//dgcZ//fadL//
DinJ-YafQ_neg	hisM//fiu//infB//
DnaA_neg	sgrR//cusS//envC//aceF//cra//sgbH//idnO//citC//cueO//sgbH//alkA//
DnaA_pos	phnH//argR//truB//ugpC//ybfE//hisJ//ydfW//
DpiA_neg	higA//
DpiA_pos	lon//rutB//uhpT//yhbS//hyfF//phoB//hcaC//nirC//alkB//fabG//
DsdC_neg	ryhB//
DsdC_pos	focA//arsC//
EbgR_neg	yiaK//lysO//
EnvR_neg	hypE//dinG//
EnvY_pos	hdeD//appB//
