#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	dpiA//torD//
AcrR_neg	phoE//nuoA//ydeO//frdD//cusR//uidR//metN//artQ//nagB//dinB//cydC//
Ada_neg	malE//paaZ//
Ada_pos	kdpC//flhB//cyaR//mpl//
AdiY_pos	gabT//lsrB//rob//citD//nanE//caiT//emrB//iscA//
AgaR_neg	ahpC//nanC//argE//talA//atoE//sufC//frc//rffC//fabD//tauC//ycgZ//
AidB_neg	argB//
AlaS_neg	ybfN//
AllR_neg	fadL//moeB//nrdG//agaA//lon//nrfG//hisP//baeS//rutE//
AllS_pos	entF//hyaD//nfo//
AlsR_neg	fimE//tyrA//trpR//tcyP//osmY//setA//
AppY_pos	napF//omrA//fecI//gspD//fabI//sbcD//glnG//yfdE//glpF//ydfD//
AraC_neg	pspG//ldtC//psd//fliG//wzzE//yciF//yjeV//grxD//
AraC_pos	hycA//ada//ulaE//infC//ygbK//yhjA//mdtA//metN//cysJ//pheS//
ArgP_neg	dinB//
ArgP_pos	flhB//dsdC//grxD//fadJ//waaY//paaX//uidR//obgE//ykiA//hybE//hcaR//nrdA//pheM//
ArgR_neg	torA//evgA//csgF//sbmC//chbG//ftsQ//yhdZ//araB//cynT//rybB//intQ//dmsC//yfaE//ydeI//idnK//yhdW//csgE//wrbA//uxaA//ymjC//fhuB//fadE//astB//fliD//kdpA//bdcA//ppiD//slyB//yegR//ssrS//tyrB//phoB//potH//
ArgR_pos	fliF//cspE//mgrR//entH//ppiA//
ArsR_neg	micF//patD//baeS//
AscG_neg	ldtD//recD//cbl//glcD//hyaF//
AsnC_neg	ynfK//gltB//mntP//
AsnC_pos	malK//
AtoC_pos	cusF//phoE//argO//ccmB//
BaeR_pos	nrdD//zraP//hycF//lsrR//cueO//fdnG//creD//xylB//
BasR_neg	csgB//cusF//
BasR_pos	gspK//caiF//rpoD//galP//allC//gltF//fadJ//mglC//casC//fepB//appX//
BetI_neg	gor//ykgO//glcE//betI//
BirA_neg	ycdZ//fliJ//ygiC//mtlA//bglB//
BluR_neg	potI//hha//guaB//fecD//
BolA_neg	ydhX//tdcG//
BolA_pos	ssuC//ppdA//
CadC_pos	qseC//uxuB//kdpF//
CaiF_pos	narI//uspE//yiiS//entB//ydjM//metI//nuoI//ecpA//rutE//ppiA//
Cbl_pos	xylH//alsE//alsC//creC//glcG//dacC//yjiY//exuR//yeaD//
CdaR_pos	yhjA//pspF//sufC//btuB//ilvY//mdtB//lysO//yciE//yeiB//gspE//
CecR_neg	rhaR//icd//nagE//argO//ybjG//
