#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	hycB//glnL//
AcrR_neg	nrdI//lacZ//alsA//phr//tyrB//gatB//entA//modB//ydcV//accA//lacY//
Ada_neg	mioC//ynbB//
Ada_pos	glnA//epd//phnO//hyfJ//
AdiY_pos	paaY//frdB//epd//paaB//exuT//metA//hypA//znuB//
AgaR_neg	nrdE//yaiW//hyfH//dcuR//ydiV//bglB//sgrR//dnaG//lrp//mdtF//paaA//
AidB_neg	phnJ//
AlaS_neg	tdcE//
AllR_neg	fepG//fabD//hybB//argD//mglC//csgC//mngR//ccmC//hslJ//
AllS_pos	fabD//relA//tauA//
AlsR_neg	moaC//gatD//cynX//fhuD//relB//nuoJ//
AppY_pos	torD//tauA//sroD//hcaC//uhpT//phnJ//ymjC//ydhV//sbcD//accC//
AraC_neg	envC//bglB//aroH//pepD//nhaR//dhaK//phnO//gltI//
AraC_pos	glpF//allA//wzb//leuB//grxA//purC//glgP//iscU//gltL//fecI//
ArgP_neg	psiF//
ArgP_pos	cyoA//artP//astD//yqhD//ybjC//yefM//rutG//nanT//ahpF//cbl//dinI//pgaD//oppC//
ArgR_neg	flgL//glgB//hipA//lyxK//leuD//rcnR//gapA//mgrR//yhdZ//thiQ//ybhS//csgC//rfe//fepB//feoB//modB//napC//hypA//ompF//rbsC//xylA//rutG//cysB//yoeB//tsx//fadE//hybC//ybjN//dmsB//ppdB//fadI//amn//fucR//
ArgR_pos	ssrS//yeaD//glcA//mhpF//sdhB//
ArsR_neg	hyfI//agaI//yagK//
AscG_neg	creC//rsmH//phnJ//manY//agaW//
AsnC_neg	soxR//napF//ydeM//
AsnC_pos	acrB//
AtoC_pos	artM//fadH//hflD//bioC//
BaeR_pos	ompN//waaY//ddlB//ssuD//dmsD//bolA//guaA//ydhV//
BasR_neg	ldtD//ykiA//
BasR_pos	ccmH//narK//manZ//grcA//yciE//mngB//yeaD//phnN//glcG//yjeV//oxyS//
BetI_neg	fliH//argI//lsrD//rcnR//
BirA_neg	ydbD//murD//murD//ydbK//yhbE//
BluR_neg	hokD//hycF//ygiA//fliC//
BolA_neg	nimT//lhgO//
BolA_pos	phnI//ppc//
CadC_pos	phnO//dinJ//mgrB//
CaiF_pos	uvrC//ygdB//dpiB//xapB//melA//leuO//fruA//dgcN//spy//ftnB//
Cbl_pos	moaD//fabZ//yhbE//skp//tauB//gcvB//cueO//yjbG//flgD//
CdaR_pos	adhE//metE//aspA//flhA//ybhF//hycI//pgi//umpH//ugpA//argG//
CecR_neg	tdcF//nrdG//ccmB//hyfH//uxuA//
ChbR_neg	cydB//gcvT//fhuC//pdhR//dinB//tdcB//
ChbR_pos	efeU_2//narK//gltJ//garD//cheW//fabI//
ComR_neg	dinQ//
CpxR_neg	murC//tcyJ//appX//hypE//gcvA//cheW//glcD//fhuD//rseC//yhdY//ugpC//gatA//osmC//dkgA//dhaR//spy//araJ//hycB//rprA//rimP//tolC//mhpT//uidB//ihfA//
CpxR_pos	znuB//yiiS//hycC//citX//yjbE//cusA//yegZ//rybB//ccmB//adiA//casD//emrK//glnP//rffM//yfbR//hcaR//phr//relA//nuoG//yiaN//paaD//mgtL//malT//gspC//lysO//zraP//narL//fliF//ddpF//nadA//allB//nfsA//araA//yidQ//mdtD//yqhG//feaR//ompF//ccmF//leuB//aroH//modA//iscA//sbmC//iraP//mtlD//
Cra_neg	yhcH//rsmH//metQ//narG//nuoA//rutA//caiT//fabA//dinJ//baeR//mhpB//bioD//idnK//garP//cas1//uxaB//torD//ugpC//yidL//phoP//guaA//cysI//ecnB//entH//uvrB//hyfB//flgB//allE//ddpD//pspA//malT//flgB//feoA//chiP//csgB//metA//mngR//recX//nrfC//moeA//cysI//asnC//fliG//pdeR//hybG//garP//lacA//mngR//glnA//glcE//aceK//seqA//cusF//rstB//slp//mdtE//ldtC//ybhG//gntK//
Cra_pos	pgk//ykgM//argO//csgG//agaV//micF//dicC//bglJ//csrC//nuoA//gdhA//glnK//yegR//hyaD//mngA//yjbH//murE//btuB//fecD//cysM//rcnR//cydC//purN//
CreB_neg	treC//alsB//murE//
CreB_pos	yeiL//yibQ//
CsgD_neg	deoB//hypE//hcaR//nuoL//lsrD//fliS//yegR//ynfG//rtcA//adiC//asr//pspF//glnG//napB//emrB//
CsgD_pos	casA//ldtD//agaD//dinD//gntT//murQ//pstC//cysE//sgrR//hdeA//gcl//cynR//cysJ//
CsiR_neg	atoD//narJ//malY//putA//iscS//
CspA_pos	yccA//ccmB//
CueR_neg	kdpB//entS//yaiA//marR//modC//
CueR_pos	agaD//tehB//
CusR_pos	yqhG//purA//aroP//tsx//gltB//rimP//mltF//yeaH//cytR//ydiV//puuB//fadB//
CynR_neg	alsA//
CynR_pos	prpR//csgF//hcr//
CysB_neg	nlpA//skp//bglB//hyaD//csgG//dgcC//nuoE//
CysB_pos	gabT//aldA//paaF//ydcU//nemR//pgaA//fabH//osmB//ydcT//ychF//mlrA//iscS//trpC//flgM//micF//yqhG//argF//araD//argT//mpl//ppiD//emrK//napF//fldB//xylG//
CytR_neg	hypB//yeaD//ybiT//rbsA//yecT//speB//yhbT//nemA//betB//purB//ydhW//copA//ydhT//
Dan_pos	hyfA//nanA//fecE//tpiA//
DcuR_pos	nikR//puuB//fliL//tadA//asnA//pykF//yiaN//pepA//uxuA//
DeoR_neg	dhaK//soxR//yafO//dpiB//sgbH//nemR//
DhaR_neg	znuB//
DhaR_pos	ynbC//mtr//yhjC//
DicA_neg	argH//mdtF//glcB//katG//carA//dhaK//idnO//hdeB//
DinJ-YafQ_neg	ybjG//rffC//hemL//
DnaA_neg	nirB//yagK//nrdE//ccmA//bglB//metI//ompW//kdpC//modB//agaW//hycA//
DnaA_pos	baeS//yhiM//ydfW//nuoC//yhdW//fdnH//allS//
DpiA_neg	ycdZ//
DpiA_pos	ftsQ//phnE_2//oxyS//pspB//yccJ//aroH//agaW//hypC//nuoE//rfe//
DsdC_neg	araA//
DsdC_pos	yciE//uxuR//
EbgR_neg	ycjF//bdm//
EnvR_neg	codA//yjbF//
EnvY_pos	accA//paaI//
EvgA_pos	ccmC//glmY//galM//cysU//araE//rseC//mpaA//ydjM//rcnB//tonB//pgaD//rob//yqjA//potF//hyfB//nupG//phnL//hslJ//appY//
ExuR_neg	tehB//efeU_1//hybC//fliE//nuoL//mglC//psiF//rutA//nfuA//
FabR_neg	argF//srlD//
FadR_neg	efeU_1//ydcS//soxS//oppF//fliS//degP//wecC//ydhU//murI//cueO//pnuC//
FadR_pos	pspF//sucA//fliH//cysA//mraY//ygdB//hyaC//hdeD//cysE//glnD//fadE//ynbA//
FeaR_pos	adiC//ybhG//
FhlA_pos	yoeB//napG//phoE//ompN//mlrA//malK//dcuS//hcaB//hcaF//fabD//yhdX//ybhG//ompC//feaR//gutM//glcB//fepB//garP//adiA//ycdZ//malK//cyoD//torC//treB//araH//appA//ftsL//nagC//sucC//psiF//
FlhDC_neg	yeaG//phnM//yccJ//iraM//
FlhDC_pos	ccmB//phoE//yhiD//ybfN//moeA//fadL//rffG//osmY//ygbK//fnr//gadB//yfdV//ugpA//rutC//tolC//agaD//tcyP//fruK//tam//idnO//ybiT//mzrA//rcsA//mgtA//gadY//trpR//glk//citE//hipA//torR//hisP//hyfI//tisB//alsA//allC//tadA//idnO//baeR//rbsK//phnE_2//rarA//entB//lsrC//poxB//lpxD//deoB//aroH//uxuB//nrdE//rpoH//malQ//ftsW//fdnG//phnC//mqsA//ybiT//cheA//ttdB//oppB//lysC//argC//murF//ydcS//casD//rbsR//rarA//yhbT//feoC//artM//modA//dsdC//pgk//alkB//gspH//inaA//murD//crp//rpoE//
FliZ_neg	asnA//rplT//sufC//ychF//glyA//higB//pgaD//malX//ydhY//fldB//ada//cecR//rnlB//rutF//nikR//glpT//srlB//mqsR//add//fbaB//higA//
FucR_pos	hcp//pyrD//citX//cpxA//metY//ydhT//entB//
Fur_neg	fucO//pgaD//nikD//hycA//malQ//pyrC//moaE//puuA//pfkA//fhuB//nanT//nirC//gatY//yegH//hybD//ycgR//lgoR//nikB//fliO//ssuE//hyaB//dsrA//gntU//dmsA//ydeO//leuB//phnI//cyoA//lpxA//aroG//entS//paaE//sbmA//fepG//hyfB//uidC//nrfC//hypA//gudD//nupG//ssuA//gabD//nuoL//glcC//tdcC//nikE//cysI//yrbL//focA//decR//prpC//yoeB//lexA//lpxA//accC//ada//dgcZ//purR//nrfD//hyfJ//fadR//pitB//dhaM//purH//dkgA//yqaE//rffM//hyfE//dmsC//rimK//glxR//guaA//hyfH//rhaS//astB//tisB//ydhY//iscR//potF//mraY//creC//ynfE//csgB//yeiB//ilvC//yaiW//bdm//mipA//mgrB//fabG//wcaA//dinF//tauA//hyfA//rpiB//ftnB//fecA//recB//sucB//phnP//uidA//yiaN//pncB//allD//fhuA//fruB//nuoB//gntX//hyfC//cyoB//aslB//fliG//cusR//ecpR//fliP//
Fur_pos	mntH//dcuS//mipA//sbcD//ompF//ruvA//cspD//zinT//idnT//nfo//copA//ttdA//ydfH//katE//nrdE//fliH//dcuA//dgcZ//napD//nanE//pspF//
GadE-RcsB_pos	ydhU//galT//rbsK//lyxK//ilvY//pspA//ftsL//yegH//ugpQ//
GadE_pos	osmC//atoA//sbmC//katG//kdpA//pqiB//hydN//puuD//cyaR//slt//nanM//sbmA//gspG//cecR//hyaA//bolA//melB//hyfD//ldtB//xylG//wrbA//phnE_2//uxuA//yfdE//ddpD//yiaM//casA//cyoB//flgF//
GadW_neg	kdpC//osmB//nirD//rbsC//ptsG//tbpA//speA//uspD//nirD//mraY//yfiR//
GadW_pos	dnaA//hyfB//bglG//uidR//entB//hypE//nuoJ//ompF//hyaB//aroP//dinJ//
GadX_neg	ymgA//ibaG//fliA//ycjG//ydbD//hdeA//
GadX_pos	yciF//appY//mdtC//malE//ymjD//dgcN//yqhG//bioD//chbA//rutA//cyaR//fecB//yjhB//cysN//xylG//prs//lsrA//flhE//yiaL//srlD//cadA//ariR//gspE//znuA//ppdB//phoB//galT//
GalR_neg	yefM//yeaR//dpiA//carA//modA//fecI//yhhY//dgcN//mgrB//folA//
GalR_pos	dgkA//purC//ybiT//xylF//
GalS_neg	yhdY//bamE//talA//ruvA//cra//fecA//lrhA//mhpT//ybjN//astE//
GalS_pos	pfkA//aslB//xylB//dnaA//
GatR_neg	nhaA//allC//fnr//udp//argR//dsrA//
GcvA_neg	hyaD//bhsA//rstA//thiP//
GcvA_pos	yecR//ttdR//nfuA//trpR//
GlcC_neg	glmY//
GlcC_pos	nrdG//sucB//glgC//psiF//tehB//argD//
GlpR_neg	nagE//crp//uxaA//mlc//artQ//oxyS//csrB//dgkA//adiA//
GlrR_pos	rpoH//lrp//patA//argB//crl//
GntR_neg	argC//patA//malI//mepH//ccmE//dhaR//mhpT//adhE//sgrS//pstA//ddpA//yeaE//
GutM_pos	glgA//malE//yhbT//ugpB//sucB//nrfE//waaZ//
GutR_neg	fliO//ldtD//kbaY//pdhR//serA//hyaA//gltI//
HU_neg	yaiA//ycjX//phoA//glnL//ihfA//nupG//casA//lldD//
HU_pos	cysU//
HcaR_neg	hycA//
HcaR_pos	puuP//narL//murD//ybjC//ymjD//
HdfR_neg	creB//manY//
HdfR_pos	nikC//hmp//rbsK//
