#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	phoH//fliI//
AcrR_neg	aidB//deoD//eno//dkgB//lysC//cpxR//argB//uspA//cyaR//nlpA//deoA//
Ada_neg	fixA//mtr//
Ada_pos	dkgA//mdtA//entD//hypB//
AdiY_pos	hlyE//idnD//fepA//prpB//cysN//agaS//flgD//mhpB//
AgaR_neg	entH//kdpB//fimE//ibaG//flgC//htpG//bioA//garK//artI//mhpA//pgaA//
AidB_neg	gspM//
AlaS_neg	uidB//
AllR_neg	ptsI//nhaR//puuA//ddlB//nrdF//tsr//asr//uxaC//rffT//
AllS_pos	ptsH//iraM//ttdT//
AlsR_neg	mzrA//malY//potI//metA//malP//flgL//
AppY_pos	sfsB//citE//metR//dctR//hflD//ytfE//mpl//wzc//yibQ//ydhT//
AraC_neg	ruvA//insD//flhE//metN//fruB//mscM//rbsR//hyfA//
AraC_pos	phnE_2//modA//feaR//argD//tyrR//tdcC//fadD//recD//recB//moeB//
ArgP_neg	allS//
ArgP_pos	ugpB//rclA//ftsQ//nagC//hns//artQ//recD//yhjC//chbF//nirB//pgi//marR//rutC//
ArgR_neg	molR_1//fecD//cecR//sbcC//chbG//mtlD//ydcS//zwf//ugpE//speB//gfcA//yhjA//rprA//alsE//csrC//ada//hycH//ybaS//ttdT//ssuE//gadE//mipA//fliQ//zraP//osmC//cysI//gadX//nusA//fliN//rcnB//ccmB//yafQ//cynR//
ArgR_pos	ybhF//mraZ//rffT//uxaB//tyrB//
ArsR_neg	hcaF//ybiT//gntU//
AscG_neg	pheM//glpC//mioC//xylH//cecR//
AsnC_neg	nfo//xylA//pqiB//
AsnC_pos	aroG//
AtoC_pos	dcuR//fecD//entE//ahpC//
BaeR_pos	chiP//ndh//cysH//cueO//seqA//flgJ//yqjA//yhhY//
BasR_neg	entC//mazE//
BasR_pos	puuA//iraP//fldA//glnQ//prpE//fhuF//napG//aspA//nirB//xylF//ybhS//
BetI_neg	nmpC//pspF//dmsA//ygaC//
BirA_neg	fadL//qseC//purB//adhE//dsbA//
BluR_neg	nuoM//ompF//tsr//fadI//
BolA_neg	nupC//micF//
BolA_pos	kdpA//cyoA//
CadC_pos	ydiU//frdA//bamE//
CaiF_pos	wcaB//deoA//nrfD//appA//ddpF//iraM//gyrA//appA//pgaD//fhuD//
Cbl_pos	glgP//yiaK//ynfH//purB//paaY//rplU//cydC//chbF//tnaC//
CdaR_pos	acnB//lsrA//tsgA//sutR//bamE//mdtD//leuC//rtcA//dinF//ebgA//
CecR_neg	appC//fhuD//hyaE//galP//oppF//
ChbR_neg	ftsZ//yccT//yegH//uidB//gspL//rbsC//
ChbR_pos	ykiA//hipB//chbF//psiF//fliK//glpB//
ComR_neg	fucP//
CpxR_neg	nrdI//paaZ//fldB//prpC//stpA//hycD//flgJ//dnaN//sfsB//glcG//gadC//fecB//chbC//yhdY//trpC//ykiA//hyaA//wzyE//leuD//hycF//ykiA//nrfD//asnC//purD//
CpxR_pos	ykiA//hybD//mpaA//garD//kdpC//gltB//chbG//hdeA//iscU//lysA//tktB//pspD//entD//iscR//ydiU//psiE//nuoJ//hycE//ssrS//cydA//gatC//tfaQ//gabD//galT//fucI//csgG//uidB//pnuC//acnA//napC//cas1//garP//accC//tbpA//gudD//mgtA//ynfE//hyaB//insK//aceA//oxyR//ada//gntX//prpR//ydbD//motA//
Cra_neg	prs//phnL//napG//phnE_1//ynbA//ccmC//paaE//metA//wzxE//rseA//fliE//ssuA//fadJ//hipB//lldD//putP//nmpC//fdhF//idnT//gfcA//gadW//caiF//araB//uxuB//nrfD//ccmA//fhuA//entE//hydN//dgkA//fliL//glmS//frdA//uvrB//lsrF//casA//folE//nuoN//gatZ//ssuE//exuR//ugpE//lldR//znuB//citX//yfdE//allS//nfuA//allC//rpoE//gatZ//manX//patA//ynbA//ymjC//cynT//lacA//rsmH//fecR//
Cra_pos	nfo//paaB//manY//yhhY//uspD//uidR//sufD//yiaK//phnE_1//norV//napH//dnaG//flu//narK//hypB//rprA//cydA//gloA//agaA//mtlR//caiC//glgP//lsrG//
CreB_neg	cspE//yciF//nfsA//
CreB_pos	lysC//pgk//
CsgD_neg	rnlA//pstC//ydcS//osmC//ydfW//sbmA//yqjA//dinF//fdhF//ecpR//ygiB//hypF//sodA//tauC//garK//
CsgD_pos	rpsU//ydeP//glpT//garP//hyaC//malX//uidR//ugpE//fdnI//kdpB//gpmM//ybhR//ydfN//
CsiR_neg	ydfD//phnO//borD//wecB//mglC//
CspA_pos	iscS//gyrA//
CueR_neg	casD//gltL//caiD//fabG//fadI//
CueR_pos	pfkA//tdcB//
CusR_pos	argT//grxA//umuC//dmsA//citE//ttdA//bolA//chbR//tdcF//tehB//aspA//ung//
CynR_neg	ydfW//
CynR_pos	erpA//fumC//metL//
CysB_neg	pgpC//pagP//mgrB//wza//cyoD//frdA//moaA//
