#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	lldD//agaI//
AcrR_neg	yegR//putP//envC//flgK//tam//artQ//argI//yedX//fabH//paaE//cra//
Ada_neg	sutR//lldR//
Ada_pos	glnL//yeaD//lysC//wzyE//
AdiY_pos	atoE//paaI//ppdA//dnaN//frdD//argT//fucO//malI//
AgaR_neg	yqhG//bglJ//leuA//xapB//ftsI//mdtB//sgbE//nac//truB//dcuB//atoE//
AidB_neg	purE//
AlaS_neg	paaE//
AllR_neg	garP//mpl//idnT//srlR//recD//hipB//fliA//ppdB//cheW//
AllS_pos	ybhS//katE//sucD//
AlsR_neg	hyfJ//lysC//modC//metI//cpxA//yegH//
AppY_pos	pqiA//ppiA//bglF//sucA//adiA//dpiB//glnL//feoB//gltD//pnuC//
AraC_neg	fucA//yhbT//recB//iscS//lsrB//ompT//evgS//phoA//
AraC_pos	ruvB//ygbA//rffH//pstS//rfe//dcuB//zwf//deoD//hslJ//flhE//
ArgP_neg	ftnB//
ArgP_pos	sutR//tonB//ahpF//sucB//mioC//yqhG//tdcD//nuoG//putA//amn//fliP//fldA//ppdB//
ArgR_neg	aroM//argC//argH//lldD//treR//murC//hycF//lsrA//yecT//uof//rpmI//glgC//ccmE//cysW//acnB//edd//mntP//csiD//ulaC//fucA//narG//ydcU//iscU//yaiA//purF//tnaC//narJ//metE//exbB//gspF//uvrD//malQ//phoE//
ArgR_pos	ebgA//nrfD//yegH//xylH//glpB//
ArsR_neg	gadX//cusR//ybaT//
AscG_neg	infB//glpA//artQ//ebgA//paaB//
AsnC_neg	ppc//yiaL//rseC//
AsnC_pos	iclR//
AtoC_pos	recD//nagB//arsB//murF//
BaeR_pos	aidB//tyrP//sgrS//hybD//potH//yfdX//fucU//tolC//
BasR_neg	mglA//csrC//
BasR_pos	phoU//deoC//gdhA//phnP//lhgO//sbcD//cusC//malE//trpB//glnL//relB//
BetI_neg	dsdX//dicB//fliJ//nuoH//
BirA_neg	lpxD//yfdE//metL//murP//mglA//
BluR_neg	safA//pck//paaF//araF//
BolA_neg	pepD//phnJ//
BolA_pos	ulaF//phoP//
CadC_pos	ttdB//nuoC//slt//
CaiF_pos	guaA//ulaC//ahpC//purN//lrhA//htpG//ttdA//iscS//treB//hyaB//
Cbl_pos	cydA//leuL//xylG//mpaA//metE//ynjI//feaR//hybF//srlA//
CdaR_pos	nuoA//argT//ampC//deoB//uxuA//hyfC//lsrG//nohA//mraZ//ilvY//
CecR_neg	purL//fixA//frdA//paaC//dmsD//
ChbR_neg	argR//moaE//pdeH//feaB//nrfA//hyfG//
ChbR_pos	cadC//ebgA//ydiV//allC//pgaD//fecI//
ComR_neg	fliJ//
CpxR_neg	glnB//ynjI//crr//xylG//inaA//dtpA//napA//feoA//ynbC//sgbE//yiaK//lrp//lysO//marB//yccT//wzyE//aceK//ydeM//appB//ycjF//lon//glnA//gcvA//murF//
CpxR_pos	ubiC//putA//sroA//fhlA//yjbG//mlrA//nemR//treC//gspI//bglJ//edd//tsx//yecR//lsrB//phnI//dcuD//symE//melA//argR//lldP//lpxD//hcaB//yqhG//hycG//purC//ftsL//aroM//gpmA//leuO//gadX//dhaK//flgF//srlB//gutM//uspE//ssuE//ynjI//mgrR//ynbC//mhpD//idnD//cydD//yiaJ//znuA//cvpA//hcaF//
Cra_neg	purM//oppF//lpxC//ptrA//ppdA//marR//agaR//dctR//csgA//exuR//ahpF//modC//cpxR//carB//moeA//patA//ydcS//casD//slp//mgrR//tonB//intQ//fdnG//lysA//wecB//argO//rbsA//murR//allB//ftsW//gnd//gutQ//araH//lldP//creB//napC//nikR//tauC//ttdT//feaB//glnP//ydbD//accA//fixA//acrR//ssrS//pspD//nanA//ccmC//feaB//hdeD//tehB//tcyP//tyrP//cpxP//mglC//tonB//ulaG//phnN//
Cra_pos	cspE//bioB//fliQ//agaD//moaD//wcaB//yafN//fadE//hypA//osmB//baeS//malP//caiB//argI//appB//obgE//torC//iraP//malQ//slt//ydhU//pgaB//dsrA//
CreB_neg	rfe//sgrR//mgtA//
CreB_pos	murP//fepG//
CsgD_neg	purC//ftsK//rutC//cysC//yaiA//nanK//zntA//iscS//leuC//sroA//lexA//glpA//nanE//ppdC//gspI//
CsgD_pos	treR//marA//tnaB//sufE//rimP//bdm//gntU//rhaA//mhpT//udp//yccA//ryhB//glcA//
CsiR_neg	hcaD//mhpT//purH//dmsB//rybA//
CspA_pos	mntS//metB//
CueR_neg	ytfE//mipA//norW//lysC//ulaB//
CueR_pos	amtB//fadB//
CusR_pos	rimK//uvrA//hemH//nanM//degP//yjjQ//pnp//yjbG//fhuD//nimT//crl//insK//
CynR_neg	fadA//
CynR_pos	flgI//phnE_1//nfo//
CysB_neg	ugpQ//emrK//icd//eno//murI//uxuR//phnL//
CysB_pos	deoC//appB//citE//mqsA//setA//wzb//malZ//soxR//gadW//spy//agaD//allD//ydiU//grcA//cho//yhbS//trpB//cydA//paaI//yhcH//yjeV//lysR//cpxR//ptrA//cysU//
CytR_neg	dinJ//nikD//hybG//rutR//hcaB//yjbE//isrC//betA//gspD//cusF//bioB//glxK//yhdZ//
Dan_pos	pspG//ydiU//allD//tnaA//
DcuR_pos	cusB//frc//phnH//ydiV//ydbD//phoB//flgC//wzc//glnK//
DeoR_neg	ruvB//prpE//cysW//phnO//napA//ynfF//
DhaR_neg	gloA//
DhaR_pos	mdtC//dapD//trpL//
DicA_neg	yhjC//fliR//ynfG//fbaA//oppA//bioC//napB//malK//
DinJ-YafQ_neg	nimT//napB//cadC//
DnaA_neg	hyfD//xylG//pyrD//glpB//fabB//murF//paaY//yfiB//wza//zraP//acrA//
DnaA_pos	molR_1//rhaT//pagP//iscA//manY//dsbC//yiiS//
DpiA_neg	ybfN//
DpiA_pos	rpiB//chbG//cydA//dgcC//grxD//narI//tdcF//chbC//flgM//nhaA//
DsdC_neg	insK//
DsdC_pos	wzb//arsC//
EbgR_neg	yccT//rfe//
EnvR_neg	ccmC//sbcD//
EnvY_pos	ccmE//paaJ//
EvgA_pos	hycG//lolA//torA//rpoD//yafN//cyoC//rbsC//argD//appC//mtlA//gltJ//cysG//crr//hycD//glcE//gspC//yeaR//exuT//mhpC//
ExuR_neg	cas1//hcaC//hisJ//motB//cusB//moaA//chbB//lpd//sucB//
FabR_neg	ssuB//dps//
FadR_neg	mngA//dpiB//entE//pstS//cusR//aroF//hdeD//argE//nanK//bioA//dcuR//
FadR_pos	tam//relA//gadE//nimR//bioF//rpmA//asr//nrfA//paaH//bacA//puuC//fucA//
FeaR_pos	sbcC//malZ//
FhlA_pos	dgcN//tnaC//hyfE//iscS//relB//rutR//pncB//ompF//gcvB//ulaG//phnC//entD//dicC//araC//gapA//pspG//tam//zinT//yhjX//pgi//alkA//xylH//leuA//bioC//nuoF//rpoE//glnG//napG//yegR//phoH//
FlhDC_neg	metI//fliP//adiC//ycjX//
FlhDC_pos	oppF//mazG//cpxR//phnG//flhA//trpE//dmsD//znuA//alsA//sufD//metE//cecR//metR//lsrD//pgaB//cysJ//rybA//argB//pheS//ycjG//fhuC//tehB//uidC//glpF//cheW//icd//nikR//hycE//uxaB//fadJ//yiaM//narH//mngR//relA//nuoB//idnK//cynR//cyoC//pnp//ariR//lacY//ydeN//nmpC//fucU//nrdD//yafP//purA//fadH//melB//agaV//serA//yedX//nimT//dmsA//tdcA//ybbW//qseB//yjbF//yjbF//fliH//gspH//glcB//treC//gadC//ybhF//yeaH//uxuR//sodA//safA//betA//fes//glcC//ygeH//rutB//bluF//uspA//katG//fliK//
FliZ_neg	lpd//ygbA//fucU//oppC//puuC//alkA//ccmF//murC//pspE//yjhB//lysA//csrB//metE//narG//mdtA//prpB//nuoJ//fecI//ompT//casC//eda//
FucR_pos	cysJ//leuA//hypF//nanS//rob//emrA//ykgM//
