#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	nuoH//cheA//
AcrR_neg	ydeM//ftsW//recF//narX//metY//bglG//add//yhdZ//ccmH//mqsA//ydiU//
Ada_neg	guaB//yoaC//
Ada_pos	cyoA//ygeH//nupC//dmsB//
AdiY_pos	fepC//focB//argF//fau//sdhC//fur//hyaA//cdaR//
AgaR_neg	ychF//poxB//phnO//phnG//cadC//norW//grxD//mazF//uspA//purD//prpB//
AidB_neg	modC//
AlaS_neg	yqjA//
AllR_neg	csrB//gcl//pstB//acrZ//tehB//trxC//ydhU//gadE//mraZ//
AllS_pos	prpB//luxS//yjbF//
AlsR_neg	waaY//hyfJ//gadC//caiE//casD//ybdN//
AppY_pos	cadA//pgpC//ecpR//cusF//cynX//rbsD//murI//wza//fes//fliD//
AraC_neg	caiA//ptsG//osmB//gspF//mcbA//ppsA//fhlA//grcA//
AraC_pos	torR//kbp//pfkA//torA//pagP//nrdH//gudP//glgA//dnaA//uxuB//
ArgP_neg	ybdN//
ArgP_pos	yfdE//cysI//yfiR//cusR//yafO//adiA//glgC//rstB//yjjZ//phnP//glnK//lysO//pspA//
ArgR_neg	ydfH//umpH//marA//rutC//sucD//argP//pspD//tdcE//ycgZ//nikR//rbsD//mltF//gadC//lsrD//flgG//narJ//dmsA//decR//paaH//ybbY//fadE//fixX//glgA//ygbA//narH//tdcE//yfiB//cho//fbaB//thiP//gloA//safA//sgrS//
ArgR_pos	yhdZ//ssb//btuB//arsB//eda//
ArsR_neg	fldA//pspG//sucD//
AscG_neg	mglB//sgbU//cyoE//moeA//waaH//
AsnC_neg	napG//caiB//pstA//
AsnC_pos	fucK//
AtoC_pos	deoA//metK//rcnA//aroM//
BaeR_pos	rbsA//ascF//ftsI//gltI//tyrB//marA//tdcB//ybhR//
BasR_neg	sufC//dkgB//
BasR_pos	galK//bdm//lpxD//ydeM//flgB//ybjC//rutD//artQ//adiA//hha//allD//
BetI_neg	mdh//hyfH//glnH//moaB//
BirA_neg	sgrR//cdaR//cas2//rhaD//cpxR//
BluR_neg	hdeD//caiB//marR//ompW//
BolA_neg	sulA//fadD//
BolA_pos	purH//yecT//
CadC_pos	aroH//fdnI//feoB//
CaiF_pos	borD//phnD//agaD//ftsI//rstB//ybhL//baeS//artI//cadC//sufS//
Cbl_pos	cysN//nrdD//ccmE//micF//cynX//ydiV//mtr//bioC//gadA//
CdaR_pos	caiF//nusA//rfe//uxaB//cadA//melB//mdtD//ddlB//rutF//hycI//
CecR_neg	cysH//leuO//mglB//atoB//dinB//
ChbR_neg	tehB//yecT//iscA//phnC//arsC//tdcC//
ChbR_pos	nemR//argD//purA//gltL//prpE//cydD//
ComR_neg	sbmA//
CpxR_neg	ssuC//fixX//rseC//ppiD//cysI//yefM//entE//fliL//sdhC//dsdX//lsrK//pstB//xapB//ssuC//gabD//wecE//iscU//hyfE//yidQ//ebgA//putP//fliL//sufE//wzzE//
CpxR_pos	idnR//glgX//qseB//nemR//trxC//luxS//napC//acrZ//ygiC//glcF//fumB//flgE//aroM//nrfB//fhlA//argO//patA//napH//fadD//sucD//erpA//gltK//agaI//fldB//phoH//acrA//atoD//motB//modA//sulA//rybB//mdtF//hyfJ//polB//nuoH//fliR//ftsI//sdhB//flhC//dnaN//fepE//safA//wza//metC//caiB//gntU//
Cra_neg	waaZ//agaA//ybjC//icd//lysO//grcA//frdB//nadA//tyrB//ykgO//yrbL//ydhU//emrB//agaV//metH//spy//rpoE//amn//nanK//mltF//nrdH//cyoC//nagE//gadA//dinF//trpD//ydbK//purA//phnC//cydA//rprA//galP//rpsU//rpoE//araA//appY//torR//galP//mhpB//znuC//ftsZ//lysO//borD//alsA//allS//cydC//pstC//ndh//yhhY//gntX//allE//metJ//rfe//fadB//metJ//yhbS//iclR//mzrA//luxS//
Cra_pos	mgtA//glmS//eno//fadD//motA//yciW//ygaC//ecnB//sbmC//alsC//yoaG//dcuB//cadA//cysK//hycI//nadA//mhpD//mcbA//fliJ//dinB//mzrA//dgcC//betB//
CreB_neg	uvrD//dacC//ybbY//
CreB_pos	cysD//aidB//
CsgD_neg	pykF//yegR//ybiT//agaV//nfsB//moaB//atoE//betT//araJ//dctR//fecC//garR//evgS//manZ//ryhB//
CsgD_pos	ccmC//citG//wzb//obgE//galE//astD//citX//melR//fabH//uidC//napB//napC//dinD//
CsiR_neg	citC//rhaR//csgD//fucK//cysC//
CspA_pos	aroP//ynfK//
CueR_neg	codA//ttdR//skp//flhC//modC//
CueR_pos	gpmM//torC//
CusR_pos	ycjF//nanT//yccT//dpiA//ybfN//dkgA//dicB//purK//aidB//hyaE//melR//dapB//
CynR_neg	bglJ//
CynR_pos	alsA//aroF//micF//
CysB_neg	araF//csgB//fliJ//feoC//ulaD//mpaA//cadA//
CysB_pos	yqjI//lacZ//rpoD//fnr//lysC//tdcE//polB//prs//flgD//sucB//rutB//pepD//cynR//cysJ//hcaC//mntP//argR//nrfG//nrfB//glnB//hha//cysN//pdeH//higB//mdtC//
CytR_neg	pncB//glnK//yjeV//rutE//ariR//tyrP//glgC//galE//lldD//pgaA//bhsA//patD//glcB//
Dan_pos	pspB//puuR//modC//uspA//
DcuR_pos	paaC//argO//puuE//mprA//speA//fhuD//aceB//baeR//dgcN//
DeoR_neg	glpC//tyrA//dctA//umuD//lsrA//recB//
DhaR_neg	rpoE//
DhaR_pos	lsrD//mngR//fruK//
DicA_neg	cysE//phoQ//sodB//caiD//dgcN//mdh//fiu//nimR//
DinJ-YafQ_neg	fepC//sucB//pheS//
DnaA_neg	csgF//ynbB//lysA//aspC//ybhR//ptsH//entA//uxaB//wcaA//astD//paaH//
DnaA_pos	yhiM//lolA//ecpA//agaB//ftnA//ugpE//ppc//
DpiA_neg	fimE//
DpiA_pos	hyfI//ulaB//ccmA//yhbE//rhaD//flgK//trxC//flgI//yafQ//phnP//
DsdC_neg	cecR//
DsdC_pos	cydC//narK//
EbgR_neg	adhE//trpC//
EnvR_neg	nfo//glgX//
EnvY_pos	trpD//yciX//
EvgA_pos	yecR//sgrR//glyA//yjbH//kbp//yqaE//gspK//nadA//hycE//ccmG//pdeH//norR//speB//phnM//paaB//rstA//lsrF//oppD//yncE//
ExuR_neg	chbA//bglB//prs//iraM//lacY//ynbB//csgG//feaB//galM//
FabR_neg	malF//leuB//
FadR_neg	hyfJ//wcaA//puuE//fliP//ydcS//oppD//yeaR//yciX//ompW//allA//dpiA//
