#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	hipA//fdhF//
AcrR_neg	narL//crp//ygiZ//talA//caiF//glk//lacY//adhE//phnC//cysW//accC//
Ada_neg	pspB//pspA//
Ada_pos	gspG//sucC//ugpE//hycB//
AdiY_pos	fliG//mazG//nagE//gspC//fecR//ytfE//mnmG//fecI//
AgaR_neg	nrfG//micF//lpxC//deoD//modC//aspC//nuoG//hslJ//purF//hypB//purD//
AidB_neg	fepC//
AlaS_neg	modB//
AllR_neg	melB//sufB//galM//glnK//ybjN//gltF//creB//bacA//wzzE//
AllS_pos	rbsD//rclC//appX//
AlsR_neg	relA//gspF//malG//pspD//potH//fecE//
AppY_pos	insD//hisJ//narJ//rstA//rprA//sgbH//frdB//marB//gutQ//yhhY//
AraC_neg	yqjA//lyxK//moeA//isrC//dnaG//yiaJ//glmU//yafO//
AraC_pos	rhaB//fhuD//prpR//glpX//agaR//fliO//malY//manY//ftsI//gadY//
ArgP_neg	hyfR//
ArgP_pos	yhiD//fhuA//ampC//lgoR//garK//kdpA//hybO//eno//mlc//srlR//nrfB//yjjZ//ttdR//
ArgR_neg	murC//acrZ//phnD//torC//fadR//dcuD//yaiA//ybhG//allE//atoD//arsB//hycF//purB//dgcN//glpX//csrC//nuoC//fbaB//moaA//ugpB//emrK//flgH//lolA//insD//oppF//sfsB//lrp//cysP//cadA//dhaK//fnr//hcaF//rutF//
ArgR_pos	recD//rnlB//rpsU//fldB//ybbW//
ArsR_neg	chbA//purB//rpsU//
AscG_neg	kdpF//yqaE//idnK//mtlR//yidQ//
AsnC_neg	iclR//lsrR//murP//
AsnC_pos	garP//
AtoC_pos	ydfH//malP//hyfB//rimK//
BaeR_pos	ymjD//nfsA//rhaS//katE//fimB//mlc//add//fnr//
BasR_neg	sroD//gcvP//
BasR_pos	ybjG//cadC//flhA//rhaD//mdtA//sucB//tsr//sufB//gspK//cueO//mnmG//
BetI_neg	nanA//mgrB//araA//fruA//
BirA_neg	ecpA//yhdW//mglB//yfdE//ydhT//
BluR_neg	znuC//fepD//ftsL//hyi//
BolA_neg	rbsB//yciE//
BolA_pos	alsC//putP//
CadC_pos	yagK//leuC//yciX//
CaiF_pos	flgE//lpxC//fnr//nirC//fadB//bolA//accB//garL//metF//malQ//
Cbl_pos	fabI//entC//hyfH//cueO//dsdC//ldtC//ccmH//glnP//caiB//
CdaR_pos	purL//narL//hyaA//nagA//znuA//yjbG//ompW//cysM//hisJ//ynfF//
CecR_neg	yeaR//glpT//waaY//yiaN//gspD//
ChbR_neg	fabA//paaA//hyfR//hyfC//hokE//yhjX//
ChbR_pos	hybF//murF//wecE//hcaC//grcA//soxR//
ComR_neg	fecC//
CpxR_neg	hisP//marR//araF//ahpC//xylH//insK//ybaS//dinG//rclA//chbA//cyoE//flgM//rbsC//ecnB//ptsI//melA//nfsB//rpoS//cvpA//nuoI//ydeI//cueO//btuB//mdtA//
CpxR_pos	paaJ//glnK//gspJ//creC//ddpX//bolA//sufE//ymgC//csgA//cyoC//lsrR//ybfE//fadL//murE//nimT//narJ//garK//araH//bolA//gntX//napA//lysC//purM//malT//rpoH//argT//malF//rclC//prs//uidB//rffM//dsdC//dcuD//kbaZ//ynbC//pyrD//amtB//casB//amn//rcsA//chbC//galP//melA//nemA//hyfC//grxD//
Cra_neg	appX//garD//xylB//gatY//dcuR//oppD//rdoA//fucA//ybbY//mraY//cysD//tnaB//cusB//nrdG//glk//yjhB//manY//nanA//creB//nrdB//ascF//glcD//rcsA//phnM//ygaC//nanK//ykgO//atoE//acrD//fliQ//csrB//ariR//ybhL//ulaC//prs//sulA//rtcB//fabZ//ydeO//phnE_1//ynfK//glcD//nohA//lacA//cadB//tdcF//sucB//hycF//argA//ugpC//nupG//fepD//metB//slp//thiQ//dgkA//gspH//yeaH//ddpB//
Cra_pos	fadR//rbsK//hyfR//flgN//mhpE//fliT//fhuC//mnmG//prpB//xylB//caiF//argR//lgoR//gspO//allD//argI//glpX//acrD//exuT//narH//mpl//cusC//metA//
CreB_neg	uvrB//puuD//narI//
CreB_pos	dtpA//caiD//
CsgD_neg	caiA//nrdH//aceE//mntH//hyfF//aspA//nuoC//moaE//eno//ycjY//nagC//treC//yqhG//motA//araF//
CsgD_pos	nfsB//purF//sgbU//baeS//accB//lacZ//entS//ampC//yhbT//nimR//agaW//glmY//rclB//
CsiR_neg	yhdX//csgE//manX//evgS//hslJ//
CspA_pos	murR//tnaA//
CueR_neg	idnO//yfdX//ycgZ//nrfA//ttdB//
CueR_pos	pykF//ymjC//
CusR_pos	carA//fabA//murP//malM//mglA//ybiT//dmsC//narL//agaR//cysI//ugpB//nanE//
CynR_neg	glgX//
CynR_pos	creA//cyaR//mgtL//
CysB_neg	cysW//nikE//yidQ//caiD//aroF//sgbE//ebgC//
CysB_pos	araE//rutG//hybD//artJ//sgbE//glmY//dhaL//lrhA//glk//araG//wzb//alaS//yhdZ//sufA//ada//ydeP//ynfE//gadB//argB//efeU_1//ahpF//dhaR//glnB//hyaD//yegZ//
CytR_neg	oppC//argF//recN//moaE//dsbA//yefM//fruB//narL//napH//idnR//pfkA//hslJ//cydC//
Dan_pos	cusR//ygbK//rbsA//motB//
DcuR_pos	murP//entD//rffM//ychF//uidC//uspE//kdpF//ssuA//dnaG//
DeoR_neg	glcG//yhcH//chbG//pflB//htpG//hyfR//
DhaR_neg	gadC//
DhaR_pos	molR_1//ssuC//slyB//
DicA_neg	pck//ubiC//ybhS//malT//moaC//mgtL//decR//ftsW//
DinJ-YafQ_neg	moaD//appY//hycH//
DnaA_neg	mdtC//phnD//cysD//rutB//hyaC//lpd//ldtD//fdhF//nirC//ydhX//metH//
DnaA_pos	cysM//cusR//wzb//csgG//fecD//nemA//mpl//
DpiA_neg	fecI//
DpiA_pos	carA//tomB//fabZ//fepG//slt//yjiY//csgE//hybE//flgK//ydfE//
DsdC_neg	uspD//
DsdC_pos	fixX//ugpA//
EbgR_neg	spy//yeaR//
EnvR_neg	ydcV//ptsH//
EnvY_pos	fixA//aroH//
EvgA_pos	slt//potF//mdtC//nagC//uxaB//mlrA//ycjX//manZ//znuA//pgm//fabB//nrdH//hyfC//edd//ascF//garR//torA//relA//nrfA//
ExuR_neg	luxS//dhaM//fliZ//arsR//tadA//pdeL//guaA//iraM//treB//
FabR_neg	sbcC//patD//
FadR_neg	ybjC//chbG//hdeB//ygiA//chbR//gspC//acrA//mglA//yhjX//glmS//ecpR//
FadR_pos	oppA//patD//hemL//hyfG//araG//gcvT//fliT//rbfA//cyoC//zraS//moaC//mzrA//
FeaR_pos	yhjA//tnaB//
FhlA_pos	infB//fimE//rtcA//tnaA//malY//arsR//dnaG//aroL//fabH//amn//rutG//cysJ//pagP//psiF//uidC//ytfE//mraY//lysC//potH//purH//glcG//garR//srlB//sucC//dnaN//lldP//cvpA//pitB//napG//ptsI//
FlhDC_neg	ugpE//nrdB//feoB//mhpT//
FlhDC_pos	lsrC//aroP//astC//rnlA//gatA//cyoE//fpr//puuA//tisB//srlB//yiiS//glpD//gspF//soxS//zraP//yccJ//exuT//hyaF//citE//cyoA//malT//idnO//bioA//tynA//casB//ada//tnaC//cydD//purR//agaR//ptsG//pck//murI//ydcT//flgM//trpR//cyoB//fixX//glpB//fucO//pepD//nuoK//soxR//bglB//dinJ//dhaR//argO//bdm//dinB//tonB//iscU//paaH//ppdB//modB//cbl//srlR//yfiB//moaB//hybD//fdnH//flgL//paaK//yciG//puuB//cirA//ymgC//glpD//hyaA//narH//pitB//aroG//mglB//putP//guaA//rbsC//emrA//aceF//hcaD//
FliZ_neg	rob//glnA//nrdD//argG//lsrR//gcvT//srlR//nagB//sgrT//ftsQ//emrB//stpA//hybF//tdcF//dnaN//argR//aldA//bioF//hybF//chiP//folA//
FucR_pos	leuD//flgC//rpoE//glcD//murG//fruB//yqjH//
Fur_neg	uof//fruB//yiaM//nfsB//ptsI//acrZ//tyrR//safA//fepA//tdcD//purR//ugpE//ydhT//chbR//ftsK//mpl//folE//safA//agaB//psiF//arsB//phoP//hybA//allD//zntA//treC//ygbK//idnR//yhdY//flgE//ldtB//fliT//iraM//glnB//bhsA//xylG//gatY//fabH//citE//bacA//sufC//citX//pepA//yeaR//lrhA//bglG//argI//ydhX//grxA//dsdX//ychF//rclC//gatZ//napG//cysG//tdcA//deoD//pdeL//creC//yecT//cdaR//wzb//rbsC//ydcU//fhuF//yegR//glpA//gadY//lpxD//marB//rob//sgrR//yfdX//ygbA//yiiS//patD//infB//fadJ//ynfE//yhbS//frc//lacA//ubiC//gntU//nuoK//udp//ybhL//ymgA//fliG//ychF//allC//pepD//ybdZ//cyoC//fliP//hdeA//rffC//yagK//yiaO//rob//yeiB//narK//melB//pnuC//fimB//hdeD//gntT//fepB//csgF//grxA//astB//malI//argF//ahpF//uvrA//
Fur_pos	gpmA//csrB//hycH//psiE//pspB//murD//pspE//yhdY//fliA//citD//fucO//dnaA//lsrF//ptrA//cysN//slp//yiaL//sufC//potG//gadX//csrC//
GadE-RcsB_pos	infB//tfaQ//agaW//nirC//oppC//atoE//ldtB//aroM//ddlB//
GadE_pos	spy//mdtD//nhaA//fnr//astE//ebgC//fur//dhaL//katE//cyoB//rsmH//tsr//yibQ//tnaC//rhaR//argA//purL//gcvH//betI//gcvT//rutD//mtlR//yqjH//fliF//tyrB//hycA//mpl//frdA//dhaR//
GadW_neg	yqjH//napD//cynT//omrB//ebgC//nmpC//hipB//araE//feaR//amtB//pheM//
GadW_pos	melA//nrfF//gabT//dinD//dcuR//phoH//mdh//mlrA//glmU//fixX//araE//
GadX_neg	hypB//ssrS//katE//lacA//nanA//gltL//
GadX_pos	yjhB//sdhA//sucA//metR//treC//alkA//yqhG//pqiA//yeaG//soxR//yncE//phoU//moeB//mazE//nanM//ariR//metF//cdaR//flhA//nrfF//grxD//fliR//nikB//tcyJ//cydD//ycdZ//astA//
GalR_neg	caiD//metI//bluF//oppF//cusS//casA//ydfN//pgaC//betA//pfkA//
GalR_pos	ymgA//fiu//glcC//sucC//
GalS_neg	ygiA//yjhC//dsdX//flgB//yegH//creB//carB//gltD//mhpB//cydC//
GalS_pos	truB//ssuC//yoaC//idnR//
GatR_neg	hybD//hyaA//hisM//norR//hyfJ//hycB//
GcvA_neg	fecC//xapA//tyrA//rseA//
GcvA_pos	ynbC//murC//yfdV//rpoS//
