#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	sra//mgtA//
AcrR_neg	nfuA//bglJ//cynR//cyoD//ybhF//sufA//dinG//nmpC//artJ//ynfF//hycH//
Ada_neg	phoQ//crp//
Ada_pos	leuO//entH//potH//cho//
AdiY_pos	ssuE//hokD//glpF//cusB//pheM//ssuD//mngA//dinQ//
AgaR_neg	rhaD//chbB//yncE//yoaG//chbF//asr//flgK//dps//alaS//zinT//cysG//
AidB_neg	wecC//
AlaS_neg	xylF//
AllR_neg	pepD//inaA//grxD//agaI//nrdE//agaR//mtlA//ygdB//zraR//
AllS_pos	lsrF//pspF//ynfE//
AlsR_neg	yiaM//ulaD//phnK//flgI//wza//fucR//
AppY_pos	ycgR//tdcA//lpxD//rpsO//fadR//rffG//yhbT//pncB//zntA//phr//
AraC_neg	aidB//astB//hokE//moeA//uxaC//cspE//rcnR//glcE//
AraC_pos	oppA//uxaB//manZ//creA//lacA//dmsA//pstB//rpoE//napA//ddpB//
ArgP_neg	gspD//
ArgP_pos	slp//gntK//wecB//tauC//wzyE//sucB//sdhD//gspG//chbF//psiF//marA//cueO//gltK//
ArgR_neg	ribA//kdpC//erpA//tpiA//ygbK//tdcC//ccmD//ppiA//pgm//fldA//lsrF//yidL//gltL//galR//xylR//grcA//ydiU//fliA//kdpC//artQ//gspO//malP//appB//nuoM//cynX//ygaC//ybiT//yneM//modB//hyi//purF//cbl//mscM//
ArgR_pos	araE//tsx//ycdZ//recA//flgL//
ArsR_neg	lsrR//yhiD//rcnR//
AscG_neg	fadJ//fecR//lexA//mngR//ygiB//
AsnC_neg	paaG//btuB//appB//
AsnC_pos	treB//
AtoC_pos	tsr//sufA//higB//fimE//
BaeR_pos	degP//purN//dinQ//dcuD//ssuE//phoE//mqsR//puuP//
BasR_neg	glcA//tdcB//
BasR_pos	pdeL//uidC//dicC//dgcC//hypB//ynfH//moaC//ydeO//emrK//galP//metL//
BetI_neg	napB//srlB//cynR//metJ//
BirA_neg	sdhB//wecE//trpC//nfuA//hokD//
BluR_neg	glyA//glcG//galR//asnB//
BolA_neg	galE//malE//
BolA_pos	tauD//nrdB//
CadC_pos	xylB//ygeH//pstA//
CaiF_pos	lhgO//modA//cytR//pgaB//yncE//sucA//hcaD//micF//omrA//purR//
Cbl_pos	agaR//phnF//glcG//ssuD//fixX//argE//dcuD//gntK//hybF//
CdaR_pos	atoD//pepA//acrD//sra//pspE//glmU//tauD//aroM//hybA//nikA//
CecR_neg	nadB//ftsZ//mngR//glcC//rhaA//
ChbR_neg	gloA//pstA//dapB//zwf//ydfH//torA//
ChbR_pos	sgbU//yjjZ//alkB//wecC//phnH//pagP//
ComR_neg	ada//
CpxR_neg	gpmA//crr//sbcC//asr//flhB//idnO//ppiA//argP//prpB//glpD//ompT//marB//lpxD//insD//pgaD//exuR//dhaM//murP//napG//rpoS//folE//argF//ruvA//entA//
CpxR_pos	argD//deoA//tnaB//erpA//ulaC//feaR//gltF//phnM//acrA//wzc//potH//marR//feoA//oppC//hyfA//gcvB//phnC//uidA//yjeV//lacZ//relE//fes//malM//glpA//ptsH//dsdC//glgB//yiaK//recB//csrC//ycjF//phnK//mhpB//marB//ptrA//yafQ//flgE//hycI//hcaC//hcaF//ybhL//fliJ//lpxD//hslJ//recA//rhaS//
Cra_neg	astA//argP//phoP//gadX//aslB//fliD//ddpC//fliS//aroH//paaA//agaB//fabG//lpd//cadC//ppdA//oppB//ydfW//fliJ//frdA//alkA//nanA//yiaL//bioF//bglB//nac//ycgZ//phoE//glgC//gatC//murR//argI//fhuF//lon//yhbS//omrB//mgtA//recB//nuoH//dmsD//moaC//yoaC//hdeB//deoD//flgE//bglJ//ydfD//leuL//ycgR//ihfA//bglJ//mtlA//rclA//araC//nrfB//cydB//pdeH//cusC//rstA//hyfI//
Cra_pos	phnP//yciW//fadR//glcC//hflD//aceF//gloA//tdcG//cyoA//phr//fnr//rhaT//chbC//metC//aroL//ribA//tsgA//argA//chbB//torD//rclA//ybaS//rseA//
CreB_neg	thiP//norR//atoB//
CreB_pos	puuB//gspH//
CsgD_neg	ybdZ//nanT//malS//rutF//bdcA//trpA//fliJ//putP//rdoA//fecR//nuoE//gcvT//rdoA//aceB//ybjG//
CsgD_pos	gadC//paaK//sgbH//rpoS//symE//asr//waaZ//decR//gspK//mdtD//torD//metE//tyrB//
CsiR_neg	trpE//fnr//asnB//aspC//ygiC//
CspA_pos	ycdZ//gabD//
CueR_neg	ydhY//ydcS//eno//aldA//ugpB//
CueR_pos	dinB//pdeL//
CusR_pos	fepC//cyoB//mgtA//ydhU//yjeV//puuC//yncE//dgcN//pheS//pstS//ygeA//alsC//
CynR_neg	dmsD//
CynR_pos	aidB//cadC//prpE//
CysB_neg	rseC//crp//bhsA//ppdA//glmU//hlyE//wza//
CysB_pos	gspE//tpiA//fhuB//hybB//glpX//emrK//fucR//ydhV//torA//manY//ygiC//gltK//pfkA//dapD//ddpF//sufS//yafQ//srlB//puuC//phnG//mltF//yafN//flgM//exbB//hycF//
CytR_neg	gadE//nrfB//relE//cysC//hmp//tsgA//argR//cusF//mqsA//yeaD//zinT//idnK//ybdZ//
Dan_pos	garR//ddlB//dctA//glnQ//
DcuR_pos	malK//xylB//garK//rhaB//lysO//zinT//argG//ybdN//araG//
DeoR_neg	ycjY//talA//sgrR//metA//recN//glpD//
DhaR_neg	lsrD//
DhaR_pos	moaC//fecR//yhjX//
