#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	ycjG//ykgO//
AcrR_neg	ydbD//yccA//purA//araC//gudX//cysG//torD//fdnG//ulaA//gpmA//phnE_1//
Ada_neg	manY//rhaT//
Ada_pos	yafQ//gyrA//pheT//nagE//
AdiY_pos	lsrK//yjeV//nemA//gspJ//pitB//nagA//umuC//ulaB//
AgaR_neg	ttdA//nrdG//hybA//serA//emrK//sgbH//uidA//entS//aceK//rbsA//glnA//
AidB_neg	wecE//
AlaS_neg	xylF//
AllR_neg	glgC//lhgO//asr//glxK//malZ//dps//gatD//aroG//betT//
AllS_pos	puuA//bhsA//oxc//
AlsR_neg	nikD//garD//baeS//cecR//araE//glpD//
AppY_pos	citD//uspA//glxK//copA//glpX//nfuA//galK//galS//tehB//nikB//
AraC_neg	sufS//ycdZ//folA//creC//yjbF//ygeA//ydfH//pqiA//
AraC_pos	cysE//ugpE//sufD//ccmA//efeU_1//iclR//wecB//fadM//fliI//epd//
ArgP_neg	purH//
ArgP_pos	ubiX//wrbA//rbsB//cysP//allA//metE//fadJ//cpxA//galM//srlA//hycI//hybE//sutR//
ArgR_neg	ruvA//ybbW//ppdB//asnA//ydhW//pheT//dgkA//glgC//rpoD//ssuD//rtcA//ftsW//lon//cspE//sucD//prpB//hipA//glgB//dinG//tauB//fadM//tsr//micF//pspE//nrdF//pqiA//ugpQ//phoE//pspD//fadL//fadE//accA//spy//
ArgR_pos	cysE//bioF//hemH//argT//rcsA//
ArsR_neg	ppdC//rbsD//aroP//
AscG_neg	mazG//wecB//nikD//ynfG//hha//
AsnC_neg	ydcV//pncB//btuB//
AsnC_pos	ycdZ//
AtoC_pos	nirB//cusS//csgE//tsr//
BaeR_pos	ftsW//hyfD//sgrS//ydfE//idnK//lysC//cyoC//hybC//
BasR_neg	tdcE//hycF//
BasR_pos	flgD//srlE//ynbB//gntP//ynfH//mgrB//ydhV//idnK//yoeB//rutF//dinD//
BetI_neg	tpiA//sdhB//flgA//borD//
BirA_neg	entB//agaC//treR//phr//fecE//
BluR_neg	nuoA//sdhC//yqjA//fliL//
BolA_neg	wzxE//ytfE//
BolA_pos	eno//allE//
CadC_pos	nrdD//prpR//lacA//
CaiF_pos	codA//fucK//dapD//glnL//lpxD//flhC//sgbU//exbB//dinJ//glxR//
Cbl_pos	hybB//ccmD//dmsD//yjbF//rplT//uvrY//exbB//paaG//ccmE//
CdaR_pos	frc//acrB//xylR//yjbH//pdhR//argR//nuoF//murF//ytfE//idnK//
CecR_neg	tpiA//yciW//fiu//murQ//trpD//
ChbR_neg	sgrR//ykgO//mntP//wecC//purH//rpsU//
ChbR_pos	cysU//glpB//narK//norW//xylB//agaW//
ComR_neg	yjjZ//
CpxR_neg	nuoB//yebE//fabB//mraY//ynfG//fliZ//tktB//gutQ//yeaG//sgrS//moeB//umpH//dinJ//yccJ//ttdB//fnr//hypC//gatD//lpd//inaA//setA//csrC//rimP//hcaC//
CpxR_pos	rybA//modA//xylR//uidC//pdeH//aldA//hydN//alaC//lyxK//ruvA//iscU//fecC//moaC//kdpC//glpC//gor//tadA//fau//gatD//tauB//yciG//psd//fliJ//rcnR//aidB//aspA//narX//araB//gudP//hokD//gcvA//putP//csgB//atoB//lysA//tam//cusA//ykgO//fepB//hns//fepA//umuC//rhaD//crp//motB//emrK//
Cra_neg	ybhS//malP//ygeA//phnN//higB//fadL//hipA//uxaC//fepC//sufA//cpxP//allS//potH//csgF//tsx//fabB//tdcA//ccmG//umpH//rstA//cysA//lysO//dcuR//fecR//dcuA//csrC//csgB//murE//gcl//malZ//artM//ybhL//treB//slyB//metF//yfiB//gltF//gutM//hemL//pyrD//gudP//rutF//kdpA//ubiA//bioF//hyaD//mhpA//guaA//allE//mgtA//flhA//patA//codA//casE//cusR//gabP//yccT//yiaJ//rtcB//
Cra_pos	uxaB//cysU//oppB//nfsB//uvrA//nagE//feaB//cheA//tktB//casC//yhiD//lsrC//dcuA//gcvA//tauD//osmY//melA//appY//wzb//dapD//aslB//ygiB//dkgB//
CreB_neg	citC//thiP//glpK//
CreB_pos	sroD//pheM//
CsgD_neg	purD//astD//yegR//fliD//ascB//phoH//mtr//fliM//dsrA//ftsI//paaG//ccmE//pqiA//pstC//yccA//
CsgD_pos	mhpF//sgbH//cirA//gudP//torC//pyrD//yciW//yjjQ//sucC//yhdW//fadD//artP//hyfA//
CsiR_neg	alkA//mhpC//casD//ybdN//mntP//
CspA_pos	fepA//yiaK//
CueR_neg	feoB//glpB//betT//agaV//astD//
CueR_pos	dmsB//phnE_2//
CusR_pos	bglJ//creD//rbfA//malS//fhuE//prpD//ulaA//csrB//ynbC//slyB//frdC//hypB//
CynR_neg	wecC//
CynR_pos	gpmA//bhsA//cusR//
CysB_neg	amtB//glnG//yegZ//hyfE//ddlB//ccmD//nupG//
CysB_pos	ygdB//paaX//acrD//xylB//nrdH//rcnB//xylH//paaB//nanE//mhpB//yciX//ymiA//putA//mscM//pgaB//mhpD//fabA//hypA//uspD//caiA//hcp//rffG//fliA//sbcC//flgD//
CytR_neg	hypC//ccmE//dctA//purR//metI//atoB//napC//yqjA//ftsI//setA//cyaR//modB//lldR//
Dan_pos	fur//hybC//ddpX//rbfA//
DcuR_pos	melA//cusC//rpoE//yciX//csiD//rcnB//ycjF//fecA//nuoI//
DeoR_neg	trpA//nrfC//nrfC//znuB//fecB//phnL//
DhaR_neg	stpA//
DhaR_pos	exuR//malE//rpoS//
DicA_neg	insK//inaA//nemR//kdpC//nuoF//nirC//ydcT//paaX//
DinJ-YafQ_neg	tnaC//modB//copA//
DnaA_neg	fhlA//ugpB//rtcA//glcE//dgcN//recN//fliH//recX//yfaE//torC//ycjX//
DnaA_pos	malX//folE//prpR//hyfI//ybhF//galK//ydbD//
DpiA_neg	ycjY//
DpiA_pos	potG//insK//pheM//ssuD//nupG//dinB//iscU//glgX//paaH//hybC//
DsdC_neg	ugpB//
DsdC_pos	hycH//chbF//
EbgR_neg	mhpE//puuD//
EnvR_neg	luxS//betA//
EnvY_pos	ygaC//nagC//
EvgA_pos	ascB//ihfA//hcaF//allS//fdnI//mhpB//gdhA//ydcU//ychF//bolA//gntX//ygbK//dsbG//znuB//tktB//gadE//gadA//trpR//wcaB//
ExuR_neg	leuL//argD//acrD//fadL//puuP//modA//higB//polA//fliZ//
FabR_neg	kbaZ//aceE//
FadR_neg	ybfE//paaY//rutD//gadX//rpoS//puuE//fruK//galS//gutM//ssuE//lacA//
FadR_pos	rhaS//hypE//idnK//ycdZ//casB//fliR//cyaR//cynT//rfe//sucC//trpE//cusC//
FeaR_pos	prpR//yiaN//
FhlA_pos	cas1//wecE//yebE//sdhC//agaB//phnJ//pstA//nrfE//mngB//agaA//csgC//srlE//malG//yccT//csgF//creD//znuC//ycjX//yafN//wzc//rbsC//arsC//potH//ftnB//pgk//lrp//ybjG//metR//recX//aceE//
FlhDC_neg	hycF//rimK//mipA//fliQ//
FlhDC_pos	gspM//cusB//fur//puuR//sbcD//rutD//puuE//fliQ//ykgM//phnP//cysG//appA//nanS//purE//yhiD//uidB//ynfF//mraZ//ttdB//glcA//appA//gabP//cadB//glxR//lldP//rutE//ccmD//sulA//mngR//mdtD//yidL//glpD//mdtD//ecpR//umpH//nfuA//hycB//sufB//lacY//paaE//mhpB//kbp//crr//ydcT//rpsU//inaA//ugpQ//mglB//yeiB//fliL//frdA//agaA//hycC//flhA//narK//hokE//paaY//yhdY//phnO//ydhU//tnaC//cysE//fliA//fliF//ybhL//ssuA//dacC//mngB//nuoG//ulaF//putA//hybF//recD//flgB//dinF//casA//ybhR//skp//
FliZ_neg	ybjN//phoB//glgP//lsrC//tauC//folE//leuL//uxuB//flgI//mpaA//hyfF//gntK//gatD//recA//flhB//folA//hisJ//nupG//sdhA//appY//fhuC//
FucR_pos	ynbB//gfcA//waaH//araG//hybC//wcaA//rpiB//
