#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	melR//gspM//
AcrR_neg	fepA//bglF//moeA//wzb//glgP//cysW//acrZ//katG//pstA//flgJ//hcaD//
Ada_neg	uvrC//glpX//
Ada_pos	katG//lysA//prpB//evgS//
AdiY_pos	uvrY//mazG//truB//umpH//cydC//wzb//argH//pgaB//
AgaR_neg	wzxE//phr//phnL//napA//znuA//setA//gltJ//lsrD//pck//bglB//gltK//
AidB_neg	yjbG//
AlaS_neg	puuE//
AllR_neg	narK//cpxR//sodA//flgC//hisP//rbsR//yqjI//hycC//fliH//
AllS_pos	guaA//dinD//chbB//
AlsR_neg	fliL//phnJ//eno//phnE_2//ygeH//ssuA//
AppY_pos	ykgO//yfbR//gcvA//hyaF//ygiZ//dhaK//appY//rutD//yjhB//mhpE//
AraC_neg	fadE//yecT//allS//gudP//rhaS//ssuE//argH//glcC//
AraC_pos	glxK//csrB//ogt//hybD//garL//putP//yebE//ygeA//creD//csgE//
ArgP_neg	mraZ//
ArgP_pos	tauC//aspC//nanC//hcaB//fabG//yaiW//moeA//dacC//tyrP//gadA//yhiD//purL//phoU//
ArgR_neg	entH//yefM//pgaD//gcvA//nuoL//astA//cyoD//gatA//alsC//kbaZ//yqjH//cysU//rpiR//dtpA//sulA//sbmA//putA//rseC//rhaB//hybD//ybjG//iclR//purE//slyB//codA//mntP//qseC//sufA//fldA//nrdG//fucA//uof//ssrS//
ArgR_pos	cyoC//hybG//paaK//murC//hyaF//
ArsR_neg	pqiB//mglC//galR//
AscG_neg	bdm//gcl//mtlD//pspB//cbl//
AsnC_neg	fadI//ssrS//crp//
AsnC_pos	hypF//
AtoC_pos	mngR//tehB//bioF//leuD//
BaeR_pos	metY//yccJ//gabD//metA//gspO//sbmC//tnaA//mcbA//
BasR_neg	sucC//deoC//
BasR_pos	hyaE//ftsL//gatC//bolA//rhaA//dsdA//glnK//mipA//gadF//rpoS//narL//
BetI_neg	ynfH//lon//yqhD//ung//
BirA_neg	rbsD//nagB//ulaB//ydhY//hycG//
BluR_neg	phoE//hybD//glgA//uspE//
