#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	argH//citC//
AcrR_neg	decR//gcvH//casB//sgbU//fliD//hyaF//fliK//fecR//ompF//citF//metC//
Ada_neg	adiA//nrfG//
Ada_pos	pdeH//rnpB//uxuB//yfiB//
AdiY_pos	gntK//cysK//trpR//glmU//yqjH//spy//relB//mnmG//
AgaR_neg	ygiB//fldA//appA//safA//leuB//rffG//sbmC//yjjZ//rsmH//nusA//patD//
AidB_neg	rprA//
AlaS_neg	napC//
AllR_neg	frc//fliG//cysB//nuoF//deoD//bolA//yqhD//qseC//ydfE//
AllS_pos	csgF//psiE//sgbE//
AlsR_neg	eno//entD//rffC//ulaF//sufB//ttdR//
AppY_pos	yeiL//artQ//melR//frdB//sgbE//napC//prpE//arsR//cas1//potH//
AraC_neg	glxK//skp//rnlB//mraY//mtlD//fixX//fliE//yhdX//
AraC_pos	fliL//rtcA//ascB//gabP//ydiU//lsrD//xapB//uxaB//yfdE//rpmA//
ArgP_neg	hybA//
ArgP_pos	sutR//rutG//lldD//motB//ccmE//gspI//ydcT//nrdE//mdtA//trpE//slp//fucA//paaC//
ArgR_neg	nrfE//dapD//rnlB//ycjF//pspB//psiE//aceE//cyoB//paaD//lysC//mglC//glpT//astD//rstA//lsrC//pitB//rpiB//sufE//yiaN//aidB//nuoA//betI//arsB//agaW//paaE//dgcZ//fliF//cynT//alsC//lldD//bioB//cusR//nrfE//
ArgR_pos	csgE//recA//oppF//manX//polA//
ArsR_neg	gyrA//dsdC//hyfG//
AscG_neg	hycA//accB//galT//oxyS//ydbD//
AsnC_neg	fucO//wcaA//dicC//
AsnC_pos	rplU//
AtoC_pos	rseB//uidB//agaD//rnpB//
BaeR_pos	mdtE//dmsB//pgaB//dinQ//dctR//argT//rffG//murP//
BasR_neg	gspD//cusA//
BasR_pos	dcuS//adhE//yhiD//yecR//ldtD//moaE//accD//ptsG//glpD//bacA//bluF//
BetI_neg	lolA//zraS//tisB//atoD//
BirA_neg	araH//adiC//cydD//artJ//fecR//
BluR_neg	fldA//pfkA//glnK//gadW//
BolA_neg	hyaA//cysM//
BolA_pos	ydhY//mtlR//
CadC_pos	tdcC//tisB//pgpC//
CaiF_pos	mgtA//garD//yqjI//ydjM//ebgA//tbpA//ssuC//uidC//purH//fimB//
Cbl_pos	rhaR//torC//xylB//tadA//rplT//mhpT//yfaE//gadA//rpsU//
CdaR_pos	malS//gapA//allB//lsrK//gatB//ybaS//udp//narH//hcaF//phnE_2//
CecR_neg	znuB//nrfE//uxaB//narG//gspC//
ChbR_neg	pqiB//hyfJ//rtcB//gspM//araC//metE//
ChbR_pos	hemL//entB//lysO//yhiM//moeA//ldtB//
ComR_neg	rnlA//
CpxR_neg	ydfD//bioB//pstA//rbsR//gor//uidC//rutG//marR//allS//nadA//uxuA//acnB//yafP//sutR//phnF//yjiY//ygiC//ugpE//casA//xylB//deoA//flgF//pstA//grxA//
CpxR_pos	sfsB//pdeL//rnlB//pspA//ygbK//yciE//yeaH//ptrA//casA//nuoB//yneM//pstS//mglB//hydN//flhC//mltF//mhpE//rbsR//uvrY//ycgR//phnO//glgC//paaD//yciW//yfbR//rprA//aroH//ddpC//entH//prpD//allD//cysI//trpE//yciE//lldP//nrfD//bglF//erpA//molR_1//pspA//iscR//iraP//hemH//sroA//cpxA//pqiB//
