#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	rbsA//garK//
AcrR_neg	gabP//polA//argB//creD//hybC//ptrA//nuoI//ybbW//tehB//phnD//sufC//
Ada_neg	patA//yqjH//
Ada_pos	appY//garK//hybC//sgbU//
AdiY_pos	gspH//nuoI//waaY//lpd//bioB//tktB//tdcG//waaZ//
AgaR_neg	fadL//gltF//pspB//ybjG//sroA//glgB//ykiA//entE//glyA//dsdX//ybjC//
AidB_neg	rimK//
AlaS_neg	cra//
AllR_neg	cyoC//manZ//rtcB//yoaC//citF//argO//phnL//flgD//tadA//
AllS_pos	fbaB//fepC//malX//
AlsR_neg	rsmH//nohA//phnP//gspL//ybaS//yidL//
AppY_pos	uxuA//chiP//ftsI//ygiZ//sroD//melA//metR//fliI//metH//sgrR//
AraC_neg	hycE//dgcN//folA//ydeM//pncB//fliR//galE//nhaR//
AraC_pos	entE//ulaB//chbR//rutC//metR//rpiB//ascF//rutG//rhaD//qseC//
ArgP_neg	pqiA//
ArgP_pos	dtpA//nuoN//mdtF//manX//lysR//tisB//ftsZ//dpiB//dhaL//oppF//argC//mntS//gatB//
ArgR_neg	sufS//hyaF//pstA//ydhW//yaiA//yhdY//ynfF//mgtA//nuoK//tfaQ//argD//ydeP//sodA//umpH//purN//modA//relB//grxA//ydfH//moaD//ebgA//gcvP//mngA//dsbA//fadJ//sra//pdeH//mtr//murG//murG//fecI//flgD//tnaC//
ArgR_pos	gabP//hcaF//modC//dinI//yiaL//
ArsR_neg	ymjC//hemL//fucO//
AscG_neg	idnD//nadA//gadE//fliI//pspF//
AsnC_neg	ugpE//dinF//yeiL//
AsnC_pos	fliT//
AtoC_pos	mntP//csgD//pnp//ddpB//
BaeR_pos	cysC//nadB//nhaA//ybjC//acnB//ykgM//cysE//tdcB//
BasR_neg	ugpQ//purA//
BasR_pos	ugpC//allC//yciE//decR//rtcA//bioB//cusR//cpxP//astC//glxK//mlc//
BetI_neg	yeiB//spy//hipA//accD//
BirA_neg	ydhU//rclB//mzrA//puuR//fadE//
BluR_neg	malZ//cytR//ynbC//phnM//
BolA_neg	nirD//xapB//
BolA_pos	rpsU//uvrB//
CadC_pos	ybhL//paaI//iscS//
CaiF_pos	hyaB//dcuS//flgG//ndh//tcyJ//malK//mgtL//feoB//mhpC//yqjH//
Cbl_pos	puuC//gatZ//glgC//glnQ//ecnB//hyfI//sgbU//cadC//phnN//
CdaR_pos	argE//nadA//sbmC//ulaF//lexA//dmsC//yjjQ//ptsH//evgS//tyrR//
CecR_neg	cueO//oxyS//artJ//ygiC//rhaR//
ChbR_neg	tisB//sdhC//yfdX//fucK//fpr//rpmI//
ChbR_pos	argP//grxA//gadC//dtpA//frc//cheW//
ComR_neg	mioC//
CpxR_neg	ychF//yncE//aroG//yafP//bolA//ruvB//cvpA//nfo//mntS//napA//yccJ//yhdY//hycA//yciF//yiaN//aroH//uidA//ydfX//recB//ybbW//hypB//aroM//galR//flgN//
CpxR_pos	aroM//gspM//lysR//mqsA//galP//glnQ//infB//sucA//ppc//ompT//purA//flgA//yciE//flgG//hypC//dapB//chbG//cspI//ychF//flgJ//metI//paaE//nupC//aceE//ulaF//ptsH//lacA//uvrA//entA//nrfE//adiC//hycH//cytR//hdeA//nrfG//fruB//leuD//tbpA//omrB//murR//mhpF//nhaA//ttdB//ubiX//phnE_1//narX//
Cra_neg	qseC//glnQ//ydeO//ymjC//fau//fimE//flhA//fadE//ftsQ//fliH//htpG//kbaZ//fruB//mpaA//malM//pstS//phnH//uspD//znuC//ryhB//katG//dpiB//yaiA//rhaS//casB//sucB//prpD//ygbA//frdD//alsE//flgA//mhpF//dctR//rseA//betI//recD//yqhG//ariR//eno//mzrA//mlc//napA//phnF//sutR//deoA//kbaY//rarA//gadF//fecB//ubiA//rtcB//ihfA//nrdG//hyfR//ybbW//mdh//argF//fabZ//argP//
Cra_pos	paaE//ynjI//fecI//rpmI//betI//flgI//ppsA//degP//cusS//dcuR//umuC//torC//ygbA//sgrT//lldR//mazG//ftsW//kbp//yqhD//pqiA//allC//purC//hyfA//
CreB_neg	murD//hcaD//dcuR//
CreB_pos	nupG//phnD//
CsgD_neg	fadL//fucA//sroC//nanA//pyrC//tbpA//mdh//rnlA//allD//higA//paaY//yhhY//fhlA//yciE//gapA//
CsgD_pos	btuB//tdcC//gatD//fixB//acrB//idnD//ydeO//glpT//ahpF//fadB//fhlA//ogt//glgP//
CsiR_neg	cysU//hslJ//codB//znuB//trpA//
CspA_pos	tolC//zwf//
CueR_neg	lacZ//phr//paaX//mprA//dgcZ//
CueR_pos	dsbG//dinQ//
CusR_pos	cysP//symE//gutM//napH//hyfA//napD//sgbE//astE//nemR//ccmG//rpsU//napC//
CynR_neg	ygiA//
CynR_pos	glmU//ccmG//hokD//
CysB_neg	ecpR//mdtD//ccmB//pflB//yneM//waaH//nuoG//
CysB_pos	focA//pspD//recN//fucR//exuR//dinI//puuD//nagC//yeaG//tsgA//dsdA//relB//alsC//cyaR//moaA//yhiM//acnA//relE//ykiA//hycF//uidR//ydfE//glyA//fadE//yafN//
CytR_neg	yaiA//pspC//wecC//yidQ//yeiB//nohA//ybdZ//nanM//yeiL//betI//ykgM//garD//sroD//
Dan_pos	appB//dhaL//ybfN//mhpT//
DcuR_pos	argI//sucA//purR//rcnR//lon//mhpF//tbpA//cyoA//pstS//
DeoR_neg	nlpA//fumB//hyfG//ftsW//iscU//tomB//
DhaR_neg	nanA//
DhaR_pos	ddpX//bglJ//ihfA//
DicA_neg	ydhX//cusA//rplU//fruB//prs//ydeO//ygeH//yafQ//
DinJ-YafQ_neg	tauD//bglJ//lldD//
DnaA_neg	alsA//glmY//ptsG//rutA//crl//dapD//chbR//pheM//gspH//flgI//pheS//
DnaA_pos	phnD//ogt//uidA//yneM//rffT//ycjY//fucO//
DpiA_neg	qseC//
DpiA_pos	ybdZ//yccJ//relB//gatZ//fruK//icd//sdhA//gspI//atoE//hycC//
DsdC_neg	adhE//
DsdC_pos	hyfB//gadW//
EbgR_neg	modB//nikB//
EnvR_neg	fadE//nrdH//
EnvY_pos	grcA//mdtE//
EvgA_pos	crp//mdh//chbR//ecpA//rutB//srlA//yoeB//yhjA//mglC//skp//ptsI//artP//entS//hycH//ybjN//moaC//aspA//rnlA//rseA//
ExuR_neg	nirC//fucR//ykgO//yaiW//ihfA//hyfD//argC//wrbA//yiaL//
FabR_neg	agaD//omrB//
FadR_neg	fucI//ygiB//nfuA//galK//ccmG//sucC//frdB//ydhT//mgtA//ccmD//fur//
FadR_pos	lsrR//rbfA//yoeB//yciG//ynfF//mhpE//yiaO//grxA//fliJ//cadC//purH//ybfE//
FeaR_pos	cysK//uidA//
FhlA_pos	ygaC//ybiT//ariR//citD//creB//pstB//dinD//fimB//asnB//truB//mqsR//accD//rpoS//hcaF//glpK//argR//araE//lysR//nagA//aroG//yibQ//csgE//uvrD//hybA//yqhD//zwf//nagC//metY//wzb//gltF//
FlhDC_neg	chbC//ynfG//phoH//mglB//
FlhDC_pos	hokE//degP//feoB//inaA//ddpA//mhpT//fliO//paaE//hcr//cpxA//casC//lysO//yeaG//hha//glpA//dsdA//bglJ//moaA//cynT//prpD//phnF//marB//uvrD//crp//mzrA//ugpB//mtlD//idnD//ymjD//trpA//gabT//ddpF//molR_1//treC//dinQ//purA//mhpF//purN//osmB//hybC//pagP//insD//manZ//kdpA//ygeH//phnC//lsrD//yhcH//acrB//pepA//malX//mpaA//motA//yaiW//yjbH//exbB//gspE//pdeL//chbA//fdnG//lgoR//nuoC//amtB//yafO//ung//cecR//codB//mtr//nrdB//exbD//rffC//gspI//gabP//dcuD//pqiB//ykgO//asr//csgB//
FliZ_neg	emrY//entE//ycjG//ydeO//hycB//crp//pgpC//rhaB//leuC//atoD//yqhG//fruK//yfiB//sucA//hcaF//sroA//truB//hha//poxB//purL//gspH//
FucR_pos	aceF//manY//cydD//uidR//xylF//uhpT//mglA//
