#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	oxc//pncB//
AcrR_neg	tisB//galT//rbsC//ccmH//paaE//arsR//lpxD//lon//frdA//flu//ykgO//
Ada_neg	gyrA//nrdE//
Ada_pos	gspI//uvrD//galS//aroH//
AdiY_pos	fecE//inaA//yoaG//yegH//srlE//dicB//rarA//hypB//
AgaR_neg	dinJ//gnd//ydhT//ugpB//galT//narL//murG//bioC//aceF//adiC//ogt//
AidB_neg	hycA//
AlaS_neg	ygiB//
AllR_neg	ribA//ydeP//cynT//tktB//metB//yiaN//pykF//bioD//nuoM//
AllS_pos	sodB//fumB//recC//
AlsR_neg	astD//pqiB//ynfG//malZ//fhuA//fucA//
AppY_pos	malX//tdcE//znuA//flhA//yhdX//uvrY//ptsI//sufE//mglA//argF//
AraC_neg	rarA//rpsO//yafN//gor//caiF//napF//metN//bacA//
AraC_pos	cydC//modB//folE//ccmA//ybdZ//fabI//glnP//bamE//kdpF//rseB//
ArgP_neg	idnT//
ArgP_pos	ybjN//cdd//yebG//frdD//citX//atoE//purR//rprA//adiC//hypA//entD//relA//rarA//
ArgR_neg	glgX//mzrA//fucR//dgcZ//ecnB//degP//srlE//uvrB//yjhC//astB//nuoB//flgJ//dhaM//fadM//galM//dcuB//nemA//glnH//dsbG//nrdA//cadC//fbaA//hypF//ykiA//fabD//nagA//yeiB//tolC//flgN//fadM//hflD//hypF//dcuA//
ArgR_pos	betA//glnH//ahpF//cysH//aceB//
ArsR_neg	relA//sroA//tehB//
AscG_neg	hipB//flhB//wza//exuT//acrZ//
AsnC_neg	ftsQ//metF//cydC//
AsnC_pos	nimR//
AtoC_pos	yfiR//yecT//ccmG//hycB//
BaeR_pos	lpxD//waaZ//lsrK//gatC//fdhF//pepD//ynbA//dinQ//
BasR_neg	murC//malS//
BasR_pos	ydhU//cynS//ulaE//prpB//rarA//citX//ygaC//ppdB//sbmC//modC//asnB//
BetI_neg	pdeH//dsbG//rhaT//gatZ//
BirA_neg	modC//slyB//gadX//ulaC//ddpF//
BluR_neg	arsB//emrY//deoC//yjjQ//
BolA_neg	pheT//pnp//
BolA_pos	micF//hokE//
CadC_pos	yhiM//dgcZ//gcvH//
CaiF_pos	lsrD//nrdB//metH//ptsH//yafO//oxyS//agaI//marB//amtB//hslJ//
Cbl_pos	gntK//hokD//pgaB//polB//fixB//oppB//zwf//nrfA//puuB//
CdaR_pos	sfsB//gatY//ldtC//csrB//fadB//yhjX//artM//tsgA//nikC//gltK//
CecR_neg	mdh//rprA//wzxE//setA//nhaR//
ChbR_neg	nagC//hyaC//fepE//sroC//ldtC//gapA//
ChbR_pos	prs//trpB//puuB//fucU//leuO//rimK//
ComR_neg	phnN//
CpxR_neg	symE//cusB//hdeB//uhpT//ydhW//sdhA//wza//gadA//dcuB//nirD//yaiA//yeiL//nemR//yqhD//ygeA//tyrA//purA//fadA//gabT//citX//ycjY//fhuA//chbA//treR//
CpxR_pos	tcyJ//cdd//ldtC//yfaE//acrA//cpxA//deoC//gadB//lacZ//relE//xylR//argD//ybjN//melB//ugpC//puuP//citC//truB//ascF//sgrT//trpA//dgcZ//caiD//lysO//ydfX//nagA//moaB//stpA//ygeA//alsB//malE//yccA//hybB//phoQ//rcsA//pspF//crr//dps//purK//phoA//bhsA//fliM//crl//fliR//malQ//cynR//
Cra_neg	dicC//agaW//agaC//nuoF//rdoA//hdeA//ascB//ydjM//fimB//glcD//puuD//accA//metY//paaY//ssuE//malP//exuT//rob//accC//hyfB//mglB//insK//cysN//yaiA//dinG//mpaA//emrK//nupC//phnI//grxA//dsdA//accB//creD//ybjG//ygdB//entB//rcnB//sdhB//rseA//uhpT//phnL//gcl//hisM//fliF//gspE//ybbY//hcaR//umuD//ttdB//tcyJ//ydeI//ccmD//ftsI//hyaF//rpoH//cpxP//aroM//srlB//entA//
Cra_pos	gltF//hypB//agaS//astE//metA//yaiW//chbC//ybdZ//uxaA//hypB//sbmA//setA//gatY//yaiA//hcaD//ybhL//prpB//cpxR//lsrC//creB//murR//hisM//metC//
CreB_neg	hcaB//ariR//torD//
CreB_pos	cysI//glpQ//
CsgD_neg	ssrS//yeiL//feaB//metA//phoR//hyfE//rsmH//hycI//fucU//tnaA//flgN//acrA//metC//yebG//phnO//
CsgD_pos	lldR//hycI//marR//aceA//hybG//hycI//sbcD//nlpA//betT//gadC//mcbA//dgcZ//ssuD//
CsiR_neg	aroP//ybfE//ybjC//cueO//fepC//
CspA_pos	yjhB//tdcF//
CueR_neg	hycD//argB//ydhY//cyoB//aroL//
CueR_pos	gspL//nrdB//
CusR_pos	ymgC//nrfE//yebE//ycjX//ynfK//yhbE//aroH//glcA//mdtC//mdh//lgoR//prpR//
CynR_neg	glnK//
CynR_pos	narJ//treR//uvrY//
CysB_neg	paaE//aroG//oxyR//gapA//dgcC//hflD//dcuS//
