#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	uxuA//manX//
AcrR_neg	polB//mazF//yeaH//phnF//lhgO//gspF//mioC//deoD//ddlB//fliQ//entF//
Ada_neg	ppdC//katG//
Ada_pos	hflD//hybE//luxS//mhpC//
AdiY_pos	entH//ilvC//hyaC//potH//oppF//narI//hcaC//pflB//
AgaR_neg	murE//ttdR//argA//gcvT//relA//higA//nrfF//yoaC//phnP//treC//flgB//
AidB_neg	hyfF//
AlaS_neg	mgrR//
AllR_neg	mhpE//ddpB//garL//lldR//flgN//allE//fau//dhaL//kbaY//
AllS_pos	phnM//oppB//mcbA//
AlsR_neg	nrfA//mngA//mdtB//dcuA//dtpA//argH//
AppY_pos	pflB//glcF//pgaB//cyaR//bioD//exuR//sgbH//rob//nanS//yccA//
AraC_neg	phnK//yfbR//glnL//pgpC//grcA//feaB//glpC//wecB//
AraC_pos	cysB//paaB//potG//lysO//hyaE//uidC//folA//rutG//uxuA//dinQ//
ArgP_neg	ydhT//
ArgP_pos	infB//hslJ//yecR//hcaB//rpoS//gltI//yeaH//feoA//glcF//hflD//cysM//fliT//tyrB//
ArgR_neg	rutF//iscS//galK//focA//torC//appY//cysB//epd//flgJ//bioB//lldP//fruK//yccJ//mhpF//gor//csiD//yibQ//hypC//pfkA//rhaA//accD//tyrP//betB//gloA//sufS//mzrA//pgm//alaS//rpoH//uvrB//flgH//recC//hcr//
ArgR_pos	csgG//pitB//pspD//lpxC//citF//
ArsR_neg	sodB//tadA//cysU//
AscG_neg	hyaF//artM//rsmH//malI//kdpB//
AsnC_neg	wrbA//ruvA//glcF//
AsnC_pos	glpF//
AtoC_pos	pgm//hyaE//phnM//acrB//
BaeR_pos	insD//ccmA//fimE//trpD//ynbA//entF//cytR//fliS//
BasR_neg	ydhT//uxuA//
BasR_pos	dinD//kdpB//yiaM//yaiA//gapA//nanT//dmsD//micF//glgA//lsrR//ybhF//
BetI_neg	ybdZ//ybjN//tbpA//luxS//
BirA_neg	mgtA//sutR//nanT//rimK//pnp//
BluR_neg	chbB//pck//fabB//slt//
BolA_neg	ycgR//hyaC//
BolA_pos	glgP//rbsR//
CadC_pos	fadJ//asnC//bioC//
CaiF_pos	napH//lsrG//moaA//purC//yeaH//rffT//ppsA//lsrK//yhiD//glxK//
Cbl_pos	fadD//mntS//manZ//dkgA//fucA//rpiB//glnQ//gapA//ompN//
CdaR_pos	yjjZ//aroM//insD//gabT//pyrC//agaD//ompW//ugpB//nrdE//norR//
CecR_neg	waaH//yidQ//tehA//rutB//nadA//
ChbR_neg	hha//purF//umpH//rpoE//fliM//gudP//
ChbR_pos	sucA//crp//glk//carB//ddpA//mdh//
ComR_neg	fliZ//
CpxR_neg	gudD//recN//uxaC//chiP//srlB//fabA//garR//adiC//dnaA//hdeA//feaR//mhpF//moeB//pheM//phnI//ecpR//glcA//yhhY//fliG//ynfE//pnp//csrB//nagE//dcuA//
CpxR_pos	gspF//oppD//ttdA//malP//cheW//rutG//hyfF//yidQ//tyrA//betA//metQ//fucA//cadA//lldD//symE//ybhG//rarA//nrfF//flgM//arsR//narI//gloA//chbF//flgC//gnd//fur//accC//gntP//rob//fruB//asnB//fliD//ydbD//argR//fliI//fucA//recD//napD//recF//mntP//decR//dhaM//fbaB//gutQ//napG//fabG//
Cra_neg	rnlB//rutA//ydbK//prpB//ydfX//aspA//tdcD//slt//fecR//yegR//agaV//cusR//kdpA//yefM//gntP//yncE//oxc//purN//ftsZ//malI//araA//pqiB//mipA//yfdE//nrfE//alsB//mtlD//infB//fabD//guaA//glpD//fucU//ybhS//aceK//ydcS//hyfG//garD//gadB//yhcH//yccT//infC//baeS//yegH//gltK//purR//gcl//leuB//cysP//malE//fepA//rimP//kbaY//metA//umuD//sgrR//tehA//ccmB//nrdB//sbcD//
Cra_pos	rbsC//ybdZ//mgtL//hcaD//phoB//nikE//argB//hyaD//ftnA//ulaB//fbaA//cynX//tdcE//fabG//tynA//ssuE//atoA//ftsQ//asnA//nuoC//hybE//hyaB//galT//
CreB_neg	uvrY//ulaB//wzxE//
CreB_pos	yncE//caiE//
CsgD_neg	yiaN//yqjA//ybhS//atoE//oxyS//yneM//amn//paaK//rutR//gntP//fecB//accA//tyrA//xapB//betA//
CsgD_pos	modB//hemL//ulaG//artM//ccmH//codB//dgkA//ygbA//psd//narI//glpF//citG//glxK//
CsiR_neg	rcnA//dinJ//phnO//hflD//alsE//
CspA_pos	yidQ//udp//
CueR_neg	ybiT//cydA//mgtA//ynfE//fau//
CueR_pos	rarA//rpmI//
CusR_pos	aroP//iclR//wrbA//yfaE//pgpC//umpH//ptsH//fadH//lrhA//hycG//acrD//ydhW//
CynR_neg	csiD//
CynR_pos	ftsK//agaA//dsbA//
CysB_neg	xylF//yhbS//murF//hybF//idnO//malE//ahpF//
CysB_pos	luxS//puuE//iraP//dcuB//rpoE//gadE//phoR//fadL//hcp//oxc//gatD//flu//yneM//zraP//fabA//ybjN//fadJ//gadY//lysR//rutF//betT//hipA//frc//ygbK//rprA//
CytR_neg	nfsB//ompW//yiaJ//tdcF//hybC//narJ//phnL//mhpT//slp//seqA//pgk//evgS//uidR//
Dan_pos	allE//oppC//fepD//bdcA//
DcuR_pos	rpmA//hybB//narK//ascB//uof//ibaG//glcE//wrbA//prpR//
DeoR_neg	narI//hyi//sufD//bacA//mhpC//tnaA//
DhaR_neg	xylF//
DhaR_pos	rclA//malY//fruB//
DicA_neg	efeU_1//yncE//citC//nadA//mtlR//melR//appB//ssrS//
DinJ-YafQ_neg	cadA//tomB//dicC//
DnaA_neg	atoB//creB//pheM//fucR//yhjX//norV//nmpC//purD//rpoS//ybbW//feoB//
DnaA_pos	nfo//narJ//pdeH//iraM//fliA//cysM//sdhA//
DpiA_neg	hybF//
DpiA_pos	ynfK//prs//fabH//phoB//cusB//rybA//mscM//glyA//ssuD//slyB//
DsdC_neg	pstA//
DsdC_pos	prs//purE//
