#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	ycdZ//yccA//
AcrR_neg	mltF//sdhB//dhaR//manZ//alkA//glnP//cysI//gadW//gspF//yjiY//gcvA//
Ada_neg	fiu//bglJ//
Ada_pos	glpQ//hemH//hdeA//cydD//
AdiY_pos	mgtL//ssuB//sodB//paaJ//gatC//rutF//glnB//cysI//
AgaR_neg	yciW//purN//acrZ//ubiC//araC//folE//hyfF//fiu//alsE//yneM//recN//
AidB_neg	gcvH//
AlaS_neg	nikB//
AllR_neg	cpxQ//recB//galE//agaI//fliO//ulaE//yciW//evgA//pykF//
AllS_pos	cynR//cynS//metC//
AlsR_neg	ycjX//insD//nanA//casC//cynX//gspI//
AppY_pos	flgH//citG//yjhC//malS//nrfG//sroC//ydcV//hypA//molR_1//pnuC//
AraC_neg	alkA//yebE//mhpB//sroC//acrD//fucR//lsrC//wrbA//
AraC_pos	phoP//hycB//cusF//lamB//hflD//kdpA//gltD//glpT//nanS//fadI//
ArgP_neg	arsR//
ArgP_pos	nhaA//mqsR//fliE//idnT//lsrC//waaZ//ecpR//hokE//gpmA//grcA//frdC//hcp//leuB//
ArgR_neg	yegR//nagC//fhlA//yjhB//tauA//nupC//ulaD//fliO//pdeR//cusS//slyB//srlE//glnK//gltJ//gcvA//entH//flgJ//rhaR//treB//glmU//glpX//ybjN//creA//poxB//flgJ//kbaZ//argT//pspF//moaE//rimK//lexA//bhsA//hlyE//
ArgR_pos	tyrR//emrY//purR//fadA//thiP//
ArsR_neg	paaB//fliC//ugpE//
AscG_neg	emrB//norR//gadB//caiF//flgM//
AsnC_neg	cysN//pgpC//phnE_2//
AsnC_pos	sodB//
AtoC_pos	leuB//pyrC//nadB//yjbG//
BaeR_pos	fdnI//flgD//ydfX//pgaC//cpxP//bioF//arsB//bglJ//
BasR_neg	yfaE//fixX//
BasR_pos	rpsU//flgI//frdA//entE//uof//umpH//chiP//ompW//araD//ybdN//uspD//
BetI_neg	wrbA//dhaM//nanA//murF//
BirA_neg	ydhY//yhdW//yebG//hyfA//flhD//
BluR_neg	lldR//pspB//gadE//nanK//
BolA_neg	gatA//cpxR//
BolA_pos	emrB//oxc//
CadC_pos	fucK//xylF//yegR//
CaiF_pos	nac//murF//dnaG//malY//fepD//purN//mazE//ybaT//wzzE//nikA//
Cbl_pos	mqsR//cpxP//ydcV//tauA//adhE//yecR//metE//tdcD//moaD//
CdaR_pos	lolA//soxR//nuoB//nrfF//sucA//nanS//gatC//nikA//baeS//glpX//
CecR_neg	ygeA//agaR//sra//gcvP//trpA//
ChbR_neg	fhlA//moeB//frdA//araH//cysG//mngB//
ChbR_pos	pitB//hypD//malG//kdpA//rclA//cpxA//
ComR_neg	fdnG//
CpxR_neg	fepB//ldtD//aspA//btuB//cusA//sroD//dinD//evgA//ppiA//ompC//gspH//nuoN//accA//aroP//idnT//cynX//lrhA//oppF//yqaE//yhbT//tisB//bolA//ydfW//hyaE//
CpxR_pos	cysG//mdtE//ubiC//gudD//flhD//fliQ//flgN//cusS//borD//trpD//ydcS//guaB//ydcS//csgB//gcvA//dhaM//fliT//yegH//fabD//rutG//cas2//yncE//potH//napB//entE//efeU_1//leuO//fepE//baeR//tdcE//paaK//rclC//leuB//aroL//frdC//yhbT//yjbH//pdhR//fadD//betA//ybjG//relE//dhaL//tsx//rtcA//cusR//
Cra_neg	borD//add//fabI//ftsL//slp//nuoM//inaA//htpG//yeaG//mntH//artM//alsA//nemA//purE//wzzE//rpmA//metJ//casE//dgkA//csgG//hyfI//yhdX//yaiA//rffC//emrA//yhbS//paaK//paaH//tcyJ//asnB//sufA//flgJ//dsrA//mraY//aspC//manZ//rprA//adiC//malI//waaZ//uspD//hisJ//ldtC//gcl//narI//ftnB//idnD//purL//flgI//entD//agaA//slp//ymjD//melA//marR//hypD//ssuB//ppdB//flu//
Cra_pos	ygiA//lpxA//ydcV//treC//mgtA//marA//fadJ//yncE//gdhA//lacY//rbsC//flhC//phr//puuB//allB//kdpF//hydN//nadA//trpC//norR//trpA//potH//dkgB//
CreB_neg	exuT//cydC//caiC//
CreB_pos	leuL//malP//
CsgD_neg	rimK//ycjY//uspA//uspA//nlpA//yhbT//ydiU//htpG//flgB//dinQ//artM//napA//uvrY//ydbD//cysU//
CsgD_pos	fabH//pheS//arsR//gadW//cspI//cynT//putP//fepG//lysA//deoD//sgbE//waaY//dtpA//
CsiR_neg	accD//metL//puuA//galP//iscS//
CspA_pos	iraM//alsC//
CueR_neg	murC//hmp//feoA//yibQ//ychF//
CueR_pos	uhpT//nuoF//
CusR_pos	fecA//glnB//nusA//alkA//aroF//mtlA//cusF//araA//nagC//borD//yeiB//stpA//
CynR_neg	gcvT//
CynR_pos	paaI//yeaG//mntH//
CysB_neg	znuA//cysP//mqsR//aceA//sbcD//hyaB//astC//
CysB_pos	entS//uspE//gatA//leuB//rprA//hycG//murP//fucK//yeaG//cadC//hybC//cvpA//hns//gatD//hybB//ldtB//flgF//lacY//appA//xylR//phoQ//nuoF//fadL//ydcU//gabP//
CytR_neg	yedX//tam//wzyE//prpR//murP//pck//dapB//ymjC//nanS//ydhU//nrdD//hybC//srlD//
Dan_pos	bioF//wecC//prpD//wrbA//
DcuR_pos	purK//caiD//galR//aidB//ydiU//mdtB//ppdB//flgD//nirC//
