#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	galR//fliN//
AcrR_neg	phnM//pdeH//yqjI//artM//hyfI//micF//mtr//ftsK//hokD//rhaA//hybE//
Ada_neg	mtlA//metQ//
Ada_pos	ydeN//gudX//ynbD//insK//
AdiY_pos	yfdE//caiD//pstC//ykgM//yeaH//hdeA//amtB//mnmG//
AgaR_neg	metI//ccmB//ygbK//astA//hyfG//nadB//metK//ugpQ//glnP//fucI//isrC//
AidB_neg	fliE//
AlaS_neg	nadB//
AllR_neg	hemL//mngA//fnr//ubiA//rpmA//uidR//garK//ulaB//malX//
AllS_pos	nfuA//fes//yjbF//
AlsR_neg	pspF//lsrA//ynfF//fliH//hycC//betB//
AppY_pos	nrdA//dpiB//fhuA//uspA//ydhV//dsdX//thiQ//flgG//hyfI//fliL//
AraC_neg	asnA//pgi//patA//ompT//phoQ//hycI//ynbC//focA//
AraC_pos	adiA//thiQ//cynR//envC//emrA//purN//baeR//purN//torD//nanT//
ArgP_neg	fliZ//
ArgP_pos	arsC//pykF//agaC//wcaB//mngA//dinB//modA//entS//dinQ//flu//wzyE//ogt//tisB//
ArgR_neg	hycH//ada//cysP//fucI//dinI//cra//gspO//fucO//paaI//metC//glpA//btuB//bacA//glcA//paaC//torR//hycB//malI//flgC//fruA//zraS//yebG//yeaD//mazF//purR//yoaC//hipB//relB//purF//paaY//agaC//ttdB//dinD//
ArgR_pos	yciG//tyrR//umuC//hipB//tdcD//
ArsR_neg	astB//ybhF//rpiB//
AscG_neg	hlyE//rclB//glpK//flgH//nuoF//
AsnC_neg	mgtL//gspH//infC//
AsnC_pos	tehA//
AtoC_pos	fliN//phoP//fabA//cynR//
BaeR_pos	lsrB//nuoL//lysR//alsE//rarA//bioA//pdeL//argG//
BasR_neg	borD//torD//
BasR_pos	sucD//tynA//citC//pheM//aceB//rutE//nrfD//hycA//fhuC//uvrD//metI//
BetI_neg	casB//entD//trxC//bhsA//
BirA_neg	agaR//gltK//nuoF//aceF//yhiM//
BluR_neg	ydhU//rpoS//fliC//glcD//
BolA_neg	stpA//aspC//
BolA_pos	pdeH//chbR//
CadC_pos	cho//glnG//paaB//
CaiF_pos	yneM//lon//prpC//ygiZ//gatA//baeS//hycH//ndh//rbsA//crr//
Cbl_pos	napF//fliM//argO//melA//glnQ//manZ//fucA//rhaB//yeiL//
CdaR_pos	iraP//nemA//fumB//safA//ymgC//ynfE//fhuC//focB//iraP//lldD//
CecR_neg	fabD//citD//ddpB//ddpX//hslJ//
ChbR_neg	dmsC//relE//phnM//yecT//ccmF//torC//
ChbR_pos	moaA//umuD//mepH//melB//fecC//deoC//
ComR_neg	thrS//
CpxR_neg	borD//cirA//fucI//sdhA//gpmM//fadR//oxyR//hslJ//tdcG//bglB//yfiR//artJ//purM//ybhL//thrS//rbsD//artJ//ycjY//edd//higB//hdeA//yafO//katG//pnuC//
CpxR_pos	rhaS//flhE//ydeO//recC//qseC//nrdI//cusA//mioC//ytfE//cusS//ccmD//argO//fur//rpoD//hypC//recD//nanC//fadD//nrdF//fadH//aspA//kdpB//napH//ubiX//envC//dps//cdaR//nusA//idnT//phoR//fur//ssrS//ilvY//cpxP//yneM//murP//ahpC//grxD//mgtA//appA//ribA//chbG//mtlA//ymjD//artI//fhuC//
