#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	nikD//nagC//
AcrR_neg	rsmH//rprA//glcB//ymgA//isrC//puuB//uvrY//truB//yhdY//trpE//galE//
Ada_neg	norW//yidQ//
Ada_pos	alsB//ydhX//yfdX//nrdF//
AdiY_pos	frc//gltL//ybfN//garL//rpoS//appC//narX//sbmA//
AgaR_neg	gabP//lacZ//yiaK//tolC//hycA//treC//mdtB//rstB//emrB//tnaB//ryhB//
AidB_neg	caiD//
AlaS_neg	araC//
AllR_neg	ydhV//paaZ//gloA//prpC//yjiY//atoA//pyrC//potF//murD//
AllS_pos	dpiA//nagB//aceE//
AlsR_neg	prpE//astC//flgF//dacC//metJ//srlA//
AppY_pos	nimR//rpsO//pstC//rutR//melR//dicB//inaA//glgA//tauD//cysA//
AraC_neg	spy//agaW//artQ//puuA//yjbF//exbB//ccmD//fliA//
AraC_pos	ubiA//aslB//torR//ahpC//oxyR//creA//dsbA//dgcC//fliZ//galP//
ArgP_neg	ompF//
ArgP_pos	betI//yoaC//recN//insD//fabB//aroL//uspD//fixX//allC//yaiA//leuD//tsgA//lsrG//
ArgR_neg	sgrT//motA//cysC//hisM//fecI//sufC//tyrP//nrfB//recB//fabA//narJ//casA//fdnG//argC//sbmC//dhaM//mdtB//nrfB//hyfE//rnpB//csgF//csgG//umuD//galT//trxC//rhaT//rbsK//treC//mdtC//cydC//paaC//xylB//argB//
ArgR_pos	yafP//modA//fliE//napA//kdpA//
ArsR_neg	erpA//pepD//psiF//
AscG_neg	hybG//psiE//agaB//hycB//flhA//
AsnC_neg	hisQ//yeiL//flgH//
AsnC_pos	hyaE//
AtoC_pos	emrK//glpA//fliM//glcC//
BaeR_pos	fadE//lysA//hybO//dsdA//puuC//thiP//ygiA//lsrC//
BasR_neg	iraP//metJ//
BasR_pos	nanT//fabG//malX//ubiX//argR//cyaR//guaB//glmS//kdpB//pspE//yfaE//
BetI_neg	ccmC//iclR//thrS//acnB//
BirA_neg	emrY//mprA//ptsG//narI//csiD//
BluR_neg	gudX//cytR//ybhF//gatB//
BolA_neg	murF//waaY//
BolA_pos	cysD//glxK//
CadC_pos	metY//leuO//pgpC//
CaiF_pos	cdd//gspD//phnO//ulaD//atoB//uspE//atoD//allS//pspD//artI//
Cbl_pos	lrp//fixB//mcbA//cspI//yibQ//glpK//yeaR//gcvP//nagB//
CdaR_pos	hycG//yciW//cirA//hokD//fliT//dgcZ//paaX//glpD//lsrG//omrB//
CecR_neg	fhuB//ybfE//fes//fumC//fadB//
ChbR_neg	ftsK//pheT//katE//phoB//malT//fhuD//
ChbR_pos	acnB//hyfC//argG//sroC//ydiV//creA//
ComR_neg	feaR//
CpxR_neg	aroP//hyfJ//fucA//fabI//ilvY//uidA//nrfC//ddlB//nemR//gspK//gatD//phnF//astD//seqA//moaC//dtpA//atoE//yjhC//rhaT//fau//yegR//recD//gspH//sufA//
CpxR_pos	yefM//rcnB//oxyR//ompF//gspL//sgbE//acrD//patD//yjhB//aceA//ybhS//obgE//mdh//csgD//sroD//prpR//ynfG//dkgB//rplT//dnaN//fliG//hcaR//ccmF//yedX//caiA//rpoS//paaD//argB//cusC//mngR//rpsU//ydhT//glcA//ydfN//soxS//chbF//paaI//pgpC//gatZ//fliK//dinJ//flhD//murI//gadA//pspD//murF//
Cra_neg	mhpB//garL//bolA//ybhF//mraY//ariR//exuT//aspA//marB//marA//nrfG//flgB//slt//glnG//cydD//ung//nfo//nlpA//osmY//cvpA//fadD//ariR//thiQ//fepG//efeU_2//dhaK//glgX//dcuA//potG//mraY//agaI//ygeA//tyrB//entB//gadY//gspO//puuP//acnB//argI//accD//zntA//cysD//paaI//dcuS//acrZ//nrdF//pyrC//flgD//hybC//grxA//pspD//patA//ybhR//copA//yhcH//hyaD//cusS//fecD//codB//
Cra_pos	yecR//murD//purL//malT//caiB//tynA//iscR//murP//gltB//potG//purL//ftsK//nupG//spy//pgpC//sroD//nupG//xapB//ydbD//yeaD//ugpQ//fhuD//gspE//
CreB_neg	fldB//dps//borD//
CreB_pos	hypC//nfo//
CsgD_neg	hemH//puuA//fecD//oxyS//fepC//glgX//murD//fdnG//allE//nirD//oppD//lhgO//asnA//flu//rutE//
CsgD_pos	yafO//nhaA//cusR//glcD//eda//sulA//lsrB//nirC//hdeB//flhB//cysP//glxR//rutA//
CsiR_neg	tcyJ//argH//pitB//nimT//tdcC//
CspA_pos	rcsA//paaB//
CueR_neg	caiF//pqiA//fecI//fixC//ptsH//
CueR_pos	ccmH//glpX//
CusR_pos	sulA//dicC//yfdV//gadW//ydfE//rseC//glnD//mntP//nusA//sdhA//hyaD//yoaG//
CynR_neg	asnB//
CynR_pos	hns//yaiA//dacC//
CysB_neg	lacY//nimR//ychF//ykgO//ttdB//yiiS//ykgO//
CysB_pos	leuD//trpD//ybhR//nirC//pck//hycF//cbl//tdcA//carA//araD//ymjC//frc//lrhA//ebgA//argT//ccmA//manX//pheT//fhuF//bacA//pflB//nrdG//srlR//iclR//znuA//
CytR_neg	mraZ//ymgA//uidA//agaD//iscS//rhaT//yjhB//nrdB//aroH//atoD//pdeR//ycjX//nuoG//
Dan_pos	tyrR//cyoE//evgA//gadE//
DcuR_pos	yciW//garD//rutR//ugpE//metR//nfsA//glnG//ugpE//frdC//
DeoR_neg	inaA//tauA//fliG//yfdE//pheS//pck//
DhaR_neg	ttdT//
DhaR_pos	ydhW//fliZ//trpD//
DicA_neg	fixX//paaJ//astC//aroG//entE//gadF//dcuD//ycjF//
DinJ-YafQ_neg	cydA//rpiR//tyrR//
DnaA_neg	fliM//ompN//ccmC//rtcB//yciE//phnO//flgM//tnaA//efeU_2//murC//lldR//
DnaA_pos	nuoB//yciG//citF//dcuR//fimB//hflD//ccmB//
DpiA_neg	yhdX//
DpiA_pos	omrA//puuD//napA//argP//osmC//psd//rob//nrdF//ygiB//metE//
DsdC_neg	entD//
DsdC_pos	caiT//bioB//
EbgR_neg	mscM//uxaB//
EnvR_neg	chbF//ybaT//
EnvY_pos	gcvT//tnaC//
EvgA_pos	bolA//araB//cydB//oxyS//yiaO//tomB//amtB//nikC//cusC//entA//ttdT//ygbK//nrdE//norW//galR//ybfN//purL//nuoK//metA//
ExuR_neg	yedX//exuR//lldR//hokD//ybaS//rybA//gspC//rbfA//nikC//
FabR_neg	ydeP//glpF//
FadR_neg	narJ//glgA//yiiS//dsbA//aceA//ldtB//amn//mazE//gcvH//poxB//mhpC//
FadR_pos	tonB//fepD//cecR//oppF//wcaB//rpmI//glk//cysB//astE//ptsI//metL//galE//
FeaR_pos	ydfW//puuA//
FhlA_pos	nanK//folE//ompT//modC//nhaR//nac//aroH//agaD//rnlA//uvrB//nrdI//tyrA//dinB//rcsA//sufB//nuoK//fruB//yncE//yqjA//nuoF//fhuD//ccmD//melB//ybfE//fadM//casB//fdnG//yfaE//ybhL//dacC//
FlhDC_neg	yhiD//nagC//arsC//napB//
FlhDC_pos	yhiM//ccmB//galK//hyfE//evgS//ssb//yeaE//cynX//dacC//lsrK//napA//ilvY//lpxD//nikA//fecR//tdcC//hypA//insD//ydfW//asnA//fecC//paaX//mntS//flgL//agaR//casA//ccmB//kdpB//hyfJ//hyfC//rpsO//cusR//cadC//fbaB//fabD//osmB//agaR//dkgA//gatD//rdoA//hypC//yiaJ//phnO//psiE//ydjM//ydeM//recX//mtlA//citD//fhuB//ymjD//rplT//flgB//glcD//artP//purK//rpsO//bioD//mepH//creC//fucA//flgG//gspH//waaH//qseB//rpoH//mazE//ftnB//appX//flgN//insD//hemL//arsC//gnd//yqhG//astC//ygiA//recC//
FliZ_neg	fixC//gltK//puuR//dmsA//hybF//cysP//aldA//phnN//citG//napD//agaW//oppC//grcA//rpoD//aceB//rimP//araJ//yfdE//yecR//ybjG//dtpA//
FucR_pos	gloA//citD//asnB//manY//efeU_1//glcF//hybG//
Fur_neg	tdcG//iclR//dsdC//ybiT//yhiM//yeiB//chbF//tnaB//wcaA//narI//ptsH//fhuC//ptrA//trpC//yrbL//yfdX//ompT//oxyS//bluF//hybB//norR//bacA//ydfE//glgP//ccmC//cueO//thiQ//trpC//ymjD//nagB//mngA//rob//qseB//kdpF//ydhV//ptsG//cynR//glgA//borD//fliA//feaR//napC//nuoN//cbl//rutR//ydfW//dgkA//rffM//lyxK//hybB//asr//ydfE//glmU//hyfD//icd//hyaF//leuA//araE//gudX//nuoL//hyfH//fucO//fbaB//astD//fucI//gor//uxuR//mntP//hisM//hyfJ//malE//gcvP//uxuA//gntK//fepC//higA//lexA//yfdE//araF//iraM//sdhA//ybbY//grxD//icd//oppB//potI//casA//cpxA//paaG//rpiB//cusC//dps//bioA//appX//yiaJ//gntT//csgE//psd//sufS//dkgA//hyaE//phnM//rpsU//nikA//trpD//bioD//glmS//ptrA//fruB//htpG//alaC//dinF//flhB//oppD//yjbF//
Fur_pos	uxuB//gntX//agaW//lsrD//puuD//fadD//nrfF//phnE_1//cadB//rnpB//hdeB//malM//cdaR//tyrA//creA//napD//moeB//umpH//pck//glpB//fadB//
GadE-RcsB_pos	ompC//agaC//deoD//dinB//entE//hcaC//chbR//hisQ//ldtD//
GadE_pos	yiiS//glxK//casE//hycC//ynfE//tadA//yciW//agaS//tsr//chbF//cyoC//ldtC//yegR//dinJ//phoR//cra//patA//rclB//gpmM//hdeB//mdtD//metQ//agaI//galS//recC//mhpD//aroL//glgX//araD//
GadW_neg	fliT//bdm//argT//yqjI//aceB//yncE//rutF//yciF//nrdE//fadM//murR//
GadW_pos	fecI//nmpC//hyfH//csgC//dmsA//sdhC//sufS//seqA//dapB//nikB//higB//
GadX_neg	gntU//casC//ynbA//ariR//fiu//nrdA//
GadX_pos	exbB//cysN//mntP//fepB//phnE_1//sufC//accC//gatB//ubiX//sucD//zraR//grxD//mhpT//fhuA//pdeR//hyaC//intQ//decR//uidA//pgaA//cysJ//nanS//dacC//ybhF//gutM//bioF//moaB//
GalR_neg	udp//wzzE//flgE//uspE//metY//iscU//ompN//speA//rutB//fliL//
GalR_pos	flgL//modB//yibQ//bioA//
GalS_neg	allC//fepA//dcuA//sra//nhaR//rob//ddpD//hipA//metC//folA//
GalS_pos	phnF//murF//artJ//hybC//
GatR_neg	ascB//nanA//rbsC//ymgC//gabD//prpB//
GcvA_neg	hha//rhaT//pstS//uidR//
GcvA_pos	chbA//uvrA//aroH//mltF//
GlcC_neg	crl//
GlcC_pos	paaK//tcyP//rbsR//sgbH//thrS//rhaR//
GlpR_neg	flgE//ppiA//yaiA//exuT//hisJ//kbp//srlR//relB//mntS//
GlrR_pos	mraZ//srlE//dinD//ygeA//rbsK//
GntR_neg	nrdB//relA//fimB//csgF//yqhD//ynjI//ydfX//ompW//glpC//phnN//ybfN//fabI//
GutM_pos	hyfH//fecR//ycgR//ychF//arsC//waaY//obgE//
GutR_neg	nrfC//flgD//nuoM//yjjQ//dsdC//nuoM//yeiB//
HU_neg	mdh//luxS//nikE//chbF//ydcU//nuoE//rutB//ptsG//
HU_pos	treC//
HcaR_neg	nuoM//
HcaR_pos	entB//rpsO//rseB//kdpF//mngA//
HdfR_neg	nrfA//nrfB//
HdfR_pos	yoeB//prpE//fhlA//
HigA_neg	ytfE//wcaA//
HigB-HigA_neg	argB//ppiA//
HipAB_neg	aceE//yjhC//puuE//prpB//betA//
HipB_neg	fecB//casA//bioB//pflB//mazG//nohA//
HyfR_pos	yhjX//pnp//dgcN//cysG//ydfE//yafO//norR//ydiV//htpG//tnaC//rbsR//bhsA//
HypT_neg	fecD//mlc//ppiD//ccmB//kdpB//
HypT_pos	asnC//fabI//hyaF//cecR//udp//rhaR//pheM//lsrG//
IclR_neg	ubiX//cheA//deoA//pheT//
IdnR_neg	efeU_1//ybjN//
IdnR_pos	phnN//glcE//efeU_1//prpD//yccJ//
IlvY_neg	fhuF//
IlvY_pos	yebE//
IscR_neg	cadB//yqjA//ompT//ynfH//mprA//yafN//fhlA//yciX//higA//rhaR//yafO//ecpA//hcaB//cysD//citG//dicC//ybiT//hybG//bglJ//phnJ//rutF//
IscR_pos	alkB//artJ//uvrA//entH//wza//accC//kbp//rnpB//pstA//ppsA//asnB//
KdgR_neg	ygaC//nikA//
KdpE_pos	sodB//ahpC//nfuA//murG//
LacI_neg	allD//phoE//purB//
LeuO_neg	metF//mlc//recA//
LeuO_pos	mhpF//casD//mzrA//ebgC//prs//recX//mdtE//metA//idnD//glcB//trxC//ebgA//yiaL//srlA//nirD//yhjC//gspJ//yecT//
LexA_neg	hyaD//hyfH//nrdF//aroM//fhlA//rutG//rpmA//fliS//ompC//aceF//icd//ygiB//lon//fliD//fucO//purC//ydhU//nrfC//ygeA//hflD//purA//cpxQ//ynfE//sucB//nrfA//ydhW//rtcB//leuB//metE//ynbA//slt//aceF//srlE//cpxR//nrfG//pdeL//cpxP//ccmF//gspD//tyrR//bglJ//iscA//caiF//flgD//uvrA//citG//cytR//entH//rutD//csgE//sufD//torD//pgk//bacA//metQ//ydhV//acrA//hcaE//codB//
LldR_neg	wrbA//glmU//yjjQ//
LldR_pos	fpr//ccmG//phnI//
LrhA_neg	lsrR//gatA//
LrhA_pos	udp//hycD//
LsrR_neg	rcsA//hybO//lrp//purF//gltJ//flgE//ybjG//recF//ttdR//
LysR_neg	yafO//
LysR_pos	nagC//
MalI_neg	mdtA//glgP//entE//
MalT_pos	argA//yhbT//rhaS//napD//yhbE//wecC//rclA//uvrC//tonB//nuoH//
MarA_neg	flhD//grxA//flhB//nrdD//mntH//flgG//tdcC//
MarA_pos	yoeB//yciF//phoA//ygiA//xylB//kdpA//hlyE//caiE//bglB//zraR//carB//qseC//rpmA//ynfH//infB//kbaY//feaB//ydbD//znuB//rpoE//artI//rpoE//norR//baeR//fnr//wrbA//focB//glcA//dapB//acrA//mdtF//
MarR_neg	pstA//ydfH//oxc//
MatA_neg	recN//recF//fucO//leuB//hslJ//araA//
MatA_pos	marA//hcaF//
MazE-MazF_neg	sgrS//caiB//fumB//
MazE_neg	dinQ//purM//purD//
McbR_neg	bglB//
McbR_pos	htpG//iscA//argH//
MelR_neg	rbsR//yqjH//alkB//
MelR_pos	mhpC//nhaR//fliF//
