# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	ilvC//udp//
Ada	ssuD//argF//hyaC//cysG//
AdiY	paaG//hcaC//recB//hemL//
AgaR	uvrB//
AidB	yedX//
AlaS	purH//
AllR	uvrB//hycF//citX//phnI//hypB//ttdA//
AraC	mngB//frdC//yqhD//truB//astB//phnH//
ArgP	cadA//nirD//araA//phnG//oxc//frdD//paaY//trpE//lpd//
ArgR	nirB//cysE//pgaB//katG//ppiA//mhpF//nfsB//mtlD//cysE//srkA//glpC//codA//tnaA//fabD//rbsD//bioB//murE//mpaA//gadB//araD//ribA//ung//torA//
ArsR	lysC//moaD//
AscG	mhpC//hycE//
AtoC	paaC//citD//wzc//
BaeR	paaF//narI//
BasR	tdcG//mtlD//phnH//
BirA	nagB//patD//glxK//guaA//guaA//
BluR	
BtsR	aroF//
CadC	lysA//trpE//adiA//
CaiF	chbF//hyaC//gloA//aspA//edd//
Cbl	accA//ycjG//araB//phnP//dgcC//
CecR	feaB//
ChbR	dmsC//torA//hycG//
ComR	
CpxR	gltB//phnM//aroG//paaC//phnG//hycE//mhpA//guaA//cadA//caiA//lsrK//entE//entD//xylB//entA//
Cra	phoA//wzb//ynfG//truB//frdC//lsrF//tyrA//allB//aroL//fabA//allB//entC//kbaY//murQ//lacZ//cynS//nanK//cynT//wzc//ynfE//paaC//lsrK//glcD//waaY//cadA//lacZ//
CreB	
CsgD	ulaE//yedX//narI//waaY//
CspA	
CueR	rutC//ftnA//
CusR	moaA//pyrC//
CynR	guaB//glxR//bioA//
CysB	acnA//napB//hcaC//epd//paaG//pflB//tauD//tynA//aroL//
CytR	ung//frdA//metC//hyaC//paaI//aspA//ynfG//citF//atoB//
DcuR	astE//deoA//frdA//nfsB//
DeoR	sufS//hyaA//entB//lacZ//
DicA	
DinJ-YafQ	folE//
DnaA	deoB//hypB//cysM//deoB//paaY//accA//
DpiA	lpxC//ulaE//paaZ//ygeA//citX//
EnvR	tnaA//carB//
EvgA	deoA//glcB//mhpC//lsrK//puuC//
ExuR	
FabR	rhaD//aceE//phnN//
FadR	murQ//umpH//metC//ychF//cysE//wrbA//citC//fabA//citG//cadA//phnP//wrbA//nfsB//nanK//glpX//
FeaR	mtlD//glnA//
FhlA	purH//caiC//treC//recB//purN//dgkA//pflB//
FlhDC	xylA//napB//
FliZ	guaB//gcvT//paaC//glpQ//yedX//
Fur	nrdA//xylB//ttdB//glpB//phnJ//metE//rutC//ynfF//hcp//astD//aceF//poxB//kbaY//deoA//entH//pyrC//ppsA//grxA//deoC//aroL//rhaD//uxuA//nanA//hyaC//ppsA//putA//argE//mraY//glpQ//wrbA//cysG//
GadE	murQ//puuC//glnA//
GadE-RcsB	araA//astE//tdcD//cueO//metE//
GadW	metA//ychF//umuC//
GadX	gltB//ahpF//ftnA//frdB//glcB//
GalR	hcaE//murD//dgcC//slt//nanE//
GalS	caiC//mdh//hypF//rutD//ccp//
GcvA	phnJ//ribA//gltD//
GlcC	hycC//ahpC//argB//
GlpR	aroL//ulaE//fabA//phnN//kbaZ//tam//hcp//
GlrR	
GntR	paaC//mraY//ulaF//garR//lacZ//
HU	nanE//hycB//caiD//puuA//
HcaR	bioB//rimK//
HdfR	
HigA	gdhA//
HigB-HigA	pgaC//
HipAB	murD//slt//
HipB	feaB//glxR//gcvP//
HprR	mngB//melA//
HypT	treC//ruvA//
IclR	ftnA//melA//nadB//
IlvY	kbaY//
IscR	fabG//nanA//argE//phnN//paaZ//astD//putA//
KdgR	add//
KdpE	feaB//
LacI	gltB//nfsB//cynT//
LeuO	purC//galE//glpK//
LexA	wzb//glpA//fes//bioF//cynT//poxB//glnA//mhpC//wzc//
LldR	cueO//rnpB//
LrhA	
LsrR	yqjH//frdC//ldtD//murD//rutE//
MalI	rutE//luxS//
MalT	trpE//patD//deoC//rbsK//
MarA	alkA//glcD//fabH//hyaB//tdcB//hypF//aceE//tnaA//hyaC//nirD//nirD//metE//
MarR	
MatA	umuC//
MazE	nemA//
MazE-MazF	ilvC//
McbR	
MelR	mraY//citX//
MetJ	entF//relA//alkB//oxc//aroL//
MetR	phnP//umpH//ilvC//
MhpR	glmU//ulaE//aroL//caiA//hemL//murD//
Mlc	tdcG//deoB//gntK//
MlrA	hycB//
MngR	udp//hyaB//
MntR	yedX//
ModE	rimK//tynA//kbaZ//pspE//hmp//lysA//pspE//gcvP//galT//cynS//sufS//pgaB//astC//nrdF//phnP//
MprA	gloA//
MqsA	ydcS//paaF//
MraZ	purM//hycG//deoD//folA//dkgA//astD//deoB//umuD//cysM//paaE//
MurR	gltB//mhpA//fadI//
Nac	allB//puuA//torC//tyrA//
NadR	phnJ//
NagC	alaC//lpd//frdC//glpA//bioB//polB//nrdA//xylB//accD//purB//glcB//tdcG//nfsB//fbaA//
NanR	gdhA//alkB//rsmH//citG//accD//cadA//
NarL	puuB//puuB//tdcG//polB//cadA//lsrG//aroG//zwf//phnN//hycG//napA//paaF//rbsK//cysE//eno//citE//citG//fau//moaC//glmU//nrdE//guaB//murG//allA//
NarP	nfsA//glpK//mhpB//lpd//entA//gloA//umpH//ogt//ftnA//
NemR	cynT//cysK//
NhaR	ynfE//sodA//tdcB//glpA//gcvH//
NikR	citG//
NimR	argH//
NorR	astA//
NrdR	fabI//fumC//hcaB//chbG//
NsrR	glcE//entC//hycC//tdcD//nirD//pykF//
NtrC	frc//glpD//moaD//entD//gltB//argI//frdA//fabB//
