# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	gcl//napB//
Ada	aroF//caiB//ilvC//ulaD//
AdiY	katG//torA//ccp//glcD//
AgaR	dapB//
AidB	fes//
AlaS	citD//
AllR	glpX//lysA//accA//ppiA//treC//mraY//
AraC	paaF//araA//ruvB//tauD//murC//glpA//
ArgP	trpC//tdcE//ldtC//ccp//waaY//phnM//deoD//purH//hyaA//
ArgR	phnL//purA//tauD//melA//trpA//ttdA//trpE//pgk//hycD//dmsB//paaI//ftsI//fabH//metF//napH//trpE//purC//deoD//gltD//ppiA//purC//relA//rhaA//
ArsR	cysM//cysK//
AscG	bioF//ynfF//
AtoC	paaH//lldD//citF//
BaeR	hemL//tdcG//
BasR	ftsI//entA//epd//
BirA	argA//mazG//chbG//rnpB//rimK//
BluR	
BtsR	narI//
CadC	feaB//bglB//moaA//
CaiF	mpaA//frdA//bioB//ydcS//xylB//
Cbl	bioF//lysC//hypF//paaF//murI//
CecR	codA//
ChbR	umuD//glcD//bioB//
ComR	
CpxR	cueO//lldD//nrfC//argA//nrdF//caiB//phnI//cysM//fabG//puuC//malQ//dgkA//metF//hycD//moaC//
Cra	rimK//nagB//ynfE//metE//mhpB//gcl//ygeA//aceB//ycjG//umpH//acnA//nrfA//phnJ//pykF//tnaA//glpC//grxA//ruvA//rhaD//ynfF//rutA//epd//ogt//rutC//ddlB//wzb//
CreB	
CsgD	sbcC//sbcD//frdD//nrfA//
CspA	
CueR	rutE//argG//
CusR	frc//nrfC//
CynR	trpB//carB//waaY//
CysB	sbcC//phnM//hmp//aldA//rbsK//hemL//pgaB//malQ//argF//
CytR	cadA//argB//hyi//grxA//paaC//napH//bglB//entC//guaB//
DcuR	hcaF//rimK//nrdA//nemA//
DeoR	atoB//ugpQ//purB//tdcE//
DicA	
DinJ-YafQ	luxS//
DnaA	gltB//deoC//dgcC//arsC//paaB//pflB//
DpiA	argF//pdeR//lacZ//recF//garR//
EnvR	nrfA//tauD//
EvgA	cueO//bioC//chbF//luxS//nrdF//
ExuR	
FabR	ilvC//frc//carB//
FadR	ruvA//fabG//mhpA//ycjG//tyrB//allA//paaE//fau//hycB//sbcC//treC//deoA//srkA//rhaA//fes//
FeaR	astB//recD//
FhlA	mhpA//tdcD//fau//entE//mdh//mhpC//truB//
FlhDC	purB//atoA//
FliZ	citE//paaE//glpB//paaF//mazG//
Fur	fabD//paaK//wzc//gloA//recF//narG//ddlB//ygeA//fumB//paaJ//hcp//recB//patD//fumC//oxc//lldD//mhpA//astA//paaG//hcaF//astC//yqjH//sbcC//glpB//fabG//ldtD//ada//puuC//hcaF//narG//aceB//
GadE	eno//uxuB//dmsC//
GadE-RcsB	trpB//ubiX//galM//pyrC//alkB//
GadW	puuB//fabA//hycE//
GadX	hycC//arsC//pflB//caiC//frc//
GalR	pgaC//napA//entH//murC//entC//
GalS	relA//argC//citD//phnG//rutD//
GcvA	tdcE//glpK//alaC//
GlcC	cysG//ulaD//astB//
GlpR	pgaD//paaG//lsrG//ulaD//moaE//recF//gltB//
GlrR	
GntR	dapB//murG//ttdA//napH//gcvP//
HU	kbaY//nrdB//glcE//murD//
HcaR	moaC//hcaB//
HdfR	
HigA	rutB//
HigB-HigA	purF//
HipAB	gcl//gcvH//
HipB	adiA//patD//aroL//
HprR	moaD//hypF//
HypT	argI//ldtD//
IclR	iscS//mraY//dmsC//
IlvY	fabG//
IscR	carB//ydcS//paaJ//yfdE//nrdD//cysK//fadH//
KdgR	yqhD//
