# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	bioB//ruvA//
Ada	ulaE//tyrB//ynfF//citG//
AdiY	moaC//glcB//yfdE//hyaC//
AgaR	paaA//
AidB	zwf//
AlaS	yqhD//
AllR	glmU//pspE//lysA//putA//sodA//ribA//
AraC	ydcS//bioC//yqhD//appA//trpC//dkgA//
ArgP	gpmA//ada//ttdA//bioD//mdh//glcB//rhaA//cdd//ynfH//
ArgR	puuB//nrdD//citF//hycG//rutA//lpd//murF//araA//wrbA//iscS//polA//pnp//pgk//umuC//gntK//relA//mhpE//deoD//hemL//cynT//purM//tam//rutB//
ArsR	nrfD//dmsC//
AscG	dmsA//gcvP//
AtoC	cysE//rbsK//gapA//
BaeR	nrdD//sufS//
BasR	xylA//lysA//paaB//
BirA	fumB//rimK//rsmH//frc//slt//
BluR	
BtsR	mraY//
CadC	cysM//nfsB//narG//
CaiF	cadA//guaB//narG//nrdA//tnaA//
Cbl	glpC//mhpC//entF//hcaD//citD//
CecR	nanM//
ChbR	deoD//polB//melA//
ComR	
CpxR	gltB//ycjG//pck//tdcB//aroL//entE//entH//purB//pyrC//gltD//recF//gcl//mhpE//rsmH//ugpQ//
Cra	glmS//edd//citX//tyrA//ynfG//galT//metC//cysM//rhaD//purA//moaD//phnL//nadB//lsrK//citG//xylB//nrfC//garK//ppiA//aspA//ulaE//hcaF//puuD//hyaA//puuD//rhaB//
CreB	
CsgD	mpaA//tdcE//pflB//mngB//
CspA	
CueR	accC//bioF//
CusR	iscS//pfkA//
CynR	glcD//ttdB//trpA//
CysB	narH//citG//phnI//ruvB//murC//murE//astC//ynfF//lsrG//
CytR	hycF//araA//argG//dmsC//fabD//allA//cynT//cysM//ilvC//
DcuR	purA//aroH//gadA//fabA//
DeoR	ada//mhpA//patD//pyrC//
DicA	
DinJ-YafQ	ychF//
DnaA	nrfD//lacA//trpD//ddlB//deoD//iscS//
DpiA	citE//fabI//ychF//cynS//dgcC//
