# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	cysE//entC//
Ada	chbF//argG//lsrK//slt//
AdiY	bioD//fau//dmsA//cysM//
AgaR	astE//
AidB	tdcD//
AlaS	phnJ//
AllR	tdcE//pdeL//purD//nrdD//argA//frc//
AraC	caiB//rbsK//ulaG//lysA//ruvA//xylB//
ArgP	yfdE//aroF//lysC//aldA//xylB//epd//pdeL//fadJ//napG//
ArgR	accC//paaC//pdeL//glcE//gloA//edd//pgk//ygeA//ygeA//hmp//glcE//entD//purA//malQ//argI//deoB//hycB//trpD//citD//katG//paaE//araB//rutA//
ArsR	pgaD//aroF//
AscG	narH//recB//
AtoC	hycC//caiB//argG//
BaeR	rimK//pyrC//
BasR	lpxC//gltB//ulaE//
BirA	atoD//nanM//narI//nadB//fumC//
BluR	
BtsR	ppsA//
CadC	entC//bglB//bioF//
CaiF	alaC//aroF//waaY//phnO//umuC//
Cbl	metC//dapD//murD//galM//napB//
CecR	phnL//
ChbR	aroF//tauD//fumB//
ComR	
CpxR	kbaZ//nrfA//citE//metC//caiD//aceF//hemH//pgaD//ldtD//astC//mngB//yedX//cynT//dapD//lsrF//
Cra	nadB//pykF//glyA//umpH//cysG//hyi//ung//bioB//nrdE//waaY//pgaC//mhpE//hcaB//fadH//galT//xylA//argA//recB//atoA//pnp//ydcS//ribA//argF//dmsB//gcvH//moaC//
CreB	
CsgD	ada//dapB//yedX//hemL//
CspA	
CueR	nirD//ndh//
CusR	paaI//pyrC//
CynR	uvrB//rnpB//torC//
CysB	metF//treC//araB//rimK//cadA//gadA//purM//puuE//kbaY//
CytR	entC//fes//rbsK//guaB//purH//lsrF//hemL//narI//moaC//
DcuR	mhpB//fadI//trpB//malY//
DeoR	alkB//chbG//rhaB//citX//
DicA	
DinJ-YafQ	glcD//
DnaA	cysM//treC//rutD//glpK//grxA//ribA//
DpiA	cysG//gadA//glpQ//rbsD//metF//
EnvR	tyrB//fadD//
EvgA	recD//fau//dapB//puuD//fabB//
ExuR	
FabR	pgaD//ribA//ubiX//
FadR	xylA//paaJ//gntK//ynfH//fbaA//garL//gcvT//entE//ulaG//guaA//atoA//frdA//fadJ//fau//rbsK//
FeaR	tdcE//murG//
FhlA	rutA//entB//araB//accD//citE//murG//phnO//
FlhDC	citX//dgkA//
FliZ	umuC//chbG//fbaA//paaE//glcB//
