# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	moaD//moaA//
Ada	poxB//astA//tdcB//srkA//
AdiY	ldtD//ribA//tdcE//mhpD//
AgaR	mdh//
AidB	nrdE//
AlaS	araD//
AllR	srkA//lpd//nfsA//tdcG//accA//fumB//
AraC	waaY//glpA//mhpE//caiB//pspE//nirD//
ArgP	poxB//tdcG//purB//astC//cdd//trpC//katG//paaB//gadA//
ArgR	garR//umpH//paaE//ribA//garK//hemL//rhaB//truB//melA//deoD//eno//fadJ//paaF//cynT//ruvA//pdeL//malQ//narI//alaC//gcl//citX//nrfC//phnI//
ArsR	rnpB//glpQ//
AscG	sbcC//hycB//
AtoC	ynfF//moaD//lysC//
BaeR	rhaB//ahpC//
BasR	entB//entA//ndh//
BirA	phoA//murI//glmS//icd//murI//
BluR	
BtsR	paaK//
CadC	paaE//nfsB//yfdE//
CaiF	entC//nrdB//ftnA//tdcD//astD//
Cbl	ldtC//uxuB//bioB//cyoE//putA//
CecR	glnA//
ChbR	cysM//phnP//lpxC//
ComR	
CpxR	eda//lldD//chbF//wzb//galK//paaK//ulaF//puuD//rutC//rutE//purF//moaA//arsC//garL//araD//
Cra	fumB//hcaD//paaY//mazG//codA//glpQ//glyA//lpxC//ynfH//hcaE//caiD//gcvH//alkA//pflB//nrdE//fadH//bioF//iscS//cadA//gcl//murD//hycB//puuB//argG//glpQ//glpX//
CreB	
CsgD	fabA//bglB//deoA//fabA//
CspA	
CueR	citC//aroG//
CusR	dmsC//alkA//
CynR	ulaE//arsC//ahpC//
CysB	alaS//fdhF//nadB//nirD//pgk//entA//icd//citX//citX//
CytR	grxA//cyoE//pspE//nrdF//yfdE//cysK//aspA//lysA//paaB//
DcuR	nrfD//carB//entB//putA//
DeoR	frdA//wzc//gcvP//epd//
DicA	
DinJ-YafQ	alaC//
DnaA	gadA//bglB//caiB//ilvC//hmp//trpA//
DpiA	eno//gadB//epd//astE//pgaC//
EnvR	galK//fau//
EvgA	cynT//mtlD//phnN//citG//metF//
ExuR	
FabR	glcE//uxuA//gcvP//
FadR	treC//lpxC//gltD//glmU//tdcE//melA//hycD//paaE//alkB//purC//astC//cysE//torC//iscS//atoD//
FeaR	mngB//ruvB//
FhlA	dmsB//ynfF//purN//purB//allA//mhpB//citD//
FlhDC	paaG//ynfF//
FliZ	rsmH//entC//nrdF//ilvC//atoA//
Fur	araD//wzc//ulaF//mhpC//ulaG//deoC//argI//accA//cdd//lsrK//ftnA//galM//ruvA//caiC//tyrB//caiD//mhpA//deoA//fadJ//icd//mtlD//cynT//nagB//hcaC//entB//glcB//ppsA//ssuE//hcaC//aspA//atoA//
GadE	zwf//kbaY//waaZ//
GadE-RcsB	glpK//atoA//adhE//umpH//alkB//
GadW	astE//argH//ilvC//
GadX	lsrG//argG//pflB//mhpC//accC//
GalR	pykF//ung//paaH//paaY//mhpA//
GalS	waaY//nfsB//glpB//ldtC//edd//
GcvA	fabH//recF//trpD//
GlcC	malY//narI//ulaE//
GlpR	hcaD//aroF//mpaA//purD//icd//nrdB//ugpQ//
GlrR	
GntR	entC//cysE//ppiA//hycB//metE//
HU	argC//hycG//lpd//tdcD//
HcaR	frdB//nrdB//
HdfR	
HigA	fabG//
HigB-HigA	fabI//
HipAB	icd//hypB//
HipB	poxB//ruvA//citD//
HprR	ilvC//pgk//
HypT	fdhF//metF//
IclR	phnI//srkA//hemH//
IlvY	glpD//
IscR	wzb//accA//rbsK//cdd//puuA//pgk//gntK//
KdgR	mtlD//
KdpE	phnI//
LacI	galK//yqhD//metC//
LeuO	feaB//fabG//cadA//
LexA	napB//wzc//malQ//xylB//ycjG//cdd//kbaZ//fes//hcaB//
LldR	astE//citF//
LrhA	
LsrR	poxB//rsmH//lsrK//frdA//purA//
MalI	mhpD//lysC//
MalT	fadD//metC//sodA//waaZ//
MarA	fdhF//citD//astD//adhE//patD//astA//citF//metF//fabI//ssuD//alkA//ung//
MarR	
MatA	ttdB//
MazE	fadD//
MazE-MazF	hcaB//
McbR	
MelR	aceF//pgaC//
MetJ	ruvA//ulaF//wrbA//gadA//trpC//
MetR	gcl//rhaA//rutD//
MhpR	lpd//caiC//purF//allA//deoC//chbF//
Mlc	folE//glyA//citG//
MlrA	fumB//
MngR	malY//recB//
MntR	fadJ//
ModE	caiD//entH//pdeR//astA//aroG//hycF//mhpC//pflB//phnG//uxuA//xylB//hypF//cysG//edd//caiB//
MprA	argB//
MqsA	gltD//fau//
MraZ	arsC//poxB//cysG//nrdE//cynS//ppiA//phnL//frdA//caiB//ulaD//
MurR	paaK//glpQ//truB//
Nac	trpE//rimK//waaZ//phnJ//
NadR	nadB//
NagC	glpK//accC//nagB//xylB//paaK//nfsB//fdhF//nrdE//oxc//fdhF//nirB//srkA//bioD//nanK//
NanR	fabD//carA//rhaD//carB//lpxC//ppsA//
NarL	phnL//deoA//nirB//murG//trpC//astA//phnG//hyaA//deoC//hypF//rutD//hyi//nrdA//hycC//napA//hycE//rhaB//dgkA//uxuA//dmsC//metE//eno//citD//tdcB//
NarP	cysE//glpB//dgcC//murE//phnN//puuE//tdcE//ychF//purC//
NemR	mhpF//ychF//
NhaR	cadA//trpC//paaE//atoA//melA//
NikR	accD//
NimR	arsC//
NorR	epd//
NrdR	dapB//bioF//allB//phnL//
NsrR	bioA//cysM//mazG//trpB//ribA//dapD//
NtrC	argF//wzb//guaB//pgk//xylB//hypF//dmsA//aldA//
OmpR	puuA//argH//accA//frc//dkgA//astE//ychF//recB//
OxyR	fau//cueO//carB//puuE//cynT//murE//tdcG//astE//citG//torC//dgcC//phnI//murG//
PaaX	frdB//frdB//cysG//lacZ//nrdB//deoA//polA//ydcS//hycG//
PdeL	nagB//
PdhR	yqhD//moaC//trpC//fadI//patD//nfsA//fumC//paaA//hycC//ldtC//metF//deoD//phnN//polB//truB//trpA//purM//nrfD//dapB//rhaD//kbaZ//gdhA//
PepA	cysK//moaE//
PgrR	entE//feaB//
PhoB	ydcS//galK//murQ//nirD//ydcS//umpH//glpX//ftnA//murE//deoC//hcaF//citF//astC//frc//gcvT//
PhoP	ygeA//napB//purB//
PspF	mpaA//
PurR	nadB//fes//hemL//fabH//icd//narH//pfkA//aroG//ynfG//ssuE//ldtC//uxuB//
PutA	puuB//hcaE//
PuuR	gadA//ynfF//paaY//fes//cyoE//wzb//
QseB	
RbsR	bioF//phnO//hycG//phnM//lldD//glpC//
RcdA	hycF//
RclR	
RcnR	cysM//
RcsAB	nrfD//murF//
RcsB	frdA//ynfE//
RcsB-BglJ	dapD//ada//
RelB	alkA//
RelB-RelE	adhE//
RhaR	
RhaS	ndh//napA//uxuB//glpD//
Rob	paaH//ulaF//ascB//tyrB//
RstA	astA//
RutR	tdcB//citC//carA//bioC//metA//napB//folE//deoD//sodA//eno//
SdiA	
SgrR	gcvP//paaH//srkA//
SlyA	umuD//phnO//cysE//ubiX//frdD//araB//murC//hemL//hyaA//
SoxR	allB//
SoxS	ttdA//phnL//kbaY//hcp//paaG//edd//glpD//phnI//fbaA//codA//gloA//udp//glxK//dmsA//cyoE//ung//
StpA	phnI//
SutR	umuD//oxc//
TdcA	glpC//argG//tam//deoB//astC//
TdcR	glpK//paaF//oxc//appA//malY//
TorR	dkgA//citX//nrdA//icd//
TreR	hyaC//alaS//
TrpR	uvrB//frdB//lacZ//ahpC//pflB//ascB//eda//hcaB//deoC//
TtdR	mhpB//fadI//
TyrR	narG//galK//carB//atoA//ribA//ftsI//recD//bglB//fes//
UhpA	astB//
UlaR	hcaF//glmS//codA//zwf//gadA//
UvrY	ftsI//frdD//
UxuR	napB//narG//allA//
XylR	citF//polB//purN//
YdeO	rhaA//purM//tdcG//
YefM	ldtC//
YefM-YoeB	nanM//
YhaJ	
YjjQ	
YpdB	
YqhC	relA//ulaD//
YqjI	entD//
ZntR	bioA//
ZraR	
Zur	slt//
