# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	recF//ahpC//
Ada	nrdA//rsmH//rutE//gdhA//
AdiY	phnI//waaY//yqhD//argA//
AgaR	dgkA//
AidB	aceA//
AlaS	ruvA//
AllR	bioC//moaC//yqhD//dapD//araD//nanM//
AraC	caiB//mhpE//nfsA//puuB//citE//nfsA//
ArgP	atoA//fadD//ldtD//purM//nrdB//fau//yqjH//ftnA//lsrG//
ArgR	katG//entB//trpA//dapD//glcF//frdA//hmp//cysE//gpmA//patD//tyrB//narI//fadE//lsrK//caiB//polA//entC//moaA//murF//metC//ugpQ//ynfE//murD//
ArsR	hypF//fdhF//
AscG	rhaA//atoA//
AtoC	arsC//recB//uxuB//
BaeR	nemA//phnO//
BasR	glpA//hycB//ttdA//
BirA	glyA//pgaB//tdcD//yedX//rutD//
BluR	
BtsR	hemH//
CadC	chbG//hcaC//metA//
CaiF	polA//murE//ppiA//slt//tauD//
Cbl	aceB//edd//udp//caiB//arsC//
CecR	yqhD//
ChbR	phnG//ascB//hycE//
ComR	
CpxR	putA//alaS//frdC//metF//pykF//ssuE//cynS//melA//glpA//hypF//hypB//ppiA//argB//nagB//ynfE//
Cra	phnN//trpC//murQ//yfdE//yfdE//adiA//yqjH//glpB//aroG//umpH//nanM//paaJ//dapB//cyoE//bglB//lacA//fadJ//ynfE//purD//cdd//nfsB//hyaC//deoA//ada//murE//narH//
CreB	
CsgD	hyaA//fabI//atoD//nrfC//
CspA	
CueR	gadB//tdcB//
CusR	pgaB//ulaG//
CynR	patD//glpB//aroG//
CysB	paaK//glpA//dmsA//aceE//frdD//ahpF//napA//aceF//nrfC//
CytR	murE//eda//pfkA//puuE//nrfA//allA//napA//fabH//aceA//
DcuR	fadD//puuD//xylB//chbG//
DeoR	tdcE//ribA//purC//rhaA//
DicA	
DinJ-YafQ	kbaZ//
DnaA	zwf//pfkA//udp//hcaC//ada//adiA//
DpiA	pyrC//tam//frc//malQ//pfkA//
EnvR	bioA//umpH//
EvgA	guaA//mpaA//patD//hcaF//fbaA//
ExuR	
FabR	metF//bioB//moaC//
FadR	wzc//napA//mazG//hyaB//moaC//ppsA//entB//atoB//srkA//nagB//lysA//hypB//glcD//ttdA//metC//
FeaR	glpX//accA//
FhlA	add//mazG//allA//edd//mhpD//lysC//ynfH//
FlhDC	garR//puuB//
FliZ	moaD//astB//frdC//moaC//deoC//
Fur	entA//pck//moaA//hcaC//lacZ//tdcE//phoA//nfsA//alaC//hycF//purB//trpA//glmU//nirB//paaZ//hcaE//glcE//metF//fabB//astB//ssuD//xylB//fdhF//rhaD//rutE//glpC//gadB//phnJ//trpB//tauD//moaA//
GadE	relA//fadD//napB//
GadE-RcsB	hyaC//entC//paaY//cysM//nagA//
GadW	garK//pflB//aspA//
GadX	fumC//pyrC//adiA//paaZ//cyoE//
GalR	icd//gpmA//fumB//wzc//glpC//
GalS	nrdF//galT//frdC//narG//ppiA//
GcvA	cynS//fadI//gadB//
GlcC	lpxC//paaZ//ynfG//
GlpR	fabH//glpA//purM//glpD//metE//gpmA//patD//
GlrR	
GntR	gadB//fadH//gadB//accD//mraY//
HU	nirB//sodA//entE//bioD//
HcaR	purF//nemA//
HdfR	
HigA	ttdA//
HigB-HigA	feaB//
HipAB	nrdD//entC//
HipB	lysC//rutA//lsrG//
HprR	feaB//deoC//
HypT	pgaD//phnG//
IclR	glyA//napB//alaC//
IlvY	xylA//
IscR	sbcD//hycC//nrfC//truB//katG//deoA//pdeR//
KdgR	aroH//
KdpE	ahpF//
LacI	glpX//purF//frdA//
LeuO	nrfD//fadI//hemL//
LexA	katG//hemH//tauD//bioD//ogt//hycB//phnH//paaH//aroH//
LldR	allA//ruvB//
LrhA	
LsrR	astD//mazG//nanM//murF//phnJ//
MalI	bioF//mdh//
MalT	acnA//recD//ccp//gltD//
MarA	paaC//gltB//ftnA//ccp//cysG//yfdE//ddlB//pgaB//truB//entE//gloA//entC//
MarR	
MatA	sbcC//
MazE	dgcZ//
MazE-MazF	dgcZ//
McbR	
MelR	narG//truB//
MetJ	fes//ribA//glxK//nemA//nrdD//
MetR	purB//moaD//ychF//
MhpR	bioD//garK//arsC//lsrG//ruvA//torA//
Mlc	murI//hmp//hcaE//
MlrA	moaD//
MngR	lsrG//deoC//
MntR	deoA//
ModE	hcaE//iscS//nanE//dmsB//folE//phnN//recB//paaJ//hcaE//purC//bioC//alaC//argB//ycjG//phnP//
MprA	waaY//
MqsA	hypF//aroL//
MraZ	bioF//aroF//fadD//ldtD//hcaD//nemA//nanK//rhaB//murC//glcB//
MurR	hcp//hycC//trpE//
Nac	purN//tdcD//paaH//lsrK//
NadR	ilvC//
NagC	sbcC//recD//malY//sbcD//nrdB//malY//puuE//slt//hemL//rimK//argE//metC//phnL//aceE//
NanR	galT//alkA//ulaE//xylB//pgaC//argI//
NarL	bioD//fadE//lysC//grxA//phnH//moaD//pspE//napG//folA//sbcC//nrdA//adiA//citF//icd//hmp//ugpQ//ygeA//nemA//mazG//bioA//bioF//pgaD//adiA//adiA//
NarP	citG//xylA//purD//ahpF//codA//ccp//pnp//astA//ynfE//
NemR	xylA//entD//
NhaR	fabG//ulaG//paaK//paaE//yqjH//
NikR	ubiX//
NimR	nanE//
NorR	argI//
NrdR	xylA//acnA//edd//frdC//
NsrR	kbaY//tyrA//uxuB//adiA//yqjH//hyi//
NtrC	ugpQ//caiA//rutE//nanM//cueO//rnpB//dgcZ//wrbA//
OmpR	lysA//fabH//atoD//moaE//carA//glmU//trpC//alkB//
OxyR	wzc//lsrG//ppsA//hycB//paaJ//rutA//ddlB//pgaD//mhpF//ppiA//galE//frdA//hcaB//
PaaX	adiA//napB//nagB//garL//eda//glyA//nrdF//recD//argH//
PdeL	dapD//
PdhR	hypB//recB//edd//murE//gpmA//gcl//lpd//ilvC//metE//hmp//srkA//mngB//nrdB//malP//argG//relA//pgaD//cynS//folE//polB//argC//paaK//
PepA	mhpE//glpK//
PgrR	tnaA//aroF//
PhoB	rutD//glpD//ychF//gntK//argE//recB//uxuA//mhpF//phnI//rbsK//ttdA//hypB//puuD//bioF//cdd//
PhoP	garR//ttdA//paaZ//
PspF	paaJ//
PurR	glxK//araA//carA//tauD//purN//pdeL//rbsK//fabB//entF//puuE//feaB//moaC//
PutA	kbaY//aceB//
PuuR	argG//allB//wzc//fbaA//polA//ftnA//
QseB	
RbsR	fadD//caiB//dapB//frdB//fbaA//hemL//
RcdA	trpE//
RclR	
RcnR	rutE//
RcsAB	lsrK//citD//
RcsB	hycB//argA//
RcsB-BglJ	fbaA//fabB//
RelB	pgaC//
RelB-RelE	cysK//
RhaR	
RhaS	grxA//frdC//caiB//mtlD//
Rob	gpmA//patD//garL//hcaF//
RstA	dgkA//
RutR	narH//puuE//fumB//glxK//rutA//ulaE//nanA//allA//waaY//aceE//
SdiA	
SgrR	pdeL//dmsB//glxK//
SlyA	argE//gadB//araD//paaG//recB//deoC//recF//puuC//gltB//
SoxR	metC//
SoxS	fabB//pfkA//lpd//rnpB//galM//napH//gapA//ung//hemH//napB//ruvB//mhpF//edd//phnO//hemH//pgaD//
StpA	folE//
SutR	nanE//dgkA//
TdcA	rutB//phnL//lacZ//kbaY//moaC//
TdcR	allB//waaY//aceE//chbF//tyrB//
TorR	deoB//napB//paaC//paaF//
TreR	gapA//mhpC//
TrpR	rutC//fadE//cysE//murQ//ulaE//rbsK//nfsA//hemH//gcvH//
TtdR	argI//tyrA//
TyrR	polA//luxS//entC//tyrA//metC//deoD//yqhD//rnpB//garR//
UhpA	citD//
UlaR	glpC//rutC//nrfD//pgk//frdD//
UvrY	uxuA//fabI//
UxuR	guaB//purH//nirB//
XylR	frdB//umpH//fadE//
YdeO	srkA//phnI//astA//
YefM	alaC//
YefM-YoeB	aceB//
YhaJ	
YjjQ	
YpdB	
YqhC	moaC//ruvA//
YqjI	bioC//
ZntR	pgaD//
ZraR	
Zur	ynfF//
