# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	mhpE//tynA//
Ada	aldA//hyaB//luxS//citF//
AdiY	yqhD//ydcS//feaB//waaY//
AgaR	galE//
AidB	purB//
AlaS	umpH//
AllR	pdeL//mazG//wrbA//pykF//caiC//ilvC//
AraC	deoA//pfkA//eno//ssuE//torC//rutA//
ArgP	accA//accC//astA//citD//malY//ulaG//ulaG//hcaD//araB//
ArgR	fdhF//ulaF//ynfF//tdcD//aroH//mdh//nirB//rhaB//bioD//paaA//murI//caiB//rimK//trpA//ahpF//yqjH//tyrA//puuE//dkgA//aceE//cysK//tdcG//astE//
ArsR	glmU//recF//
AscG	frdC//wrbA//
AtoC	sufS//deoB//rhaB//
BaeR	glpK//bioD//
BasR	waaY//ribA//trpB//
BirA	caiC//puuC//moaD//uxuB//malY//
BluR	
BtsR	xylA//
CadC	hycE//ogt//nemA//
CaiF	cueO//pfkA//glxK//ribA//napG//
Cbl	alaC//ulaF//allB//ftsI//tdcE//
CecR	adhE//
ChbR	alaC//tauD//gapA//
ComR	
CpxR	aceB//nagB//purH//nrfA//paaK//glmS//ssuD//galE//paaC//kbaY//hcp//eda//argF//glmS//glpA//
Cra	trpA//nanM//glnA//mdh//recF//gapA//hcaD//tam//trpA//lpd//caiD//ynfG//rbsD//yqjH//dkgA//rutE//citX//phnM//malY//purN//ttdB//galT//lysA//gcvT//treC//dgcC//
CreB	
CsgD	metE//tnaA//ulaF//cynT//
CspA	
CueR	pdeR//acnA//
CusR	mazG//ugpQ//
CynR	frdB//ynfG//paaZ//
CysB	bioD//kbaZ//rutC//puuC//argE//murF//patD//polB//katG//
CytR	hyaB//nanA//alkA//glpA//katG//melA//icd//xylA//waaZ//
DcuR	srkA//garL//torA//yqhD//
DeoR	kbaY//hyaB//purB//edd//
DicA	
DinJ-YafQ	argB//
DnaA	lsrF//napB//ygeA//nrdE//frdA//ppsA//
DpiA	citC//cadA//ttdB//phnN//uxuA//
EnvR	astA//ribA//
EvgA	murQ//caiC//moaD//putA//ssuD//
ExuR	
FabR	putA//phnO//hycC//
FadR	ascB//adiA//phnM//mpaA//argI//xylA//garK//cdd//aspA//glcD//aroF//glpD//purD//nagB//kbaZ//
FeaR	tyrA//ulaE//
FhlA	metE//phnP//glpA//nemA//umuD//nanE//aroG//
FlhDC	aldA//hcaE//
FliZ	alkA//purM//atoD//ruvB//mdh//
Fur	edd//cueO//mtlD//ddlB//folA//astA//zwf//fes//galT//ppsA//rhaD//ulaE//moaE//hycD//oxc//napA//rutE//yqjH//allA//gcvT//codA//fadI//napB//eno//murE//mhpD//umpH//galM//edd//epd//hyaC//
GadE	rbsD//argH//tauD//
GadE-RcsB	melA//murF//galM//recD//sodA//
GadW	bioA//pnp//narH//
GadX	argG//gcvH//eda//murI//zwf//
GalR	paaI//dgkA//rutE//carB//glxK//
GalS	deoA//murE//mhpD//moaE//fadE//
GcvA	folA//bioD//pgk//
GlcC	xylB//puuB//narG//
GlpR	citG//pck//fdhF//nanM//hcaD//frdA//lacA//
GlrR	
GntR	entH//phnH//bioD//hcaD//ftsI//
HU	narG//metF//ssuE//uxuB//
HcaR	mdh//ynfG//
HdfR	
HigA	mhpE//
HigB-HigA	recB//
HipAB	argG//fbaA//
HipB	garK//nanM//tynA//
HprR	fes//purB//
HypT	ahpC//chbG//
IclR	aceE//puuC//ttdB//
IlvY	aceB//
IscR	recF//ruvB//nrdB//accA//ftsI//hmp//accC//
KdgR	paaI//
KdpE	caiD//
LacI	hypB//ynfH//glpQ//
LeuO	dgcZ//cadA//glcE//
LexA	ynfF//purA//purC//gntK//galM//aceE//murC//nadB//purH//
LldR	deoB//hcaD//
LrhA	
LsrR	srkA//glxK//phnN//phnG//waaY//
MalI	fdhF//argD//
MalT	galT//hyi//ychF//ahpC//
MarA	tdcG//uxuA//fabA//mdh//yqhD//nanM//argC//kbaZ//tyrB//cyoE//gloA//nrdF//
MarR	
MatA	luxS//
MazE	dkgA//
MazE-MazF	frdA//
McbR	
MelR	srkA//folA//
MetJ	argB//metA//truB//paaB//uvrB//
MetR	narG//acnA//dgkA//
MhpR	argF//hemH//puuD//hycE//mhpA//melA//
Mlc	nrdD//ssuD//murD//
MlrA	mngB//
MngR	rhaD//pgaC//
MntR	bioD//
ModE	deoA//umuC//yqjH//nagA//waaY//citX//sbcD//mazG//rhaA//napA//cynT//aroL//zwf//cynS//bglB//
MprA	mdh//
MqsA	atoA//citX//
MraZ	paaZ//rutB//tdcE//purA//fau//argH//hyaA//malQ//bioD//rsmH//
MurR	ulaG//bioC//glmS//
Nac	alaS//srkA//kbaZ//alaC//
NadR	pgaB//
NagC	entD//nirD//paaY//hycE//pgaB//deoD//murF//malP//murI//icd//waaZ//narG//nrdD//purN//
NanR	glcD//lsrF//phnI//ychF//murD//paaJ//
NarL	nrdD//polA//iscS//rutC//trpC//recB//metF//hypB//mngB//phnH//wrbA//hcaD//rhaD//recF//cysG//lysC//murE//hycC//napH//allB//iscS//ulaE//purH//astA//
NarP	pyrC//rutE//eda//cynS//lsrF//bglB//umpH//glpC//hcaC//
NemR	puuD//mpaA//
NhaR	rsmH//umuD//ppsA//aldA//aceB//
NikR	nanK//
NimR	hcaF//
NorR	dgcZ//
NrdR	ldtC//aceF//ttdA//entF//
NsrR	polA//mtlD//glcB//glcD//ruvB//chbF//
NtrC	ubiX//lpxC//galE//atoB//glmS//puuA//hmp//recB//
OmpR	tam//ppiA//caiD//rutA//umuD//deoC//lacA//ulaF//
OxyR	bioD//dmsC//deoC//glnA//pgaB//nanE//dmsB//mhpF//allB//aceF//argG//gntK//eno//
PaaX	astE//mdh//hcp//srkA//wzc//malP//ttdB//bioA//uxuB//
PdeL	hmp//
PdhR	hemH//narI//ccp//atoD//glyA//fes//ruvA//paaA//phnM//napH//fumB//gntK//deoC//oxc//napH//murC//feaB//cadA//entB//srkA//ccp//cadA//
PepA	astC//fabA//
PgrR	kbaY//patD//
PhoB	pspE//nrfA//fabD//astD//trpB//acnA//ada//ccp//cynS//narI//melA//melA//frdC//phnM//cadA//
PhoP	lpxC//glxR//dgcZ//
PspF	lpd//
PurR	citX//paaK//nfsA//ygeA//cueO//carB//phnJ//treC//glxR//slt//purD//mazG//
PutA	sbcC//dgkA//
PuuR	paaK//bioF//hycG//garK//napH//glpQ//
QseB	
RbsR	glcB//arsC//hyaB//fabH//nemA//trpD//
RcdA	paaH//
RclR	
RcnR	yqjH//
RcsAB	dapD//epd//
RcsB	mazG//purH//
RcsB-BglJ	grxA//cysM//
RelB	phnM//
RelB-RelE	argB//
RhaR	
RhaS	gadB//epd//argF//sodA//
Rob	argC//glxK//purB//citG//
RstA	trpD//
RutR	entD//uvrB//ycjG//rimK//pyrC//caiB//rutE//ynfE//mazG//srkA//
SdiA	
SgrR	ulaE//napG//ccp//
SlyA	rutE//mpaA//fabB//paaF//nanM//mraY//ddlB//purC//phnL//
SoxR	atoD//
SoxS	kbaZ//atoA//gcvH//accA//gltB//lysA//ruvB//argE//entD//puuC//glmS//fadE//hycE//nanK//purC//eno//
StpA	aceA//
SutR	patD//hemL//
TdcA	ogt//pgaB//ubiX//puuA//frdA//
TdcR	bioD//glyA//ulaG//gntK//frdD//
TorR	waaZ//ycjG//codA//ldtD//
TreR	ychF//ada//
TrpR	nrdA//umuD//nanK//codA//frdC//pyrC//moaD//ttdB//caiC//
TtdR	appA//glpQ//
TyrR	accD//garK//fadH//pdeR//ulaD//gltD//accA//fabA//eda//
UhpA	fadJ//
UlaR	cysG//hcaE//fadD//dkgA//ulaE//
UvrY	hycE//glpD//
UxuR	umuD//ftsI//ynfH//
XylR	citX//guaB//fabI//
YdeO	hcaC//citD//nirD//
YefM	fes//
YefM-YoeB	gcvH//
YhaJ	
YjjQ	
YpdB	
YqhC	paaK//sbcC//
YqjI	hyaB//
ZntR	pnp//
ZraR	
Zur	ulaG//
