# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	cysK//lysC//
Ada	dmsB//ada//entH//hcaB//
AdiY	paaF//hypF//nrdE//mhpF//
AgaR	galT//
AidB	malQ//
AlaS	yqjH//
AllR	pfkA//moaD//accD//fabA//ulaE//rutB//
AraC	ilvC//gadA//glpQ//ppiA//pck//lsrG//
ArgP	hcaF//araB//iscS//cyoE//gcvT//accA//gcvH//allA//adhE//
ArgR	torC//purN//gcl//allA//astE//polB//glpQ//feaB//murG//aroG//frdB//dkgA//cysK//xylB//mhpB//hemH//gltD//citC//pfkA//cueO//lpxC//argE//hmp//
ArsR	ruvA//entE//
AscG	putA//metC//
AtoC	deoA//argG//gpmA//
BaeR	nanM//murG//
BasR	nirB//glpQ//accD//
BirA	cysE//slt//accA//mhpC//nrdF//
BluR	
BtsR	umpH//
CadC	frdB//rhaD//ppiA//
CaiF	argE//argE//mraY//nagA//recF//
Cbl	araA//poxB//hemL//argD//deoD//
CecR	glyA//
ChbR	dmsC//hcaC//mhpF//
ComR	
CpxR	rhaB//ung//phnP//hmp//citE//atoD//deoA//garR//rutB//adiA//cueO//fabD//paaZ//ldtC//yedX//
Cra	gloA//lysA//feaB//fadE//fdhF//pykF//aroH//lysC//ttdB//gdhA//ssuE//paaK//gltD//torC//purA//hycB//gapA//gdhA//trpD//adiA//ynfF//truB//ldtD//glpD//gltD//gapA//
CreB	
CsgD	hycD//metA//caiD//nanK//
CspA	
CueR	napG//uvrB//
CusR	ftnA//gadA//
CynR	sufS//ppiA//ssuD//
CysB	hmp//napG//fbaA//fabI//cdd//pdeR//frdB//ycjG//umuC//
CytR	gdhA//hcaD//rsmH//feaB//phnM//paaE//ynfH//frc//trpC//
DcuR	murC//ulaD//paaI//glmU//
DeoR	entC//rutE//guaA//frdD//
DicA	
DinJ-YafQ	phnP//
DnaA	dgkA//garR//pfkA//mngB//astE//adhE//
DpiA	entC//tam//trpA//rutC//mdh//
EnvR	murG//garL//
EvgA	hcaE//paaK//fes//argB//purD//
ExuR	
FabR	mngB//bioD//uxuA//
FadR	aceF//hcaE//gdhA//glpA//ldtD//hypB//mhpE//fes//ddlB//uxuB//hycG//xylA//puuA//trpE//entD//
FeaR	glcE//glpK//
FhlA	tam//astC//paaH//pdeL//rhaB//glmS//garK//
FlhDC	tnaA//ulaG//
FliZ	bioA//glcE//glcD//caiD//glpQ//
Fur	murD//rutE//caiD//phoA//dgcC//fabB//bioB//frdC//fau//xylA//araA//garK//murF//gcvP//citF//argH//pyrC//hycF//moaD//aceF//hcp//aspA//gcvT//napA//ynfH//carB//hyaC//rhaA//lysC//glpQ//nfsA//
GadE	allA//truB//rutB//
GadE-RcsB	fadE//gpmA//garL//ada//fdhF//
GadW	aceA//purA//paaF//
GadX	pdeR//rbsD//paaY//pflB//citD//
GalR	argD//glmS//sodA//alaS//gcvH//
GalS	hycF//fau//fau//hcaF//hycE//
GcvA	rutC//paaC//caiD//
GlcC	metC//phnI//phnL//
GlpR	garL//sufS//aroL//nfsB//murQ//pgaC//aspA//
GlrR	
GntR	phnO//trpD//purC//atoA//entD//
HU	icd//alaS//narH//tynA//
HcaR	astD//allA//
HdfR	
HigA	ygeA//
HigB-HigA	ruvB//
HipAB	truB//uxuB//
HipB	pflB//nrfA//recB//
HprR	glpD//hycE//
HypT	melA//nrdE//
IclR	glpK//accA//rnpB//
IlvY	argH//
IscR	accD//astE//ldtC//gcvT//pnp//nagB//paaH//
KdgR	waaZ//
KdpE	ttdB//
LacI	fadH//entE//entC//
LeuO	srkA//fabA//entC//
LexA	araA//pdeL//ruvA//puuA//fadD//trpC//ftsI//hypB//paaG//
LldR	paaE//hycB//
LrhA	
LsrR	mraY//rhaD//rimK//purF//kbaY//
MalI	narI//tyrB//
MalT	pfkA//astC//accD//kbaZ//
MarA	astA//gadA//fbaA//ddlB//gloA//alaS//arsC//galM//gcl//phnI//araB//dmsA//
MarR	
MatA	nadB//
MazE	ccp//
MazE-MazF	ugpQ//
McbR	
MelR	polB//dapB//
MetJ	araB//fadD//glmS//wrbA//aroG//
MetR	nadB//narG//nadB//
MhpR	mdh//uxuB//ycjG//gltB//alaC//garL//
Mlc	ruvA//hycD//tynA//
MlrA	moaE//
MngR	ulaD//yqhD//
MntR	treC//
ModE	paaJ//phnJ//nanE//nrdE//wzb//murE//rhaB//astE//rhaA//phnL//fadH//entH//bioC//aldA//aroG//
MprA	tnaA//
MqsA	argF//malP//
MraZ	frdC//moaA//sbcC//ssuD//nagB//ppiA//rhaD//sbcD//pdeL//deoB//
MurR	gltB//tdcD//slt//
Nac	caiB//ygeA//tyrA//codA//
NadR	lsrF//
NagC	tdcB//mtlD//astB//paaH//rbsD//purN//gltB//ung//pgaD//moaC//ddlB//tdcD//galT//gcl//
NanR	slt//rutA//gapA//tnaA//tdcD//fabB//
NarL	purH//trpE//truB//lsrK//nadB//dmsA//ubiX//lsrG//glpQ//truB//katG//dapB//allA//phnI//trpD//chbG//puuC//fabD//gpmA//nirD//gcl//hyaB//gcvP//tynA//
NarP	trpB//sbcC//gcl//ddlB//murC//galE//guaB//trpC//paaE//
NemR	hcaE//glcF//
NhaR	fadJ//garL//entH//ascB//malP//
NikR	moaA//
NimR	ttdB//
NorR	tynA//
NrdR	oxc//metE//caiD//pyrC//
NsrR	purF//pdeL//glpQ//rutB//rbsK//mdh//
NtrC	hycG//alaC//dkgA//aroF//mhpE//mazG//bioD//alaS//
